slack_0,non_interrupt,interrupt
4338.93,3244.87,2236.1
4341.94,3244.87,2236.1
4343.26,3244.87,2236.1
4343.86,3244.87,2236.1
4344.02,3244.87,2236.1
4325.8,3244.87,2236.1
4287.25,3244.87,2236.1
4259.2,3244.87,2236.1
4248.46,3244.87,2236.1
4241.25,3244.87,2236.1
4232.91,3244.87,2236.1
4222.55,3244.87,2236.1
4209.79,3244.87,2236.1
4177.33,3244.87,2236.1
4128.03,3244.87,2236.1
4086.89,3244.87,2236.1
4071.26,3244.87,2236.1
4075.4,3244.87,2236.1
4099.86,3244.87,2236.1
4111.45,3244.87,2236.1
4126.23,3244.87,2236.1
4125.62,3244.87,2236.1
4108.29,3244.87,2236.1
4102.36,3244.87,2236.1
4093.58,3244.87,2236.1
4072.6,3244.87,2236.1
4053.6,3244.87,2236.1
4037.4700000000003,3244.87,2236.1
4029.93,3244.87,2236.1
4039.7200000000003,3244.87,2236.1
4041.15,3244.87,2236.1
4045.33,3244.87,2236.1
4058.92,3244.87,2236.1
4069.62,3244.87,2236.1
4096.99,3244.87,2236.1
4138.15,3244.87,2236.1
4202.24,3244.87,2236.1
4293.46,3244.87,2236.1
4403.55,3244.87,2236.1
4507.93,3244.87,2236.1
4607.59,3244.87,2236.1
4705.2,3244.87,2236.1
4814.64,3244.87,2236.1
4931.85,3244.87,2236.1
5029.03,3244.87,2236.1
5129.25,3244.87,2236.1
5260.31,3244.87,2236.1
5395.51,3244.87,2236.1
5535.61,3244.87,2236.1
5685.69,3244.87,2236.1
5831.43,3244.87,2236.1
5973.1,3244.87,2236.1
6111.76,3244.87,2236.1
6254.89,3244.87,2236.1
6426.0,3244.87,2236.1
6603.66,3244.87,2236.1
6781.24,3244.87,2236.1
6971.81,3244.87,2236.1
7162.16,3244.87,2236.1
7353.01,3244.87,2236.1
7525.88,3244.87,2236.1
7679.67,3244.87,2236.1
7800.34,3244.87,2236.1
7882.21,3244.87,2236.1
7920.25,3244.87,2236.1
7935.91,3244.87,2236.1
7927.86,3244.87,2236.1
7908.52,3244.87,2236.1
7901.79,3244.87,2236.1
7913.78,3244.87,2236.1
7951.16,3244.87,2236.1
8015.61,3244.87,2236.1
8079.31,3244.87,2236.1
8146.43,3244.87,2236.1
8219.85,3244.87,2236.1
8294.74,3244.87,2236.1
8372.13,3244.87,2236.1
8448.16,3244.87,2236.1
8526.91,3244.87,2236.1
8605.44,3244.87,2236.1
8679.59,3244.87,2236.1
8745.73,3244.87,2236.1
8803.04,3244.87,2236.1
8841.15,3244.87,2236.1
8865.68,3244.87,2236.1
8884.05,3244.87,2236.1
8919.53,3244.87,2236.1
8959.05,3244.87,2236.1
8986.41,3244.87,2236.1
9004.0,3244.87,2236.1
9024.39,3244.87,2236.1
9044.31,3244.87,2236.1
9069.27,3244.87,2236.1
9081.91,3244.87,2236.1
9077.83,3244.87,2236.1
9045.61,3244.87,2236.1
9026.95,3244.87,2236.1
9004.59,3244.87,2236.1
8963.82,3244.87,2236.1
8916.3,3244.87,2236.1
8852.0,3244.87,2236.1
8752.21,3244.87,2236.1
8651.58,3244.87,2236.1
8555.66,3244.87,2236.1
8465.0,3244.87,2236.1
8393.97,3244.87,2236.1
8328.57,3244.87,2236.1
8301.28,3244.87,2236.1
8300.24,3244.87,2236.1
8305.42,3244.87,2236.1
8304.1,3244.87,2236.1
8285.84,3244.87,2236.1
8246.54,3244.87,2236.1
8192.17,3244.87,2236.1
8130.77,3244.87,2236.1
8072.9,3244.87,2236.1
8015.96,3244.87,2236.1
7993.28,3244.87,2236.1
7991.34,3244.87,2236.1
8011.13,3244.87,2236.1
8009.33,3244.87,2236.1
8008.38,3244.87,2236.1
8025.28,3244.87,2236.1
8035.78,3244.87,2236.1
8051.65,3244.87,2236.1
8075.43,3244.87,2236.1
8069.0,3244.87,2236.1
8053.5,3244.87,2236.1
8044.08,3244.87,2236.1
8062.39,3244.87,2236.1
8116.6,3244.87,2236.1
8145.04,3244.87,2236.1
8151.42,3244.87,2236.1
8141.6,3244.87,2236.1
8122.5599999999995,3244.87,2236.1
8100.13,3244.87,2236.1
8127.97,3244.87,2236.1
8176.92,3244.87,2236.1
8212.07,3244.87,2236.1
8198.13,3244.87,2236.1
8160.46,3244.87,2236.1
8121.07,3244.87,2236.1
8123.8099999999995,3244.87,2236.1
8140.18,3244.87,2236.1
8168.38,3244.87,2236.1
8199.41,3244.87,2236.1
8227.34,3244.87,2236.1
8271.75,3244.87,2236.1
8331.64,3244.87,2236.1
8431.87,3244.87,2236.1
8562.67,3244.87,2236.1
8704.92,3244.87,2236.1
8838.52,3244.87,2236.1
8924.39,3244.87,2236.1
8966.28,3244.87,2236.1
8991.39,3244.87,2236.1
9017.55,3244.87,2236.1
9054.49,3244.87,2236.1
9089.05,3244.87,2236.1
9130.43,3244.87,2236.1
9140.64,3244.87,2236.1
9112.18,3244.87,2236.1
9084.13,3244.87,2236.1
9078.66,3244.87,2236.1
9073.75,3244.87,2236.1
9050.88,3244.87,2236.1
9037.23,3244.87,2236.1
9043.83,3244.87,2236.1
9049.27,3244.87,2236.1
9055.8,3244.87,2236.1
9061.67,3244.87,2236.1
9062.11,3244.87,2236.1
9056.11,3244.87,2236.1
9041.53,3244.87,2236.1
9015.63,3244.87,2236.1
8973.55,3244.87,2236.1
8917.94,3244.87,2236.1
8837.71,3244.87,2236.1
8740.77,3244.87,2236.1
8628.55,3244.87,2236.1
8503.37,3244.87,2236.1
8378.57,3244.87,2236.1
8284.2,3244.87,2236.1
8222.44,3244.87,2236.1
8161.72,3244.87,2236.1
8106.71,3244.87,2236.1
8073.95,3244.87,2236.1
8097.61,3244.87,2236.1
8125.75,3244.87,2236.1
8134.24,3244.87,2236.1
8088.31,3244.87,2236.1
8031.49,3244.87,2236.1
8004.55,3244.87,2236.1
7950.74,3244.87,2236.1
7875.42,3244.87,2236.1
7754.77,3244.87,2236.1
7622.0,3244.87,2236.1
7465.02,3244.87,2236.1
7307.9400000000005,3244.87,2236.1
7154.57,3244.87,2236.1
7015.9400000000005,3244.87,2236.1
6924.8,3244.87,2236.1
6893.45,3244.87,2236.1
6914.31,3244.87,2236.1
6997.19,3244.87,2236.1
7106.31,3244.87,2236.1
7209.62,3244.87,2236.1
7291.04,3244.87,2236.1
7323.3,3244.87,2236.1
7317.2,3244.87,2236.1
7281.25,3244.87,2236.1
7214.45,3244.87,2236.1
7170.9400000000005,3244.87,2236.1
7166.8,3244.87,2236.1
7199.1,3244.87,2236.1
7239.41,3244.87,2236.1
7263.99,3244.87,2236.1
7316.35,3244.87,2236.1
7392.14,3244.87,2236.1
7518.52,3244.87,2236.1
7656.72,3244.87,2236.1
7823.25,3244.87,2236.1
8000.38,3244.87,2236.1
8183.91,3244.87,2236.1
8365.33,3244.87,2236.1
8522.22,3244.87,2236.1
8637.17,3244.87,2236.1
8720.08,3244.87,2236.1
8760.07,3244.87,2236.1
8772.78,3244.87,2236.1
8758.43,3244.87,2236.1
8739.16,3244.87,2236.1
8776.07,3244.87,2236.1
8861.8,3244.87,2236.1
8960.25,3244.87,2236.1
9049.58,3244.87,2236.1
9128.89,3244.87,2236.1
9222.82,3244.87,2236.1
9299.07,3244.87,2236.1
9328.56,3244.87,2236.1
9336.09,3244.87,2236.1
9345.47,3244.87,2236.1
9352.76,3244.87,2236.1
9356.04,3244.87,2236.1
9357.91,3244.87,2236.1
9356.28,3244.87,2236.1
9355.96,3244.87,2236.1
9356.65,3244.87,2236.1
9354.04,3244.87,2236.1
9353.29,3244.87,2236.1
9354.53,3244.87,2236.1
9358.79,3244.87,2236.1
9360.69,3244.87,2236.1
9362.24,3244.87,2236.1
9360.78,3244.87,2236.1
9346.6,3244.87,2236.1
9318.8,3244.87,2236.1
9297.17,3244.87,2236.1
9252.91,3244.87,2236.1
9199.97,3244.87,2236.1
9142.27,3244.87,2236.1
9068.65,3244.87,2236.1
8992.4,3244.87,2236.1
8947.41,3244.87,2236.1
8916.03,3244.87,2236.1
8881.56,3244.87,2236.1
8849.92,3244.87,2236.1
8824.62,3244.87,2236.1
8806.88,3244.87,2236.1
8792.49,3244.87,2236.1
8779.79,3244.87,2236.1
8765.83,3244.87,2236.1
8748.06,3244.87,2236.1
8732.52,3244.87,2236.1
8721.98,3244.87,2236.1
8704.66,3244.87,2236.1
8684.83,3244.87,2236.1
8663.0,3244.87,2236.1
8648.09,3244.87,2236.1
8642.44,3244.87,2236.1
8655.12,3244.87,2236.1
8688.34,3244.87,2236.1
8769.34,3244.87,2236.1
8872.02,3244.87,2236.1
8992.32,3244.87,2236.1
9099.59,3244.87,2236.1
9155.25,3244.87,2236.1
9171.9,3244.87,2236.1
9175.77,3244.87,2236.1
9178.09,3244.87,2236.1
9178.33,3244.87,2236.1
9174.57,3244.87,2236.1
9168.69,3244.87,2236.1
9160.97,3244.87,2236.1
9146.63,3244.87,2236.1
9121.27,3244.87,2236.1
9105.61,3244.87,2236.1
9100.67,3244.87,2236.1
9091.64,3244.87,2236.1
9082.64,3244.87,2236.1
