slack_0,non_interrupt,interrupt
4461.4,4460.43,4347.14
4462.65,4460.43,4359.56
4468.65,4460.43,4378.36
4471.45,4460.43,4389.6
4477.83,4460.43,4402.01
4476.12,4460.43,4408.3
4465.87,4460.43,4411.27
4460.43,4460.43,4420.24
4466.92,4464.75,4433.74
4470.8,4464.75,4446.36
4465.46,4464.75,4456.37
4465.7300000000005,4464.75,4461.74
4464.75,4464.75,4461.74
4471.87,4471.23,4463.17
4471.2300000000005,4471.23,4471.23
4511.72,4511.72,4511.72
4559.07,4559.07,4559.07
4618.81,4618.81,4611.45
4695.46,4695.46,4671.17
4769.06,4769.06,4727.77
4850.6,4850.6,4785.79
4949.02,4949.02,4845.85
5061.21,5061.21,4906.68
5178.3,5178.3,4963.38
5303.26,5303.26,5019.8
5436.7,5436.7,5082.68
5571.82,5571.82,5147.42
5702.71,5702.71,5208.23
5831.59,5831.59,5265.55
5958.04,5958.04,5323.7
6088.8,6088.8,5386.91
6220.45,6091.26,5446.95
6350.31,6091.26,5499.67
6486.81,6091.26,5550.95
6632.45,6091.26,5608.5
6763.21,6091.26,5654.91
6867.860000000001,6091.26,5695.88
6969.21,6091.26,5731.74
7074.8,6091.26,5776.65
7163.08,6091.26,5797.09
7254.37,6091.26,5815.11
7338.15,6091.26,5823.9
7413.58,6091.26,5823.9
7506.49,6091.26,5823.9
7600.42,6091.26,5823.9
7673.77,6091.26,5823.9
7735.9800000000005,6091.26,5823.9
7788.16,6091.26,5823.9
7830.96,6091.26,5823.9
7867.78,6091.26,5823.9
7903.5,6091.26,5823.9
7942.71,6091.26,5823.9
7977.94,6091.26,5823.9
8020.41,6091.26,5823.9
8065.37,6091.26,5823.9
8104.76,6091.26,5823.9
8144.92,6091.26,5823.9
8178.89,6091.26,5823.9
8210.22,6091.26,5823.9
8243.09,6091.26,5823.9
8286.08,6091.26,5823.9
8321.33,6091.26,5823.9
8355.26,6091.26,5823.9
8376.66,6091.26,5823.9
8401.98,6091.26,5823.9
8425.92,6091.26,5823.9
8448.08,6091.26,5823.9
8456.49,6091.26,5823.9
8458.07,6091.26,5823.9
8476.02,6091.26,5823.9
8490.52,6091.26,5823.9
8496.51,6091.26,5823.9
8495.52,6091.26,5823.9
8501.08,6091.26,5823.9
8509.94,6091.26,5823.9
8515.01,6091.26,5823.9
8516.75,6091.26,5823.9
8512.88,6091.26,5823.9
8513.19,6091.26,5823.9
8522.25,6091.26,5823.9
8530.0,6091.26,5823.9
8534.16,6091.26,5823.9
8542.36,6091.26,5823.9
8550.41,6091.26,5823.9
8554.66,6091.26,5823.9
8555.11,6091.26,5823.9
8557.51,6091.26,5823.9
8562.88,6091.26,5823.9
8552.42,6091.26,5823.9
8540.369999999999,6091.26,5823.9
8537.06,6091.26,5823.9
8534.84,6091.26,5823.9
8539.04,6091.26,5823.9
8533.38,6091.26,5823.9
8528.11,6091.26,5823.9
8529.02,6091.26,5823.9
8523.37,6091.26,5823.9
8508.43,6091.26,5823.9
8492.77,6091.26,5823.9
8478.76,6091.26,5823.9
8471.69,6091.26,5823.9
8466.710000000001,6091.26,5823.9
8451.79,6091.26,5823.9
8427.76,6091.26,5823.9
8401.72,6091.26,5823.9
8375.76,6091.26,5823.9
8347.57,6091.26,5823.9
8327.64,6091.26,5823.9
8330.41,6091.26,5823.9
8358.23,6091.26,5823.9
8391.29,6091.26,5823.9
8429.42,6091.26,5823.9
8476.43,6091.26,5823.9
8525.95,6091.26,5823.9
8573.72,6091.26,5823.9
8628.47,6091.26,5823.9
8676.76,6091.26,5823.9
8725.47,6091.26,5823.9
8772.67,6091.26,5823.9
8822.39,6091.26,5823.9
8887.55,6091.26,5823.9
8960.29,6091.26,5823.9
9032.21,6091.26,5823.9
9105.01,6091.26,5823.9
9174.86,6091.26,5823.9
9249.14,6091.26,5823.9
9327.31,6091.26,5823.9
9406.65,6091.26,5823.9
9482.88,6091.26,5823.9
9559.36,6091.26,5823.9
9636.18,6091.26,5823.9
9707.65,6091.26,5823.9
9762.13,6091.26,5823.9
9797.05,6091.26,5823.9
9825.45,6091.26,5823.9
9849.94,6091.26,5823.9
9876.14,6091.26,5823.9
9902.36,6091.26,5823.9
9928.78,6091.26,5823.9
9949.3,6091.26,5823.9
9964.43,6091.26,5823.9
9971.35,6091.26,5823.9
9976.1,6091.26,5823.9
9982.21,6091.26,5823.9
9983.59,6091.26,5823.9
9977.35,6091.26,5823.9
9969.43,6091.26,5823.9
9953.54,6091.26,5823.9
9941.79,6091.26,5823.9
9924.5,6091.26,5823.9
9910.13,6091.26,5823.9
9898.62,6091.26,5823.9
9887.07,6091.26,5823.9
9876.87,6091.26,5823.9
9864.9,6091.26,5823.9
9847.72,6091.26,5823.9
9831.93,6091.26,5823.9
9811.16,6091.26,5823.9
9796.09,6091.26,5823.9
9778.53,6091.26,5823.9
9761.4,6091.26,5823.9
9740.6,6091.26,5823.9
9689.24,6091.26,5823.9
9621.53,6091.26,5823.9
9553.23,6091.26,5823.9
9494.39,6091.26,5823.9
9437.02,6091.26,5823.9
9378.66,6091.26,5823.9
9312.960000000001,6091.26,5823.9
9247.06,6091.26,5823.9
9175.69,6091.26,5823.9
9108.05,6091.26,5823.9
9049.65,6091.26,5823.9
8996.04,6091.26,5823.9
8932.39,6091.26,5823.9
8869.51,6091.26,5823.9
8810.39,6091.26,5823.9
8757.13,6091.26,5823.9
8700.03,6091.26,5823.9
8646.75,6091.26,5823.9
8595.87,6091.26,5823.9
8553.74,6091.26,5823.9
8514.54,6091.26,5823.9
8483.31,6091.26,5823.9
8440.42,6091.26,5823.9
8398.28,6091.26,5823.9
8374.56,6091.26,5823.9
8354.73,6091.26,5823.9
8337.03,6091.26,5823.9
8315.7,6091.26,5823.9
8297.05,6091.26,5823.9
8272.91,6091.26,5823.9
8250.63,6091.26,5823.9
8238.24,6091.26,5823.9
8234.14,6091.26,5823.9
8230.32,6091.26,5823.9
8214.21,6091.26,5823.9
8201.45,6091.26,5823.9
8200.45,6091.26,5823.9
8195.74,6091.26,5823.9
8188.5199999999995,6091.26,5823.9
8178.23,6091.26,5823.9
8173.57,6091.26,5823.9
8176.4,6091.26,5823.9
8183.99,6091.26,5823.9
8182.58,6091.26,5823.9
8169.8099999999995,6091.26,5823.9
8147.42,6091.26,5823.9
8141.38,6091.26,5823.9
8139.4,6091.26,5823.9
8151.19,6091.26,5823.9
8174.71,6091.26,5823.9
8189.93,6091.26,5823.9
8205.86,6091.26,5823.9
8227.1,6091.26,5823.9
8260.59,6091.26,5823.9
8283.16,6091.26,5823.9
8297.12,6091.26,5823.9
8303.23,6091.26,5823.9
8309.17,6091.26,5823.9
8314.54,6091.26,5823.9
8308.5,6091.26,5823.9
8302.49,6091.26,5823.9
8305.01,6091.26,5823.9
8306.87,6091.26,5823.9
8303.69,6091.26,5823.9
8297.74,6091.26,5823.9
8286.51,6091.26,5823.9
8276.44,6091.26,5823.9
8274.12,6091.26,5823.9
8281.16,6091.26,5823.9
8286.79,6091.26,5823.9
8282.8,6091.26,5823.9
8279.72,6091.26,5823.9
8278.54,6091.26,5823.9
8275.65,6091.26,5823.9
8273.4,6091.26,5823.9
8265.98,6091.26,5823.9
8256.63,6091.26,5823.9
8250.05,6091.26,5823.9
8249.04,6091.26,5823.9
8240.47,6091.26,5823.9
8240.88,6091.26,5823.9
8244.07,6091.26,5823.9
8243.99,6091.26,5823.9
8248.55,6091.26,5823.9
8250.07,6091.26,5823.9
8240.6,6091.26,5823.9
8229.11,6091.26,5823.9
8222.67,6091.26,5823.9
8214.85,6091.26,5823.9
8210.57,6091.26,5823.9
8212.01,6091.26,5823.9
8214.69,6091.26,5823.9
8209.9,6091.26,5823.9
8206.09,6091.26,5823.9
8200.68,6091.26,5823.9
8189.11,6091.26,5823.9
8160.97,6091.26,5823.9
8129.53,6091.26,5823.9
8107.48,6091.26,5823.9
8101.18,6091.26,5823.9
8093.82,6091.26,5823.9
8075.22,6091.26,5823.9
8063.76,6091.26,5823.9
8051.1,6091.26,5823.9
8040.59,6091.26,5823.9
8025.0599999999995,6091.26,5823.9
8012.08,6091.26,5823.9
7996.65,6091.26,5823.9
7986.98,6091.26,5823.9
7976.93,6091.26,5823.9
7970.3,6091.26,5823.9
7967.83,6091.26,5823.9
7965.82,6091.26,5823.9
7952.52,6091.26,5823.9
7931.55,6091.26,5823.9
7908.57,6091.26,5823.9
7888.79,6091.26,5823.9
7883.24,6091.26,5823.9
7871.43,6091.26,5823.9
7856.9800000000005,6091.26,5823.9
7854.9400000000005,6091.26,5823.9
7853.13,6091.26,5823.9
7857.71,6091.26,5823.9
7856.38,6091.26,5823.9
7853.75,6091.26,5823.9
7844.08,6091.26,5823.9
7824.13,6091.26,5823.9
7814.0,6091.26,5823.9
7803.49,6091.26,5823.9
7802.37,6091.26,5823.9
7809.0,6091.26,5823.9
7816.1900000000005,6091.26,5823.9
7815.4,6091.26,5823.9
7818.63,6091.26,5823.9
7820.0,6091.26,5823.9
7815.7,6091.26,5823.9
7820.64,6091.26,5823.9
7840.37,6091.26,5823.9
7847.85,6091.26,5823.9
7849.03,6091.26,5823.9
7857.900000000001,6091.26,5823.9
7855.32,6091.26,5823.9
7870.74,6091.26,5823.9
7901.88,6091.26,5823.9
7925.21,6091.26,5823.9
7958.31,6091.26,5823.9
7988.57,6091.26,5823.9
8019.09,6091.26,5823.9
8052.87,6091.26,5823.9
8092.39,6091.26,5823.9
8137.63,6091.26,5823.9
8186.8,6091.26,5823.9
8230.710000000001,6091.26,5823.9
8270.65,6091.26,5823.9
8307.01,6091.26,5823.9
8344.82,6091.26,5823.9
8381.42,6091.26,5823.9
8407.99,6091.26,5823.9
8432.35,6091.26,5823.9
8459.28,6091.26,5823.9
8480.42,6091.26,5823.9
8489.22,6091.26,5823.9
8514.52,6091.26,5823.9
8538.62,6091.26,5823.9
8554.3,6091.26,5823.9
8574.66,6091.26,5823.9
8589.04,6091.26,5823.9
8593.27,6091.26,5823.9
8597.47,6091.26,5823.9
8597.74,6091.26,5823.9
8599.81,6091.26,5823.9
8598.99,6091.26,5823.9
8596.45,6091.26,5823.9
8605.61,6091.26,5823.9
8620.04,6091.26,5823.9
8629.99,6091.26,5823.9
8644.65,6091.26,5823.9
8660.03,6091.26,5823.9
8673.56,6091.26,5823.9
8680.87,6091.26,5823.9
8695.75,6091.26,5823.9
8725.68,6091.26,5823.9
8764.22,6091.26,5823.9
8798.26,6091.26,5823.9
8832.42,6091.26,5823.9
