slack_0,non_interrupt,interrupt
11926.17,9307.46,9210.08
11941.18,9281.48,9171.19
11965.32,9240.08,9134.08
11976.64,9195.75,9096.31
11988.59,9157.12,9061.45
12015.19,9132.77,9038.31
12046.09,9086.63,9021.21
12059.99,9055.52,9012.03
12079.81,9045.67,9006.13
12090.87,9045.67,9006.13
12111.32,9045.67,9006.13
12132.0,9045.17,9006.13
12155.19,9045.17,9006.13
12181.2,9045.17,9006.13
12199.37,9045.17,8993.17
12232.09,9045.17,8969.22
12263.85,9045.17,8941.15
12298.710000000001,9045.17,8910.96
12334.17,9045.17,8877.16
12359.66,9045.17,8844.47
12380.54,9045.17,8811.01
12409.59,9045.17,8780.02
12443.880000000001,9045.17,8770.32
12486.960000000001,9045.17,8763.6
12526.86,9045.17,8748.66
12548.64,9045.17,8729.74
12580.210000000001,9045.17,8715.76
12598.89,9045.17,8704.29
12618.47,9045.17,8696.35
12654.5,9045.17,8696.35
12688.42,9045.17,8696.35
12723.130000000001,9045.17,8696.35
12759.2,9045.17,8696.35
12790.95,9045.17,8696.35
12828.81,9045.17,8696.35
12870.98,9045.17,8696.35
12887.16,9045.17,8696.35
12902.55,9045.17,8696.35
12903.84,9045.17,8696.35
12933.62,9045.17,8696.35
12975.81,9045.17,8696.35
13015.98,9045.17,8696.35
13056.59,9045.17,8696.35
13094.1,9045.17,8696.35
13130.04,9045.17,8680.63
13163.72,9045.17,8680.63
13193.48,9045.17,8680.63
13214.62,9045.17,8680.63
13233.1,9045.17,8680.63
13210.41,9045.17,8680.63
13182.69,9045.17,8680.63
13156.62,9045.17,8680.63
13130.64,9045.17,8680.63
13106.3,9045.17,8680.63
13081.33,9045.17,8680.63
13053.58,9045.17,8680.63
13025.74,9045.17,8680.63
13002.19,9045.17,8680.63
12969.54,9045.17,8680.63
12938.69,9045.17,8680.63
12911.960000000001,9045.17,8680.63
12884.89,9045.17,8680.63
12861.25,9045.17,8680.63
12842.15,9045.17,8680.63
12836.05,9045.17,8680.63
12819.97,9045.17,8680.63
12811.42,9045.17,8680.63
12801.03,9045.17,8680.63
12794.07,9045.17,8680.63
12782.79,9045.17,8680.63
12757.79,9045.17,8680.63
12730.06,9045.17,8680.63
12716.79,9045.17,8680.63
12712.61,9045.17,8680.63
12703.94,9045.17,8680.63
12691.59,9045.17,8680.63
12684.31,9045.17,8680.63
12673.07,9045.17,8680.63
12667.49,9045.17,8680.63
12667.23,9045.17,8680.63
12678.04,9045.17,8680.63
12678.57,9045.17,8680.63
12689.83,9045.17,8680.63
12697.48,9045.17,8680.63
12719.91,9045.17,8680.63
12730.22,9045.17,8680.63
12742.08,9045.17,8680.63
12736.27,9045.17,8680.63
12709.5,9045.17,8680.63
12681.4,9045.17,8680.63
12656.4,9045.17,8680.63
12629.56,9045.17,8680.63
12607.63,9045.17,8680.63
12592.3,9045.17,8680.63
12593.27,9045.17,8680.63
12588.58,9045.17,8680.63
12585.42,9045.17,8680.63
12600.55,9045.17,8680.63
12626.1,9045.17,8680.63
12654.53,9045.17,8680.63
12686.98,9045.17,8680.63
12713.61,9045.17,8680.63
12747.92,9045.17,8680.63
12782.65,9045.17,8680.63
12812.57,9045.17,8680.63
12845.92,9045.17,8680.63
12881.29,9045.17,8680.63
12914.05,9045.17,8680.63
12932.97,9045.17,8680.63
12952.9,9045.17,8680.63
12968.67,9045.17,8680.63
12988.710000000001,9045.17,8680.63
12999.62,9045.17,8680.63
13030.72,9045.17,8680.63
13057.89,9045.17,8680.63
13087.5,9045.17,8680.63
13114.91,9045.17,8680.63
13139.06,9045.17,8680.63
13166.47,9045.17,8680.63
13171.56,9045.17,8680.63
13149.02,9045.17,8680.63
13107.04,9045.17,8680.63
13083.61,9045.17,8680.63
13060.7,9045.17,8680.63
13021.39,9045.17,8680.63
12963.9,9045.17,8680.63
12920.11,9045.17,8680.63
12854.460000000001,9045.17,8680.63
12758.64,9045.17,8680.63
12669.8,9045.17,8680.63
12569.56,9045.17,8680.63
12469.710000000001,9045.17,8680.63
12378.49,9045.17,8680.63
12306.84,9045.17,8680.63
12238.53,9045.17,8680.63
12152.57,9045.17,8680.63
12073.29,9045.17,8680.63
11995.78,9045.17,8680.63
11924.0,9045.17,8680.63
11856.55,9045.17,8680.63
11779.5,9045.17,8680.63
11701.64,9045.17,8680.63
11612.75,9045.17,8680.63
11531.49,9045.17,8680.63
11451.5,9045.17,8680.63
11385.85,9045.17,8680.63
11327.76,9045.17,8680.63
11255.44,9045.17,8680.63
11175.86,9045.17,8680.63
11093.32,9045.17,8680.63
10991.84,9045.17,8680.63
10892.37,9045.17,8680.63
10795.7,9045.17,8680.63
10684.7,9045.17,8680.63
10561.5,9045.17,8680.63
10439.5,9045.17,8680.63
10324.97,9045.17,8680.63
10223.14,9045.17,8680.63
10143.56,9045.17,8680.63
10061.02,9045.17,8680.63
9977.74,9045.17,8680.63
9890.77,9045.17,8680.63
9790.8,9045.17,8680.63
9698.43,9045.17,8680.63
9603.25,9045.17,8680.63
9511.32,9045.17,8680.63
9417.65,9045.17,8680.63
9346.04,9045.17,8680.63
9307.460000000001,9045.17,8680.63
9281.48,9045.17,8680.63
9240.08,9045.17,8680.63
9195.75,9045.17,8680.63
9157.12,9045.17,8680.63
9132.77,9045.17,8680.63
9086.63,9045.17,8680.63
9055.52,9045.17,8680.63
9045.67,9045.17,8680.63
9046.11,9045.17,8680.63
9047.15,9045.17,8680.63
9045.17,9045.17,8680.63
9049.86,9049.86,8680.63
9061.08,9061.08,8680.63
9064.72,9064.72,8680.63
9082.12,9082.12,8701.55
9109.79,9109.79,8737.56
9142.62,9142.62,8782.01
9161.66,9161.66,8819.9
9176.7,9176.7,8857.85
9194.7,9194.7,8901.16
9209.98,9209.98,8942.27
9246.37,9246.37,8986.1
9278.97,9278.97,9025.42
9305.59,9304.61,9069.24
9313.7,9304.61,9099.91
9305.35,9304.61,9116.07
9305.68,9304.61,9139.96
9304.61,9304.61,9162.55
9310.74,9310.74,9182.01
9315.87,9315.87,9201.65
9320.63,9320.63,9214.22
9329.13,9329.13,9225.27
9347.47,9347.47,9244.96
9377.18,9377.18,9277.48
9408.75,9408.75,9309.67
9437.61,9437.61,9338.53
9454.93,9454.93,9364.58
9475.98,9475.98,9394.16
9519.49,9519.49,9432.07
9584.34,9584.34,9478.95
9656.89,9656.89,9526.39
9730.67,9730.67,9587.92
9787.81,9787.81,9648.02
9799.41,9799.41,9712.64
9829.07,9829.07,9777.18
9890.93,9890.93,9850.49
9992.56,9992.56,9914.65
10097.82,10097.82,9967.69
10201.95,10201.95,10033.27
10307.789999999999,10307.79,10098.01
10423.119999999999,10423.12,10169.65
10543.18,10543.18,10239.97
10661.0,10661.0,10299.83
10778.47,10778.47,10354.62
10901.05,10901.05,10406.73
11014.46,11014.46,10456.89
11050.43,11050.43,10499.56
11101.96,11101.96,10540.93
11154.45,11154.45,10583.93
11196.31,11196.31,10621.62
11229.2,11229.2,10655.21
11272.52,11272.52,10717.58
11322.24,11322.24,10793.5
11367.7,11367.7,10874.32
11414.21,11414.21,10958.0
11476.81,11476.81,11049.17
11566.69,11566.69,11143.19
11668.02,11668.02,11239.14
11747.82,11747.82,11335.81
11814.02,11814.02,11411.72
11902.54,11902.54,11486.39
12018.92,12018.92,11570.17
12124.66,12124.66,11659.47
12222.21,12222.21,11748.27
12321.17,12321.17,11836.11
12426.37,12426.37,11921.09
12529.76,12529.76,11995.06
12654.96,12654.96,12069.29
12781.99,12781.99,12136.05
12909.44,12909.44,12197.68
13038.97,13038.97,12256.9
13171.66,13171.66,12315.46
13310.61,13310.61,12371.48
13442.01,13442.01,12425.39
13571.6,13571.6,12486.95
13669.64,13669.64,12548.83
13730.56,13730.56,12592.56
13769.36,13769.36,12623.08
13794.59,13794.59,12646.33
13829.26,13829.26,12680.95
13873.91,13873.91,12729.56
13962.29,13962.29,12827.98
14037.56,14037.56,12907.84
14090.18,14090.18,12957.68
14104.06,14104.06,12957.68
14107.32,14107.18,12957.68
14107.18,14107.18,12957.68
14110.8,14110.8,12957.68
14112.69,14112.69,12957.68
14119.37,14117.61,12957.68
14117.61,14117.61,12957.68
14132.65,14132.65,12957.68
14144.09,14144.09,12957.68
14168.77,14168.77,12957.68
14274.17,14274.17,12981.13
14368.07,14368.07,12985.69
14467.99,14418.19,12990.69
14565.39,14418.19,13000.91
14653.77,14418.19,13015.72
14724.48,14418.19,13048.32
14786.56,14418.19,13087.25
14843.96,14418.19,13135.81
14898.17,14418.19,13186.13
14938.08,14418.19,13227.66
14947.68,14418.19,13245.41
14945.22,14418.19,13248.46
14962.29,14418.19,13278.69
14975.92,14418.19,13301.78
14977.03,14418.19,13301.78
14960.77,14418.19,13301.78
14952.39,14418.19,13281.99
14950.57,14418.19,13260.24
14953.66,14418.19,13255.43
14958.14,14418.19,13255.43
14957.43,14418.19,13255.43
14929.57,14418.19,13255.43
14909.07,14418.19,13255.43
14902.4,14418.19,13255.43
14914.96,14418.19,13255.43
14920.39,14418.19,13255.43
14916.49,14418.19,13255.43
14916.36,14418.19,13255.43
14915.41,14418.19,13255.43
14919.4,14418.19,13255.43
14915.09,14418.19,13245.86
14906.36,14418.19,13222.63
14899.38,14418.19,13196.36
14894.41,14418.19,13165.64
14891.67,14418.19,13145.05
14893.09,14418.19,13127.55
14889.52,14418.19,13105.79
14878.02,14418.19,13080.49
14870.04,14418.19,13065.64
14865.46,14404.71,13042.76
14861.69,14381.37,13023.75
14857.84,14349.03,12999.47
14853.37,14331.34,12995.65
14846.06,14311.78,12995.65
14834.08,14273.97,12995.65
14797.74,14236.22,12995.65
14776.2,14191.27,12995.65
14753.25,14140.18,12995.65
14717.69,14096.22,12995.65
14685.78,14044.69,12995.65
14651.22,13995.91,12995.65
14626.26,13951.61,12995.65
14613.14,13905.65,12995.65
14628.2,13874.1,12995.65
14616.19,13824.5,12982.49
14603.710000000001,13770.55,12952.08
14580.69,13714.91,12913.3
14556.97,13659.41,12871.45
14543.49,13612.94,12836.82
14548.2,13572.32,12801.71
14556.460000000001,13526.23,12769.18
14564.2,13470.98,12736.27
14569.26,13416.72,12710.7
14573.85,13372.0,12676.13
14573.45,13372.0,12666.12
14584.04,13372.0,12659.31
14589.64,13372.0,12657.46
14583.54,13372.0,12657.46
14562.460000000001,13372.0,12657.46
14561.65,13372.0,12657.46
14554.69,13372.0,12657.46
14534.82,13372.0,12657.46
14503.4,13372.0,12657.46
14482.63,13372.0,12657.46
14465.92,13372.0,12657.46
14431.26,13372.0,12657.46
14425.55,13372.0,12657.46
14424.22,13372.0,12657.46
14432.57,13372.0,12657.46
14443.09,13372.0,12657.47
14443.57,13372.0,12652.38
14441.5,13372.0,12644.3
14438.45,13372.0,12634.86
