slack_0,non_interrupt,interrupt
24580.63,24522.88,22754.4
24569.42,24522.88,22754.4
24555.63,24522.88,22753.32
24548.96,24522.88,22750.8
24545.65,24522.88,22754.28
24537.989999999998,24522.88,22752.72
24529.73,24522.88,22750.23
24522.88,24522.88,22748.66
24532.489999999998,24532.49,22756.48
24537.489999999998,24537.49,22756.48
24543.71,24543.71,22756.48
24551.46,24551.46,22756.48
24556.579999999998,24551.54,22756.48
24562.53,24551.54,22756.48
24567.149999999998,24551.54,22756.48
24567.989999999998,24551.54,22756.48
24561.739999999998,24551.54,22756.48
24555.6,24551.54,22756.48
24551.54,24551.54,22756.48
24552.32,24552.32,22756.48
24554.03,24554.03,22756.48
24556.39,24556.39,22756.48
24558.829999999998,24558.83,22756.48
24563.73,24563.73,22756.48
24565.55,24565.55,22756.48
24575.73,24575.73,22756.48
24599.04,24599.04,22781.96
24626.26,24626.26,22822.5
24646.64,24646.64,22862.31
24662.47,24662.47,22900.21
24681.75,24681.75,22936.7
24701.62,24685.31,22971.42
24704.86,24685.31,22990.07
24714.55,24685.31,22990.07
24723.149999999998,24685.31,22990.07
24734.0,24685.31,22990.07
24745.76,24685.31,22990.07
24761.399999999998,24685.31,22990.07
24771.66,24685.31,22990.07
24770.88,24685.31,22990.07
24767.85,24685.31,22990.07
24769.63,24685.31,22990.07
24774.21,24685.31,22990.07
24779.7,24685.31,22990.07
24781.47,24685.31,22990.07
24784.03,24685.31,22990.07
24791.42,24685.31,22990.07
24805.48,24685.31,22990.07
24821.32,24685.31,22990.07
24845.27,24685.31,22990.07
24880.89,24685.31,22995.05
24925.43,24685.31,23018.15
24974.41,24685.31,23054.03
25027.399999999998,24685.31,23097.46
25075.69,24685.31,23145.75
25114.84,24685.31,23182.44
25145.12,24685.31,23193.91
25160.34,24685.31,23193.91
25168.98,24685.31,23193.91
25177.329999999998,24685.31,23193.91
25187.36,24685.31,23193.91
25195.03,24685.31,23193.91
25202.23,24685.31,23193.91
25207.67,24685.31,23193.91
25214.51,24685.31,23193.91
25219.43,24685.31,23193.91
25217.84,24685.31,23193.91
25209.84,24685.31,23193.91
25200.68,24685.31,23193.91
25190.25,24685.31,23193.91
25180.95,24685.31,23193.91
25173.31,24685.31,23193.91
