slack_0,non_interrupt,interrupt
9923.43,9923.43,9864.72
9935.94,9935.94,9883.55
9951.2,9951.2,9900.23
9973.58,9973.58,9917.77
10007.28,10007.28,9940.41
10053.68,10053.68,9970.88
10105.83,10105.83,10003.82
10156.87,10156.87,10040.06
10208.11,10208.11,10073.28
10238.96,10238.96,10105.86
10263.59,10263.59,10140.26
10302.06,10302.06,10174.91
10343.75,10343.75,10205.66
10395.26,10395.26,10238.65
10458.56,10458.56,10272.61
10527.19,10527.19,10312.41
10583.47,10583.47,10358.15
10605.74,10605.74,10405.31
10631.39,10631.39,10455.86
10648.16,10648.16,10502.27
10657.13,10657.13,10548.39
10661.29,10661.29,10587.31
10676.12,10676.12,10627.39
10704.33,10704.33,10674.37
10744.7,10744.7,10724.28
10797.45,10797.45,10772.23
10867.32,10867.32,10831.19
10937.38,10937.38,10893.97
11004.78,11004.78,10954.95
11084.81,11084.81,11024.73
11163.09,11163.09,11086.57
11234.66,11234.66,11145.5
11293.26,11293.26,11200.2
11353.83,11353.83,11253.69
11410.96,11410.96,11306.98
11470.16,11470.16,11360.63
11551.13,11551.13,11415.8
11645.33,11645.33,11469.12
11745.16,11745.16,11531.88
11825.53,11825.53,11591.03
11897.39,11897.39,11645.85
11973.34,11973.34,11695.92
12050.98,12050.98,11746.83
12109.2,12109.2,11789.47
12159.95,12159.95,11828.97
12222.99,12222.99,11869.66
12306.74,12306.74,11917.58
12397.07,12397.07,11977.64
12475.78,12475.78,12039.98
12548.18,12548.18,12100.49
12611.41,12611.41,12156.2
12673.22,12673.22,12205.29
12740.74,12740.74,12246.97
12800.3,12800.3,12281.31
12846.880000000001,12846.88,12311.99
12888.85,12888.85,12345.46
12920.59,12920.59,12375.34
12967.4,12967.4,12424.24
13023.78,13023.78,12479.78
13073.17,13073.17,12521.68
13117.61,13117.61,12556.06
13155.75,13155.75,12580.19
13199.93,13199.93,12593.36
13241.4,13241.4,12605.36
13282.49,13282.49,12633.88
13356.68,13356.68,12696.62
13422.29,13422.29,12759.96
13470.73,13470.73,12826.37
13513.38,13513.38,12896.96
13556.64,13556.64,12962.34
13603.81,13603.81,13017.35
13654.9,13654.9,13064.99
13693.82,13693.82,13100.07
13720.91,13720.91,13119.26
13753.88,13753.88,13130.71
13798.24,13798.24,13145.64
13841.78,13841.78,13161.67
13873.75,13873.75,13173.92
13903.24,13903.24,13179.08
13940.99,13940.99,13187.27
13990.1,13990.1,13204.08
14042.63,14042.63,13217.54
14104.86,14042.66,13233.83
14171.43,14042.66,13247.59
14209.46,14042.66,13247.59
14221.33,14042.66,13247.59
14243.07,14042.66,13247.59
14283.67,14042.66,13247.59
14309.46,14042.66,13248.23
14296.0,14042.66,13248.23
14261.99,14042.66,13248.23
14239.57,14042.66,13249.92
14237.97,14042.66,13255.48
14230.62,14042.66,13255.48
14228.85,14042.66,13255.48
14242.55,14042.66,13255.48
14275.05,14042.66,13255.48
14310.91,14042.66,13258.85
14352.17,14042.66,13266.29
14387.8,14042.66,13268.88
14409.69,14042.66,13268.88
14431.28,14042.66,13268.88
14453.02,14042.66,13268.88
14476.16,14042.66,13275.01
14505.08,14042.66,13287.95
14537.41,14042.66,13304.86
14573.5,14042.66,13318.3
14620.74,14042.66,13324.44
14664.64,14042.66,13328.6
14693.92,14042.66,13328.6
14744.9,14042.66,13328.6
14788.46,14042.66,13328.6
14831.25,14042.66,13320.6
14859.5,14042.66,13304.3
14872.63,14042.66,13295.61
14893.04,14042.66,13305.23
14916.78,14042.66,13325.35
14941.84,14042.66,13350.27
14969.95,14042.66,13365.36
15008.67,14042.66,13369.81
15056.56,14042.66,13373.49
15112.46,14042.66,13373.49
15162.3,14042.66,13373.49
15208.27,14042.66,13373.49
15263.64,14042.66,13373.49
15336.26,14042.66,13373.49
15405.42,14042.66,13373.49
15475.93,14042.66,13373.49
15548.4,14042.66,13373.49
15608.47,14042.66,13373.49
15656.08,14042.66,13373.49
15684.960000000001,14042.66,13373.49
15721.83,14042.66,13373.49
15752.06,14042.66,13373.49
15779.48,14042.66,13373.49
15782.26,14042.66,13373.49
15780.48,14042.66,13373.49
15781.11,14042.66,13383.56
15793.87,14042.66,13413.7
15793.84,14042.66,13443.32
15771.99,14042.66,13457.06
15753.0,14042.66,13465.32
15737.880000000001,14042.66,13465.32
15742.68,14042.66,13465.32
15749.08,14042.66,13465.32
15760.32,14042.66,13465.32
15768.36,14042.66,13465.32
15763.630000000001,14042.66,13465.32
15761.73,14042.66,13465.32
15764.380000000001,14042.66,13465.32
15757.44,14042.66,13465.32
15745.06,14042.66,13465.32
15731.66,14042.66,13465.32
15715.82,14042.66,13465.32
15693.95,14042.66,13465.32
15645.6,14042.66,13465.32
15585.72,14042.66,13465.32
15533.85,14042.66,13465.32
15435.710000000001,14042.66,13465.32
15348.29,14042.66,13465.32
15280.1,14042.66,13465.32
15230.62,14042.66,13465.32
15208.28,14042.66,13465.32
15197.9,14042.66,13476.63
15193.56,14042.66,13494.45
15184.27,14042.66,13506.07
15163.22,14042.66,13506.07
15133.74,14042.66,13506.07
15092.32,14042.66,13506.07
15035.97,14042.66,13506.07
14972.78,14042.66,13506.07
14904.43,14042.66,13506.07
14823.68,14042.66,13506.07
14731.460000000001,14042.66,13506.07
14640.91,14042.66,13506.07
14542.9,14042.66,13506.07
14438.08,14042.66,13506.07
14342.47,14042.66,13506.07
14258.53,14042.66,13506.07
14201.75,14042.66,13506.07
14155.72,14042.66,13506.07
14127.47,14042.66,13506.07
14101.77,14042.66,13506.07
14079.69,14042.66,13506.07
14060.09,14042.66,13506.07
14063.6,14042.66,13521.51
14061.16,14042.66,13545.75
14065.06,14042.66,13586.92
14071.95,14042.66,13633.13
14076.36,14042.66,13671.74
14076.19,14042.66,13687.33
14059.14,14042.66,13687.33
14044.52,14042.66,13687.33
14042.66,14042.66,13687.33
14044.4,14044.4,13687.33
14066.02,14066.02,13687.33
14097.91,14097.91,13687.33
14108.98,14108.98,13687.33
14134.29,14134.29,13688.74
14177.12,14177.12,13701.07
14229.27,14229.27,13715.79
14289.11,14289.11,13734.3
14361.52,14361.52,13753.97
14439.05,14439.05,13781.7
14523.630000000001,14523.63,13821.66
14603.8,14603.8,13864.05
14696.16,14696.16,13913.61
14790.76,14790.76,13959.5
14871.86,14871.86,14004.91
14941.5,14941.5,14047.3
14996.25,14996.25,14072.52
15035.24,15035.24,14093.09
15074.47,15074.47,14106.82
15117.56,15117.56,14115.4
15179.19,15179.19,14145.6
15252.78,15252.78,14162.7
15312.83,15312.83,14181.66
15380.460000000001,15380.46,14204.07
15449.89,15449.89,14226.1
15522.51,15522.51,14251.59
15598.76,15598.76,14282.91
15688.66,15666.22,14316.44
15788.61,15666.22,14347.18
15889.55,15666.22,14379.85
15984.81,15666.22,14415.74
16071.7,15666.22,14448.05
16149.44,15666.22,14474.67
16208.6,15666.22,14487.81
16259.98,15666.22,14494.92
16311.8,15666.22,14502.18
16354.39,15666.22,14503.05
16414.66,15666.22,14521.41
16483.28,15666.22,14560.88
16527.71,15666.22,14593.38
16565.99,15666.22,14624.77
16597.0,15666.22,14649.05
16628.69,15666.22,14669.69
16663.22,15666.22,14694.01
16704.49,15666.22,14725.54
16745.41,15666.22,14751.78
16788.7,15666.22,14769.51
16823.38,15666.22,14771.05
16857.93,15666.22,14771.05
16889.71,15666.22,14771.05
16908.15,15666.22,14771.05
16926.39,15666.22,14771.05
16951.64,15666.22,14767.44
16976.81,15666.22,14756.92
17006.65,15666.22,14746.43
17042.95,15666.22,14742.12
17063.9,15666.22,14740.24
17075.11,15666.22,14739.02
17087.86,15666.22,14739.02
17109.81,15666.22,14739.02
17123.67,15666.22,14739.02
17132.93,15666.22,14739.02
17146.84,15666.22,14739.02
17150.19,15666.22,14739.02
17154.51,15666.22,14739.02
17179.28,15666.22,14755.99
17202.99,15666.22,14773.24
17221.6,15666.22,14784.83
17230.91,15666.22,14784.83
17238.09,15666.22,14784.83
17267.04,15666.22,14784.83
17285.28,15666.22,14784.83
17286.84,15666.22,14784.83
17272.84,15666.22,14784.83
17249.61,15666.22,14784.83
17207.83,15666.22,14784.83
17149.33,15666.22,14784.83
17091.32,15666.22,14784.83
17041.49,15666.22,14784.83
16997.61,15666.22,14784.83
16971.91,15666.22,14784.83
16956.54,15666.22,14784.83
16929.03,15666.22,14784.83
16896.9,15666.22,14784.83
16862.97,15666.22,14784.83
16802.57,15666.22,14784.83
16726.63,15666.22,14784.83
16670.54,15666.22,14785.78
16634.99,15666.22,14806.38
16610.75,15666.22,14840.09
16588.25,15666.22,14875.37
16567.53,15666.22,14901.8
16547.01,15666.22,14903.87
16519.04,15666.22,14903.87
16461.93,15666.22,14903.87
16411.75,15666.22,14903.87
16366.27,15666.22,14903.87
16320.23,15666.22,14903.87
16259.07,15666.22,14903.87
16212.15,15666.22,14903.87
16170.19,15666.22,14903.87
16119.95,15666.22,14903.87
16051.64,15666.22,14903.87
15980.25,15666.22,14903.87
15935.9,15666.22,14903.87
15899.74,15666.22,14903.87
15863.68,15666.22,14903.87
15833.43,15666.22,14903.87
15824.15,15666.22,14903.87
15809.8,15666.22,14903.87
15768.95,15666.22,14903.87
15731.68,15666.22,14903.87
15704.94,15666.22,14903.87
15686.0,15666.22,14903.87
15682.82,15666.22,14903.87
15687.22,15666.22,14903.87
15690.15,15666.22,14903.87
15680.9,15666.22,14903.87
15668.77,15666.22,14903.87
15666.22,15666.22,14903.87
15691.31,15691.31,14903.87
15734.25,15734.25,14903.87
15784.51,15784.51,14903.87
15838.369999999999,15838.37,14903.87
15894.89,15894.89,14909.78
15948.48,15948.48,14916.47
15999.69,15999.69,14922.83
16055.24,16055.24,14930.6
16101.94,16101.94,14930.6
16137.96,16137.96,14930.6
16173.88,16173.88,14930.6
16205.34,16199.3,14930.6
16199.3,16199.3,14934.02
16230.06,16230.06,14963.73
16297.96,16297.96,15022.74
16380.33,16380.33,15090.76
16462.95,16462.95,15149.81
16542.35,16542.35,15199.26
16621.53,16621.53,15242.57
16692.44,16692.44,15279.85
16754.62,16754.62,15299.71
16813.94,16768.97,15328.19
16892.04,16768.97,15375.12
16958.15,16768.97,15407.47
17012.62,16768.97,15434.2
17060.64,16768.97,15459.4
17130.32,16768.97,15500.95
17200.43,16768.97,15545.43
17274.21,16768.97,15572.83
17350.06,16768.97,15606.14
17436.65,16768.97,15650.64
17521.9,16768.97,15687.16
17581.12,16768.97,15698.79
17647.88,16768.97,15714.83
17715.69,16768.97,15734.83
17770.88,16768.97,15746.36
17812.59,16768.97,15746.36
17858.21,16768.97,15746.36
17929.8,16768.97,15777.61
18000.15,16768.97,15809.36
18067.03,16768.97,15828.65
18122.98,16768.97,15830.81
18163.29,16768.97,15811.45
18193.92,16768.97,15784.08
18229.76,16768.97,15762.99
18256.69,16768.97,15762.99
18265.36,16768.97,15762.99
18263.63,16768.97,15762.99
18251.23,16768.97,15762.99
18231.8,16768.97,15762.99
18225.16,16768.97,15762.99
18242.01,16768.97,15762.99
18258.03,16768.97,15761.78
18274.78,16768.97,15753.68
18297.06,16768.97,15747.36
18314.73,16768.97,15747.36
18312.79,16768.97,15747.36
18311.68,16768.97,15747.36
18309.01,16768.97,15747.36
18310.16,16768.97,15747.36
18365.5,16768.97,15767.78
18408.59,16768.97,15777.9
18420.01,16768.97,15779.26
18382.5,16768.97,15755.07
18324.58,16768.97,15718.81
18266.16,16768.97,15673.62
18199.99,16768.97,15629.28
18128.51,16768.97,15590.73
18068.02,16768.97,15569.93
18041.57,16768.97,15566.9
18034.24,16768.97,15566.9
18034.74,16768.97,15566.9
18037.37,16768.97,15566.9
18044.47,16768.97,15566.9
18053.24,16768.97,15566.9
18070.32,16768.97,15555.69
18084.18,16768.97,15539.12
18099.01,16768.97,15524.25
18107.37,16768.97,15516.73
18105.69,16768.97,15516.73
18093.62,16768.97,15516.73
18073.25,16768.97,15516.73
18045.12,16768.97,15516.73
18023.16,16768.97,15516.73
18004.83,16768.97,15516.73
17996.0,16768.97,15516.73
17961.09,16768.97,15516.73
17902.73,16768.97,15508.65
17832.7,16768.97,15482.64
17749.03,16768.97,15441.37
17661.13,16768.97,15400.75
17584.06,16768.97,15364.32
17513.64,16768.97,15346.02
17466.49,16768.97,15346.02
17447.28,16768.97,15346.02
17439.94,16768.97,15346.02
17431.0,16768.97,15346.02
17421.65,16768.97,15346.02
17389.86,16768.97,15346.02
17323.1,16768.97,15346.02
17247.0,16768.97,15346.02
17166.58,16768.97,15346.02
17082.16,16768.97,15346.02
17002.5,16768.97,15346.02
16938.09,16768.97,15346.02
16876.7,16768.97,15346.02
16839.0,16768.97,15346.02
16828.43,16768.97,15346.02
16807.31,16768.97,15346.02
16779.65,16768.97,15346.02
16768.97,16768.97,15346.02
16800.05,16800.05,15364.56
16845.53,16845.53,15376.6
16900.34,16900.34,15381.64
16965.24,16907.11,15389.74
17040.76,16897.71,15408.32
17101.5,16887.67,15415.38
17121.56,16882.42,15415.38
17116.06,16855.94,15415.38
17100.63,16832.1,15415.38
17092.56,16806.35,15415.38
17084.08,16782.85,15415.38
17079.48,16776.57,15415.38
17068.52,16776.57,15415.38
17048.55,16776.57,15415.38
17030.29,16776.57,15415.38
17020.06,16776.57,15415.38
17012.99,16776.57,15415.38
17018.87,16776.57,15415.38
17035.52,16776.57,15415.38
17058.41,16776.57,15415.38
17084.99,16776.57,15415.38
17103.39,16776.57,15415.38
17109.25,16776.57,15415.38
17137.13,16776.57,15415.38
17206.46,16776.57,15438.88
17286.51,16776.57,15476.8
17374.25,16776.57,15529.95
17464.47,16776.57,15588.99
17546.04,16776.57,15638.32
17599.23,16776.57,15662.04
17617.06,16776.57,15662.04
17624.85,16776.57,15662.04
17629.13,16776.57,15662.04
17633.15,16776.57,15662.04
17640.53,16776.57,15662.04
17662.25,16776.57,15662.04
17705.2,16776.57,15669.99
17768.78,16776.57,15689.67
17838.63,16776.57,15715.13
17909.42,16776.57,15741.12
