slack_0,non_interrupt,interrupt
16136.24,16136.24,15568.39
16166.8,16166.8,15568.39
16181.36,16181.36,15568.39
16183.01,16182.52,15568.39
16182.52,16182.52,15568.39
16186.07,16186.07,15568.39
16209.37,16209.37,15576.12
16237.8,16237.8,15590.09
16263.15,16263.15,15602.97
16288.01,16288.01,15621.9
16313.21,16313.21,15643.8
16338.43,16338.43,15664.29
16361.62,16361.62,15681.17
16399.56,16399.56,15697.53
16450.95,16450.95,15722.71
16506.31,16506.31,15757.29
16576.95,16576.95,15812.18
16645.08,16645.08,15873.48
16690.09,16690.09,15925.93
16739.29,16739.29,15985.11
16767.65,16767.65,16034.3
16785.18,16785.18,16081.43
16800.88,16800.88,16100.09
16839.71,16839.71,16110.13
16874.08,16874.08,16117.69
16902.35,16902.35,16125.13
16929.7,16929.7,16128.4
16940.88,16940.88,16128.4
16951.86,16951.86,16128.4
16992.05,16992.05,16131.19
17055.19,17055.19,16141.12
17116.18,17116.18,16151.61
17180.34,17180.34,16167.84
17248.45,17248.45,16186.94
17316.02,17316.02,16210.16
17382.24,17382.24,16239.31
17450.27,17450.27,16263.91
17518.79,17518.79,16284.69
17578.08,17578.08,16325.48
17614.97,17584.7,16380.98
17623.18,17584.7,16417.28
17622.76,17584.7,16441.19
17632.81,17584.7,16483.85
17635.82,17584.7,16525.02
17611.65,17584.7,16539.69
17584.7,17584.7,16545.19
17592.55,17592.55,16545.19
17628.46,17628.46,16545.19
17661.83,17661.83,16545.19
17688.76,17688.76,16545.19
17710.65,17710.65,16545.19
17738.42,17738.42,16548.15
17772.42,17772.42,16556.93
17808.1,17808.1,16567.89
17853.26,17853.26,16578.18
17902.51,17902.51,16589.49
17952.5,17952.5,16603.22
18007.26,18007.26,16623.43
18066.86,18066.86,16646.35
18119.32,18119.32,16668.41
18164.25,18164.25,16687.92
18189.62,18189.62,16692.25
18203.55,18197.89,16692.25
18207.9,18197.89,16679.22
18227.05,18197.89,16663.19
18237.4,18197.89,16678.02
18235.21,18197.89,16700.72
18213.99,18197.89,16733.47
18199.48,18197.89,16774.06
18197.89,18197.89,16825.23
18207.62,18207.62,16848.79
18229.0,18229.0,16848.79
18261.44,18261.44,16848.79
18300.22,18300.22,16848.79
18334.16,18334.16,16848.79
18371.83,18357.35,16850.68
18409.45,18357.35,16858.18
18419.81,18357.35,16858.18
18411.94,18357.35,16858.18
18406.16,18357.35,16858.18
18403.61,18357.35,16858.18
18400.65,18357.35,16858.18
18404.09,18357.35,16858.18
18417.83,18357.35,16858.18
18414.51,18357.35,16858.18
18415.38,18357.35,16858.18
18424.71,18357.35,16858.18
18420.21,18357.35,16889.95
18406.36,18357.35,16931.87
18387.88,18357.35,16974.98
18376.03,18357.35,17022.13
18367.71,18357.35,17071.57
18361.93,18357.35,17120.33
18357.35,18357.35,17167.25
18358.66,18358.66,17170.99
18373.42,18373.42,17170.99
18396.95,18396.95,17170.99
18430.29,18430.29,17170.99
18469.44,18469.44,17170.99
