slack_0,non_interrupt,interrupt
22580.7,16015.7,15591.3
22550.25,16015.7,15591.3
22492.170000000002,16015.7,15591.3
22460.16,16015.7,15591.3
22435.39,16015.7,15591.3
22385.47,16015.7,15591.3
22308.65,16015.7,15591.3
22199.14,16015.7,15591.3
22102.91,16015.7,15591.3
22019.010000000002,16015.7,15591.3
21943.77,16015.7,15591.3
21875.79,16015.7,15591.3
21775.77,16015.7,15591.3
21653.22,16015.7,15591.3
21526.34,16015.7,15591.3
21384.83,16015.7,15591.3
21229.68,16015.7,15591.3
21074.14,16015.7,15591.3
20893.29,16015.7,15591.3
20727.91,16015.7,15591.3
20586.72,16015.7,15591.3
20455.76,16015.7,15591.3
20332.44,16015.7,15591.3
20214.58,16015.7,15591.3
20159.36,16015.7,15591.3
20170.44,16015.7,15591.3
20174.06,16015.7,15591.3
20167.27,16015.7,15591.3
20139.87,16015.7,15591.3
20106.36,16015.7,15591.3
20051.95,16015.7,15591.3
19962.38,16015.7,15591.3
19852.93,16015.7,15591.3
19711.79,16015.7,15591.3
19565.04,16015.7,15591.3
19412.44,16015.7,15591.3
19311.14,16015.7,15591.3
19276.21,16015.7,15591.3
19273.43,16015.7,15591.3
19278.9,16015.7,15591.3
19214.98,16015.7,15591.3
19103.14,16015.7,15591.3
18976.7,16015.7,15591.3
18842.12,16015.7,15591.3
18716.91,16015.7,15591.3
18591.49,16015.7,15591.3
18466.18,16015.7,15591.3
18346.09,16015.7,15591.3
18226.61,16015.7,15591.3
18099.4,16015.7,15591.3
17977.74,16015.7,15591.3
17861.96,16015.7,15591.3
17754.95,16015.7,15591.3
17679.23,16015.7,15591.3
17645.87,16015.7,15591.3
17624.43,16015.7,15591.3
17612.7,16015.7,15591.3
17593.15,16015.7,15591.3
17546.66,16015.7,15591.3
17569.27,16015.7,15591.3
17613.03,16015.7,15591.3
17683.04,16015.7,15591.3
17787.04,16015.7,15591.3
17894.85,16015.7,15591.3
18021.45,16015.7,15591.3
18125.73,16015.7,15591.3
18203.17,16015.7,15595.31
18258.34,16015.7,15601.55
18285.21,16015.7,15608.51
18294.1,16015.7,15616.08
18281.2,16015.7,15620.13
18263.21,16015.7,15620.13
18245.45,16015.7,15620.13
18237.91,16015.7,15620.13
18236.92,16015.7,15620.13
18237.85,16015.7,15620.13
18241.0,16015.7,15620.13
18241.59,16015.7,15620.13
18251.05,16015.7,15620.13
18258.49,16015.7,15620.13
18275.36,16015.7,15626.68
18278.89,16015.7,15628.6
18283.62,16015.7,15631.76
18287.12,16015.7,15634.63
18294.95,16015.7,15636.09
18321.18,16015.7,15636.09
18329.59,16015.7,15636.09
18371.76,16015.7,15636.09
18429.69,16015.7,15636.09
18514.08,16015.7,15650.91
18610.15,16015.7,15673.27
18729.72,16015.7,15696.75
18861.8,16015.7,15725.77
19011.08,16015.7,15757.13
19169.03,16015.7,15781.46
19300.44,16015.7,15794.75
19409.75,16015.7,15794.75
19500.15,16015.7,15794.75
19567.9,16015.7,15794.75
19602.42,16015.7,15794.75
19648.25,16015.7,15794.75
19697.03,16015.7,15794.75
19723.72,16015.7,15794.75
19752.13,16015.7,15794.75
19743.43,16015.7,15794.75
19686.52,16015.7,15794.75
19630.2,16015.7,15794.75
19499.72,16015.7,15794.75
19374.78,16015.7,15794.75
19247.9,16015.7,15794.75
19103.1,16015.7,15794.75
18959.44,16015.7,15794.75
18805.49,16015.7,15794.75
18651.69,16015.7,15794.75
18531.579999999998,16015.7,15794.75
18432.85,16015.7,15794.75
18362.239999999998,16015.7,15794.75
18309.37,16015.7,15803.93
18272.9,16015.7,15831.99
18238.51,16015.7,15861.73
18202.01,16015.7,15870.93
18170.579999999998,16015.7,15870.93
18146.79,16015.7,15870.93
18123.26,16015.7,15870.93
18094.739999999998,16015.7,15870.93
18057.46,16015.7,15870.93
18011.68,16015.7,15870.93
17964.829999999998,16015.7,15881.57
17915.71,16015.7,15897.18
17878.51,16015.7,15921.25
17841.91,16015.7,15945.04
17806.78,16015.7,15969.09
17768.63,16015.7,15987.68
17710.9,16015.7,15987.68
17643.67,16015.7,15987.68
17561.55,16015.7,15987.68
17479.56,16015.7,15987.68
17374.69,16015.7,15987.68
17250.96,16015.7,15987.68
17110.22,16015.7,15987.68
16995.22,16015.7,15987.68
16853.64,16015.7,15987.68
16682.65,16015.7,15987.68
16523.21,16015.7,15987.68
16389.17,16015.7,15987.68
16291.49,16015.7,15987.68
16222.49,16015.7,15987.68
16189.26,16015.7,15987.68
16139.6,16015.7,15987.68
16095.58,16015.7,15987.68
16062.99,16015.7,15987.68
16031.6,16015.7,15987.68
16015.7,16015.7,15991.21
16057.76,16057.76,16040.16
16120.8,16120.8,16107.92
16182.28,16182.28,16174.36
16236.289999999999,16236.29,16234.79
16293.68,16293.68,16293.68
16354.85,16354.85,16354.85
16405.88,16405.88,16405.88
16521.83,16521.83,16512.49
16666.05,16666.05,16666.05
16825.86,16825.86,16825.86
17023.16,17023.16,16996.64
17260.64,17260.64,17168.11
17503.78,17503.78,17340.01
17744.81,17744.81,17518.9
17984.26,17984.26,17700.83
18220.05,18220.05,17865.83
18458.49,18458.49,18006.65
18691.91,18691.91,18131.84
18936.25,18936.25,18257.34
19182.43,19182.43,18387.93
19435.75,19435.75,18530.0
19695.78,19695.78,18684.75
19966.35,19966.35,18863.94
20215.4,20215.4,19047.97
20460.47,20460.47,19228.68
20716.24,20716.24,19409.98
20970.04,20970.04,19590.64
21211.3,21211.3,19768.36
21441.65,21441.65,19941.05
21680.83,21680.83,20117.79
21904.02,21904.02,20267.83
22132.24,22132.24,20422.82
22393.66,22393.66,20605.06
22676.83,22676.83,20781.73
22963.2,22963.2,20948.25
23217.94,23217.94,21080.68
23482.58,23482.58,21222.08
23763.7,23763.7,21376.28
24047.18,24047.18,21533.34
24290.98,24290.98,21679.43
24490.89,24490.89,21800.46
24674.73,24635.19,21919.42
24835.72,24635.19,22039.53
24980.49,24635.19,22156.38
25118.78,24635.19,22254.92
25267.88,24635.19,22339.22
25411.15,24635.19,22398.1
25558.79,24635.19,22456.93
25711.14,24635.19,22501.88
25855.8,24635.19,22543.15
26002.38,24635.19,22583.72
26143.57,24635.19,22625.25
26287.93,24635.19,22664.13
26417.63,24635.19,22731.89
26530.33,24635.19,22809.22
26594.79,24635.19,22852.16
26658.31,24635.19,22904.67
26700.84,24635.19,22943.63
26706.3,24635.19,22941.12
26673.0,24635.19,22941.12
26634.93,24635.19,22941.12
26602.83,24635.19,22941.12
26578.99,24635.19,22941.12
26565.76,24635.19,22941.12
26535.0,24635.19,22925.05
26473.01,24635.19,22914.83
26397.26,24635.19,22907.98
26311.86,24505.19,22907.98
26239.01,24367.05,22903.2
26166.7,24254.55,22903.2
26096.08,24125.58,22903.2
26024.09,23983.78,22898.51
25958.69,23841.66,22895.19
25887.31,23762.39,22895.19
25838.63,23678.35,22892.36
25828.38,23600.84,22885.52
25807.6,23566.56,22875.15
25801.98,23556.22,22864.39
25824.83,23546.2,22855.48
25855.39,23512.35,22837.77
25881.72,23457.49,22802.29
25875.37,23444.26,22770.56
25844.34,23434.23,22738.96
25812.07,23421.8,22707.79
25770.08,23412.81,22679.04
25698.38,23400.15,22647.05
25657.14,23386.29,22613.15
25657.1,23364.75,22591.78
25682.23,23342.11,22590.86
25723.56,23305.41,22589.27
25791.04,23297.31,22589.27
25873.84,23297.31,22589.27
25965.02,23297.31,22589.27
26053.76,23297.31,22589.27
26158.85,23297.31,22589.27
26245.49,23297.31,22589.27
26317.66,23297.31,22589.27
26404.17,23297.31,22589.27
26495.17,23297.31,22589.27
26593.03,23297.31,22589.27
26677.48,23297.31,22589.27
26765.99,23297.31,22589.27
26851.21,23297.31,22589.27
26930.15,23297.31,22589.27
27011.71,23297.31,22589.27
27103.63,23297.31,22589.27
27199.420000000002,23297.31,22589.27
27296.54,23297.31,22589.27
27395.13,23297.31,22589.27
27491.9,23297.31,22589.27
27572.72,23297.31,22589.27
27638.5,23297.31,22589.27
27689.34,23297.31,22589.27
27759.75,23297.31,22589.27
27820.65,23297.31,22589.27
27886.9,23297.31,22589.27
27904.87,23297.31,22589.27
27888.37,23297.31,22553.7
27872.94,23297.31,22493.21
27885.2,23297.31,22425.7
27893.87,23297.31,22372.64
27892.63,23297.31,22307.67
27869.65,23297.31,22241.72
27817.53,23297.31,22192.32
27781.170000000002,23297.31,22172.49
27725.69,23297.31,22171.18
27627.84,23297.31,22171.18
27506.31,23297.31,22171.18
27395.6,23297.31,22171.18
27323.21,23297.31,22161.09
27233.12,23297.31,22142.09
27149.56,23297.31,22101.24
27074.46,23297.31,22077.39
27024.84,23297.31,22030.39
26966.69,23297.31,21993.01
26902.15,23297.31,21993.01
26836.99,23297.31,21993.01
26750.21,23297.31,21993.01
26646.13,23297.31,21993.01
26540.3,23297.31,21993.01
26432.29,23297.31,21993.01
26342.02,23297.31,21993.01
26270.23,23297.31,21993.01
26182.28,23297.31,21993.01
26084.670000000002,23297.31,21993.01
25980.71,23297.31,21993.01
25902.6,23297.31,21993.01
25791.420000000002,23297.31,21993.01
25680.2,23297.31,21993.01
25564.25,23297.31,21993.01
25451.88,23297.31,21993.01
25343.3,23297.31,21993.01
25235.0,23297.31,21993.01
25110.85,23297.31,21993.01
24993.47,23297.31,21993.01
24863.39,23297.31,21973.19
24731.45,23297.31,21942.66
24636.510000000002,23297.31,21903.15
24635.19,23297.31,21856.27
24675.94,23297.31,21844.77
24719.16,23297.31,21844.77
24762.010000000002,23287.8,21844.77
24819.68,23193.88,21830.74
24869.16,23123.18,21805.61
24893.8,23021.2,21728.9
24935.98,22927.96,21614.27
24990.51,22856.75,21497.46
24992.78,22803.2,21387.25
24994.31,22742.21,21290.28
25046.25,22716.63,21216.78
25134.34,22700.82,21152.8
25212.96,22700.58,21120.36
25275.57,22695.73,21112.0
25309.54,22679.1,21112.0
25358.79,22672.89,21112.0
25415.02,22619.79,21090.84
25485.4,22568.88,21067.18
25515.89,22531.4,21039.39
25598.16,22515.57,21024.06
25679.6,22515.57,21008.78
25787.41,22509.07,20991.69
25918.69,22509.07,20971.31
26057.76,22509.07,20956.32
26180.079999999998,22489.78,20956.32
26284.09,22454.85,20956.32
26409.53,22422.13,20956.32
26553.38,22333.75,20929.66
26690.43,22249.07,20904.49
26818.96,22185.22,20888.55
26908.9,22088.9,20837.14
27002.44,21953.17,20754.86
27133.69,21816.57,20650.58
27272.55,21660.14,20543.1
27380.38,21490.7,20425.33
27425.12,21326.57,20312.83
27491.03,21173.49,20207.42
27515.0,21036.92,20122.31
27515.239999999998,21002.4,20122.31
27517.0,21002.4,20122.31
27539.91,21002.4,20122.31
27573.03,21002.4,20122.31
27583.19,21002.4,20122.31
27579.68,21002.4,20122.31
27588.8,21002.4,20122.31
27596.22,21002.4,20122.31
27565.579999999998,21002.4,20122.31
27448.04,21002.4,20122.31
27297.68,21002.4,20122.31
27171.059999999998,21002.4,20122.31
27058.329999999998,21002.4,20122.31
26926.34,21002.4,20122.31
26798.39,21002.4,20122.31
26711.55,21002.4,20122.31
26622.989999999998,21002.4,20122.31
26487.78,21002.4,20122.31
26403.85,21002.4,20122.31
26316.899999999998,21002.4,20122.31
26183.01,21002.4,20122.31
26012.53,21002.4,20122.31
25852.23,21002.4,20122.31
25710.39,21002.4,20122.31
25640.34,21002.4,20122.31
25583.59,21002.4,20122.31
25561.239999999998,21002.4,20122.31
25542.5,21002.4,20122.31
25502.75,21002.4,20122.31
25438.88,21002.4,20122.31
25401.739999999998,21002.4,20122.31
25365.51,21002.4,20122.31
25310.89,21002.4,20122.31
