slack_0,non_interrupt,interrupt
22811.68,22811.68,21272.23
22959.84,22959.84,21272.23
23123.32,23123.32,21278.89
23285.78,23285.78,21284.7
23438.53,23438.53,21294.5
23556.82,23556.82,21320.49
23591.97,23591.97,21329.0
23606.05,23596.04,21353.71
23624.16,23596.04,21410.75
23665.11,23596.04,21445.58
23682.010000000002,23596.04,21478.28
23695.36,23596.04,21549.51
23704.920000000002,23596.04,21559.8
23701.32,23596.04,21620.22
23649.41,23596.04,21685.35
23708.72,23596.04,21761.13
23716.84,23596.04,21813.13
23603.420000000002,23596.04,21889.13
23596.04,23596.04,21854.29
23714.29,23692.0,21958.42
23692.0,23692.0,21940.0
23781.52,23781.52,21967.84
23847.99,23847.99,21982.76
23956.69,23956.69,22078.66
24095.9,24095.9,22144.24
24226.4,24137.11,22177.18
24313.75,24114.17,22188.83
24417.28,24090.3,22188.83
24527.0,24073.03,22188.83
24569.73,24036.37,22188.83
24481.8,24036.37,22184.96
24393.63,24024.24,22127.0
24313.44,24007.78,22040.89
24205.5,24007.78,21975.95
24157.9,24007.78,21941.48
24168.19,24007.78,21914.39
24169.39,24007.78,21931.23
24191.69,24007.78,21927.42
24251.38,24007.78,21963.0
24232.12,24007.78,21944.14
24294.14,24007.78,21947.71
24336.98,24007.78,21900.21
24287.41,24007.78,21890.0
24301.93,24007.78,21929.37
24289.22,24007.78,21962.55
24270.0,24007.78,21951.89
24251.32,24007.78,21971.15
24222.91,24007.78,21967.49
24179.47,24007.78,21967.49
24137.11,24007.78,21967.49
24114.170000000002,24007.78,21967.49
24090.3,24007.78,21967.49
24073.03,24007.78,21967.49
24036.37,24007.78,21967.49
24040.14,24007.78,21967.49
24024.24,24007.78,21984.14
24007.78,24007.78,22015.85
24008.76,24008.76,22066.68
24037.69,24037.69,22108.19
24058.19,24049.61,22141.7
24074.56,24049.61,22185.33
24112.47,24049.61,22264.77
24217.05,24049.61,22383.51
24233.92,24049.61,22419.31
24219.35,24049.61,22520.93
24318.43,24049.61,22639.88
24330.33,24049.61,22672.77
24341.06,24049.61,22671.15
24390.82,24049.61,22682.14
24337.7,24049.61,22663.11
24324.09,24049.61,22646.6
24307.63,24049.61,22545.48
24268.7,24049.61,22545.48
24167.22,24049.61,22545.48
24124.59,24049.61,22545.48
24081.76,24049.61,22545.48
24064.97,24049.61,22545.48
24049.61,24049.61,22545.48
24086.57,24085.37,22562.23
24092.59,24085.37,22525.43
24085.37,24085.37,22552.23
24142.32,24142.32,22564.16
24168.03,24143.66,22608.19
24143.66,24143.66,22581.73
24202.61,24202.61,22570.68
24218.03,24213.49,22462.86
24213.489999999998,24213.49,22446.63
24232.82,24231.78,22491.6
24302.25,24231.78,22497.07
24231.78,24231.78,22414.47
24292.13,24261.63,22539.23
24304.63,24261.63,22598.93
24311.75,24261.63,22688.63
24354.399999999998,24261.63,22759.5
24389.44,24261.63,22813.21
24288.57,24261.63,22819.27
24261.63,24261.63,22819.27
24286.78,24262.46,22819.27
24303.09,24262.46,22819.27
24338.72,24262.46,22819.27
24268.11,24262.46,22819.27
24286.39,24262.46,22819.27
24272.73,24262.46,22825.82
24262.46,24262.46,22869.86
24346.37,24282.55,22916.61
24351.2,24282.55,22940.34
24382.1,24282.55,22952.65
24393.02,24282.55,22980.66
24366.329999999998,24282.55,22979.69
24284.62,24282.55,22993.04
24282.55,24282.55,22977.96
24346.35,24346.35,22998.91
24410.27,24410.27,23056.17
24418.01,24418.01,23124.95
24503.41,24503.41,23159.05
24538.26,24538.26,23166.81
24619.18,24619.18,23173.47
24707.92,24707.92,23239.83
24760.84,24760.84,23265.13
24770.56,24770.56,23284.84
24828.44,24828.44,23284.84
24977.46,24977.46,23304.07
25089.72,25089.72,23304.07
25171.51,25117.63,23304.07
25191.31,25117.63,23304.07
25264.239999999998,25117.63,23304.07
25294.66,25117.63,23323.28
25306.15,25117.63,23376.93
25304.73,25117.63,23416.07
25278.61,25117.63,23408.54
25278.34,25117.63,23427.13
25293.34,25117.63,23463.92
25249.06,25117.63,23432.47
25220.88,25117.63,23427.22
25186.23,25117.63,23410.66
25188.25,25117.63,23425.48
25117.63,25117.63,23361.73
25166.54,25166.54,23405.95
25179.65,25179.65,23410.64
25199.76,25199.76,23413.04
25245.19,25245.19,23437.01
25277.46,25277.46,23426.29
25325.94,25325.94,23442.74
25465.7,25465.7,23572.07
25538.67,25538.67,23572.89
25588.11,25588.11,23572.89
25630.1,25619.46,23572.89
25619.46,25619.46,23572.89
25709.43,25709.43,23573.64
25768.05,25768.05,23573.64
25837.0,25837.0,23596.89
25939.87,25903.06,23631.02
25943.27,25903.06,23581.54
25980.76,25903.06,23579.18
25981.03,25886.2,23534.04
26019.91,25855.59,23520.52
26058.46,25810.01,23500.66
26176.45,25761.73,23547.44
26181.53,25712.12,23484.82
26151.48,25661.52,23391.37
26151.69,25600.26,23323.45
26208.04,25543.74,23327.97
26148.32,25488.1,23221.03
26103.52,25440.37,23146.21
26007.8,25381.91,23016.43
25942.43,25297.25,22909.39
25903.06,25198.82,22818.64
25925.46,25159.39,22812.04
25925.66,25102.68,22812.04
25921.55,25045.92,22812.04
25927.44,25000.38,22812.04
25946.55,24943.98,22812.04
25985.02,24900.49,22812.04
25993.89,24856.29,22812.04
25966.51,24794.63,22796.08
25946.329999999998,24713.25,22763.26
25934.01,24627.36,22717.93
25912.75,24552.28,22661.44
25886.2,24489.82,22617.84
25855.59,24449.18,22598.99
25810.01,24449.18,22643.14
25761.73,24449.18,22704.3
25712.12,24449.18,22769.43
25661.52,24449.18,22831.69
25600.26,24449.18,22927.42
25543.74,24449.18,23034.8
25488.1,24449.18,23151.36
25440.37,24449.18,23263.49
25381.91,24449.18,23374.58
25297.25,24449.18,23444.16
25198.82,24449.18,23489.89
25159.39,24449.18,23535.81
25102.68,24449.18,23535.81
25045.92,24449.18,23535.81
25000.38,24449.18,23535.81
24943.98,24449.18,23535.81
24900.489999999998,24449.18,23535.81
24856.29,24449.18,23535.81
24794.63,24449.18,23539.74
24713.25,24449.18,23558.18
24627.36,24449.18,23593.08
24552.28,24449.18,23632.2
24489.82,24449.18,23666.09
24449.18,24449.18,23687.05
24553.89,24553.89,23747.44
24695.99,24695.99,23789.35
24818.73,24818.73,23854.1
24952.47,24952.47,23933.09
25089.27,25089.27,24020.73
25293.82,25293.82,24118.95
25436.47,25436.47,24239.67
25566.31,25566.31,24372.07
25753.170000000002,25753.17,24515.0
25878.29,25831.56,24637.19
25971.76,25831.56,24722.39
26095.1,25831.56,24785.47
26111.69,25831.56,24785.47
26075.39,25831.56,24785.47
26025.010000000002,25831.56,24785.47
25951.7,25831.56,24785.47
25875.62,25831.56,24785.47
25831.56,25831.56,24785.47
25881.19,25881.19,24861.39
25968.37,25968.37,24973.52
26056.15,26056.15,25084.1
26135.12,26135.12,25187.41
26214.420000000002,26214.42,25295.85
26287.78,26287.78,25405.85
26406.58,26406.58,25572.53
26519.7,26519.7,25736.22
26652.15,26652.15,25912.4
26794.54,26794.54,26085.77
26950.31,26950.31,26267.18
27100.36,27100.36,26405.79
27268.3,27268.3,26560.82
27430.72,27430.72,26717.17
27623.760000000002,27623.76,26902.9
27801.5,27801.5,27078.32
28003.96,28003.96,27241.12
28190.82,28190.82,27344.45
28404.33,28404.33,27400.21
28567.81,28567.81,27400.21
28724.21,28724.21,27400.21
28918.16,28918.16,27431.85
29108.4,29108.4,27458.84
29297.91,29297.91,27485.07
29459.05,29459.05,27596.95
29583.82,29583.82,27708.69
29727.41,29727.41,27840.66
29865.95,29798.9,27963.73
29991.44,29798.9,28071.1
30089.68,29798.9,28158.08
30093.24,29798.9,28148.34
30043.62,29798.9,28105.2
30039.33,29798.9,28087.02
30016.670000000002,29798.9,28065.34
29993.15,29798.9,28029.08
29875.38,29798.9,27934.26
29840.54,29798.9,27887.01
29837.03,29798.9,27870.75
29798.9,29798.9,27841.32
29813.65,29813.65,27845.53
29855.53,29855.53,27854.54
29877.95,29877.95,27854.54
30008.45,30008.45,27854.54
30171.6,30171.6,27854.54
30333.62,30333.62,27854.54
30498.54,30498.54,27861.62
30675.8,30675.8,27892.91
30795.4,30737.35,27946.08
30874.53,30737.35,28020.7
30886.45,30737.35,28088.93
30897.63,30737.35,28133.42
30906.5,30737.35,28175.4
30917.52,30737.35,28214.69
30942.9,30737.35,28257.31
30977.48,30737.35,28266.41
31014.04,30737.35,28296.72
31053.05,30737.35,28319.26
31071.81,30728.63,28321.22
31084.71,30685.53,28303.76
31060.46,30677.68,28284.47
31035.14,30656.12,28250.0
31016.32,30592.63,28180.44
30994.08,30527.93,28108.43
30987.34,30484.26,28068.56
30970.0,30440.29,28023.88
30937.92,30380.64,27998.99
30895.17,30347.37,27998.99
30856.65,30288.85,27998.99
30829.43,30238.13,27998.99
30808.07,30195.28,27998.99
30777.39,30142.31,27998.99
30737.35,30142.31,27998.99
30750.22,30142.31,27998.99
30793.5,30142.31,28024.9
30815.19,30142.31,28031.47
30832.83,30142.31,28042.46
30842.98,30142.31,28050.46
30848.96,30142.31,28053.87
30810.18,30142.31,28013.28
30789.92,30142.31,27985.66
30758.76,30142.31,27923.62
30728.63,30142.31,27879.85
30685.53,30106.36,27821.59
30677.68,30096.49,27798.91
30656.12,30067.89,27757.9
30592.63,30001.3,27678.56
30527.93,29930.22,27592.55
30484.26,29883.72,27535.51
30440.29,29836.48,27483.46
30380.64,29780.79,27459.18
30347.37,29744.66,27459.18
30288.85,29705.92,27459.18
30238.13,29653.4,27459.18
30195.28,29619.9,27459.18
30142.31,29571.71,27459.18
30144.07,29518.5,27459.18
30146.19,29443.86,27443.94
30185.13,29351.21,27407.6
30203.32,29285.33,27375.03
30229.78,29225.1,27347.91
30255.9,29173.37,27324.45
30270.57,29124.4,27292.72
30243.28,29112.7,27255.54
30229.67,29080.03,27216.62
30182.32,29055.82,27175.94
30151.88,29035.46,27138.78
30106.36,29030.32,27103.28
30096.49,28989.85,27067.77
30067.89,28964.42,27033.19
30001.3,28964.42,26997.74
29930.22,28964.42,26955.55
29883.72,28964.42,26911.04
29836.48,28955.74,26876.09
29780.79,28940.93,26876.09
29744.66,28896.51,26876.09
29705.92,28872.35,26876.09
29653.4,28852.17,26876.09
29619.9,28834.45,26876.09
29571.71,28810.82,26876.09
29518.5,28785.8,26876.09
29443.86,28724.4,26862.16
29351.21,28637.36,26786.84
29285.329999999998,28565.06,26699.42
29225.1,28484.27,26611.98
29173.37,28405.4,26530.96
29124.4,28329.26,26452.25
29112.7,28275.54,26396.72
29080.03,28209.71,26323.53
29055.82,28172.27,26255.21
29035.46,28138.21,26207.51
29030.32,28137.23,26191.37
28989.85,28100.63,26139.94
28964.42,28083.8,26103.66
28979.71,28083.8,26107.05
28987.29,28083.8,26100.38
28975.91,28083.8,26076.09
28955.74,28083.8,26042.32
28940.93,28076.98,26039.56
28896.51,28039.0,26039.56
28872.35,27995.73,26039.56
28852.17,27969.85,26039.56
28834.45,27925.33,26039.56
28810.82,27906.32,26039.56
28785.8,27889.81,26039.56
28724.4,27862.48,26028.92
28637.36,27840.32,25966.16
28565.06,27820.32,25895.4
28484.27,27800.78,25822.28
28405.4,27781.34,25753.26
28329.26,27761.28,25686.8
28275.54,27737.17,25652.8
28209.71,27713.37,25603.69
28172.27,27688.76,25585.75
28138.21,27666.11,25556.38
28137.23,27644.48,25544.77
28100.63,27622.97,25497.62
28083.8,27601.89,25470.56
28103.04,27580.26,25480.07
28117.68,27556.36,25485.06
28106.76,27533.85,25464.54
28092.89,27508.13,25438.82
28076.98,27467.56,25426.01
28039.0,27418.07,25426.01
27995.73,27383.25,25426.01
27969.85,27345.88,25426.01
27925.33,27309.52,25426.01
27906.32,27269.4,25426.01
27889.81,27234.06,25426.01
27862.48,27207.77,25423.4
27840.32,27186.86,25390.73
27820.32,27178.86,25361.19
27800.78,27177.59,25332.71
27781.34,27177.59,25304.85
