slack_0,non_interrupt,interrupt
17651.82,17651.82,17495.66
17783.27,17783.27,17558.71
17917.89,17917.89,17611.93
18062.18,18062.18,17663.14
18215.63,18215.63,17723.82
18343.82,18343.82,17787.02
18454.26,18454.26,17874.73
18557.78,18557.78,17947.48
18669.62,18669.62,18042.82
18785.04,18785.04,18148.71
18905.32,18905.32,18265.09
19006.88,19006.88,18375.63
19084.77,19084.77,18460.55
19162.75,19162.75,18533.34
19244.76,19244.76,18591.51
19316.29,19316.29,18643.35
19366.76,19366.76,18704.89
19417.13,19417.13,18770.81
19461.94,19449.27,18833.44
19508.26,19449.27,18900.92
19550.57,19449.27,18965.5
19580.57,19449.27,19016.76
19605.21,19449.27,19071.74
19593.5,19449.27,19078.93
19503.7,19449.27,19053.37
19458.95,19449.27,18994.99
19449.27,19449.27,18974.09
19482.31,19482.31,19017.82
19543.78,19543.78,19111.46
19618.01,19618.01,19202.86
19662.29,19662.29,19275.09
19726.55,19726.55,19347.05
19810.62,19810.62,19439.68
19895.38,19895.38,19524.44
20028.34,20028.34,19644.2
20166.12,20166.12,19765.97
20284.02,20284.02,19887.37
20429.54,20429.54,20033.5
20566.57,20566.57,20170.68
20725.14,20725.14,20330.46
20878.6,20878.6,20474.23
21014.0,21014.0,20566.26
21164.54,21164.54,20689.12
21314.3,21314.3,20809.92
21431.33,21431.33,20916.35
21602.97,21560.36,21006.53
21747.57,21560.36,21086.88
21858.39,21560.36,21131.2
21873.19,21560.36,21127.54
21786.1,21560.36,21056.76
21693.48,21560.36,20989.72
21611.09,21560.36,20933.19
21560.36,21560.36,20898.9
21632.42,21632.42,20884.74
21756.75,21756.75,20911.52
21844.6,21844.6,20929.83
21922.17,21922.17,20962.22
21995.56,21995.56,21001.48
22076.73,22076.73,21047.32
22191.79,22191.79,21105.06
22293.97,22293.97,21165.66
22399.46,22399.46,21214.52
22471.03,22471.03,21243.39
22515.22,22515.22,21277.4
22553.72,22553.72,21341.6
22576.65,22576.65,21408.66
22600.54,22600.54,21474.41
22635.64,22635.64,21538.91
22676.19,22676.19,21603.98
22697.45,22697.45,21649.01
22737.2,22707.7,21701.77
22730.01,22707.7,21750.48
22718.43,22707.7,21766.17
22708.05,22707.7,21780.75
22707.7,22707.7,21795.0
22712.59,22712.59,21819.37
22729.21,22729.21,21858.3
22750.44,22750.44,21909.85
22811.97,22811.97,21973.29
22906.98,22906.98,22013.82
22962.23,22938.0,22049.84
22994.579999999998,22927.68,22080.58
23002.94,22917.35,22093.77
23001.23,22898.1,22100.89
23022.9,22898.1,22127.67
23033.329999999998,22898.1,22151.38
23049.19,22898.1,22175.34
23065.73,22898.1,22200.03
23089.1,22898.1,22225.69
23096.87,22898.1,22237.39
23125.0,22898.1,22263.23
23127.56,22898.1,22277.3
23149.75,22898.1,22308.81
23092.06,22898.1,22308.81
23040.82,22898.1,22308.81
23030.22,22898.1,22324.01
23039.03,22898.1,22405.7
23072.3,22898.1,22524.27
23097.77,22898.1,22647.21
23111.45,22898.1,22748.61
23108.34,22898.1,22814.39
23038.11,22898.1,22814.39
22968.46,22898.1,22814.39
22960.9,22898.1,22814.39
22938.0,22898.1,22829.3
22927.68,22898.1,22856.39
22917.35,22898.1,22886.01
22898.1,22898.1,22892.37
22913.74,22913.74,22913.74
22939.78,22939.78,22939.0
22998.53,22998.53,22975.19
23113.17,23113.17,23030.9
23295.17,23295.17,23133.33
23526.79,23526.79,23260.23
23771.37,23771.37,23367.92
24002.51,24002.51,23469.28
24184.04,24184.04,23538.34
24415.63,24415.63,23666.58
24634.84,24634.84,23787.15
24932.93,24932.93,23878.19
25218.99,25218.99,24022.41
25548.97,25548.97,24104.98
25881.12,25881.12,24163.48
26176.16,26176.16,24230.37
26508.81,26508.81,24288.06
26812.05,26812.05,24333.7
27044.94,27044.94,24340.74
27165.24,27165.24,24322.52
27281.97,27281.97,24398.55
27369.5,27369.5,24489.05
27457.32,27457.32,24586.65
27541.91,27541.91,24691.23
27616.06,27616.06,24802.39
27740.5,27740.5,24921.32
27853.36,27853.36,25039.72
27917.22,27917.22,25160.84
27986.59,27986.59,25272.01
28077.4,28077.4,25389.06
28129.28,28129.28,25499.11
28199.12,28199.12,25625.1
28235.39,28235.39,25735.52
28352.77,28352.77,25880.85
28463.3,28463.3,26012.78
28498.44,28498.44,26143.16
28615.39,28615.39,26332.77
28673.0,28673.0,26533.63
28716.9,28716.9,26744.91
28764.31,28764.31,26944.86
28799.69,28799.69,27122.35
28815.01,28802.84,27278.5
28810.39,28802.84,27425.0
28802.84,28802.84,27543.16
28918.37,28918.37,27703.34
29073.94,29068.43,27860.56
29261.17,29068.43,28025.83
29364.3,29068.43,28177.33
29426.74,29068.43,28307.68
29490.65,29068.43,28417.91
29515.14,29068.43,28495.92
29540.56,29068.43,28559.35
29502.79,29068.43,28592.34
29462.78,29068.43,28595.55
29436.15,29068.43,28595.55
29364.68,29068.43,28595.55
29326.36,29068.43,28630.47
29276.73,29068.43,28630.72
29202.46,29068.43,28610.18
29090.65,29068.43,28590.46
29073.65,29068.43,28507.21
29094.51,29068.43,28408.56
29118.77,29068.43,28322.73
