slack_0,non_interrupt,interrupt
35390.6,35390.6,35228.6
35391.87,35391.87,35229.73
35393.38,35393.38,35229.73
35395.98,35395.98,35233.53
35399.6,35399.6,35241.77
35402.15,35402.15,35250.88
35404.87,35404.87,35259.0
35407.66,35407.66,35267.29
35410.81,35410.81,35275.3
35414.49,35414.49,35281.79
35417.85,35417.85,35285.2
35420.46,35420.46,35287.6
35422.54,35422.54,35289.14
35423.89,35423.89,35289.14
35425.590000000004,35425.59,35289.14
35427.83,35427.83,35289.14
35431.46,35431.46,35289.14
35434.4,35434.4,35289.14
35437.45,35437.45,35291.34
35440.74,35440.74,35293.59
35443.72,35443.72,35295.89
35446.56,35446.56,35298.43
35450.11,35450.11,35300.83
35453.01,35453.01,35303.39
35457.43,35457.43,35306.79
35461.29,35461.29,35309.35
35464.590000000004,35464.59,35310.75
35468.05,35468.05,35315.59
35473.0,35473.0,35322.0
35478.76,35478.76,35328.56
35482.97,35482.97,35333.34
35487.840000000004,35487.84,35335.99
35491.99,35491.99,35335.35
35495.72,35495.72,35332.97
35498.62,35498.62,35332.09
35502.76,35502.76,35332.06
35506.840000000004,35506.84,35335.66
35510.83,35510.83,35339.96
35515.05,35515.05,35339.96
35519.35,35519.35,35341.2
35524.04,35524.04,35345.22
35529.75,35529.75,35350.82
35535.18,35535.18,35356.24
35541.3,35541.3,35361.8
35548.39,35548.39,35367.86
35555.39,35555.39,35373.01
35561.340000000004,35561.34,35377.39
35569.01,35569.01,35382.46
35576.39,35576.39,35387.79
35583.07,35583.07,35392.3
35588.13,35588.13,35395.14
35592.76,35592.76,35399.64
35598.84,35598.84,35405.38
35606.2,35603.09,35411.44
35612.17,35603.09,35415.79
35615.45,35603.09,35418.4
35615.52,35603.09,35419.57
35612.22,35603.09,35418.6
35608.49,35603.09,35415.92
35604.11,35603.09,35412.95
35603.090000000004,35603.09,35411.88
35603.98,35603.98,35413.09
35607.22,35607.22,35413.09
35611.66,35611.66,35413.09
35615.83,35615.83,35413.09
35620.05,35620.05,35414.82
35623.96,35623.96,35417.77
35626.34,35626.34,35420.02
35628.51,35628.51,35422.5
35631.51,35630.45,35425.42
35634.08,35630.45,35426.45
35637.39,35630.45,35428.65
35639.96,35630.45,35429.87
35642.83,35630.45,35431.15
35645.34,35630.45,35431.86
35647.26,35630.45,35432.81
35648.38,35630.45,35429.29
35647.88,35630.45,35422.45
35646.83,35619.85,35410.7
35643.94,35607.08,35395.71
35640.25,35594.16,35378.0
35636.47,35579.47,35357.2
35633.74,35562.32,35336.27
35630.98,35545.79,35315.57
35630.45,35530.3,35299.6
35632.7,35522.56,35293.31
35637.09,35517.09,35293.31
35642.62,35513.41,35293.31
35647.9,35511.53,35294.59
35651.24,35511.43,35296.55
35653.02,35511.43,35298.67
35653.69,35511.43,35300.24
35654.01,35511.43,35301.5
35653.63,35511.43,35301.66
35652.31,35511.43,35301.92
35650.52,35511.43,35301.92
35648.86,35511.43,35301.92
35647.18,35511.43,35301.92
35645.89,35511.43,35301.92
35644.79,35511.43,35303.95
35639.81,35511.43,35304.6
35632.17,35511.43,35305.4
35619.85,35511.43,35306.42
35607.08,35511.43,35305.65
35594.16,35511.43,35303.07
35579.47,35511.43,35297.84
35562.32,35507.81,35288.24
35545.79,35495.9,35277.74
35530.3,35486.62,35268.41
35522.56,35481.07,35263.66
35517.09,35477.78,35263.66
35513.41,35476.71,35263.66
35511.53,35476.71,35263.66
35511.43,35476.71,35263.66
35511.63,35476.71,35263.66
35512.65,35476.71,35264.77
35514.03,35476.71,35266.16
35514.49,35476.71,35266.84
35515.01,35476.71,35267.23
35516.58,35476.71,35267.61
35518.57,35476.71,35268.18
35520.39,35476.71,35268.18
35521.91,35476.71,35268.18
35524.07,35476.71,35271.71
35525.06,35476.71,35276.92
35527.16,35476.71,35285.56
35529.8,35476.71,35295.17
35529.7,35476.71,35302.93
35526.02,35476.71,35305.54
35518.46,35476.71,35302.28
35507.81,35476.71,35292.45
35495.9,35476.71,35282.79
35486.62,35476.71,35272.69
35481.07,35476.71,35265.46
35477.78,35476.71,35265.46
35476.71,35476.71,35265.19
35479.58,35479.58,35265.19
35484.35,35484.35,35265.19
35489.58,35489.58,35266.57
35495.159999999996,35495.16,35268.69
35500.909999999996,35500.91,35270.95
35506.77,35506.77,35272.89
35513.3,35513.3,35274.7
35519.5,35519.5,35275.67
35526.26,35526.26,35276.38
35532.3,35532.3,35277.55
35538.08,35538.08,35278.15
35542.85,35542.85,35279.29
35552.7,35552.7,35286.15
35567.68,35567.68,35297.69
35587.99,35587.99,35315.84
35607.85,35607.85,35334.1
35624.479999999996,35624.48,35352.37
35638.24,35638.24,35371.46
35646.61,35646.61,35390.02
35654.89,35654.89,35408.42
35660.23,35655.06,35424.38
35661.54,35655.06,35431.35
35662.19,35655.06,35432.0
35661.47,35655.06,35432.0
35661.09,35655.06,35431.96
35661.03,35655.06,35430.33
35661.46,35655.06,35429.46
35662.86,35655.06,35428.35
35664.82,35655.06,35427.1
35666.37,35655.06,35426.06
35666.12,35655.06,35424.44
35664.41,35655.06,35422.15
35661.78,35655.06,35420.87
35659.54,35655.06,35420.87
35657.05,35655.06,35420.87
35655.06,35655.06,35421.05
35656.29,35656.29,35424.19
35659.39,35658.55,35430.11
35664.2,35658.55,35438.6
35670.46,35658.55,35449.69
35678.39,35658.55,35460.66
35688.02,35658.55,35470.96
35699.03,35658.55,35479.93
35711.4,35658.55,35489.36
35721.2,35658.55,35494.67
35725.18,35658.55,35493.94
35724.28,35658.55,35493.94
35721.07,35658.55,35493.94
35716.06,35658.55,35492.94
35709.96,35658.55,35491.45
35704.81,35658.55,35487.71
35699.27,35658.55,35485.56
35693.340000000004,35658.55,35483.89
35686.98,35658.55,35482.01
35680.89,35658.55,35480.57
35674.72,35658.55,35478.0
35669.18,35658.55,35475.72
35665.02,35658.55,35474.18
35661.71,35658.55,35473.32
35660.25,35658.55,35470.78
35659.17,35658.55,35466.28
35658.55,35658.55,35462.61
35660.07,35660.07,35460.53
35663.3,35663.3,35461.19
35667.98,35667.98,35465.39
35673.98,35668.88,35474.28
35682.13,35668.88,35488.05
35689.31,35668.88,35500.55
35695.44,35668.88,35511.81
35696.39,35668.88,35516.58
35696.77,35668.88,35516.58
35697.44,35668.88,35516.58
35696.44,35668.88,35516.58
35694.42,35668.88,35516.27
35690.64,35668.88,35514.29
35687.44,35668.88,35511.75
35683.95,35668.88,35508.55
35680.840000000004,35668.88,35505.69
35679.17,35668.88,35503.5
35676.61,35667.26,35500.85
35674.8,35662.85,35497.6
35672.73,35658.91,35495.9
35671.32,35654.21,35494.74
35670.62,35649.35,35492.05
35669.11,35642.17,35486.78
35668.88,35633.87,35481.3
35668.96,35624.38,35475.49
35671.22,35613.95,35469.89
35673.78,35605.28,35464.26
35677.340000000004,35599.25,35458.9
35680.92,35597.24,35454.85
35683.3,35596.89,35451.56
35683.94,35596.89,35448.91
35683.05,35596.89,35448.48
35683.82,35596.89,35448.48
35683.87,35596.89,35448.48
35683.05,35596.89,35448.48
35682.54,35596.89,35448.48
35680.37,35596.89,35448.48
35678.11,35596.89,35448.48
35675.090000000004,35596.89,35448.48
35672.25,35596.89,35448.48
35670.07,35596.89,35448.48
35667.26,35596.89,35448.48
35662.85,35596.89,35448.48
35658.91,35596.89,35448.48
35654.21,35596.89,35448.48
35649.35,35596.89,35448.48
35642.17,35596.89,35447.2
35633.87,35596.89,35445.02
35624.38,35596.89,35443.03
35613.95,35596.89,35440.72
35605.28,35596.89,35440.5
35599.25,35596.89,35442.67
35597.24,35596.89,35447.51
35596.89,35596.89,35452.47
35598.73,35598.73,35456.19
35603.01,35603.01,35458.71
35607.5,35607.5,35458.71
35610.86,35610.86,35458.71
35614.22,35614.22,35458.57
35617.03,35617.03,35457.93
35620.55,35620.55,35457.15
35621.62,35621.62,35454.2
35622.61,35622.61,35450.21
35623.37,35623.37,35446.03
35624.78,35624.02,35441.63
35627.12,35620.9,35437.32
35629.85,35619.15,35433.48
35632.63,35616.4,35430.45
35635.62,35614.04,35428.18
35637.45,35612.39,35424.54
35639.59,35608.87,35417.26
35640.46,35604.53,35407.67
35642.07,35600.19,35397.44
35642.33,35598.09,35387.48
35642.59,35598.01,35379.21
35641.87,35598.01,35373.13
35641.09,35598.01,35369.39
35640.73,35598.01,35366.7
35639.32,35598.01,35363.61
35638.02,35598.01,35359.49
35637.18,35596.71,35359.49
35636.64,35588.9,35359.26
35634.57,35578.77,35355.34
35633.18,35569.45,35351.16
35632.09,35559.19,35344.74
35630.71,35548.38,35336.57
35629.25,35536.95,35328.87
35627.32,35526.07,35321.07
35624.02,35516.92,35315.67
35620.9,35506.08,35308.36
35619.15,35495.43,35302.53
35616.4,35484.64,35297.37
35614.04,35474.84,35294.13
35612.39,35465.4,35288.51
35608.87,35449.2,35278.21
35604.53,35428.16,35263.29
35600.19,35404.34,35246.97
35598.09,35383.13,35233.88
35598.01,35367.01,35226.21
35600.85,35356.17,35223.57
35604.74,35349.18,35223.43
35607.72,35343.26,35222.82
35607.92,35339.75,35221.19
35603.34,35336.33,35218.16
35596.71,35332.87,35218.16
35588.9,35327.81,35218.16
35578.77,35321.91,35216.31
35569.45,35311.73,35209.55
35559.19,35303.65,35203.59
35548.38,35296.04,35197.39
35536.95,35288.72,35191.05
35526.07,35282.57,35185.69
35516.92,35278.24,35181.54
35506.08,35275.59,35178.89
35495.43,35274.36,35178.72
35484.64,35273.74,35178.72
35474.84,35273.74,35178.72
35465.4,35273.74,35178.72
35449.2,35273.74,35171.43
35428.16,35273.74,35162.8
35404.34,35273.74,35152.12
35383.13,35273.74,35143.11
35367.01,35273.74,35136.8
35356.17,35273.74,35134.87
35349.18,35273.74,35135.53
35343.26,35273.74,35135.99
35339.75,35273.74,35136.57
35336.33,35273.74,35136.57
35332.87,35273.74,35136.57
35327.81,35273.74,35136.57
35321.91,35273.74,35136.57
35311.73,35273.74,35136.57
35303.65,35273.74,35136.57
