slack_0,non_interrupt,interrupt
27960.95,27960.95,27208.4
27968.8,27968.8,27208.89
27975.1,27972.03,27214.72
27972.579999999998,27972.03,27224.47
27972.03,27972.03,27233.7
27973.06,27973.06,27242.57
27982.27,27979.74,27252.95
27999.26,27979.74,27269.6
27996.579999999998,27979.74,27269.6
27993.16,27979.74,27269.6
27988.46,27979.74,27269.6
27981.86,27979.74,27269.6
27979.75,27979.74,27264.84
27988.42,27979.74,27265.04
27998.57,27979.74,27269.57
28007.89,27979.74,27272.38
28012.38,27946.6,27271.19
28008.61,27928.26,27267.41
28004.46,27919.33,27270.69
27996.67,27902.44,27275.88
27987.52,27902.44,27291.37
27979.74,27902.44,27298.75
27985.22,27892.39,27309.58
27998.1,27875.38,27314.47
28008.18,27856.47,27313.13
28019.78,27836.65,27312.27
28026.37,27825.4,27308.08
28036.31,27825.4,27305.82
28045.51,27825.4,27301.15
28051.01,27825.4,27300.49
28055.84,27825.4,27302.66
28062.36,27825.4,27302.66
28068.33,27825.4,27302.66
28075.07,27825.4,27302.66
28080.69,27825.4,27302.66
28081.04,27825.4,27302.66
28073.73,27825.4,27301.13
28070.36,27825.4,27301.06
28043.25,27825.4,27291.92
27987.57,27825.4,27272.82
27946.6,27825.4,27247.49
27928.26,27825.4,27242.34
27919.329999999998,27825.4,27243.7
27902.44,27825.4,27228.1
27908.15,27825.4,27225.1
27903.16,27825.4,27205.87
27892.39,27825.4,27185.75
27875.38,27825.4,27166.88
27856.47,27825.4,27147.88
27836.65,27825.4,27129.19
27825.4,27825.4,27115.77
27828.56,27826.99,27118.85
27826.989999999998,27826.99,27121.6
27829.02,27829.02,27121.91
27833.37,27833.37,27122.48
27838.25,27838.25,27122.48
27849.13,27849.13,27123.21
27861.17,27861.17,27123.21
27869.87,27864.05,27123.21
27876.079999999998,27864.05,27123.21
27872.59,27864.05,27118.0
27864.05,27864.05,27106.67
27876.399999999998,27876.4,27093.08
27906.47,27877.89,27097.56
27916.43,27877.89,27105.18
27929.61,27877.89,27103.57
27947.329999999998,27877.89,27100.55
27961.6,27874.85,27098.25
27977.53,27855.56,27103.6
27978.45,27855.56,27127.96
27974.45,27855.56,27138.52
27964.6,27855.56,27129.7
27951.65,27855.56,27116.36
27937.38,27855.56,27104.11
27924.43,27855.56,27092.37
27912.149999999998,27855.56,27088.68
