slack_0,non_interrupt,interrupt
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4056.5
4485.86,4485.86,4057.94
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4058.79
4485.86,4485.86,4060.23
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4061.08
4485.86,4485.86,4062.52
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4063.37
4485.86,4485.86,4064.81
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4065.66
4485.86,4485.86,4067.1
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4067.95
4485.86,4485.86,4069.39
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4070.24
4485.86,4485.86,4071.88
4485.86,4485.86,4072.93
4485.86,4485.86,4072.93
4485.86,4485.86,4072.93
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
4485.86,4485.86,4073.13
