slack_0,non_interrupt,interrupt
11586.54,11200.95,9967.34
11574.85,11200.95,9983.24
11559.48,11200.95,9994.93
11540.92,11200.95,10001.04
11513.67,11200.95,10001.04
11467.76,11200.95,10001.04
11421.27,11200.95,10001.04
11382.22,11200.95,10001.04
11362.130000000001,11200.95,10001.04
11359.04,11200.95,10001.04
11367.56,11200.95,10001.04
11367.94,11200.95,10001.04
11358.72,11200.95,10001.04
11352.39,11200.95,10001.04
11328.85,11200.95,10001.04
11292.93,11200.95,10001.04
11257.23,11200.95,10001.04
11228.06,11200.95,10001.04
11202.41,11200.95,10001.04
11200.95,11200.95,10001.04
11241.93,11241.93,10001.04
11317.33,11317.33,10001.04
11413.57,11413.57,10001.04
11549.53,11549.53,10001.04
11724.23,11724.23,10001.93
11904.88,11904.88,10002.43
12087.58,12087.58,10005.96
12289.55,12289.55,10010.98
12521.06,12521.06,10014.38
12783.27,12783.27,10020.99
13076.41,13076.41,10034.32
13396.78,13105.81,10054.37
13734.91,13105.81,10085.65
14088.96,13105.81,10125.93
14444.68,13105.81,10176.85
14811.08,13105.81,10245.35
15178.55,13105.81,10319.29
15542.87,13105.81,10395.73
15906.38,13105.81,10474.74
16265.36,13105.81,10554.23
16621.48,13105.81,10635.46
16970.73,13105.81,10717.9
17318.65,13105.81,10799.56
17661.78,13105.81,10880.54
17999.04,13105.81,10959.85
18337.52,13105.81,11038.14
18666.59,13105.81,11108.5
18981.85,13105.81,11178.19
19262.19,13105.81,11246.99
19502.77,13105.81,11307.06
19707.79,13105.81,11367.26
19875.21,13105.81,11426.64
20045.34,13105.81,11492.19
20232.21,13105.81,11562.67
20420.79,13105.81,11631.2
20590.92,13105.81,11681.31
20716.21,13105.81,11700.21
20808.96,13105.81,11703.47
20879.57,13105.81,11706.84
20947.35,13105.81,11722.73
21002.27,13105.81,11741.57
21045.17,13105.81,11754.38
21091.39,13105.81,11758.02
21129.31,13105.81,11758.02
21165.41,13105.81,11758.02
21206.77,13105.81,11758.02
21247.01,13105.81,11758.02
21281.74,13105.81,11758.02
21299.05,13105.81,11758.02
21314.21,13105.81,11752.54
21331.89,13105.81,11743.17
21334.81,13105.81,11714.7
21312.79,13105.81,11682.27
21304.93,13105.81,11640.47
21329.37,13105.81,11597.55
21358.95,13105.81,11553.74
21387.01,13105.81,11515.51
21413.36,13105.81,11484.78
21439.59,13105.81,11466.19
21469.48,13105.81,11466.19
21507.02,13105.81,11466.19
21531.08,13105.81,11466.19
21546.17,13105.81,11450.3
21554.57,13105.81,11411.85
21565.1,13105.81,11358.94
21594.34,13105.81,11294.72
21653.73,13105.81,11230.94
21762.96,13105.81,11193.77
21880.69,13105.81,11192.01
21963.27,13105.81,11192.01
22010.59,13105.81,11188.98
22032.15,13105.81,11159.95
22028.29,13105.81,11110.88
22001.71,13105.81,11057.32
21971.21,13105.81,11004.6
21947.62,13105.81,10951.51
21935.55,13105.81,10897.59
21933.35,13105.81,10848.6
21955.41,13105.81,10802.83
21997.12,13105.81,10761.85
22040.57,13105.81,10721.33
22085.72,13081.5,10680.78
22134.77,12841.16,10642.28
22180.73,12608.02,10597.34
22240.16,12379.97,10543.46
22319.64,12160.42,10481.9
22416.36,11953.22,10419.12
22525.24,11766.79,10357.96
22658.079999999998,11618.68,10304.9
22808.73,11489.37,10260.04
22957.19,11364.78,10214.89
23101.34,11228.33,10170.63
23237.88,11099.85,10142.86
23364.0,10985.13,10137.58
23495.99,10889.5,10137.58
23624.84,10804.05,10137.58
23760.0,10734.18,10135.34
23897.73,10692.06,10135.34
24028.18,10656.58,10135.34
24163.33,10635.86,10135.34
24310.06,10606.64,10122.67
24443.24,10576.93,10098.85
24546.38,10548.98,10073.55
24621.87,10518.41,10045.22
24675.03,10493.99,10026.68
24700.72,10482.89,10026.21
24696.18,10482.89,10026.21
24662.36,10482.89,10026.21
24604.739999999998,10482.89,10026.21
24542.85,10482.89,10026.21
24481.329999999998,10482.89,10026.21
24416.18,10482.89,10026.21
24338.97,10482.89,10026.21
24234.92,10482.89,10026.21
24097.36,10482.89,10026.21
23917.45,10482.89,10026.21
23721.329999999998,10482.89,10026.21
23548.8,10482.89,10026.21
23398.4,10482.89,10026.21
23249.3,10482.89,10026.21
23093.14,10482.89,10026.21
22934.58,10482.89,10026.21
22779.21,10482.89,10026.21
22608.7,10482.89,10026.21
22439.37,10482.89,10026.21
22288.13,10482.89,10026.21
22139.89,10482.89,10026.21
22000.54,10482.89,10026.21
21871.99,10482.89,10026.21
21741.73,10482.89,10026.21
21620.7,10482.89,10026.21
21528.14,10482.89,10026.21
21478.94,10482.89,10026.21
21467.829999999998,10482.89,10026.21
21468.71,10482.89,10026.21
21469.31,10482.89,10026.21
21464.75,10482.89,10026.21
21465.04,10482.89,10026.21
21478.13,10482.89,10026.21
21507.18,10482.89,10026.21
21545.32,10482.89,10026.21
21597.28,10482.89,10026.21
21662.82,10482.89,10026.21
21747.41,10482.89,10026.21
21839.98,10482.89,10026.21
21940.989999999998,10482.89,10026.21
22048.9,10482.89,10026.21
22173.8,10482.89,10026.21
22314.81,10482.89,10026.21
22464.54,10482.89,10026.21
22626.27,10482.89,10026.21
22798.16,10482.89,10026.21
22963.71,10482.89,10026.21
23122.51,10482.89,10026.21
23265.16,10482.89,10026.21
23397.38,10482.89,10026.21
23541.48,10482.89,10026.21
23695.41,10482.89,10026.21
23846.53,10482.89,10026.21
24009.05,10482.89,10026.21
24182.26,10482.89,10026.21
24369.56,10482.89,10026.21
24572.88,10482.89,10026.21
24786.57,10482.89,10026.21
25025.73,10482.89,10026.21
25268.9,10482.89,10026.21
25542.32,10482.89,10026.21
25843.38,10482.89,10026.21
26185.13,10482.89,10026.21
26554.42,10482.89,10026.21
26926.57,10482.89,10026.21
27320.88,10482.89,10026.21
27721.66,10482.89,10026.21
28129.67,10482.89,10026.21
28548.45,10482.89,10026.21
28969.45,10482.89,10026.21
29367.23,10482.89,10026.21
29737.0,10482.89,10026.21
30079.11,10482.89,10026.21
30383.96,10482.89,10026.21
30634.3,10482.89,10026.21
30834.8,10482.89,10026.21
31003.37,10482.89,10026.21
31146.87,10482.89,10026.21
31281.15,10482.89,10026.21
31410.51,10482.89,10026.21
31524.22,10482.89,10026.21
31622.72,10482.89,10026.21
31715.35,10482.89,10026.21
31794.78,10482.89,10026.21
31856.54,10482.89,10026.21
31911.92,10482.89,10026.21
31962.66,10482.89,10026.21
32001.47,10482.89,10026.21
32036.94,10482.89,10026.21
32059.73,10482.89,10026.21
32072.64,10482.89,10026.21
32075.16,10482.89,10026.21
32064.26,10482.89,10026.21
32050.21,10482.89,10026.21
32030.26,10482.89,10026.21
32019.96,10482.89,10026.21
32016.46,10482.89,10026.21
32026.74,10482.89,10026.21
32021.9,10482.89,10026.21
32006.59,10482.89,10026.21
31989.93,10482.89,10026.21
31955.17,10482.89,10026.21
31908.73,10482.89,10026.21
31853.28,10482.89,10026.21
31794.27,10482.89,10026.21
31736.85,10482.89,10026.21
31677.23,10482.89,10026.21
31621.9,10482.89,10026.21
31544.72,10482.89,10026.21
31463.05,10482.89,10026.21
31366.08,10482.89,10026.21
31254.89,10482.89,10026.21
31144.54,10482.89,10026.21
31022.81,10482.89,10026.21
30893.96,10482.89,10026.21
30746.68,10482.89,10026.21
30581.42,10482.89,10026.21
30413.19,10482.89,10026.21
30252.63,10482.89,10026.21
30109.96,10482.89,10026.21
29973.02,10482.89,10026.21
29847.97,10482.89,10026.21
29732.5,10482.89,10026.21
29617.92,10482.89,10026.21
29506.7,10482.89,10026.21
29403.57,10482.89,10026.21
29294.86,10482.89,10026.21
29171.41,10482.89,10026.21
29046.83,10482.89,10026.21
28923.49,10482.89,10026.21
28801.97,10482.89,10026.21
28677.21,10482.89,10026.21
28548.8,10482.89,10026.21
28409.03,10482.89,10026.21
28255.45,10482.89,10026.21
28091.09,10482.89,10026.21
27910.22,10482.89,10026.21
27713.59,10482.89,10026.21
27512.31,10482.89,10026.21
27300.88,10482.89,10026.21
27079.45,10482.89,10026.21
26854.329999999998,10482.89,10026.21
26638.04,10482.89,10026.21
26431.6,10482.89,10026.21
26247.94,10482.89,10026.21
26071.16,10482.89,10026.21
25905.95,10482.89,10026.21
25743.7,10482.89,10026.21
25588.78,10482.89,10021.21
25446.4,10482.89,10009.55
25324.01,10482.89,10000.79
25219.5,10482.89,9995.3
25125.63,10482.89,9989.6
25051.54,10482.89,9989.6
24996.02,10482.89,9989.6
24962.59,10482.89,9989.6
24953.64,10482.89,9989.6
24969.0,10482.89,9989.6
25017.55,10482.89,9989.6
25095.13,10482.89,9989.6
25183.079999999998,10482.89,9989.6
25284.29,10482.89,9989.6
25400.95,10482.89,9989.6
25527.6,10482.89,9989.6
25668.99,10482.89,9989.6
25817.8,10482.89,9989.6
25980.71,10482.89,9989.6
26143.85,10482.89,9989.6
26313.79,10482.89,9989.6
26482.14,10482.89,9989.6
26649.65,10482.89,9989.6
26808.56,10482.89,9989.6
26964.74,10482.89,9989.6
27122.15,10482.89,9989.6
27290.67,10482.89,9989.6
27469.32,10482.89,9989.6
27659.05,10482.89,9989.6
27852.8,10482.89,9989.6
28038.65,10482.89,9989.6
28220.73,10482.89,9989.6
28395.24,10482.89,9989.6
28564.87,10482.89,9989.6
28739.83,10482.89,9989.6
28911.39,10482.89,9989.6
29082.17,10482.89,9989.6
29255.95,10482.89,9989.6
29410.23,10482.89,9989.6
29554.61,10482.89,9989.6
29692.03,10482.89,9989.6
29815.85,10482.89,9989.6
29915.55,10482.89,9989.6
29990.15,10482.89,9989.6
30041.16,10482.89,9989.6
30068.82,10482.89,9989.6
30063.91,10482.89,9989.6
30046.34,10482.89,9989.6
30024.41,10482.89,9989.6
29994.33,10482.89,9989.6
29929.85,10482.89,9989.6
29850.23,10482.89,9989.6
29757.14,10482.89,9989.6
29636.46,10482.89,9989.6
29487.68,10482.89,9989.6
29316.3,10482.89,9989.6
29119.78,10482.89,9989.6
28899.33,10482.89,9989.6
28657.07,10482.89,9989.6
28384.7,10482.89,9989.6
28097.33,10482.89,9989.6
27793.02,10482.89,9989.6
27468.85,10482.89,9989.6
27119.86,10482.89,9989.6
26749.71,10482.89,9989.6
26365.96,10482.89,9989.6
25983.0,10482.89,9989.6
25637.26,10482.89,9989.6
25318.420000000002,10482.89,9989.6
25015.42,10482.89,9989.6
24723.13,10482.89,9989.6
24442.31,10482.89,9989.6
24176.27,10482.89,9989.6
23919.45,10482.89,9989.6
23660.75,10482.89,9989.6
23399.79,10482.89,9989.6
23131.14,10482.89,9989.6
22867.4,10482.89,9989.6
22622.4,10482.89,9989.6
22404.32,10482.89,9989.6
22218.8,10482.89,9989.6
22061.78,10482.89,9989.6
21928.49,10482.89,9989.6
21821.73,10482.89,9989.6
21741.27,10482.89,9989.6
21678.64,10482.89,9989.6
21634.87,10482.89,9985.55
21615.07,10482.89,9978.17
21624.79,10482.89,9974.81
21660.85,10482.89,9974.81
21722.18,10482.89,9974.81
21801.61,10482.89,9974.81
21906.0,10482.89,9974.81
22049.11,10482.89,9974.81
22224.02,10482.89,9974.81
22407.73,10482.89,9974.81
22595.77,10482.89,9959.77
22781.25,10482.89,9929.0
22987.99,10482.89,9892.69
23203.54,10482.89,9858.77
23420.1,10482.89,9832.44
23638.95,10482.89,9821.54
23867.99,10482.89,9821.54
24099.44,10482.89,9821.54
24340.88,10482.89,9821.54
24581.94,10482.89,9821.54
24812.17,10482.89,9821.54
25038.71,10482.89,9821.54
25255.97,10482.89,9821.54
25474.71,10482.89,9821.54
25700.11,10482.89,9821.54
25948.420000000002,10482.89,9821.54
26212.85,10482.89,9821.54
26493.8,10482.89,9821.54
26764.19,10482.89,9821.54
26985.99,10482.89,9821.54
27180.22,10482.89,9821.54
27343.15,10482.89,9821.54
27485.68,10482.89,9821.54
27606.38,10482.89,9821.54
27714.43,10482.89,9821.54
27810.37,10482.89,9821.54
27889.15,10482.89,9821.54
27958.08,10482.89,9821.54
28006.14,10482.89,9821.54
28025.07,10482.89,9821.54
28012.47,10482.89,9821.54
27964.49,10482.89,9821.54
27878.15,10482.89,9821.54
27753.28,10482.89,9821.54
27573.14,10482.89,9821.54
27355.02,10482.89,9821.54
27117.88,10482.89,9821.54
26866.81,10482.89,9821.54
26602.06,10482.89,9821.54
26313.23,10482.89,9815.71
26003.9,10482.89,9807.73
25686.12,10482.89,9797.79
25360.46,10482.89,9787.22
25047.04,10482.89,9780.67
24747.82,10482.89,9776.42
24456.94,10482.89,9771.35
24183.35,10482.89,9758.31
23916.64,10482.89,9734.85
23658.77,10482.89,9704.65
23402.69,10482.89,9673.66
23139.99,10482.89,9648.54
22874.4,10482.89,9630.78
22620.97,10482.89,9617.41
22384.57,10482.89,9604.47
22153.12,10482.89,9604.47
21945.52,10482.89,9604.47
21734.96,10482.89,9604.47
21529.71,10482.89,9604.47
21334.01,10482.89,9604.47
21148.74,10482.89,9604.47
20977.47,10482.89,9604.47
20818.34,10482.89,9604.47
20674.45,10482.89,9604.47
20540.97,10482.89,9604.47
