slack_0,non_interrupt,interrupt
13063.33,9133.12,6622.74
13130.61,9133.12,6622.74
13193.25,9133.12,6622.74
13277.53,9133.12,6622.74
13368.67,9133.12,6622.74
13444.28,9133.12,6622.74
13433.1,9133.12,6622.74
13409.23,9133.12,6622.74
13345.08,9133.12,6622.74
13280.2,9133.12,6622.74
13250.8,9133.12,6622.74
13208.61,9133.12,6622.74
13137.61,9133.12,6622.74
13128.25,9133.12,6622.74
13054.94,9133.12,6622.74
12954.04,9133.12,6622.74
12854.28,9133.12,6622.74
12784.24,9133.12,6622.74
12717.29,9133.12,6622.74
12689.39,9133.12,6591.4
12708.06,9133.12,6591.4
12791.58,9133.12,6591.4
12891.25,9133.12,6591.4
12876.57,9133.12,6591.4
12825.38,9133.12,6591.4
12793.97,9133.12,6591.4
12771.78,9133.12,6591.4
12778.23,9133.12,6591.4
12740.77,9133.12,6591.4
12710.09,9133.12,6591.4
12671.06,9133.12,6591.4
12664.210000000001,9133.12,6591.4
12707.67,9133.12,6591.4
12735.54,9133.12,6591.4
12732.96,9133.12,6591.4
12735.11,9133.12,6591.4
12734.83,9133.12,6591.4
12727.68,9133.12,6591.4
12753.17,9133.12,6591.4
12746.52,9133.12,6591.4
12775.82,9133.12,6591.4
12778.96,9133.12,6591.4
12824.72,9133.12,6591.4
12916.9,9133.12,6591.4
12986.66,9133.12,6591.4
13021.56,9133.12,6591.4
13084.16,9133.12,6591.4
13100.15,9133.12,6591.4
13169.32,9133.12,6591.4
13235.87,9133.12,6591.4
13301.16,9133.12,6591.4
13357.44,9133.12,6591.4
13396.54,9133.12,6591.4
13417.23,9133.12,6591.4
13469.17,9133.12,6591.4
13507.25,9133.12,6591.4
13522.26,9133.12,6591.4
13559.23,9133.12,6591.4
13590.33,9133.12,6591.4
13628.75,9133.12,6591.4
13724.61,9133.12,6591.4
13819.51,9133.12,6591.4
13960.59,9133.12,6591.4
14115.25,9133.12,6591.4
14246.93,9133.12,6591.4
14391.34,9133.12,6595.76
14566.52,9133.12,6602.57
14744.01,9133.12,6602.57
14849.75,9133.12,6602.57
14938.08,9133.12,6602.57
14995.8,9133.12,6602.57
15109.880000000001,9133.12,6602.57
15232.74,9133.12,6602.57
15350.09,9133.12,6602.57
15467.99,9133.12,6602.57
15566.79,9133.12,6602.57
15709.4,9133.12,6602.57
15883.95,9133.12,6602.57
16033.63,9133.12,6602.57
16157.0,9133.12,6602.57
16285.77,9133.12,6602.57
16414.68,9133.12,6602.57
16573.06,9133.12,6602.57
16678.39,9133.12,6602.57
16760.9,9133.12,6602.57
16879.16,9133.12,6602.57
17034.37,9133.12,6602.57
17135.6,9133.12,6602.57
17167.76,9133.12,6602.57
17201.09,9133.12,6602.57
17179.52,9133.12,6602.57
17152.74,9133.12,6602.57
17180.65,9133.12,6602.57
17284.53,9133.12,6602.57
17399.12,9133.12,6602.57
17485.71,9133.12,6602.57
17463.63,9133.12,6602.57
17443.17,9133.12,6602.57
17432.19,9133.12,6602.57
17441.9,9133.12,6602.57
17461.5,9133.12,6602.57
17460.44,9133.12,6602.57
17497.76,9133.12,6602.57
17535.51,9133.12,6602.57
17622.75,9133.12,6602.57
17705.13,9133.12,6602.57
17774.44,9133.12,6602.57
17791.93,9133.12,6602.57
17772.66,9133.12,6602.57
17721.19,9133.12,6602.57
17649.06,9133.12,6602.57
17525.18,9133.12,6602.57
17433.66,9133.12,6602.57
17329.79,9133.12,6602.57
17195.78,9133.12,6602.57
17060.59,9133.12,6602.57
16943.03,9133.12,6602.57
16794.93,9133.12,6602.57
16677.18,9133.12,6602.57
16570.84,9133.12,6602.57
16493.76,9133.12,6602.57
16412.28,9133.12,6602.57
16335.83,9133.12,6602.57
16255.380000000001,9133.12,6602.57
16160.52,9133.12,6602.57
16079.17,9133.12,6602.57
16040.14,9133.12,6602.57
15982.0,9133.12,6602.57
15893.56,9133.12,6602.57
15802.8,9133.12,6566.99
15750.22,9133.12,6512.41
15735.66,9133.12,6452.83
15765.08,9133.12,6402.78
15710.9,9133.12,6348.88
15612.83,9133.12,6326.12
15584.32,9133.12,6317.14
15596.74,9133.12,6314.63
15620.95,9133.12,6310.01
15687.42,9133.12,6303.26
15842.93,9133.12,6303.26
15926.68,9133.12,6303.26
15883.97,9133.12,6303.26
15774.85,9133.12,6303.26
15685.57,9133.12,6303.26
15689.07,9133.12,6303.26
15693.460000000001,9133.12,6303.26
15709.79,9133.12,6303.26
15713.69,9133.12,6303.26
15730.66,9133.12,6303.26
15813.11,9133.12,6303.26
15939.77,9133.12,6303.26
16036.94,9133.12,6303.26
16115.17,9133.12,6303.26
16176.52,9133.12,6303.26
16218.32,9133.12,6299.61
16329.55,9133.12,6299.61
16426.59,9133.12,6299.61
16505.2,9133.12,6299.61
16581.52,9133.12,6299.61
16653.25,9133.12,6299.61
16753.64,9133.12,6299.61
16830.91,9133.12,6299.61
16907.12,9133.12,6299.61
17079.57,9133.12,6299.61
17272.94,9133.12,6299.61
17456.73,9133.12,6299.61
17742.0,9133.12,6299.61
17990.33,9133.12,6299.61
18112.23,9133.12,6299.61
18229.19,9133.12,6299.61
18375.4,9133.12,6299.61
18480.51,9133.12,6299.61
18571.66,9133.12,6299.61
18635.19,9133.12,6299.61
18671.79,9133.12,6299.61
18693.14,9133.12,6299.61
18717.01,9133.12,6299.61
18747.94,9133.12,6299.61
18753.72,9133.12,6299.61
18763.14,9133.12,6299.61
18751.11,9133.12,6299.61
18798.83,9133.12,6299.61
18856.53,9133.12,6299.61
18919.4,9133.12,6299.61
18973.68,9133.12,6299.61
19033.43,9133.12,6299.61
19065.5,9133.12,6299.61
19020.89,9133.12,6299.61
19004.81,9133.12,6299.61
19131.9,9133.12,6299.61
19326.72,9133.12,6299.61
19515.08,9133.12,6299.61
19648.54,9133.12,6299.61
19768.26,9133.12,6299.61
19872.35,9133.12,6299.61
19976.13,9133.12,6299.61
20064.12,9133.12,6299.61
20120.6,9133.12,6299.61
20017.26,9133.12,6299.61
19955.16,9133.12,6299.61
19896.74,9133.12,6299.61
19847.3,9133.12,6299.61
19818.94,9133.12,6299.61
19781.17,9133.12,6299.61
19790.36,9133.12,6299.61
19864.07,9133.12,6299.61
19931.64,9133.12,6299.61
20040.23,9133.12,6299.61
20119.9,9133.12,6299.61
20243.57,9133.12,6299.61
20396.47,9133.12,6299.61
20452.94,9133.12,6299.61
20556.63,9133.12,6299.61
20723.23,9133.12,6299.61
20750.98,9133.12,6299.61
20741.94,9133.12,6299.61
20753.04,9133.12,6299.61
20791.0,9133.12,6299.61
20798.93,9133.12,6299.61
20848.68,9133.12,6299.61
20929.04,9133.12,6299.61
20976.66,9133.12,6299.61
20975.31,9133.12,6299.61
21036.02,9133.12,6299.61
21099.83,9133.12,6299.61
21180.46,9133.12,6299.61
21274.9,9133.12,6299.61
21364.33,9133.12,6298.34
21453.010000000002,9133.12,6297.81
21563.16,9133.12,6297.81
21680.19,9133.12,6297.81
21776.46,9133.12,6297.81
21826.74,9133.12,6297.81
21861.18,9133.12,6297.81
21892.09,9133.12,6297.81
21934.57,9133.12,6297.81
21945.05,9133.12,6297.81
21859.28,9133.12,6297.81
21730.16,9133.12,6297.81
21575.89,9133.12,6297.81
21428.75,9133.12,6297.81
21283.920000000002,9133.12,6297.81
21133.14,9133.12,6297.81
20981.63,9133.12,6297.81
20830.82,9133.12,6297.81
20693.28,9133.12,6297.81
20603.13,9133.12,6297.81
20463.7,9133.12,6297.81
20345.34,9133.12,6297.81
20230.08,9133.12,6297.81
20137.81,9133.12,6297.81
20043.59,9133.12,6297.81
19944.38,9133.12,6297.81
19842.1,9133.12,6297.81
19739.12,9133.12,6297.81
19636.26,9133.12,6297.81
19503.74,9133.12,6297.81
19381.23,9133.12,6297.81
19240.45,9133.12,6297.81
19096.58,9133.12,6297.81
18938.21,9133.12,6297.81
18741.920000000002,9133.12,6297.81
18554.03,9133.12,6297.81
18373.65,9133.12,6297.81
18253.170000000002,9133.12,6297.81
18111.9,9133.12,6297.81
17968.05,9133.12,6297.81
17826.93,9133.12,6297.81
17645.97,9133.12,6297.81
17510.76,9133.12,6297.81
17440.46,9133.12,6297.81
17349.34,9133.12,6297.81
17215.08,9133.12,6297.81
17026.86,9133.12,6297.81
16832.12,9133.12,6297.81
16647.86,9133.12,6297.81
16444.38,9133.12,6297.81
16209.67,9133.12,6297.81
16078.11,9133.12,6297.81
15980.33,9133.12,6297.81
15936.94,9133.12,6297.81
15920.210000000001,9133.12,6267.4
15899.61,9133.12,6223.29
15857.0,9133.12,6223.29
15838.32,9133.12,6223.29
15806.15,9133.12,6223.29
15709.58,9133.12,6223.29
15669.56,9133.12,6223.29
15612.970000000001,9133.12,6223.29
15554.51,9133.12,6223.29
15506.1,9133.12,6223.29
15464.75,9133.12,6223.29
15425.36,9133.12,6223.29
15400.630000000001,9133.12,6223.29
15511.12,9133.12,6223.29
15642.42,9133.12,6223.29
15744.72,9133.12,6223.29
15783.04,9133.12,6223.29
15779.15,9133.12,6223.29
15756.14,9133.12,6223.29
15723.41,9133.12,6223.29
15676.85,9133.12,6193.32
15596.31,9133.12,6164.78
15517.2,9133.12,6164.78
15450.98,9133.12,6162.72
15365.61,9133.12,6143.14
15287.98,9133.12,6130.17
15234.77,9133.12,6130.17
15081.84,9133.12,6130.17
14871.94,9133.12,6130.17
14699.460000000001,9133.12,6130.17
14516.62,9133.12,6130.17
14419.960000000001,9133.12,6130.17
14342.75,9133.12,6130.17
14259.33,9133.12,6130.17
14161.95,9133.12,6130.17
14096.51,9133.12,6130.17
14027.1,9133.12,6130.17
13965.91,9133.12,6130.17
13913.61,9133.12,6130.17
13787.51,9133.12,6130.17
13707.41,9133.12,6130.17
13610.87,9133.12,6130.17
13516.45,9133.12,6130.17
13436.5,9133.12,6130.17
13352.26,9133.12,6130.17
13154.39,9133.12,6130.17
12960.210000000001,9133.12,6130.17
12758.12,9133.12,6130.17
12547.35,9133.12,6130.17
12328.37,9133.12,6130.17
12117.63,9133.12,6130.17
11922.1,9133.12,6130.17
11736.21,9133.12,6130.17
11637.55,9133.12,6130.17
11527.35,9133.12,6130.17
11425.75,9133.12,6130.17
11321.02,9133.12,6130.17
11216.11,9133.12,6130.17
11103.45,9133.12,6130.17
10994.44,9133.12,6130.17
10864.15,9133.12,6130.17
10666.21,9133.12,6130.17
10509.79,9133.12,6130.17
10318.72,9133.12,6130.17
10172.66,9133.12,6115.86
10038.58,9133.12,6105.24
9916.16,9133.12,6094.66
9810.65,9133.12,6076.13
9699.78,9133.12,6075.29
9614.28,9133.12,6067.58
9518.48,9133.12,6052.84
9456.76,9133.12,6042.01
9385.05,9133.12,6042.01
9294.11,9133.12,6042.01
9181.02,9133.12,6042.01
9133.12,9133.12,6042.01
9137.85,9137.85,6042.01
9144.22,9144.22,6042.01
9189.74,9189.74,6042.01
9193.36,9193.36,6042.01
9200.56,9200.56,6042.01
9216.96,9216.96,6042.01
9259.91,9259.91,6042.01
9386.62,9386.62,6042.01
9427.95,9413.56,6042.01
9432.49,9413.56,6042.01
9413.56,9413.56,6002.87
9499.2,9499.2,5963.77
9623.4,9623.4,5935.78
9821.04,9756.56,5913.64
10012.18,9645.87,5880.54
10229.95,9517.46,5850.67
10480.56,9405.82,5831.07
10712.42,9309.92,5832.66
10941.65,9198.27,5808.62
11160.27,9077.05,5775.61
11417.67,8955.16,5742.43
11673.72,8848.61,5718.31
11925.22,8778.25,5717.07
12157.54,8730.81,5717.07
12320.630000000001,8646.7,5717.07
12471.710000000001,8558.27,5717.07
12597.25,8465.83,5717.07
12740.0,8407.82,5717.07
12895.58,8355.35,5717.07
13040.25,8304.85,5717.07
13190.94,8253.11,5717.07
13351.52,8197.23,5717.07
13521.41,8123.26,5717.07
13614.7,8064.29,5717.07
13660.14,7990.41,5717.07
13724.06,7924.53,5679.34
13826.87,7879.17,5631.83
13937.01,7831.69,5585.55
14051.0,7802.88,5557.86
14205.71,7781.77,5530.57
14384.59,7742.86,5503.24
14581.8,7693.51,5458.33
14812.22,7643.38,5423.51
15019.3,7602.93,5386.75
15237.47,7549.86,5366.72
15426.99,7492.19,5357.05
15478.54,7414.94,5349.29
