slack_0,non_interrupt,interrupt
8342.38,3725.08,3379.07
8421.65,3725.08,3379.07
8497.72,3725.08,3379.07
8565.49,3725.08,3379.07
8630.59,3725.08,3379.07
8698.94,3725.08,3379.07
8768.53,3725.08,3379.07
8831.43,3725.08,3379.07
8888.31,3725.08,3379.07
8943.96,3725.08,3379.07
9003.25,3725.08,3379.07
9060.49,3725.08,3379.07
9113.95,3725.08,3379.07
9158.38,3725.08,3379.07
9183.07,3725.08,3379.07
9200.87,3725.08,3379.07
9229.57,3725.08,3379.07
9280.5,3725.08,3379.07
9333.28,3725.08,3379.07
9377.56,3725.08,3379.07
9412.94,3725.08,3379.07
9445.24,3725.08,3379.07
9477.13,3725.08,3379.07
9506.23,3725.08,3379.07
9512.81,3725.08,3379.07
9505.92,3725.08,3379.07
9493.45,3725.08,3379.07
9478.21,3725.08,3379.07
9459.94,3725.08,3379.07
9454.48,3725.08,3379.07
9453.84,3725.08,3379.07
9441.3,3725.08,3379.07
9415.02,3725.08,3379.07
9394.11,3725.08,3379.07
9378.82,3725.08,3379.07
9367.1,3725.08,3379.07
9363.98,3725.08,3379.07
9356.65,3725.08,3379.07
9324.69,3725.08,3379.07
9291.22,3725.08,3379.07
9240.0,3725.08,3379.07
9154.58,3725.08,3379.07
9053.45,3725.08,3379.07
8959.67,3725.08,3379.07
8865.23,3725.08,3379.07
8759.05,3725.08,3379.07
8645.92,3725.08,3379.07
8533.46,3725.08,3379.07
8429.869999999999,3725.08,3379.07
8331.73,3725.08,3379.07
8235.18,3725.08,3379.07
8146.69,3725.08,3379.07
8063.34,3725.08,3379.07
7982.5199999999995,3725.08,3379.07
7900.85,3725.08,3379.07
7821.92,3725.08,3379.07
7755.34,3725.08,3379.07
7704.5599999999995,3725.08,3379.07
7664.62,3725.08,3379.07
7628.89,3725.08,3379.07
7599.24,3725.08,3379.07
7579.1,3725.08,3379.07
7572.54,3725.08,3379.07
7584.67,3725.08,3379.07
7594.53,3725.08,3379.07
7592.55,3725.08,3379.07
7579.58,3725.08,3379.07
7568.5199999999995,3725.08,3379.07
7574.79,3725.08,3379.07
7589.11,3725.08,3379.07
7616.86,3725.08,3379.07
7647.35,3725.08,3379.07
7688.63,3725.08,3379.07
7730.43,3725.08,3379.07
7769.59,3725.08,3379.07
7814.32,3725.08,3379.07
7858.81,3725.08,3379.07
7894.11,3725.08,3379.07
7925.95,3725.08,3379.07
7953.35,3725.08,3379.07
7980.66,3725.08,3379.07
7981.78,3725.08,3379.07
7977.33,3725.08,3379.07
7975.13,3725.08,3379.07
7969.1,3725.08,3379.07
7961.69,3725.08,3379.07
7968.27,3725.08,3379.07
7973.39,3725.08,3379.07
7989.43,3725.08,3379.07
8024.9800000000005,3725.08,3379.07
8057.37,3725.08,3379.07
8088.9800000000005,3725.08,3379.07
8125.12,3725.08,3379.07
8170.64,3725.08,3379.07
8222.04,3725.08,3379.07
8283.9,3725.08,3379.07
8351.95,3725.08,3379.07
8418.14,3725.08,3379.07
8489.0,3725.08,3379.07
8541.88,3725.08,3379.07
8592.18,3725.08,3379.07
8645.18,3725.08,3379.07
8698.27,3725.08,3379.07
8755.02,3725.08,3379.07
8794.49,3725.08,3379.07
8825.72,3725.08,3379.07
8851.13,3725.08,3379.07
8866.97,3725.08,3379.07
8881.67,3725.08,3379.07
8890.71,3725.08,3379.07
8901.02,3725.08,3379.07
8893.48,3725.08,3379.07
8886.03,3725.08,3379.07
8892.84,3725.08,3379.07
8916.76,3725.08,3379.07
8945.36,3725.08,3379.07
8968.41,3725.08,3379.07
8978.76,3725.08,3379.07
8980.42,3725.08,3379.07
8978.62,3725.08,3379.07
8977.72,3725.08,3379.07
8979.5,3725.08,3379.07
8977.46,3725.08,3379.07
8968.44,3725.08,3379.07
8952.25,3725.08,3379.07
8926.42,3725.08,3379.07
8898.74,3725.08,3379.07
8869.4,3725.08,3379.07
8841.63,3725.08,3379.07
8825.93,3725.08,3379.07
8808.42,3725.08,3379.07
8790.06,3725.08,3379.07
8768.61,3725.08,3379.07
8747.81,3725.08,3379.07
8723.38,3725.08,3379.07
8702.61,3725.08,3379.07
8672.55,3725.08,3379.07
8626.75,3725.08,3379.07
8573.88,3725.08,3379.07
8517.14,3725.08,3379.07
8457.34,3725.08,3379.07
8398.78,3725.08,3379.07
8335.57,3725.08,3379.07
8263.06,3725.08,3379.07
8187.3,3725.08,3379.07
8109.9400000000005,3725.08,3379.07
8030.64,3725.08,3379.07
7961.4,3725.08,3379.07
7886.67,3725.08,3379.07
7805.0,3725.08,3379.07
7720.5,3725.08,3379.07
7639.65,3725.08,3379.07
7571.27,3725.08,3379.07
7511.52,3725.08,3379.07
7448.43,3725.08,3379.07
7394.65,3725.08,3379.07
7338.86,3725.08,3379.07
7285.95,3725.08,3379.07
7228.77,3725.08,3379.07
7171.87,3725.08,3379.07
7100.36,3725.08,3379.07
7008.6900000000005,3725.08,3379.07
6906.74,3725.08,3379.07
6802.81,3725.08,3379.07
6695.08,3725.08,3379.07
6596.13,3725.08,3379.07
6499.89,3725.08,3379.07
6417.55,3725.08,3379.07
6352.41,3725.08,3379.07
6288.25,3725.08,3379.07
6233.52,3725.08,3379.07
6188.2,3725.08,3379.07
6155.28,3725.08,3379.07
6135.92,3725.08,3379.07
6129.08,3725.08,3379.07
6138.37,3725.08,3379.07
6161.37,3725.08,3379.07
6196.77,3725.08,3379.07
6240.06,3725.08,3379.07
6282.9800000000005,3725.08,3379.07
6323.9800000000005,3725.08,3379.07
6367.63,3725.08,3379.07
6418.64,3725.08,3379.07
6471.52,3725.08,3379.07
6523.57,3725.08,3379.07
6583.85,3725.08,3379.07
6654.31,3725.08,3379.07
6723.36,3725.08,3379.07
6803.31,3725.08,3379.07
6887.03,3725.08,3379.07
6973.09,3725.08,3379.07
7062.54,3725.08,3379.07
7139.17,3725.08,3379.07
7212.11,3725.08,3379.07
7281.01,3725.08,3379.07
7350.3,3725.08,3379.07
7426.77,3725.08,3379.07
7509.58,3725.08,3379.07
7598.96,3725.08,3379.07
7693.9400000000005,3725.08,3379.07
7790.7,3725.08,3379.07
7883.82,3725.08,3379.07
7975.45,3725.08,3379.07
8064.9800000000005,3725.08,3379.07
8156.22,3725.08,3379.07
8241.09,3725.08,3379.07
8322.84,3725.08,3379.07
8408.23,3725.08,3379.07
8497.18,3725.08,3379.07
8588.29,3725.08,3379.07
8680.31,3725.08,3379.07
8771.32,3725.08,3379.07
8863.61,3725.08,3379.07
8958.67,3725.08,3379.07
9052.0,3725.08,3379.07
9126.73,3725.08,3379.07
9175.53,3725.08,3379.07
9231.22,3725.08,3379.07
9288.61,3725.08,3379.07
9334.95,3725.08,3379.07
9372.95,3725.08,3379.07
9404.62,3725.08,3379.07
9430.53,3725.08,3379.07
9453.35,3725.08,3379.07
9475.44,3725.08,3379.07
9483.46,3725.08,3379.07
9477.98,3725.08,3379.07
9468.49,3725.08,3379.07
9467.31,3725.08,3379.07
9468.53,3725.08,3379.07
9468.47,3725.08,3379.07
9464.67,3725.08,3379.07
9471.77,3725.08,3379.07
9488.54,3725.08,3379.07
9505.33,3725.08,3379.07
9531.13,3725.08,3379.07
9552.21,3725.08,3379.07
9575.36,3725.08,3379.07
9601.15,3725.08,3379.07
9620.46,3725.08,3379.07
9634.33,3725.08,3379.07
9653.51,3725.08,3379.07
9676.12,3725.08,3379.07
9696.48,3725.08,3379.07
9718.38,3725.08,3379.07
9750.55,3725.08,3379.07
9790.5,3725.08,3379.07
9823.55,3725.08,3379.07
9859.42,3725.08,3379.07
9898.19,3725.08,3379.07
9936.97,3725.08,3379.07
9972.08,3725.08,3379.07
10008.67,3725.08,3379.07
10051.64,3725.08,3379.07
10097.869999999999,3725.08,3379.07
10151.03,3725.08,3379.07
10210.92,3725.08,3379.07
10274.79,3725.08,3379.07
10335.11,3725.08,3379.07
10397.12,3725.08,3379.07
10460.3,3725.08,3379.07
10527.72,3725.08,3379.07
10606.49,3725.08,3379.07
10693.62,3725.08,3379.07
10777.93,3725.08,3379.07
10860.22,3725.08,3379.07
10939.27,3725.08,3379.07
11021.45,3725.08,3379.07
11108.56,3725.08,3379.07
11194.37,3725.08,3379.07
11275.79,3725.08,3379.07
11359.64,3725.08,3379.07
11433.76,3725.08,3379.07
11518.28,3725.08,3379.07
11611.02,3725.08,3379.07
11711.17,3725.08,3379.07
11806.29,3725.08,3379.07
11900.83,3725.08,3379.07
11998.13,3725.08,3379.07
12094.8,3725.08,3379.07
12193.51,3725.08,3379.07
12282.91,3725.08,3379.07
12373.5,3725.08,3379.07
12458.81,3725.08,3379.07
12543.16,3725.08,3379.07
12627.17,3725.08,3379.07
12711.02,3725.08,3379.07
12794.44,3725.08,3379.07
12843.58,3725.08,3379.07
12891.59,3725.08,3379.07
12945.72,3725.08,3379.07
13005.2,3725.08,3379.07
13056.73,3725.08,3379.07
13095.23,3725.08,3379.07
13123.9,3725.08,3379.07
13137.22,3725.08,3379.07
13143.36,3725.08,3379.07
13131.97,3725.08,3379.07
13115.88,3725.08,3379.07
13104.03,3725.08,3379.07
13093.4,3725.08,3379.07
13085.28,3725.08,3379.07
13081.41,3725.08,3379.07
13076.14,3725.08,3379.07
13072.1,3725.08,3379.07
13074.16,3725.08,3379.07
13064.2,3725.08,3379.07
13050.52,3725.08,3379.07
13039.3,3725.08,3379.07
13023.8,3725.08,3379.07
13006.37,3725.08,3379.07
12992.86,3725.08,3379.07
12983.4,3725.08,3379.07
12970.39,3725.08,3379.07
12960.09,3725.08,3379.07
12950.95,3725.08,3379.07
12936.48,3725.08,3379.07
12926.28,3725.08,3379.07
12925.42,3725.08,3379.07
12922.32,3725.08,3379.07
12927.76,3725.08,3379.07
12907.75,3725.08,3379.07
12875.62,3725.08,3379.07
12846.79,3725.08,3379.07
12811.76,3725.08,3379.07
12775.67,3725.08,3379.07
