slack_0,non_interrupt,interrupt
6750.53,2542.5,2104.75
6915.52,2542.5,2104.75
7094.42,2542.5,2104.75
7265.13,2542.5,2104.75
7426.25,2542.5,2104.75
7579.32,2542.5,2104.75
7761.74,2542.5,2104.75
7908.0199999999995,2542.5,2104.75
8018.0,2542.5,2104.75
8129.69,2542.5,2104.75
8268.98,2542.5,2104.75
8413.97,2542.5,2104.75
8554.58,2542.5,2104.75
8685.8,2542.5,2104.75
8793.98,2542.5,2104.75
8899.02,2542.5,2104.75
9018.26,2542.5,2104.75
9137.44,2542.5,2104.75
9222.74,2542.5,2104.75
9306.83,2542.5,2104.75
9416.45,2542.5,2104.75
9537.91,2542.5,2104.75
9650.039999999999,2542.5,2104.75
9736.16,2542.5,2104.75
9780.18,2542.5,2104.75
9768.27,2542.5,2104.75
9740.69,2542.5,2104.75
9710.11,2542.5,2104.75
9673.3,2542.5,2104.75
9623.47,2542.5,2104.75
9581.52,2542.5,2104.75
9549.34,2542.5,2104.75
9470.869999999999,2542.5,2104.75
9391.9,2542.5,2104.75
9330.539999999999,2542.5,2104.75
9269.92,2542.5,2104.75
9208.45,2542.5,2104.75
9148.18,2542.5,2104.75
9080.63,2542.5,2104.75
9001.85,2542.5,2104.75
8906.789999999999,2542.5,2104.75
8800.45,2542.5,2104.75
8717.46,2542.5,2104.75
8656.59,2542.5,2104.75
8623.6,2542.5,2104.75
8592.2,2542.5,2104.75
8517.13,2542.5,2104.75
8379.38,2542.5,2104.75
8246.6,2542.5,2104.75
8098.07,2542.5,2104.75
7926.6,2542.5,2104.75
7763.99,2542.5,2104.75
7613.6,2542.5,2104.75
7475.16,2542.5,2104.75
7313.62,2542.5,2104.75
7231.45,2542.5,2104.75
7198.66,2542.5,2104.75
7172.73,2542.5,2104.75
7119.91,2542.5,2104.75
7067.51,2542.5,2104.75
7011.19,2542.5,2104.75
6957.53,2542.5,2104.75
6922.77,2542.5,2104.75
6882.1,2542.5,2104.75
6821.87,2542.5,2104.75
6770.81,2542.5,2104.75
6751.87,2542.5,2104.75
6738.83,2542.5,2104.75
6715.28,2542.5,2104.75
6694.98,2542.5,2104.75
6692.05,2542.5,2104.75
6705.46,2542.5,2104.75
6749.43,2542.5,2104.75
6831.34,2542.5,2104.75
6915.8,2542.5,2104.75
7019.41,2542.5,2104.75
7131.9,2542.5,2104.75
7259.32,2542.5,2104.75
7355.41,2542.5,2104.75
7468.03,2542.5,2104.75
7561.79,2542.5,2104.75
7639.37,2542.5,2104.75
7698.27,2542.5,2104.75
7751.31,2542.5,2104.75
7808.79,2542.5,2104.75
7868.86,2542.5,2104.75
7927.79,2542.5,2104.75
7993.39,2542.5,2104.75
8064.07,2542.5,2104.75
8133.13,2542.5,2104.75
8207.45,2542.5,2104.75
8267.53,2542.5,2104.75
8292.51,2542.5,2104.75
8319.84,2542.5,2104.75
8363.75,2542.5,2104.75
8417.29,2542.5,2104.75
8490.37,2542.5,2104.75
8543.460000000001,2542.5,2104.75
8590.01,2542.5,2104.75
8627.880000000001,2542.5,2104.75
8666.95,2542.5,2104.75
8702.130000000001,2542.5,2104.75
8725.16,2542.5,2104.75
8705.25,2542.5,2104.75
8676.95,2542.5,2104.75
8654.51,2542.5,2104.75
8643.81,2542.5,2104.75
8631.65,2542.5,2104.75
8641.89,2542.5,2104.75
8656.66,2542.5,2104.75
8687.24,2542.5,2104.75
8729.380000000001,2542.5,2104.75
8775.69,2542.5,2104.75
8833.91,2542.5,2104.75
8868.32,2542.5,2104.75
8901.26,2542.5,2104.75
8936.95,2542.5,2104.75
8969.9,2542.5,2104.75
8990.19,2542.5,2104.75
9033.75,2542.5,2104.75
9064.18,2542.5,2104.75
9100.1,2542.5,2104.75
9142.380000000001,2542.5,2104.75
9164.45,2542.5,2104.75
9173.59,2542.5,2104.75
9174.61,2542.5,2104.75
9200.14,2542.5,2104.75
9181.5,2542.5,2104.75
9132.82,2542.5,2104.75
9075.78,2542.5,2104.75
9008.94,2542.5,2104.75
8955.1,2542.5,2104.75
8891.16,2542.5,2104.75
8817.77,2542.5,2104.75
8745.36,2542.5,2104.75
8660.59,2542.5,2104.75
8562.48,2542.5,2104.75
8468.64,2542.5,2104.75
8373.32,2542.5,2104.75
8271.32,2542.5,2104.75
8183.75,2542.5,2104.75
8091.87,2542.5,2104.75
7990.66,2542.5,2104.75
7912.9,2542.5,2104.75
7830.35,2542.5,2104.75
7757.06,2542.5,2104.75
7689.23,2542.5,2104.75
7618.52,2542.5,2104.75
7542.19,2542.5,2104.75
7468.97,2542.5,2104.75
7393.62,2542.5,2104.75
7332.75,2542.5,2104.75
7273.55,2542.5,2104.75
7197.79,2542.5,2104.75
7116.75,2542.5,2104.75
7036.43,2542.5,2104.75
6938.61,2542.5,2104.75
6837.16,2542.5,2104.75
6717.08,2542.5,2104.75
6592.07,2542.5,2104.75
6463.51,2542.5,2104.75
6328.49,2542.5,2104.75
6243.5599999999995,2542.5,2104.75
6160.44,2542.5,2104.75
6068.34,2542.5,2104.75
5966.96,2542.5,2104.75
5870.57,2542.5,2104.75
5742.04,2542.5,2104.75
5644.45,2542.5,2104.75
5547.62,2542.5,2104.75
5448.98,2542.5,2104.75
5359.47,2542.5,2104.75
5280.06,2542.5,2104.75
5209.3,2542.5,2104.75
5152.18,2542.5,2104.75
5155.77,2542.5,2104.75
5210.31,2542.5,2104.75
5288.68,2542.5,2104.75
5392.47,2542.5,2104.75
5498.58,2542.5,2104.75
5612.43,2542.5,2104.75
5739.92,2542.5,2104.75
5873.84,2542.5,2104.75
6015.88,2542.5,2104.75
6157.85,2542.5,2104.75
6290.37,2542.5,2104.75
6414.34,2542.5,2104.75
6547.29,2542.5,2104.75
6680.0,2542.5,2104.75
6812.72,2542.5,2104.75
6958.19,2542.5,2104.75
7110.2,2542.5,2104.75
7253.03,2542.5,2104.75
7396.95,2542.5,2104.75
7536.27,2542.5,2104.75
7678.1,2542.5,2104.75
7832.27,2542.5,2104.75
8008.25,2542.5,2104.75
8132.77,2542.5,2104.75
8277.3,2542.5,2104.75
8402.88,2542.5,2104.75
8537.24,2542.5,2104.75
8676.53,2542.5,2104.75
8829.64,2542.5,2104.75
8989.8,2542.5,2104.75
9158.56,2542.5,2104.75
9334.24,2542.5,2104.75
9518.74,2542.5,2104.75
9713.380000000001,2542.5,2104.75
9900.72,2542.5,2104.75
10034.2,2542.5,2104.75
10142.32,2542.5,2104.75
10255.13,2542.5,2104.75
10379.48,2542.5,2104.75
10501.04,2542.5,2104.75
10630.44,2542.5,2104.75
10731.64,2542.5,2104.75
10810.960000000001,2542.5,2104.75
10872.45,2542.5,2104.75
10933.17,2542.5,2104.75
10992.6,2542.5,2104.75
11054.630000000001,2542.5,2104.75
11103.61,2542.5,2104.75
11091.78,2542.5,2104.75
11076.84,2542.5,2104.75
11062.24,2542.5,2104.75
11030.95,2542.5,2104.75
10977.960000000001,2542.5,2104.75
10921.38,2542.5,2104.75
10871.72,2542.5,2104.75
10822.29,2542.5,2104.75
10784.66,2542.5,2104.75
10757.48,2542.5,2104.75
10760.52,2542.5,2104.75
10750.5,2542.5,2104.75
10753.28,2542.5,2104.75
10728.91,2542.5,2104.75
10706.97,2542.5,2104.75
10656.16,2542.5,2104.75
10596.9,2542.5,2104.75
10565.33,2542.5,2104.75
10539.710000000001,2542.5,2104.75
10528.78,2542.5,2104.75
10520.8,2542.5,2104.75
10504.12,2542.5,2104.75
