slack_0,non_interrupt,interrupt
24979.670000000002,18390.38,17298.87
25028.5,18390.38,17298.87
25081.75,18390.38,17298.87
25127.52,18390.38,17298.87
25159.29,18390.38,17298.87
25176.09,18390.38,17298.87
25201.84,18390.38,17298.87
25240.97,18390.38,17298.87
25290.05,18390.38,17298.87
25353.9,18390.38,17298.87
25429.69,18390.38,17298.87
25519.43,18390.38,17298.87
25600.13,18390.38,17298.87
25695.43,18390.38,17298.87
25798.82,18390.38,17298.87
25907.92,18390.38,17298.87
26013.3,18390.38,17298.87
26118.15,18390.38,17298.87
26207.98,18390.38,17298.87
26302.92,18390.38,17298.87
26393.25,18390.38,17298.87
26469.16,18390.38,17298.87
26530.46,18390.38,17298.87
26567.56,18390.38,17298.87
26577.0,18390.38,17298.87
26579.829999999998,18390.38,17298.87
26584.13,18390.38,17298.87
26588.04,18390.38,17298.87
26581.829999999998,18390.38,17298.87
26565.579999999998,18390.38,17298.87
26539.1,18390.38,17298.87
26508.47,18390.38,17298.87
26478.1,18390.38,17298.87
26442.34,18390.38,17298.87
26404.399999999998,18390.38,17298.87
26364.14,18390.38,17298.87
26324.91,18390.38,17298.87
26276.7,18390.38,17298.87
26219.55,18390.38,17298.87
26163.64,18390.38,17298.87
26103.96,18390.38,17298.87
26038.76,18390.38,17298.87
25961.62,18390.38,17298.87
25867.25,18390.38,17298.87
25772.18,18390.38,17298.87
25679.29,18390.38,17298.87
25580.46,18390.38,17298.87
25480.52,18390.38,17298.87
25394.39,18390.38,17298.87
25320.13,18390.38,17298.87
25247.94,18390.38,17298.87
25176.88,18390.38,17298.87
25107.55,18390.38,17298.87
25049.02,18390.38,17298.87
24988.41,18390.38,17298.87
24924.87,18390.38,17298.87
24857.02,18390.38,17298.87
24781.98,18390.38,17298.87
24700.489999999998,18390.38,17298.87
24617.22,18390.38,17298.87
24538.34,18390.38,17298.87
24460.77,18390.38,17298.87
24376.77,18390.38,17298.87
24283.72,18390.38,17298.87
24184.7,18390.38,17298.87
24064.62,18390.38,17298.87
23935.15,18390.38,17298.87
23806.25,18390.38,17298.87
23679.079999999998,18390.38,17298.87
23563.35,18390.38,17298.87
23466.2,18390.38,17298.87
23392.71,18390.38,17298.87
23343.09,18390.38,17298.87
23300.829999999998,18390.38,17298.87
23258.8,18390.38,17298.87
