slack_0,non_interrupt,interrupt
19592.99,2772.34,2241.49
19508.92,2772.34,2241.49
19425.55,2772.34,2241.49
19338.54,2772.34,2241.49
19227.27,2772.34,2241.49
19099.89,2772.34,2241.49
18964.14,2772.34,2241.49
18843.79,2772.34,2241.49
18724.69,2772.34,2241.49
18611.67,2772.34,2241.49
18487.27,2772.34,2241.49
18359.83,2772.34,2241.49
18240.08,2772.34,2241.49
18118.52,2772.34,2241.49
17962.97,2772.34,2241.49
17844.75,2772.34,2241.49
17752.92,2772.34,2241.49
17681.82,2772.34,2241.49
17627.7,2772.34,2241.49
17590.22,2772.34,2241.49
17586.49,2772.34,2241.49
17603.28,2772.34,2241.49
17646.61,2772.34,2241.49
17683.74,2772.34,2241.49
17671.03,2772.34,2241.49
17623.14,2772.34,2241.49
17596.079999999998,2772.34,2241.49
17558.37,2772.34,2241.49
17541.93,2772.34,2241.49
17562.71,2772.34,2241.49
17626.88,2772.34,2241.49
17662.22,2772.34,2241.49
17712.84,2772.34,2241.49
17745.97,2772.34,2241.49
17789.41,2772.34,2241.49
17800.24,2772.34,2241.49
17797.28,2772.34,2241.49
17798.76,2772.34,2241.49
17773.579999999998,2772.34,2241.49
17697.63,2772.34,2241.49
17674.15,2772.34,2241.49
17660.84,2772.34,2241.49
17648.64,2772.34,2241.49
17661.63,2772.34,2241.49
17688.72,2772.34,2241.49
17735.71,2772.34,2241.49
17794.52,2772.34,2241.49
17845.65,2772.34,2241.49
17893.989999999998,2772.34,2241.49
17959.11,2772.34,2241.49
18048.81,2772.34,2241.49
18139.71,2772.34,2241.49
18251.43,2772.34,2241.49
18344.85,2772.34,2241.49
18449.56,2772.34,2241.49
18556.66,2772.34,2241.49
18682.78,2772.34,2241.49
18812.96,2772.34,2241.49
18889.47,2772.34,2241.49
18977.79,2772.34,2241.49
19055.03,2772.34,2241.49
19125.81,2772.34,2241.49
19220.09,2772.34,2241.49
19237.11,2772.34,2241.49
19245.6,2772.34,2241.49
19251.6,2772.34,2241.49
19255.51,2772.34,2241.49
19253.06,2772.34,2241.49
19241.77,2772.34,2241.49
19215.31,2772.34,2241.49
19165.02,2772.34,2241.49
19158.4,2772.34,2241.49
19196.85,2772.34,2241.49
19255.35,2772.34,2241.49
19327.06,2772.34,2241.49
19420.91,2772.34,2241.49
19519.25,2772.34,2241.49
19606.37,2772.34,2241.49
19658.91,2772.34,2241.49
19773.15,2772.34,2241.49
19894.74,2772.34,2241.49
20014.38,2772.34,2241.49
20141.26,2772.34,2241.49
20256.48,2772.34,2241.49
20340.69,2772.34,2241.49
20378.17,2772.34,2241.49
20390.6,2772.34,2241.49
20467.7,2772.34,2241.49
20513.0,2772.34,2241.49
20524.25,2772.34,2241.49
20541.15,2772.34,2241.49
20551.55,2772.34,2241.49
20561.26,2772.34,2241.49
20521.9,2772.34,2241.49
20456.57,2772.34,2241.49
20377.13,2772.34,2241.49
20315.829999999998,2772.34,2241.49
20269.3,2772.34,2241.49
20188.69,2772.34,2241.49
20064.0,2772.34,2241.49
19882.56,2772.34,2241.49
19711.27,2772.34,2241.49
19526.39,2772.34,2241.49
19325.43,2772.34,2241.49
19088.06,2772.34,2241.49
18907.47,2772.34,2241.49
18784.07,2772.34,2241.49
18660.21,2772.34,2241.49
18539.11,2772.34,2241.49
18402.63,2772.34,2241.49
18261.8,2772.34,2241.49
18174.01,2772.34,2241.49
18109.93,2772.34,2241.49
18022.97,2772.34,2241.49
17919.1,2772.34,2241.49
17901.04,2772.34,2241.49
17898.39,2772.34,2241.49
17946.15,2772.34,2241.49
18007.52,2772.34,2241.49
18041.46,2772.34,2241.49
18010.79,2772.34,2241.49
17965.13,2772.34,2241.49
17886.25,2772.34,2241.49
17795.23,2772.34,2241.49
17662.57,2772.34,2241.49
17532.79,2772.34,2241.49
17388.57,2772.34,2241.49
17201.92,2772.34,2241.49
16986.45,2772.34,2241.49
16757.6,2772.34,2241.49
16541.01,2772.34,2241.49
16349.89,2772.34,2241.49
16190.63,2772.34,2241.49
16082.14,2772.34,2241.49
16038.5,2772.34,2241.49
15980.94,2772.34,2241.49
15885.61,2772.34,2241.49
15809.41,2772.34,2241.49
15707.44,2772.34,2241.49
15617.69,2772.34,2241.49
15553.3,2772.34,2241.49
15522.42,2772.34,2241.49
15471.2,2772.34,2241.49
15408.18,2772.34,2241.49
15375.64,2772.34,2241.49
15364.06,2772.34,2241.49
15424.44,2772.34,2241.49
15514.05,2772.34,2241.49
15638.4,2772.34,2241.49
15761.78,2772.34,2241.49
15931.45,2772.34,2241.49
16068.369999999999,2772.34,2241.49
16224.45,2772.34,2241.49
16322.53,2772.34,2241.49
16404.16,2772.34,2241.49
16472.28,2772.34,2241.49
16527.23,2772.34,2241.49
16601.31,2772.34,2241.49
16693.92,2772.34,2241.49
16783.2,2772.34,2241.49
16810.45,2772.34,2241.49
16838.88,2772.34,2241.49
16863.09,2772.34,2241.49
16745.99,2772.34,2241.49
16598.62,2772.34,2241.49
16410.32,2772.34,2241.49
16236.1,2772.34,2241.49
16059.44,2772.34,2241.49
15908.43,2772.34,2241.49
15762.47,2772.34,2241.49
15686.43,2772.34,2241.49
15622.18,2772.34,2241.49
15569.3,2772.34,2241.49
15520.82,2772.34,2241.49
15484.88,2772.34,2241.49
15457.83,2772.34,2241.49
15430.66,2772.34,2241.49
15444.61,2772.34,2241.49
15443.55,2772.34,2241.49
15441.86,2772.34,2241.49
15443.24,2772.34,2241.49
15432.05,2772.34,2241.49
15420.15,2772.34,2241.49
15415.73,2772.34,2241.49
15455.56,2772.34,2241.49
15486.82,2772.34,2241.49
15508.4,2772.34,2241.49
15513.33,2772.34,2241.49
15487.86,2772.34,2241.49
15440.09,2772.34,2241.49
15417.47,2772.34,2241.49
15413.0,2772.34,2241.49
15375.14,2772.34,2241.49
15328.79,2772.34,2241.49
15275.51,2772.34,2241.49
15225.57,2772.34,2241.49
15177.22,2772.34,2241.49
15160.6,2772.34,2241.49
15105.42,2772.34,2241.49
15027.64,2772.34,2241.49
14963.87,2772.34,2241.49
14926.79,2772.34,2241.49
14909.85,2772.34,2241.49
14900.41,2772.34,2241.49
14878.42,2772.34,2241.49
14824.56,2772.34,2241.49
14771.03,2772.34,2241.49
14723.0,2772.34,2241.49
14701.39,2772.34,2241.49
14726.8,2772.34,2241.49
14772.65,2772.34,2241.49
14852.73,2772.34,2241.49
14932.09,2772.34,2241.49
15014.92,2772.34,2241.49
15071.48,2772.34,2241.49
15139.09,2772.34,2241.49
15218.81,2772.34,2241.49
15323.03,2772.34,2241.49
15361.06,2772.34,2241.49
15404.94,2772.34,2241.49
15456.75,2772.34,2241.49
15503.27,2772.34,2241.49
15505.0,2772.34,2241.49
15508.79,2772.34,2241.49
15524.44,2772.34,2241.49
15511.84,2772.34,2241.49
15500.95,2772.34,2241.49
15487.95,2772.34,2241.49
15467.28,2772.34,2241.49
15432.73,2772.34,2241.49
15377.44,2772.34,2241.49
15305.84,2772.34,2241.49
15231.43,2772.34,2241.49
15165.55,2772.34,2241.49
15100.65,2772.34,2241.49
15021.0,2772.34,2241.49
14980.94,2772.34,2241.49
14975.56,2772.34,2241.49
14968.36,2772.34,2241.49
14962.619999999999,2772.34,2241.49
14959.42,2772.34,2241.49
14912.91,2772.34,2241.49
14823.8,2772.34,2241.49
14752.06,2772.34,2241.49
14678.16,2772.34,2241.49
14609.75,2772.34,2241.49
14508.86,2772.34,2241.49
14489.53,2772.34,2241.49
14447.85,2772.34,2241.49
14382.32,2772.34,2241.49
14310.92,2772.34,2241.49
14242.08,2772.34,2241.49
14192.36,2772.34,2241.49
14175.24,2772.34,2241.49
14170.26,2772.34,2241.49
14134.06,2772.34,2241.49
14122.71,2772.34,2241.49
14061.37,2772.34,2241.49
14011.92,2772.34,2241.49
13993.49,2772.34,2241.49
13995.79,2772.34,2241.49
14007.65,2772.34,2241.49
14003.66,2772.34,2241.49
13994.76,2772.34,2241.49
13975.0,2772.34,2241.49
13930.27,2772.34,2241.49
13890.43,2772.34,2241.49
13828.38,2772.34,2241.49
13752.89,2772.34,2241.49
13696.64,2772.34,2241.49
13651.28,2772.34,2241.49
13633.2,2772.34,2241.49
13659.68,2772.34,2241.49
13713.38,2772.34,2241.49
13800.35,2772.34,2241.49
13917.27,2772.34,2241.49
14003.78,2772.34,2241.49
14064.9,2772.34,2241.49
14118.36,2772.34,2241.49
14198.67,2772.34,2241.49
14272.0,2772.34,2241.49
14356.39,2772.34,2241.49
14430.29,2772.34,2241.49
14516.2,2772.34,2241.49
14538.04,2772.34,2241.49
14536.78,2772.34,2241.49
14539.88,2772.34,2241.49
14561.1,2772.34,2241.49
14641.27,2772.34,2241.49
14752.37,2772.34,2241.49
14875.69,2772.34,2241.49
15009.31,2772.34,2241.49
15153.28,2772.34,2241.49
15247.2,2772.34,2241.49
15382.58,2772.34,2241.49
15484.33,2772.34,2241.49
15597.81,2772.34,2241.49
15702.56,2772.34,2241.49
15783.5,2772.34,2241.49
15851.06,2772.34,2241.49
15917.84,2772.34,2241.49
15991.07,2772.34,2241.49
16028.02,2772.34,2241.49
16088.67,2772.34,2241.49
16101.8,2772.34,2241.49
16130.05,2772.34,2241.49
16133.08,2772.34,2241.49
16146.67,2772.34,2241.49
16185.24,2772.34,2241.49
16241.11,2772.34,2241.49
16352.6,2772.34,2241.49
16464.64,2772.34,2241.49
16596.94,2772.34,2241.49
16729.8,2772.34,2241.49
16850.13,2772.34,2241.49
16973.76,2772.34,2241.49
17102.68,2772.34,2241.49
17223.24,2772.34,2241.49
17386.8,2772.34,2241.49
17556.510000000002,2772.34,2241.49
17673.48,2772.34,2241.49
17779.89,2772.34,2241.49
17841.420000000002,2772.34,2241.49
17880.01,2772.34,2241.49
17937.61,2772.34,2241.49
