slack_0,non_interrupt,interrupt
727.33,483.82,483.82
737.52,483.82,483.82
744.6800000000001,483.82,483.82
747.5,483.82,483.82
745.75,483.82,483.82
745.76,483.82,483.82
743.33,483.82,483.82
742.9300000000001,483.82,483.82
747.08,483.82,483.82
755.78,483.82,483.82
763.62,483.82,483.82
762.88,483.82,483.82
758.94,483.82,483.82
754.06,483.82,483.82
742.06,483.82,483.82
735.35,483.82,483.82
730.43,483.82,483.82
726.46,483.82,483.82
718.43,483.82,483.82
710.3299999999999,483.82,483.82
704.9,483.82,483.82
698.65,483.82,483.82
695.95,483.82,483.82
698.06,483.82,483.82
710.88,483.82,483.82
730.4000000000001,483.82,483.82
751.51,483.82,483.82
762.9300000000001,483.82,483.82
759.9,483.82,483.82
757.6,483.82,483.82
751.64,483.82,483.82
735.2,483.82,483.82
713.69,483.82,483.82
695.99,483.82,483.82
687.01,483.82,483.82
677.43,483.82,483.82
670.5799999999999,483.82,483.82
664.3,483.82,483.82
659.65,483.82,483.82
659.11,483.82,483.82
654.92,483.82,483.82
645.75,483.82,483.82
627.78,483.82,483.82
612.23,483.82,483.82
603.21,483.82,483.82
593.62,483.82,483.82
593.86,483.82,483.82
593.56,483.82,483.82
605.1899999999999,483.82,483.82
618.91,483.82,483.82
627.41,483.82,483.82
635.54,483.82,483.82
639.5899999999999,483.82,483.82
647.0899999999999,483.82,483.82
647.05,483.82,483.82
641.0699999999999,483.82,483.82
634.25,483.82,483.82
622.84,483.82,483.82
619.06,483.82,483.82
615.15,483.82,483.82
614.16,483.82,483.82
615.3299999999999,483.82,483.82
617.5,483.82,483.82
633.76,483.82,483.82
646.12,483.82,483.82
656.99,483.82,483.82
661.9,483.82,483.82
669.15,483.82,483.82
672.73,483.82,483.82
664.4,483.82,483.82
657.5,483.82,483.82
657.4300000000001,483.82,483.82
664.49,483.82,483.82
670.26,483.82,483.82
674.23,483.82,483.82
682.13,483.82,483.82
684.39,483.82,483.82
683.59,483.82,483.82
680.1700000000001,483.82,483.82
679.4,483.82,483.82
684.52,483.82,483.82
688.54,483.82,483.82
697.0,483.82,483.82
695.82,483.82,483.82
699.31,483.82,483.82
698.22,483.82,483.82
697.28,483.82,483.82
708.15,483.82,483.82
721.63,483.82,483.82
739.76,483.82,483.82
745.47,483.82,483.82
760.45,483.82,483.82
782.39,483.82,483.82
793.5699999999999,483.82,483.82
793.14,483.82,483.82
794.81,483.82,483.82
814.69,483.82,483.82
834.48,483.82,483.82
844.11,483.82,483.82
837.37,483.82,483.82
828.52,483.82,483.82
819.0699999999999,483.82,483.82
801.54,483.82,483.82
771.84,483.82,483.82
741.46,483.82,483.82
733.1800000000001,483.82,483.82
738.86,483.82,483.82
748.14,483.82,483.82
753.99,483.82,483.82
766.9300000000001,483.82,483.82
783.58,483.82,483.82
790.36,483.82,483.82
794.58,483.82,483.82
799.47,483.82,483.82
791.93,483.82,483.82
789.0999999999999,483.82,483.82
791.5999999999999,483.82,483.82
796.78,483.82,483.82
788.99,483.82,483.82
782.09,483.82,483.82
792.19,483.82,483.82
796.49,483.82,483.82
793.66,483.82,483.82
788.0,483.82,483.82
794.77,483.82,483.82
800.39,483.82,483.82
806.02,483.82,483.82
810.62,483.82,483.82
803.5,483.82,483.82
798.98,483.82,483.82
764.2,483.82,483.82
730.37,483.82,483.82
694.61,483.82,483.82
662.87,483.82,483.82
