slack_0,non_interrupt,interrupt
963.69,818.3,745.12
845.47,818.3,745.12
818.3,818.3,745.12
833.5600000000001,829.55,748.09
845.8900000000001,829.55,749.45
899.87,829.55,754.58
954.6800000000001,829.55,754.58
1002.24,829.55,754.58
1047.47,829.55,754.58
1081.15,829.55,754.58
1110.6,829.55,754.58
1090.28,829.55,754.58
1061.98,829.55,754.58
1041.56,829.55,754.58
1025.31,829.55,754.58
1024.82,829.55,754.58
1002.72,829.55,754.58
961.53,829.55,754.58
916.38,829.55,754.58
859.08,829.55,754.58
890.59,829.55,754.58
982.43,829.55,754.58
1041.8999999999999,829.55,754.58
1090.8,829.55,771.02
1148.25,829.55,792.24
1223.1200000000001,829.55,781.66
1195.89,829.55,670.72
1125.83,695.84,561.38
1143.3,539.87,456.1
1247.08,394.01,364.02
1361.67,276.84,276.84
1533.96,214.07,214.07
1720.7,214.07,210.44
1866.03,214.07,207.24
1987.6,214.07,207.24
2077.14,214.07,207.24
2155.82,214.07,207.24
2176.77,214.07,207.24
2201.31,214.07,207.24
2255.71,214.07,207.24
2327.89,214.07,207.24
2397.04,214.07,207.24
2460.56,214.07,207.24
2477.08,214.07,207.24
2477.2,214.07,207.24
2469.71,214.07,207.24
2426.0,214.07,207.24
2341.55,214.07,207.24
2241.94,214.07,207.24
2187.54,214.07,207.24
2130.66,214.07,207.24
2090.61,214.07,207.24
2102.96,214.07,207.24
2156.04,214.07,207.24
2196.52,214.07,207.24
2212.44,214.07,207.24
2227.2,214.07,207.24
2228.21,214.07,207.24
2192.7599999999998,214.07,207.24
2123.37,214.07,207.24
2086.91,214.07,207.24
2077.52,214.07,207.24
2080.43,214.07,207.24
2064.17,214.07,207.24
2038.55,214.07,207.24
2012.29,214.07,207.24
1975.63,214.07,207.24
1890.9,214.07,207.24
1817.69,214.07,207.24
1751.74,214.07,207.24
1637.95,214.07,207.24
1555.09,214.07,207.24
1489.27,214.07,207.24
1477.25,214.07,207.24
1462.03,214.07,207.24
1457.29,214.07,207.24
1513.95,214.07,207.24
1590.5,214.07,207.24
1667.3600000000001,214.07,207.24
1756.56,214.07,207.24
1822.53,214.07,207.24
1873.43,214.07,207.24
1895.64,214.07,207.24
1884.0700000000002,214.07,207.24
1875.92,214.07,207.24
1843.27,214.07,207.24
1825.92,214.07,207.24
1817.1499999999999,214.07,207.24
1824.26,214.07,207.24
1824.62,214.07,207.24
1796.22,214.07,207.24
1720.41,214.07,207.24
1642.49,214.07,207.24
1532.57,214.07,207.24
1403.89,214.07,207.24
1236.67,214.07,207.24
1089.94,214.07,207.24
996.53,214.07,207.24
909.99,214.07,207.24
854.54,214.07,207.24
829.55,214.07,207.24
853.18,214.07,207.24
867.96,214.07,207.24
882.75,214.07,207.24
925.29,214.07,207.24
1001.78,214.07,207.24
1070.17,214.07,207.24
1132.78,214.07,207.24
1196.75,214.07,207.24
1252.8,214.07,207.24
1271.6399999999999,214.07,207.24
1246.83,214.07,207.24
1217.5,214.07,207.24
1201.97,214.07,207.24
1206.98,214.07,207.24
1210.78,214.07,207.24
1240.27,214.07,207.24
1284.67,214.07,207.24
1323.13,214.07,207.24
1345.71,214.07,207.24
1319.83,214.07,207.24
1309.0,214.07,207.24
1283.92,214.07,207.24
1266.7,214.07,207.24
1278.44,214.07,207.24
1350.3899999999999,214.07,207.24
1520.9,214.07,207.24
1672.85,214.07,207.24
1814.06,214.07,207.24
1933.48,214.07,207.24
2015.24,214.07,207.24
2033.8600000000001,214.07,207.24
1972.55,214.07,207.24
1902.17,214.07,207.24
1820.52,214.07,207.24
1738.0,214.07,207.24
1669.79,214.07,207.24
1610.15,214.07,207.24
1560.05,214.07,207.24
1516.13,214.07,207.24
1471.79,214.07,207.24
1417.3400000000001,214.07,207.24
1360.18,214.07,207.24
1297.6100000000001,214.07,207.24
1209.69,214.07,207.24
1183.56,214.07,207.24
1210.31,214.07,207.24
1225.59,214.07,207.24
1237.82,214.07,207.24
1263.53,214.07,207.24
1411.97,214.07,207.24
1507.7,214.07,207.24
1600.88,214.07,207.24
1725.75,214.07,207.24
1858.47,214.07,207.24
1982.42,214.07,207.24
2000.0,214.07,207.24
1989.6399999999999,214.07,207.24
1928.96,214.07,207.24
1859.17,214.07,207.24
1793.06,214.07,207.24
1735.86,214.07,207.24
1693.72,214.07,207.24
1665.82,214.07,207.24
1641.32,214.07,207.24
1626.06,214.07,207.24
1602.31,214.07,207.24
1536.32,214.07,207.24
1479.57,214.07,207.24
1445.52,214.07,207.24
1429.42,214.07,207.24
1419.09,214.07,207.24
1417.82,214.07,207.24
1477.15,214.07,207.24
1527.08,214.07,207.24
1515.81,214.07,207.24
1487.38,214.07,207.24
1469.1,214.07,207.24
1451.06,214.07,207.24
1414.77,214.07,207.24
1367.49,214.07,207.24
1363.11,214.07,207.24
1347.46,214.07,207.24
1366.67,214.07,207.24
1391.57,214.07,207.24
