slack_0,non_interrupt,interrupt
2741.36,2324.68,2317.96
2745.2799999999997,2324.68,2317.96
2779.65,2324.68,2317.96
2786.36,2324.68,2317.96
2809.14,2324.68,2317.96
2822.57,2324.68,2317.96
2809.81,2324.68,2317.96
2813.46,2324.68,2317.96
2840.8,2324.68,2317.96
2833.27,2324.68,2317.96
2798.71,2324.68,2317.96
2749.96,2324.68,2317.96
2689.15,2324.68,2317.96
2601.77,2324.68,2317.96
2495.2200000000003,2324.68,2317.96
2431.07,2324.68,2317.96
2372.01,2324.68,2317.96
2324.68,2324.68,2317.96
2326.76,2326.76,2317.96
2357.14,2357.14,2328.89
2406.07,2406.07,2353.29
2442.83,2442.83,2367.8
2480.2799999999997,2480.28,2403.59
2532.73,2532.73,2441.81
2611.81,2551.7,2446.23
2687.69,2551.7,2446.23
2787.73,2551.7,2446.23
2881.55,2551.7,2467.15
2973.81,2551.7,2490.18
3038.0499999999997,2551.7,2493.1
3036.1,2551.7,2493.1
3016.67,2551.7,2493.1
2953.2,2551.7,2493.1
2891.75,2551.7,2487.42
2829.18,2551.7,2487.42
2781.08,2551.7,2487.42
2733.2,2551.7,2487.42
2685.43,2551.7,2487.42
2653.58,2551.7,2487.42
2642.13,2551.7,2487.42
2625.66,2551.7,2487.42
2620.33,2551.7,2487.42
2655.8,2551.7,2487.42
2652.85,2551.7,2487.42
2623.6,2551.7,2487.42
2580.43,2551.7,2491.68
2565.55,2551.7,2502.8
2561.88,2551.7,2502.8
2551.7,2551.7,2502.8
2606.34,2606.34,2506.96
2700.5,2700.5,2547.52
2829.87,2717.3,2608.12
2958.38,2717.3,2650.53
3059.7400000000002,2717.3,2661.24
3123.75,2717.3,2661.24
3153.62,2717.3,2661.24
3158.68,2717.3,2661.24
3071.0,2717.3,2634.98
3001.29,2717.3,2634.98
2910.5099999999998,2717.3,2621.97
2835.48,2717.3,2616.03
2783.5699999999997,2705.02,2616.03
2738.9,2667.36,2615.41
2776.41,2667.36,2620.31
2775.71,2646.06,2600.13
2812.35,2638.91,2587.48
2823.65,2638.91,2587.48
2804.22,2631.51,2587.48
2790.23,2590.57,2555.44
2773.33,2564.52,2529.39
2741.23,2541.49,2498.48
2720.77,2523.0,2479.99
2717.3,2509.52,2479.99
2757.66,2509.52,2479.99
2812.23,2509.52,2479.99
2867.05,2509.52,2479.99
2941.17,2509.52,2479.99
2990.7,2509.52,2479.99
3033.24,2509.52,2479.99
3063.1800000000003,2509.52,2479.99
3045.65,2509.52,2479.99
2964.57,2509.52,2479.99
2914.42,2509.52,2479.99
2835.7,2509.52,2479.99
2766.25,2509.52,2479.99
2705.02,2509.52,2479.99
2667.36,2509.52,2478.78
2677.91,2509.52,2470.87
2646.06,2509.52,2448.53
2638.91,2509.52,2439.14
2648.14,2509.52,2439.14
2631.51,2509.52,2439.14
2590.57,2509.52,2430.5
2564.52,2499.11,2426.29
2541.49,2491.03,2413.8
2523.0,2491.03,2413.8
2509.52,2477.28,2413.8
2564.3,2477.28,2413.8
2663.82,2477.28,2415.42
2773.16,2477.28,2415.42
2895.83,2477.28,2424.09
3014.9300000000003,2477.28,2424.26
3087.44,2477.28,2424.26
3107.02,2477.28,2424.26
3087.38,2477.28,2424.26
2998.02,2477.28,2424.26
2921.4,2477.28,2424.26
2834.38,2477.28,2424.26
2749.46,2477.28,2424.26
2678.43,2477.28,2424.26
2618.1,2477.28,2424.26
2605.71,2477.28,2424.26
2559.14,2477.28,2424.26
2522.2799999999997,2477.28,2424.26
2550.13,2477.28,2424.26
2532.7,2477.28,2424.26
2510.91,2477.28,2413.88
2499.11,2477.28,2413.88
2491.0299999999997,2477.28,2416.48
2495.98,2477.28,2419.23
2477.2799999999997,2477.28,2419.23
2536.46,2501.99,2419.23
2628.8199999999997,2501.99,2428.04
2735.09,2501.99,2436.86
2872.41,2501.99,2469.66
3041.89,2501.99,2485.59
3188.74,2501.99,2485.59
3277.27,2501.99,2485.59
3294.33,2501.99,2485.59
3211.35,2501.99,2413.99
3106.83,2501.99,2345.98
2968.1,2501.99,2295.79
2840.52,2387.02,2254.47
2721.13,2249.56,2205.74
2654.71,2155.54,2155.54
2659.49,2152.31,2140.16
2670.25,2151.48,2135.41
2672.91,2149.44,2135.41
2649.7200000000003,2149.44,2135.41
2634.3,2149.44,2135.41
2589.73,2142.85,2109.83
2566.8199999999997,2131.41,2092.97
2533.94,2115.02,2078.59
2501.99,2093.48,2061.95
2502.86,2081.22,2061.95
2554.7799999999997,2081.22,2061.95
2665.5299999999997,2081.22,2061.95
2768.83,2081.22,2061.95
2857.39,2081.22,2061.95
2963.88,2081.22,2061.95
3046.74,2081.22,2061.95
3048.64,2081.22,2061.95
2981.71,2081.22,2061.95
2824.94,2081.22,2061.95
2690.49,2081.22,2061.95
2533.81,2081.22,2061.95
2387.02,2081.22,2061.95
2249.56,2081.22,2061.95
2155.54,2081.22,2061.95
2152.31,2081.22,2061.95
2151.48,2081.22,2061.95
2149.44,2081.22,2061.95
2155.76,2081.22,2061.95
2160.5,2081.22,2061.95
2142.85,2081.22,2069.05
2131.41,2081.22,2074.87
2115.02,2081.22,2077.58
2093.48,2081.22,2077.6
2081.2200000000003,2081.22,2077.6
2131.2400000000002,2131.24,2078.89
2203.29,2203.29,2109.36
2258.06,2258.06,2132.89
2341.49,2273.36,2156.06
2432.88,2273.36,2189.56
2500.7,2273.36,2201.27
2553.1,2273.36,2201.27
2610.72,2273.36,2201.27
2644.62,2273.36,2194.87
2641.46,2273.36,2185.23
2624.0,2273.36,2183.65
2623.04,2249.27,2150.92
2587.09,2115.87,2075.24
2523.19,1983.39,1972.43
2470.79,1864.71,1857.36
2413.69,1757.05,1749.7
2373.26,1667.8,1667.8
2344.37,1652.53,1652.53
2328.65,1652.53,1652.53
2288.0299999999997,1652.53,1652.53
2275.29,1652.53,1652.53
2284.24,1652.53,1652.53
2275.29,1652.53,1652.53
2273.36,1652.53,1652.53
2297.55,1652.53,1652.53
2372.63,1652.53,1652.53
2422.72,1652.53,1652.53
2474.29,1652.53,1652.53
2534.79,1652.53,1652.53
2568.32,1652.53,1652.53
2555.15,1652.53,1652.53
2516.01,1652.53,1652.53
2468.58,1652.53,1652.53
2406.31,1652.53,1652.53
2347.84,1652.53,1652.53
2249.27,1652.53,1652.53
2115.87,1652.53,1652.53
1983.3899999999999,1652.53,1652.53
1864.71,1652.53,1652.53
1757.05,1652.53,1652.53
1667.8,1652.53,1652.53
1652.53,1652.53,1652.53
1696.06,1696.06,1690.97
1767.3,1767.3,1760.98
1862.15,1862.15,1844.96
1934.32,1934.32,1922.69
1989.69,1989.69,1980.18
2033.81,2033.81,1997.94
2085.63,2060.46,2001.5
2156.7,2060.46,2004.84
2227.68,2060.46,2004.84
2331.05,2060.46,2016.92
2439.08,2060.46,2027.25
2524.23,2060.46,2027.25
2568.37,2060.46,2027.25
2563.0299999999997,2060.46,2027.25
2482.54,2060.46,2027.25
2387.82,2060.46,2027.25
2283.43,2060.46,2027.25
2183.55,2060.46,2027.25
2110.26,2060.46,2027.25
2060.46,2060.46,2020.34
2066.09,2066.09,2028.55
2072.1,2072.1,2035.05
2096.0,2093.89,2042.58
2143.12,2093.89,2042.58
2150.76,2093.89,2042.58
2146.16,2093.89,2042.58
2142.98,2093.89,2047.39
2143.82,2093.89,2055.06
2134.28,2093.89,2055.06
2093.89,2093.89,2055.06
2150.35,2143.3,2055.06
2239.59,2143.3,2062.51
2339.68,2143.3,2079.94
2433.69,2143.3,2094.23
2528.71,2143.3,2108.51
2636.38,2143.3,2121.8
2685.91,2143.3,2121.8
2684.99,2143.3,2121.8
2622.77,2143.3,2119.23
2588.2,2143.3,2119.23
2556.13,2143.3,2119.23
2481.89,2143.3,2119.23
2370.29,2143.3,2119.23
2272.83,2143.3,2119.23
2241.21,2143.3,2119.23
2190.61,2143.3,2119.23
2144.95,2143.3,2119.23
2143.3,2143.3,2119.23
2161.89,2161.89,2129.06
2194.46,2194.46,2161.63
2221.39,2221.39,2188.56
2241.91,2238.9,2209.08
2238.9,2238.9,2215.99
2256.08,2256.08,2215.99
2312.05,2312.05,2215.99
2383.7799999999997,2312.71,2223.09
2441.37,2312.71,2230.25
2510.68,2312.71,2236.27
2583.62,2312.71,2252.96
2612.66,2312.71,2252.96
2614.19,2312.71,2252.96
2590.81,2312.71,2252.96
2528.19,2312.71,2252.96
2461.44,2312.71,2252.96
2419.03,2312.71,2252.96
2386.99,2312.71,2252.96
2337.64,2312.71,2252.96
2312.71,2312.71,2252.96
2329.16,2325.27,2269.41
2328.27,2325.27,2278.52
2325.42,2325.27,2278.52
2352.86,2325.27,2278.52
2345.5699999999997,2325.27,2279.53
2332.71,2325.27,2279.53
2332.51,2325.27,2276.17
2343.52,2325.27,2272.65
2349.35,2325.27,2272.65
2325.27,2325.27,2272.65
2393.92,2361.39,2287.41
2454.26,2361.39,2306.65
2514.66,2361.39,2329.0
2555.84,2361.39,2348.29
2600.21,2361.39,2356.62
2684.54,2361.39,2361.15
2688.42,2361.39,2361.15
2694.63,2361.39,2361.15
2664.18,2361.39,2346.15
2645.64,2361.39,2324.21
2613.96,2361.39,2295.78
2553.4,2361.39,2295.78
2525.88,2332.13,2260.7
2492.69,2243.26,2204.68
2498.12,2177.06,2147.15
2508.89,2133.93,2110.39
2524.08,2105.51,2081.97
2532.98,2073.06,2073.06
2517.18,2063.66,2059.66
2496.94,2063.66,2050.48
2458.4,2063.66,2050.48
2410.46,2063.66,2041.36
2392.88,2063.66,2041.36
2361.39,2063.66,2041.36
2391.33,2063.66,2041.36
2449.8,2063.66,2041.36
2523.66,2063.66,2041.36
2598.9,2063.66,2041.36
2641.14,2063.66,2041.36
2702.98,2063.66,2041.36
2731.88,2063.66,2041.36
2706.2599999999998,2063.66,2041.36
2647.44,2063.66,2041.36
2585.7,2063.66,2041.36
2511.44,2063.66,2041.36
2439.32,2063.66,2041.36
2332.13,2063.66,2041.36
2243.26,2063.66,2041.36
2177.06,2063.66,2041.36
2133.93,2063.66,2041.36
2105.51,2063.66,2041.36
2073.06,2063.66,2041.36
2063.66,2063.66,2041.36
2076.6,2076.6,2047.98
2109.64,2108.06,2064.4
2108.06,2108.06,2071.94
2119.32,2119.32,2083.2
2120.43,2120.43,2083.2
2141.5299999999997,2141.53,2094.52
2171.19,2171.19,2108.81
2217.02,2217.02,2114.44
2289.16,2241.33,2141.96
2339.62,2241.33,2152.52
2389.11,2241.33,2164.78
2433.7200000000003,2241.33,2173.56
2441.45,2241.33,2181.29
2401.25,2241.33,2159.36
2364.78,2241.33,2143.37
2348.02,2241.33,2143.37
2330.54,2241.33,2143.37
2317.01,2241.33,2143.37
2334.19,2212.63,2143.37
2392.48,2210.35,2139.82
2455.5299999999997,2203.42,2125.05
2509.33,2203.26,2125.05
2550.0,2203.26,2125.05
2545.27,2203.26,2125.05
2484.38,2203.26,2124.62
2403.84,2203.26,2124.62
2332.64,2203.26,2124.62
2274.94,2203.26,2124.62
2241.33,2203.26,2124.62
2272.8,2203.26,2124.62
2360.19,2203.26,2146.4
2451.55,2203.26,2169.67
2519.26,2203.26,2169.67
2570.26,2203.26,2169.67
2607.6,2203.26,2169.67
2608.27,2203.26,2169.67
2595.82,2203.26,2169.67
2525.44,2203.26,2169.67
2449.89,2203.26,2169.67
2380.04,2203.26,2169.67
2308.58,2203.26,2169.67
2258.75,2203.26,2169.67
2212.63,2203.26,2169.67
2210.35,2203.26,2173.45
2203.42,2203.26,2184.0
2203.26,2203.26,2184.0
2258.16,2258.16,2187.26
2291.44,2283.97,2187.26
2283.97,2283.97,2169.42
2288.54,2288.54,2161.69
2311.26,2268.96,2157.5
2320.23,2255.82,2162.74
2296.96,2222.27,2162.74
2301.2,2222.27,2162.74
2369.79,2222.27,2177.79
2441.12,2222.27,2193.3
2505.2799999999997,2222.27,2206.01
2600.2599999999998,2222.27,2217.92
2662.73,2222.27,2217.92
2679.11,2222.27,2217.92
2674.91,2222.27,2217.92
2628.65,2222.27,2214.71
2590.33,2222.27,2214.71
2540.84,2222.27,2214.71
2512.79,2222.27,2214.71
2496.25,2222.27,2214.71
2469.19,2222.27,2214.71
2472.04,2222.27,2214.71
2458.91,2222.27,2214.71
2429.7400000000002,2222.27,2214.71
2419.9900000000002,2222.27,2214.71
2396.5,2222.27,2207.67
2348.8,2222.27,2174.16
2308.58,2222.27,2150.39
2268.96,2222.27,2110.12
2255.82,2199.5,2100.39
2222.27,2177.39,2100.39
2265.31,2177.39,2100.39
2349.66,2177.39,2105.22
2451.99,2177.39,2131.79
2570.5699999999997,2177.39,2165.61
2647.17,2177.39,2171.13
2722.0,2177.39,2171.13
2749.27,2177.39,2171.13
2737.61,2177.39,2171.13
2668.61,2177.39,2141.79
2605.1800000000003,2177.39,2139.84
2572.36,2177.39,2139.84
2543.12,2177.39,2139.84
2528.4900000000002,2177.39,2139.84
2521.75,2177.39,2139.84
2535.28,2177.39,2139.84
2529.6,2177.39,2123.88
2518.12,2177.39,2123.88
2497.69,2177.39,2123.88
2430.62,2177.39,2119.68
2365.2799999999997,2177.39,2105.9
2322.46,2177.39,2105.9
2265.3,2177.39,2105.9
2199.5,2177.39,2105.9
2177.39,2177.39,2105.9
2243.0,2208.52,2105.9
2346.15,2208.52,2110.54
2443.1,2208.52,2115.16
2560.89,2208.52,2138.63
2678.71,2208.52,2165.26
2756.74,2208.52,2165.26
2791.05,2208.52,2165.26
2774.14,2208.52,2154.18
2677.14,2208.52,2101.51
2597.67,2208.52,2068.75
2535.17,2200.99,2061.07
2468.02,2078.21,2011.69
2403.79,1995.01,1975.83
2360.68,1965.15,1954.85
