slack_0,non_interrupt,interrupt
696.34,545.47,542.78
678.29,545.47,542.78
658.44,545.47,542.78
657.91,545.47,542.78
652.58,545.47,542.78
643.85,545.47,542.78
632.6600000000001,545.47,542.78
618.89,545.47,542.78
598.44,545.47,542.78
578.38,545.47,542.78
568.74,545.47,542.78
571.96,545.47,542.78
579.69,545.47,542.78
588.01,545.47,542.78
593.74,545.47,542.78
596.29,545.47,542.78
600.47,545.47,542.78
590.94,545.47,542.78
578.54,545.47,542.78
582.22,545.47,542.78
579.2,545.47,542.78
575.66,545.47,542.78
570.76,545.47,542.78
574.27,545.47,542.78
579.6,545.47,544.41
566.29,545.47,544.41
561.19,545.47,544.41
561.39,545.47,544.41
558.43,545.47,544.41
554.49,545.47,544.41
556.5899999999999,545.47,544.41
561.35,545.47,544.41
569.24,545.47,544.41
578.64,545.47,544.41
592.13,545.47,544.57
605.66,545.47,544.76
612.8299999999999,545.47,544.76
611.41,545.47,544.76
602.64,545.47,544.76
594.81,545.47,544.76
585.02,545.47,544.76
571.96,545.47,544.76
558.81,545.47,544.76
553.53,545.47,544.76
552.45,545.47,545.47
548.8199999999999,545.47,545.47
545.47,545.47,545.47
546.72,546.72,546.72
554.3399999999999,554.34,552.46
565.79,565.79,559.1
584.17,584.17,567.54
618.87,602.96,576.13
649.41,602.96,584.23
684.3399999999999,602.96,592.79
713.0,602.96,596.46
736.76,602.96,602.57
752.45,602.96,602.96
756.94,602.96,602.96
771.05,602.96,602.96
792.26,602.96,602.96
836.23,602.96,602.96
877.85,602.96,602.96
920.75,602.96,602.96
960.99,602.96,602.96
996.15,602.96,602.96
1015.76,602.96,602.96
1017.85,602.96,602.96
1007.25,602.96,602.96
986.41,602.96,602.96
964.86,602.96,602.96
944.3199999999999,602.96,602.96
927.3199999999999,602.96,602.96
900.13,602.96,602.96
896.89,602.96,602.96
917.3,602.96,602.96
931.97,602.96,602.96
952.66,602.96,602.96
977.22,602.96,602.96
1012.87,602.96,602.96
1044.31,602.96,602.96
1058.29,602.96,602.96
1075.31,602.96,602.96
1083.94,602.96,602.96
1101.58,602.96,602.96
1140.71,602.96,602.96
1161.18,602.96,602.96
1194.21,602.96,602.96
1215.03,602.96,602.96
1212.94,602.96,602.96
1194.19,602.96,602.96
1143.17,602.96,602.96
1107.48,602.96,602.96
1044.96,602.96,602.96
978.59,602.96,602.96
938.63,602.96,602.96
913.28,602.96,602.96
897.04,602.96,602.96
891.4200000000001,602.96,602.96
909.64,602.96,602.96
948.19,602.96,602.96
979.35,602.96,602.96
994.6800000000001,602.96,602.96
1002.67,602.96,602.96
994.74,602.96,602.96
990.16,602.96,602.96
998.38,602.96,602.96
1015.01,602.96,602.96
1045.93,602.96,602.96
1091.98,602.96,602.96
1145.4,602.96,602.96
1185.68,602.96,602.96
1204.1,602.96,602.96
1215.5,602.96,602.96
1226.69,602.96,602.96
1233.09,602.96,602.96
1243.32,602.96,602.96
1260.98,602.96,602.96
1290.75,602.96,602.96
1329.23,602.96,602.96
1369.49,602.96,602.96
1401.83,602.96,602.96
1456.8200000000002,602.96,602.96
1516.5900000000001,602.96,602.96
1565.39,602.96,602.96
1586.5700000000002,602.96,602.96
1571.63,602.96,602.96
1541.1100000000001,602.96,602.96
1474.14,602.96,602.96
1391.43,602.96,602.96
1299.57,602.96,602.96
1236.56,602.96,602.96
1217.3,602.96,602.96
1209.96,602.96,602.96
1196.74,602.96,602.96
1174.67,602.96,602.96
1155.4099999999999,602.96,602.96
1119.8,602.96,602.96
