slack_0,non_interrupt,interrupt
894.75,768.4,751.89
906.1600000000001,768.4,751.89
924.45,768.4,751.89
945.63,768.4,751.89
966.82,768.4,751.89
988.98,768.4,751.89
1014.44,768.4,751.89
1044.35,768.4,751.89
1066.2,768.4,751.89
1078.28,768.4,751.89
1081.88,768.4,751.89
1077.17,768.4,751.89
1062.51,768.4,751.89
1040.01,768.4,751.89
1018.8299999999999,768.4,751.89
1002.68,768.4,751.89
993.0699999999999,768.4,751.89
969.52,768.4,751.89
953.44,768.4,751.89
938.99,768.4,751.89
926.8199999999999,768.4,751.89
912.56,768.4,751.89
901.05,768.4,751.89
905.9300000000001,768.4,751.89
903.14,768.4,744.12
904.7,768.4,736.62
909.28,768.4,728.53
917.52,756.77,722.24
920.9200000000001,731.95,717.83
927.03,715.53,715.53
937.86,715.53,715.53
943.27,715.53,713.47
938.1800000000001,715.53,713.47
927.7,715.53,713.47
912.74,715.53,713.47
898.32,715.53,713.47
881.39,715.53,713.47
867.44,715.53,713.47
862.93,715.53,713.47
862.48,715.53,713.47
872.66,715.53,713.47
881.52,715.53,713.47
884.13,715.53,713.47
874.97,715.53,713.47
858.61,715.53,713.47
847.03,715.53,713.47
833.47,715.53,713.47
826.8,715.53,713.47
838.03,715.53,713.47
871.89,715.53,711.67
912.51,715.53,711.67
961.05,715.53,711.67
1040.56,715.53,711.67
1127.3,715.53,711.67
1205.16,715.53,711.67
1265.8200000000002,715.53,711.67
1308.4,715.53,711.67
1326.38,715.53,711.67
1304.82,715.53,711.67
1265.71,715.53,711.67
1220.09,715.53,711.67
1180.79,715.53,709.45
1157.46,715.53,707.59
1155.3600000000001,715.13,706.04
1162.77,710.81,704.92
1176.44,705.02,702.29
1198.15,699.43,699.43
1209.63,699.43,699.43
1220.92,699.43,699.43
1226.12,699.43,699.43
1231.45,699.43,699.43
1238.63,699.43,699.43
1242.25,699.43,685.0
1273.54,699.43,685.0
1324.81,699.43,680.05
1382.9,699.43,676.97
1448.24,697.69,676.97
1514.94,680.18,675.77
1579.39,680.18,674.85
1615.66,680.18,673.71
1619.1,680.18,673.71
1602.49,680.18,673.71
1569.24,680.18,673.71
1525.1,680.18,673.71
1479.83,680.18,673.71
1445.74,680.18,673.71
1423.47,680.18,673.71
1411.03,680.18,673.71
1406.31,680.18,673.71
1410.93,680.18,673.71
1424.67,680.18,673.71
1427.3,680.18,673.71
1430.43,680.18,673.71
1436.67,680.18,673.71
1443.36,680.18,673.71
1444.22,680.18,673.71
1400.98,680.18,673.71
1373.01,680.18,673.71
1351.58,680.18,673.71
1329.22,680.18,673.71
1302.73,680.18,673.71
1274.28,680.18,673.71
1284.17,680.18,673.71
1281.67,680.18,670.64
1265.26,680.18,670.64
1236.94,680.18,670.64
1206.35,680.18,670.64
1176.24,680.18,670.64
1145.29,680.18,670.64
1121.5,680.18,670.64
1107.4099999999999,680.18,670.64
1101.4099999999999,680.18,670.64
1100.44,680.18,670.64
1104.46,680.18,670.64
1114.6,680.18,670.64
1116.61,680.18,670.64
1115.29,680.18,670.64
1119.04,680.18,670.64
1124.71,680.18,670.64
1133.26,680.18,670.64
1143.96,680.18,670.64
1173.1,680.18,670.64
1209.02,680.18,670.64
1238.57,680.18,670.64
1263.3600000000001,680.18,670.64
1281.82,680.18,670.64
1292.27,680.18,670.64
1288.33,680.18,670.64
1267.8400000000001,680.18,670.64
1239.44,680.18,670.64
1209.89,680.18,670.64
1178.34,680.18,670.64
1144.1399999999999,680.18,670.64
1119.0,680.18,670.64
1111.56,680.18,670.64
1107.0,680.18,670.64
1103.53,680.18,670.64
1107.36,680.18,670.64
1118.17,680.18,670.64
1114.47,680.18,670.64
1105.36,680.18,670.64
1104.43,680.18,670.64
1110.77,680.18,670.64
1121.44,680.18,670.08
1136.2,680.18,667.93
1167.15,680.18,667.93
1199.55,680.18,667.93
1230.95,680.18,667.93
1256.53,680.18,667.93
1264.07,680.18,667.93
1252.48,680.18,667.93
1227.19,680.18,667.93
1186.3899999999999,680.18,666.38
1146.45,680.18,666.38
1109.78,680.18,666.38
1093.8,680.18,666.38
1087.0,680.18,666.38
1096.42,680.18,666.38
1122.3600000000001,680.18,666.38
1143.3400000000001,680.18,666.38
1160.17,680.18,666.38
1171.52,680.18,666.38
1186.73,680.18,664.78
1191.1200000000001,680.18,664.78
1191.08,680.18,664.78
1196.8,680.18,664.78
1207.45,680.18,664.78
1212.95,680.18,662.25
1205.16,680.18,660.13
1191.28,680.18,659.12
1181.67,680.18,659.12
1172.35,680.18,659.12
1159.46,674.75,659.12
1144.93,674.75,659.12
1147.25,674.75,659.12
1143.96,674.75,659.12
1127.41,674.75,659.12
1103.1,674.75,659.12
1080.74,674.75,659.12
1059.79,674.75,659.12
1033.93,674.75,659.12
1018.77,674.75,659.12
1019.52,674.75,659.12
1030.26,674.75,659.12
1034.41,674.75,659.12
1042.32,674.75,659.12
1067.58,674.75,659.12
1083.48,674.75,659.12
1093.06,674.75,659.12
1100.07,674.75,659.12
1112.77,674.75,659.12
1129.77,674.75,659.12
1130.88,674.75,659.12
1141.66,674.75,659.12
1159.19,674.75,659.12
1178.68,674.75,659.12
1199.74,674.75,659.12
1210.54,674.75,659.12
1205.29,674.75,659.12
1201.71,674.75,659.12
1178.8799999999999,674.75,659.12
1151.76,674.75,659.12
