slack_0,non_interrupt,interrupt
4369.47,4216.22,4204.55
4322.88,4216.22,4204.55
4275.2,4216.22,4204.55
4234.38,4216.22,4204.46
4222.37,4216.22,4204.46
4222.03,4216.09,4204.46
4236.41,4216.09,4204.46
4283.0,4216.09,4204.46
4330.68,4216.09,4204.46
4378.71,4216.09,4204.46
4424.94,4216.09,4204.46
4466.69,4216.09,4204.46
4497.12,4216.09,4204.46
4497.12,4216.09,4204.46
4497.12,4216.09,4204.46
4497.12,4216.09,4204.46
4497.12,4216.09,4204.46
4497.12,4216.09,4204.46
4497.12,4216.09,4204.46
4497.12,4216.09,4204.46
4497.12,4216.09,4204.46
4490.1,4216.09,4204.46
4455.91,4216.09,4204.46
4414.49,4216.09,4204.46
4369.67,4216.09,4204.46
4323.07,4216.09,4204.46
4275.37,4216.09,4204.46
4234.33,4216.09,4204.38
4222.2300000000005,4216.09,4204.38
4221.81,4216.0,4204.38
4235.96,4216.0,4204.38
4282.55,4216.0,4204.38
4330.25,4216.0,4204.38
4378.3099999999995,4216.0,4204.38
4424.6,4216.0,4204.38
4466.44,4216.0,4204.38
4497.11,4216.0,4204.38
4497.12,4216.0,4204.38
4497.12,4216.0,4204.38
4497.12,4216.0,4204.38
4497.12,4216.0,4204.38
4497.12,4216.0,4204.38
4497.12,4216.0,4204.38
4497.12,4216.0,4204.38
4497.12,4216.0,4204.38
4490.26,4216.0,4204.38
4456.09,4216.0,4204.38
4414.67,4216.0,4204.38
4369.83,4216.0,4204.38
4323.21,4216.0,4204.38
4275.48,4216.0,4204.38
4234.24,4216.0,4204.31
4222.07,4216.0,4204.31
4221.55,4215.89,4204.31
4235.48,4215.89,4204.31
4282.08,4215.89,4204.31
4329.8099999999995,4215.89,4204.31
4377.91,4215.89,4204.31
4424.25,4215.89,4204.31
4466.19,4215.89,4204.31
4497.1,4215.89,4204.31
4497.12,4215.89,4204.31
4497.12,4215.89,4204.31
4497.12,4215.89,4204.31
4497.12,4215.89,4204.31
4497.12,4215.89,4204.31
4497.12,4215.89,4204.31
4497.12,4215.89,4204.31
4497.12,4215.89,4204.31
4490.4,4215.89,4204.31
4456.25,4215.89,4204.31
4414.83,4215.89,4204.31
4369.98,4215.89,4204.31
4323.34,4215.89,4204.31
4275.59,4215.89,4204.31
4234.18,4215.89,4204.25
4221.93,4215.89,4204.25
4221.3099999999995,4215.81,4204.25
4235.01,4215.81,4204.25
4281.61,4215.81,4204.25
4329.36,4215.81,4204.25
4377.49,4215.81,4204.25
4423.89,4215.81,4204.25
4465.93,4215.81,4204.25
4497.08,4215.81,4204.25
4497.12,4215.81,4204.25
4497.12,4215.81,4204.25
4497.12,4215.81,4204.25
4497.12,4215.81,4204.25
4497.12,4215.81,4204.25
4497.12,4215.81,4204.25
4497.12,4215.81,4204.25
4497.12,4215.81,4204.25
4490.53,4215.81,4204.25
4456.4,4215.81,4204.25
4414.97,4215.81,4204.25
4370.11,4215.81,4204.25
4323.45,4215.81,4204.25
4275.67,4215.81,4204.25
4234.09,4215.81,4204.19
4221.77,4215.81,4204.19
4221.07,4215.72,4204.19
4234.53,4215.72,4204.19
4281.1,4215.72,4204.19
4328.88,4215.72,4204.19
4377.05,4215.72,4204.19
