slack_0,non_interrupt,interrupt
3712.45,3385.61,3375.75
3642.0699999999997,3385.61,3375.75
3550.93,3385.61,3375.75
3481.88,3385.61,3375.75
3462.67,3385.61,3375.75
3469.08,3385.61,3375.75
3499.74,3385.61,3375.75
3575.81,3385.61,3375.75
3676.96,3385.61,3375.75
3769.69,3385.61,3375.75
3853.61,3385.61,3375.75
3926.17,3385.61,3375.75
3975.67,3385.61,3375.75
3955.34,3385.61,3375.75
3911.57,3385.61,3375.75
3866.32,3385.61,3375.75
3825.59,3385.61,3375.75
3796.08,3385.61,3375.75
3795.0,3385.61,3375.75
3829.23,3385.61,3375.75
3878.97,3385.61,3375.75
3907.62,3385.61,3375.75
3888.93,3385.61,3375.75
3843.91,3385.61,3375.75
3769.89,3385.61,3375.75
3681.38,3385.61,3375.75
3578.94,3385.61,3375.75
3509.46,3385.61,3375.75
3491.83,3385.61,3375.75
3496.7799999999997,3385.61,3375.75
3524.38,3385.61,3375.75
3603.9700000000003,3385.61,3375.75
3702.58,3385.61,3375.75
3792.5,3385.61,3375.75
3881.6,3385.61,3375.75
3961.67,3385.61,3375.75
4019.6099999999997,3385.61,3375.75
4011.04,3385.61,3375.75
3980.94,3385.61,3375.75
3952.91,3385.61,3375.75
3917.75,3385.61,3375.75
3894.4,3385.61,3375.75
3892.56,3385.61,3375.75
3919.05,3385.61,3375.75
3965.33,3385.61,3375.75
3995.84,3385.61,3375.75
3982.07,3385.61,3375.75
3946.61,3385.61,3375.75
3891.08,3385.61,3375.75
3810.99,3385.61,3375.75
3711.52,3385.61,3375.75
3633.72,3385.61,3375.75
3612.0099999999998,3385.61,3375.75
3613.21,3385.61,3375.75
3632.98,3385.61,3375.75
3708.41,3385.61,3375.75
3805.56,3385.61,3375.75
3897.19,3385.61,3375.75
3976.27,3385.61,3375.75
4047.52,3385.61,3375.75
4107.76,3385.61,3375.75
4119.35,3385.61,3375.75
4112.64,3385.61,3375.75
4100.610000000001,3385.61,3375.75
