slack_0,non_interrupt,interrupt
1796.58,1673.83,1661.5
1786.05,1673.83,1661.5
1785.1799999999998,1673.83,1661.5
1778.5,1673.83,1661.5
1778.1299999999999,1673.83,1661.5
1778.57,1673.83,1661.5
1799.7,1673.83,1661.5
1838.83,1673.83,1661.5
1880.26,1673.83,1661.5
1931.97,1673.83,1661.5
1983.12,1673.83,1661.5
2026.8899999999999,1673.83,1661.5
2052.16,1673.83,1661.5
2077.29,1673.83,1661.5
2098.36,1673.83,1661.5
2109.8,1673.83,1661.5
2119.09,1673.83,1661.5
2133.8,1673.83,1661.5
2153.27,1673.83,1661.5
2161.56,1673.83,1661.5
2172.14,1673.83,1661.5
2192.41,1673.83,1661.5
2220.71,1673.83,1661.5
2254.11,1673.83,1661.5
2283.71,1673.83,1661.5
2321.73,1673.83,1661.5
2368.51,1673.83,1661.5
2417.23,1673.83,1661.5
2471.43,1673.83,1661.5
2533.31,1673.83,1661.5
2623.81,1673.83,1661.5
2728.96,1673.83,1661.5
2834.5299999999997,1673.83,1661.5
2939.0299999999997,1673.83,1661.5
3054.4700000000003,1673.83,1661.5
3185.67,1673.83,1661.5
3323.1,1673.83,1661.5
3459.81,1673.83,1661.5
3606.69,1673.83,1661.5
3748.18,1673.83,1661.5
3869.59,1673.83,1661.5
3953.88,1673.83,1661.5
3991.56,1673.83,1661.5
3993.7,1673.83,1661.5
3948.2799999999997,1673.83,1661.5
3867.18,1673.83,1661.5
3746.4700000000003,1673.83,1661.5
3601.67,1673.83,1661.5
3470.96,1673.83,1661.5
3356.44,1673.83,1661.5
3278.46,1673.83,1661.5
3251.01,1673.83,1661.5
3270.1800000000003,1673.83,1661.5
3335.15,1673.83,1661.5
3427.29,1673.83,1661.5
3520.76,1673.83,1661.5
3604.99,1673.83,1661.5
3645.67,1673.83,1661.5
3665.51,1673.83,1661.5
3672.41,1673.83,1661.5
3650.83,1673.83,1661.5
3594.47,1673.83,1661.5
3472.41,1673.83,1661.5
3313.7,1673.83,1661.5
3127.83,1673.83,1661.5
2921.21,1673.83,1661.5
2676.23,1673.83,1661.5
2447.63,1673.83,1661.5
2272.8,1673.83,1661.5
2155.23,1673.83,1661.5
2063.45,1673.83,1661.5
1977.69,1673.83,1661.5
1923.36,1673.83,1661.5
1879.6399999999999,1673.83,1661.5
1841.8799999999999,1673.83,1661.5
1802.74,1673.83,1661.5
1772.2,1673.83,1661.5
1753.73,1673.83,1661.5
1765.63,1673.83,1661.5
1799.88,1673.83,1661.5
1853.33,1673.83,1661.5
1905.71,1673.83,1661.5
1949.93,1673.83,1661.5
1987.65,1673.83,1661.5
2003.88,1673.83,1661.5
1990.83,1673.83,1661.5
1966.24,1673.83,1661.5
1942.06,1673.83,1661.5
1958.67,1673.83,1661.5
2037.79,1673.83,1661.5
2118.8,1673.83,1661.5
2221.34,1673.83,1661.5
2275.49,1673.83,1661.5
2316.19,1673.83,1661.5
2310.19,1673.83,1661.5
2215.94,1673.83,1661.5
2108.06,1673.83,1661.5
1978.73,1673.83,1661.5
1889.6799999999998,1673.83,1661.5
1817.05,1673.83,1661.5
1761.3,1673.83,1661.5
1745.85,1673.83,1661.5
1776.87,1673.83,1661.5
1856.33,1673.83,1661.5
1996.75,1673.83,1661.5
2170.33,1673.83,1662.76
2367.02,1673.83,1662.76
2575.61,1673.83,1662.76
2768.5299999999997,1673.83,1662.76
2942.3,1673.83,1662.76
3057.75,1673.83,1662.76
3128.41,1673.83,1662.76
3134.9700000000003,1673.83,1662.76
3079.45,1673.83,1662.76
2967.79,1673.83,1662.76
2793.19,1673.83,1662.76
2607.63,1673.83,1662.76
2430.98,1673.83,1662.76
2288.52,1673.83,1662.76
2179.28,1673.83,1662.76
