slack_0,non_interrupt,interrupt
52449.26,51583.27,43640.76
52522.06,51583.27,43707.44
52604.23,51583.27,43782.11
52682.65,51583.27,43867.0
52775.76,51583.27,43954.6
52860.94,51583.27,44021.51
52911.09,51583.27,44063.82
52896.17,51583.27,44063.82
52856.07,51583.27,44063.82
52756.14,51583.27,44063.82
52645.63,51583.27,44063.82
52529.84,51583.27,44063.82
52409.92,51583.27,44063.82
52284.25,51583.27,44063.82
52165.9,51583.27,44063.82
52051.13,51583.27,44063.82
51955.19,51583.27,44063.82
51865.32,51583.27,44063.82
51767.07,51583.27,44063.82
51680.56,51583.27,44063.82
51597.49,51583.27,44063.82
51583.27,51583.27,44063.82
51613.74,51613.74,44078.03
51697.72,51697.72,44124.05
51822.29,51822.29,44215.84
51927.5,51927.5,44315.0
52004.75,52004.75,44395.99
52070.85,52070.85,44476.26
52119.6,52119.6,44560.07
52148.98,52148.98,44622.43
52190.97,52190.97,44694.25
52224.27,52224.27,44747.14
52259.28,52259.28,44761.7
52290.29,52290.29,44761.7
52313.68,52313.68,44761.7
52322.33,52322.33,44761.7
52330.48,52330.48,44761.7
52348.72,52348.72,44761.7
52426.77,52426.77,44761.7
52496.44,52496.44,44761.7
52534.36,52534.36,44761.7
52572.71,52572.71,44761.7
52616.41,52616.41,44761.7
52645.47,52645.47,44761.7
52646.97,52646.97,44761.7
52704.52,52704.52,44761.7
52831.87,52831.87,44838.72
53007.5,53007.5,44954.34
53150.62,53150.62,45057.82
53288.37,53288.37,45160.8
53424.99,53424.99,45265.85
53567.64,53567.64,45362.75
53683.43,53683.43,45457.45
53768.61,53768.61,45564.68
53836.43,53836.43,45667.14
53867.04,53867.04,45728.4
53901.46,53901.46,45758.2
53934.29,53934.29,45758.2
53972.91,53972.91,45758.2
53978.83,53978.83,45758.2
53989.21,53989.21,45758.2
54002.98,53994.72,45758.2
54000.56,53994.72,45758.2
53994.72,53994.72,45758.2
54005.48,54005.48,45758.2
54029.03,54029.03,45758.2
54068.45,54068.45,45758.2
54089.24,54089.24,45758.2
54101.89,54101.89,45758.2
54186.43,54186.43,45758.2
54274.11,54274.11,45796.24
54346.18,54346.18,45834.21
54395.32,54395.32,45871.54
54435.01,54435.01,45897.26
54476.76,54476.76,45915.21
54528.58,54528.58,45936.0
54571.27,54571.27,45935.87
54601.93,54601.93,45929.92
54614.96,54614.96,45941.89
54656.38,54656.38,45978.72
54706.47,54706.47,45985.88
54753.520000000004,54753.52,45985.88
54819.89,54819.89,45985.88
54891.83,54891.83,45985.88
54957.07,54957.07,45985.88
55004.86,55004.86,45985.88
55062.03,55062.03,45985.88
55137.14,55137.14,45985.88
55219.8,55219.8,45985.88
55306.340000000004,55306.34,45985.88
55396.82,55396.82,45985.88
55483.13,55483.13,45985.88
55576.95,55576.95,45985.88
55656.94,55656.94,45985.88
55700.3,55700.3,46015.03
55725.92,55725.92,46023.84
55761.68,55761.68,46024.46
55786.7,55786.7,46009.51
55804.98,55804.98,45974.2
55842.38,55813.81,45936.04
55857.99,55813.81,45875.98
55851.89,55813.81,45811.95
55835.16,55813.81,45773.99
55820.91,55813.81,45788.46
55813.81,55813.81,45788.46
55846.99,55846.99,45788.46
55936.020000000004,55936.02,45788.46
56032.19,55940.48,45788.46
56122.92,55940.48,45788.46
56214.53,55940.48,45788.46
56288.54,55940.48,45788.46
56355.24,55940.48,45788.46
56408.11,55940.48,45788.46
56461.98,55940.48,45788.46
56526.29,55940.48,45788.46
56575.28,55940.48,45788.46
56637.38,55940.48,45788.46
56684.75,55940.48,45788.46
56696.32,55940.48,45790.95
56690.65,55940.48,45820.44
56673.94,55940.48,45864.07
56684.66,55940.48,45914.43
56721.05,55940.48,45975.42
56775.48,55940.48,46070.74
56837.67,55940.48,46179.48
56910.33,55940.48,46272.52
56978.9,55940.48,46335.95
57045.66,55940.48,46372.08
