slack_0,non_interrupt,interrupt
45654.53,45654.53,43537.55
45789.72,45789.72,43635.77
45911.19,45911.19,43729.47
46012.77,46012.77,43822.46
46115.13,46115.13,43919.04
46225.74,46225.74,44014.79
46337.61,46337.61,44111.7
46472.14,46472.14,44224.47
46622.96,46622.96,44342.08
46755.33,46755.33,44451.28
46883.45,46883.45,44580.41
47018.15,47018.15,44713.98
47150.83,47150.83,44847.56
47280.53,47280.53,44982.55
47409.09,47409.09,45113.49
47535.65,47535.65,45235.55
47650.31,47650.31,45334.22
47762.38,47762.38,45420.69
47882.06,47882.06,45514.26
48000.3,48000.3,45601.83
48123.72,48123.72,45689.17
48256.48,48256.48,45785.47
48383.21,48383.21,45881.46
48525.04,48525.04,46004.29
48648.54,48648.54,46117.74
48770.25,48770.25,46227.96
48899.76,48899.76,46341.34
49043.24,49043.24,46470.13
49190.35,49190.35,46607.16
49338.17,49338.17,46738.39
49500.83,49500.83,46875.3
49666.76,49666.76,47014.22
49815.11,49815.11,47157.99
49979.83,49979.83,47316.92
50155.47,50155.47,47496.06
50358.4,50358.4,47696.35
50551.8,50551.8,47897.35
50736.96,50736.96,48094.88
50920.31,50920.31,48284.37
51121.56,51121.56,48474.57
51319.47,51319.47,48648.36
51490.52,51490.52,48805.42
51673.77,51673.77,48971.19
51871.57,51871.57,49140.48
52089.43,52089.43,49322.99
52319.28,52319.28,49512.23
52539.71,52539.71,49690.79
52765.4,52765.4,49878.25
52980.78,52980.78,50071.62
53201.17,53201.17,50266.61
53407.88,53233.03,50463.83
53607.82,53233.03,50658.56
53800.409999999996,53233.03,50843.69
53958.39,53233.03,50991.88
54089.68,53233.03,51124.84
54180.24,53233.03,51226.88
54249.909999999996,53233.03,51320.39
54316.47,53233.03,51420.74
54400.4,53233.03,51544.57
54473.09,53233.03,51649.04
54543.159999999996,53233.03,51743.23
54605.82,53233.03,51834.51
54671.8,53233.03,51910.26
54735.38,53233.03,51974.52
54792.89,53233.03,52029.99
54843.9,53233.03,52080.7
54894.51,53233.03,52128.25
54942.38,53233.03,52166.6
54997.01,53233.03,52203.96
55050.36,53233.03,52241.76
55112.69,53233.03,52284.02
55167.82,53233.03,52321.45
55190.4,53233.03,52348.48
55223.39,53233.03,52377.24
55255.75,53233.03,52399.51
55290.57,53233.03,52423.0
55319.58,53233.03,52439.74
55329.79,53233.03,52439.74
55319.09,53233.03,52439.74
55300.64,53233.03,52439.74
55265.03,53233.03,52439.74
55237.38,53233.03,52432.72
55201.84,53233.03,52424.22
55153.09,53233.03,52419.13
55103.08,53233.03,52411.89
55038.75,53233.03,52409.63
54967.94,53233.03,52409.63
54898.53,53233.03,52409.63
54840.76,53233.03,52409.63
54783.11,53233.03,52411.42
54720.9,53233.03,52411.42
54654.4,53233.03,52411.42
54575.61,53233.03,52411.42
54471.76,53233.03,52411.42
54362.25,53233.03,52411.42
54285.54,53233.03,52411.42
54153.28,53233.03,52411.42
54022.71,53233.03,52413.17
53894.96,53233.03,52424.91
53779.979999999996,53233.03,52455.52
53675.63,53233.03,52488.57
53564.79,53233.03,52512.16
53470.13,53233.03,52535.0
53380.53,53233.03,52550.67
53297.19,53233.03,52554.26
53250.77,53233.03,52568.03
53246.1,53233.03,52594.01
53242.14,53233.03,52612.51
53235.56,53233.03,52636.64
53233.03,53233.03,52663.14
53242.659999999996,53242.66,52691.04
53257.35,53254.06,52719.27
53266.32,53254.06,52735.92
53262.62,53254.06,52734.11
53263.54,53254.06,52728.86
53256.77,53254.06,52724.71
53254.06,53254.06,52713.87
53257.6,53257.6,52710.68
53263.86,53263.86,52700.08
53287.74,53287.74,52696.04
53333.58,53333.58,52674.51
53388.86,53388.86,52633.64
53444.33,53444.33,52587.5
53504.94,53504.94,52540.46
53565.01,53565.01,52511.07
53615.79,53615.79,52493.2
53638.04,53638.04,52487.85
