slack_0,non_interrupt,interrupt
47455.11,47197.94,46550.11
47451.39,47197.94,46549.5
47445.99,47197.94,46543.45
47441.68,47197.94,46540.94
47440.1,47197.94,46543.29
47432.14,47197.94,46536.86
47423.57,47197.94,46529.92
47417.07,47197.94,46521.29
47403.92,47197.94,46507.16
47396.18,47197.94,46498.78
47390.79,47194.62,46494.65
47389.25,47193.6,46494.65
47387.65,47192.89,46494.65
47386.82,47192.26,46494.65
47386.06,47191.78,46494.65
47385.4,47191.43,46494.65
47384.83,47191.1,46494.65
47384.28,47190.65,46494.65
47383.74,47190.23,46494.65
47383.19,47189.8,46494.65
47382.61,47189.32,46494.65
47381.98,47188.8,46494.65
47381.19,47188.14,46494.65
47381.74,47187.17,46494.65
47380.19,47185.95,46494.65
47374.45,47184.92,46493.36
47363.01,47183.27,46485.46
47346.31,47180.26,46473.55
47325.9,47180.26,46473.55
47307.49,47180.26,46473.55
47291.83,47180.26,46465.54
47278.72,47180.26,46452.01
47264.66,47180.26,46440.61
47256.27,47180.26,46434.31
47251.53,47180.26,46432.49
47250.13,47180.26,46432.49
47249.12,47180.26,46432.49
47248.24,47180.26,46432.49
47247.41,47180.26,46432.49
47246.58,47180.26,46432.49
47245.8,47180.26,46432.49
47245.21,47180.26,46432.49
47245.23,47180.26,46432.49
47245.43,47180.26,46432.49
47245.66,47180.26,46432.49
47246.23,47180.26,46432.49
47247.02,47180.26,46432.49
47247.74,47180.26,46432.49
47248.45,47180.26,46432.49
47247.17,47180.26,46432.49
47245.44,47180.26,46431.68
47244.94,47180.26,46430.59
47236.87,47180.26,46424.88
47233.19,47180.26,46415.53
47234.53,47180.26,46413.22
47235.28,47180.26,46413.0
47229.98,47180.26,46403.59
47228.94,47180.26,46396.16
47230.68,47180.26,46393.1
47231.02,47180.26,46393.1
47229.35,47180.26,46393.1
47227.93,47180.26,46393.1
47227.16,47180.26,46393.1
47227.01,47180.26,46393.1
47226.96,47180.26,46393.1
47227.01,47180.26,46393.1
47227.05,47180.26,46393.1
47227.1,47180.26,46393.1
47227.18,47180.26,46393.1
47227.31,47180.26,46393.1
47227.62,47180.26,46393.1
47228.19,47180.26,46393.1
47228.96,47180.26,46393.1
47229.85,47180.26,46393.1
47227.86,47180.26,46391.01
47221.55,47180.26,46383.04
47211.65,47180.26,46370.52
47205.07,47180.26,46359.26
47203.76,47180.26,46349.88
47200.43,47179.9,46343.96
47200.28,47177.01,46338.82
47197.94,47175.38,46334.6
47198.62,47175.38,46334.6
47199.89,47175.38,46334.6
47201.24,47175.38,46334.6
47201.67,47175.38,46334.6
47201.95,47175.38,46334.6
47202.08,47175.38,46334.6
47202.19,47175.38,46334.6
47202.65,47175.38,46334.6
47202.98,47175.38,46334.6
47203.34,47175.38,46334.6
47203.74,47175.38,46334.6
47204.19,47175.38,46334.6
47204.8,47175.38,46334.6
47206.45,47175.38,46334.6
47207.81,47175.38,46334.6
47210.2,47175.38,46335.99
47210.5,47175.38,46335.45
47213.51,47173.24,46333.57
47216.05,47169.24,46333.5
47219.43,47168.16,46333.95
47221.28,47166.61,46334.03
47216.78,47166.61,46332.35
47212.7,47166.61,46331.36
47207.42,47166.61,46332.36
47207.52,47166.61,46335.15
47207.93,47166.61,46335.15
47209.75,47166.61,46335.15
47210.3,47166.61,46335.15
47210.74,47166.61,46335.15
47211.11,47166.61,46335.15
47211.44,47166.61,46335.15
47211.84,47166.61,46335.15
47212.16,47166.61,46335.15
47212.46,47166.61,46335.15
47212.76,47166.61,46335.15
47213.08,47166.61,46335.15
47213.34,47166.61,46335.15
47213.64,47166.61,46335.15
47213.96,47166.61,46335.15
47214.89,47166.61,46335.13
47215.48,47166.61,46337.96
47217.94,47166.61,46343.44
47220.5,47166.61,46351.64
47221.9,47163.12,46361.99
47221.56,47162.27,46368.14
47221.75,47162.27,46374.69
47221.75,47162.27,46382.59
47218.49,47162.27,46386.8
47217.55,47162.27,46387.16
47217.05,47162.27,46387.16
47217.01,47162.27,46387.16
47216.98,47162.27,46387.16
47216.97,47162.27,46387.16
47216.99,47162.27,46387.16
47217.02,47162.27,46387.16
47217.05,47162.27,46387.16
47216.86,47162.27,46387.16
47216.68,47162.27,46387.16
47216.46,47162.27,46387.16
47216.25,47162.27,46387.16
47216.04,47162.27,46387.16
47215.82,47162.27,46387.16
47215.72,47162.27,46387.16
47214.21,47162.27,46387.87
47213.54,47162.27,46388.57
47212.79,47162.27,46388.04
47215.05,47162.27,46386.73
47230.4,47162.27,46380.9
47231.47,47162.27,46376.23
47233.52,47162.27,46373.5
47234.99,47162.27,46369.86
47232.28,47162.27,46365.88
47228.71,47162.27,46362.07
47226.85,47162.27,46362.07
47226.8,47162.27,46362.07
47226.79,47162.27,46362.07
47226.83,47162.27,46362.07
47226.92,47162.27,46362.07
47226.87,47162.27,46362.07
47226.5,47162.27,46362.07
47226.26,47162.27,46362.07
47226.01,47162.27,46362.07
47225.72,47162.27,46362.07
47225.38,47162.27,46362.07
47224.93,47162.27,46362.07
47224.24,47162.27,46362.07
47223.51,47162.27,46362.07
47223.35,47162.27,46362.07
47223.46,47162.27,46364.89
47225.23,47162.27,46371.12
47228.0,47162.27,46373.81
47223.76,47162.27,46369.3
47217.23,47162.27,46365.07
47214.36,47162.27,46363.42
47203.93,47162.27,46359.12
47198.9,47162.27,46357.09
47194.62,47162.27,46357.09
47193.6,47162.27,46357.09
47192.89,47162.27,46357.09
47192.26,47162.27,46357.09
47191.78,47162.27,46357.09
47191.43,47162.27,46357.09
47191.1,47162.27,46357.09
47190.65,47162.27,46357.09
47190.23,47162.27,46357.09
47189.8,47162.27,46357.09
47189.32,47162.27,46357.09
47188.8,47162.27,46357.09
47188.14,47162.27,46357.09
47187.17,47162.27,46357.09
47185.95,47162.27,46357.09
47184.92,47162.27,46357.09
47183.27,47162.27,46359.86
47180.26,47162.27,46362.43
47197.07,47162.27,46365.85
47216.28,47162.27,46365.2
47224.71,47162.27,46367.11
47227.47,47162.27,46372.41
47230.26,47162.27,46377.53
47233.51,47162.27,46382.86
47234.79,47162.27,46385.8
47234.31,47162.27,46385.8
47233.53,47162.27,46385.8
47232.88,47162.27,46385.8
47232.32,47162.27,46385.8
47231.81,47162.27,46385.8
47231.31,47162.27,46385.8
47230.69,47162.27,46385.8
47230.11,47162.27,46385.8
47229.53,47162.27,46385.8
47228.95,47162.27,46385.8
47228.37,47162.27,46385.8
47227.88,47162.27,46385.8
47227.5,47162.27,46385.8
47227.28,47162.27,46385.8
47226.99,47162.27,46385.62
47227.73,47162.27,46386.11
47227.15,47162.27,46385.4
47229.45,47162.27,46384.48
