slack_0,non_interrupt,interrupt
29047.24,27168.93,22607.95
29103.51,27168.93,22607.95
29189.13,27168.93,22607.95
29262.48,27168.93,22607.95
29303.29,27168.93,22607.95
29355.1,27168.93,22607.95
29365.48,27168.93,22607.03
29355.01,27168.93,22603.37
29345.26,27168.93,22592.01
29319.49,27168.93,22591.0
29323.32,27168.93,22591.0
29289.48,27168.93,22591.0
29224.41,27168.93,22591.0
29155.93,27168.93,22591.0
29071.54,27168.93,22591.0
28998.74,27168.93,22591.0
29015.1,27168.93,22591.0
29079.58,27168.93,22640.26
29163.68,27168.93,22684.69
29256.22,27168.93,22724.42
29343.84,27168.93,22774.34
29422.8,27168.93,22825.46
29471.77,27168.93,22886.08
29514.2,27168.93,22974.49
29576.24,27168.93,23035.27
29686.66,27168.93,23031.75
29786.09,27168.93,23031.75
29860.7,27168.93,23031.75
29930.48,27168.93,23031.75
29995.08,27168.93,23031.75
30037.01,27168.93,23031.75
30027.47,27168.93,23031.75
30004.48,27168.93,23031.75
29972.61,27168.93,23028.2
29936.31,27168.93,23025.78
29896.12,27168.93,23025.78
29850.95,27168.93,23018.24
29800.6,27168.93,23018.24
29787.19,27168.93,23018.24
29782.49,27168.93,23018.24
29784.4,27168.93,23018.24
29850.75,27168.93,23060.82
29892.61,27168.93,23126.97
29916.62,27168.93,23189.93
29954.23,27168.93,23245.33
29987.56,27168.93,23306.87
30015.73,27168.93,23362.09
30028.0,27168.93,23431.19
30085.39,27168.93,23497.11
30129.35,27168.93,23497.11
30129.23,27168.93,23497.11
30152.9,27168.93,23491.48
30159.21,27168.93,23491.48
30157.55,27168.93,23491.48
30151.16,27168.93,23473.97
30120.67,27168.93,23473.97
30078.2,27168.93,23473.97
30040.35,27168.93,23473.97
30021.19,27168.93,23473.97
30005.33,27168.93,23473.97
29977.55,27168.93,23471.86
29926.03,27168.93,23465.74
29851.97,27168.93,23452.59
29687.55,27168.93,23421.3
29583.59,27168.93,23412.54
29557.4,27168.93,23407.85
29540.85,27168.93,23415.71
29516.31,27168.93,23410.87
29501.25,27168.93,23405.62
29473.81,27168.93,23381.12
29471.37,27168.93,23345.88
29486.58,27168.93,23346.48
29462.04,27168.93,23319.03
29407.59,27168.93,23308.05
29380.71,27168.93,23291.07
29333.75,27168.93,23273.86
29259.66,27168.93,23257.27
29206.73,27168.93,23248.65
29170.64,27168.93,23248.65
29162.98,27168.93,23248.65
29154.77,27168.93,23248.65
