slack_0,non_interrupt,interrupt
51508.17,51508.17,50497.59
51556.39,51556.39,50515.94
51612.15,51612.15,50541.26
51673.48,51673.48,50570.81
51716.7,51716.7,50602.37
51741.51,51741.51,50638.55
51758.81,51758.81,50677.58
51780.02,51780.02,50723.07
51803.43,51803.43,50772.12
51831.41,51831.41,50827.44
51860.51,51860.51,50885.9
51898.64,51898.64,50945.46
51959.68,51959.68,51004.52
52038.95,52038.95,51066.9
52121.92,52121.92,51148.62
52203.08,52203.08,51243.65
52268.13,52268.13,51333.02
52316.58,52316.58,51406.43
52362.13,52362.13,51471.91
52408.72,52408.72,51539.47
52458.9,52458.9,51609.74
52503.23,52503.23,51675.84
52553.68,52553.68,51724.32
52604.17,52604.17,51756.93
52650.76,52637.1,51787.45
52697.25,52637.1,51819.95
52736.35,52637.1,51846.88
52762.22,52637.1,51857.55
52765.44,52637.1,51857.73
52735.74,52637.1,51857.73
52696.57,52637.1,51857.73
52657.17,52637.1,51857.73
52637.1,52637.1,51860.19
52642.29,52642.29,51889.24
52648.96,52648.96,51920.53
52662.41,52662.41,51953.64
52703.17,52665.55,51982.73
52734.04,52665.55,51984.92
52744.840000000004,52665.55,51986.39
52739.69,52665.55,51994.62
52729.6,52665.55,52002.23
52711.89,52665.55,52011.62
52694.78,52665.55,52023.41
52680.13,52665.55,52036.99
52671.52,52665.55,52045.77
52665.55,52665.55,52044.03
52665.96,52665.96,52044.03
52668.73,52668.73,52044.03
52674.6,52674.6,52044.03
52680.18,52680.18,52044.03
52689.99,52689.36,52044.03
52699.83,52689.36,52044.03
52692.41,52689.36,52044.03
52689.36,52689.36,52045.37
52730.46,52730.46,52078.74
52776.93,52776.93,52115.47
52825.26,52825.26,52153.62
52872.41,52872.41,52191.04
52919.55,52919.55,52229.03
52964.83,52964.83,52265.9
53026.62,53026.62,52298.27
53085.14,53085.14,52313.01
53128.96,53128.96,52334.99
53160.57,53160.57,52363.01
53197.26,53197.26,52394.92
53235.17,53235.17,52417.52
53278.81,53278.81,52416.42
53329.41,53329.41,52396.7
53379.89,53379.89,52374.22
53423.81,53423.81,52359.17
53460.76,53460.76,52357.5
53491.48,53491.48,52357.5
53521.25,53521.25,52357.5
53555.54,53555.54,52357.5
53585.57,53585.57,52357.5
53613.23,53613.23,52357.5
53630.9,53630.9,52357.5
53659.02,53659.02,52374.77
53697.13,53697.13,52411.95
53739.17,53739.17,52449.23
53782.29,53782.29,52486.48
53823.7,53823.7,52522.05
53866.18,53866.18,52558.52
53902.4,53902.4,52588.61
53906.16,53906.16,52589.13
53916.4,53916.4,52589.13
53944.36,53944.36,52602.58
53973.64,53973.64,52615.2
54006.22,54006.22,52627.97
54028.88,54028.88,52626.76
54058.43,54058.43,52633.24
54083.11,54083.11,52638.53
54101.95,54101.95,52639.77
54118.2,54118.2,52634.78
54143.8,54143.8,52643.42
54165.93,54165.93,52643.42
54189.16,54189.16,52643.42
54210.92,54210.92,52643.42
54233.28,54233.28,52643.42
54255.53,54255.53,52643.42
54297.44,54297.44,52646.94
54340.75,54340.75,52672.79
54373.27,54373.27,52709.46
54410.45,54410.45,52748.56
54450.93,54450.93,52788.95
54490.58,54490.58,52830.87
54529.44,54529.44,52872.5
54561.38,54561.38,52906.63
54573.61,54573.61,52917.22
54585.89,54585.89,52917.22
54596.02,54596.02,52928.23
54604.94,54604.94,52954.37
54622.17,54622.17,52990.78
54642.45,54642.45,53027.42
54660.72,54660.72,53059.02
54683.3,54683.3,53091.69
54705.36,54705.36,53123.31
54745.23,54745.23,53149.38
54767.32,54767.32,53158.69
54781.94,54781.94,53158.69
54798.66,54798.66,53158.69
54819.6,54819.6,53158.69
54844.67,54844.67,53158.69
54871.58,54871.58,53158.69
54911.03,54911.03,53166.45
54955.409999999996,54955.41,53201.09
54982.74,54982.74,53235.36
55013.1,55013.1,53268.08
55045.61,55045.61,53302.54
55077.28,55077.28,53338.24
55111.06,55111.06,53374.52
55142.92,55142.92,53405.86
55163.63,55163.63,53405.86
55175.87,55175.87,53405.86
55188.96,55188.96,53407.91
55203.54,55203.54,53412.11
55225.42,55225.42,53420.77
55254.24,55221.07,53429.35
55289.02,55176.26,53434.93
55334.14,55151.33,53439.21
55372.57,55127.24,53432.51
55416.6,55112.0,53421.5
55439.63,55098.66,53411.23
55447.55,55091.85,53411.23
55452.52,55079.4,53411.23
55461.37,55068.43,53411.23
55472.35,55059.09,53411.23
55483.39,55054.77,53411.23
55492.84,55045.94,53411.23
55503.76,55035.62,53423.68
55496.32,55022.17,53421.96
55478.04,55015.8,53419.51
55461.99,55009.34,53417.27
55461.45,55006.44,53417.27
55462.89,55006.44,53417.27
55462.409999999996,55006.44,53417.27
55467.49,55006.44,53417.27
55485.08,55006.44,53417.27
55495.39,54993.0,53413.43
55495.51,54983.59,53400.43
55490.78,54969.76,53381.82
55492.18,54968.16,53364.91
55482.44,54968.16,53340.9
55467.81,54968.16,53300.58
55454.479999999996,54968.16,53254.46
55443.05,54968.16,53215.31
55431.89,54968.16,53207.22
55425.25,54968.16,53207.22
55419.63,54968.16,53207.22
55410.58,54968.16,53207.22
55402.47,54968.16,53207.22
55397.15,54968.16,53207.22
55406.479999999996,54968.16,53207.22
55415.79,54968.16,53207.22
55435.53,54968.16,53212.2
55445.06,54968.16,53213.23
55451.33,54968.16,53212.89
55457.88,54968.16,53212.89
55462.74,54968.16,53212.89
55469.5,54968.16,53212.89
55486.21,54968.16,53214.7
55501.32,54968.16,53214.7
55504.74,54968.16,53207.06
55511.33,54968.16,53190.08
55516.3,54968.16,53170.84
55517.67,54968.16,53145.44
55520.1,54962.46,53109.08
55533.58,54946.89,53074.12
55541.09,54941.59,53051.22
55537.45,54940.98,53029.37
55541.979999999996,54940.98,53025.96
55543.3,54940.98,53025.96
55542.34,54940.98,53025.96
55541.84,54940.98,53025.96
55542.1,54940.98,53025.96
55540.72,54940.98,53025.96
55534.68,54940.98,53025.96
55529.12,54940.98,53025.96
55545.13,54940.98,53033.5
55557.7,54940.98,53038.84
55570.74,54940.98,53042.22
55585.82,54940.98,53048.28
55601.159999999996,54940.98,53054.89
55617.46,54940.98,53060.37
55636.99,54940.98,53061.97
55655.19,54940.98,53061.97
55669.69,54927.4,53066.05
55677.76,54890.29,53072.47
55683.39,54853.91,53074.29
55706.61,54824.42,53074.1
55733.47,54801.68,53073.3
55736.36,54787.87,53073.79
55733.03,54787.34,53082.82
55706.78,54787.34,53080.12
55696.59,54787.34,53080.12
55699.95,54787.34,53080.12
55709.59,54787.34,53080.12
55716.61,54787.34,53080.12
55720.89,54787.34,53080.12
55715.97,54787.34,53080.12
55710.42,54787.34,53080.12
55710.81,54787.34,53080.12
55728.69,54787.34,53087.05
55736.09,54787.34,53089.59
55742.7,54787.34,53077.66
55752.08,54756.77,53055.05
55760.67,54722.12,53027.51
55771.19,54691.65,53003.48
55769.14,54665.77,52988.7
55773.73,54647.33,52988.7
55773.29,54636.34,52978.06
55767.06,54630.31,52961.65
55759.26,54625.06,52943.18
55737.27,54621.01,52918.89
55686.77,54621.01,52892.56
55606.14,54621.01,52865.69
55525.24,54621.01,52835.2
55445.659999999996,54621.01,52821.24
55401.96,54621.01,52817.02
55401.82,54621.01,52817.02
55403.42,54621.01,52817.02
55401.12,54621.01,52817.02
55396.07,54621.01,52817.02
55390.23,54621.01,52817.02
55386.25,54621.01,52817.02
55406.01,54621.01,52792.26
55434.32,54610.13,52785.49
55460.24,54596.3,52787.27
55479.909999999996,54580.7,52784.51
55485.09,54557.24,52763.7
55489.82,54515.32,52740.45
55497.6,54478.78,52719.61
55487.45,54440.38,52702.64
55457.74,54411.53,52693.67
55430.78,54411.53,52693.67
55414.78,54411.53,52704.61
55401.409999999996,54411.53,52722.98
55380.07,54411.53,52736.2
55367.69,54411.53,52755.59
55352.87,54411.53,52773.37
55340.229999999996,54411.53,52788.44
55330.659999999996,54411.53,52802.83
55321.729999999996,54411.53,52802.83
55314.81,54411.53,52802.83
55303.61,54411.53,52802.83
55296.08,54411.53,52802.83
55293.95,54411.53,52802.83
55289.0,54411.53,52802.83
55283.69,54411.53,52802.83
55275.24,54411.53,52802.83
55265.79,54411.53,52802.83
55261.75,54411.53,52796.44
55269.34,54411.53,52787.09
55277.24,54411.53,52777.59
55287.57,54411.53,52766.78
55293.45,54411.53,52757.95
55296.28,54411.53,52748.76
55301.12,54411.53,52748.76
55316.86,54411.53,52748.76
55346.39,54411.53,52753.33
55371.12,54411.53,52760.65
55391.84,54411.53,52762.04
55404.909999999996,54411.53,52754.6
55407.3,54411.53,52741.04
55407.95,54411.53,52729.28
55404.61,54411.53,52722.66
55392.56,54411.53,52715.74
55384.59,54411.53,52715.74
55375.409999999996,54411.53,52715.74
55365.36,54411.53,52715.74
55356.28,54411.53,52715.74
55348.79,54411.53,52715.74
55340.75,54411.53,52715.74
55336.51,54411.53,52712.87
55328.74,54411.53,52708.13
55321.24,54411.53,52703.22
55314.56,54411.53,52698.46
55308.97,54411.53,52698.46
55304.22,54411.53,52698.46
55299.84,54411.53,52698.46
55293.01,54411.53,52698.46
55283.01,54411.53,52698.46
55272.79,54411.53,52698.46
55263.61,54411.53,52707.93
55254.57,54411.53,52721.82
55221.07,54411.53,52721.82
55176.26,54411.53,52689.47
55151.33,54411.53,52648.69
55127.24,54411.53,52614.34
55112.0,54411.53,52588.25
55098.66,54411.53,52564.35
55091.85,54411.53,52564.35
55079.4,54411.53,52564.35
55068.43,54411.53,52564.35
55059.09,54411.53,52564.35
55054.77,54411.53,52564.35
55045.94,54411.53,52564.15
55035.62,54411.53,52563.09
55022.17,54411.53,52563.09
55015.8,54411.53,52563.09
55009.34,54411.53,52562.97
55006.44,54411.53,52562.97
55018.68,54411.53,52562.97
55022.49,54411.53,52562.97
55023.92,54411.53,52562.97
55007.7,54411.53,52562.97
54993.0,54411.53,52562.97
54983.59,54411.53,52577.12
54969.76,54411.53,52594.19
54968.16,54411.53,52622.61
54988.89,54411.53,52668.82
55018.89,54411.53,52734.08
55045.73,54411.53,52806.42
55065.55,54411.53,52865.71
55080.35,54411.53,52886.72
55074.69,54411.53,52886.72
55063.25,54411.53,52886.72
55050.2,54411.53,52886.72
55036.16,54411.53,52886.72
55021.15,54411.53,52886.72
55023.4,54411.53,52886.72
55007.67,54411.53,52882.28
54989.53,54411.53,52869.53
54982.15,54411.53,52856.25
54977.05,54411.53,52844.35
54977.93,54411.53,52835.02
54987.99,54411.53,52835.02
54995.05,54411.53,52835.02
54994.37,54411.53,52835.02
54982.25,54411.53,52835.02
54977.03,54411.53,52835.05
54976.71,54411.53,52861.55
54977.28,54411.53,52892.14
54975.75,54411.53,52925.31
54962.46,54411.53,52955.47
54946.89,54411.53,52986.41
54941.59,54411.53,53012.2
54940.98,54411.53,53033.75
54941.93,54411.53,53036.34
54942.9,54411.53,53036.34
54947.82,54411.53,53036.34
54948.41,54411.53,53036.34
54949.33,54411.53,53036.34
54954.67,54411.53,53036.34
54960.07,54411.53,53036.34
54981.13,54411.53,53025.21
54987.29,54411.53,52989.78
54993.03,54411.53,52948.66
54988.69,54411.53,52906.32
54983.6,54411.53,52863.55
54977.07,54411.53,52823.43
54972.2,54411.53,52794.22
54962.31,54411.53,52792.41
54949.32,54411.53,52792.41
54927.4,54411.53,52792.41
54890.29,54411.53,52789.2
54853.91,54411.53,52776.88
54824.42,54411.53,52761.43
54801.68,54411.53,52750.73
54787.87,54411.53,52739.68
54787.34,54411.53,52732.99
54794.55,54411.53,52738.58
54797.74,54411.53,52738.58
54798.34,54411.53,52738.58
54801.76,54411.53,52738.58
54805.45,54411.53,52738.58
54807.69,54411.53,52738.58
54808.72,54411.53,52738.58
54809.31,54411.53,52731.82
54806.86,54411.53,52711.07
54805.19,54411.53,52674.03
54804.78,54411.53,52635.17
54787.48,54411.53,52595.37
54756.77,54411.53,52553.6
54722.12,54411.53,52514.11
54691.65,54411.53,52481.67
54665.77,54411.53,52477.1
54647.33,54411.53,52477.1
54636.34,54411.31,52477.1
54630.31,54397.53,52491.15
54625.06,54382.22,52509.64
54621.01,54367.29,52528.19
54623.88,54367.29,52545.64
54631.53,54367.29,52548.39
54640.14,54367.29,52553.54
54663.0,54367.29,52567.52
54671.27,54367.29,52574.26
54664.88,54367.29,52574.26
54661.159999999996,54367.29,52574.26
54658.33,54367.29,52574.26
54652.59,54367.29,52574.26
54649.35,54367.29,52574.26
54648.91,54367.29,52574.26
