slack_0,non_interrupt,interrupt
7890.62,7408.48,7061.91
7892.12,7408.48,7065.78
7896.55,7408.48,7067.82
7902.44,7408.48,7073.03
7905.34,7408.48,7076.44
7901.96,7408.48,7077.66
7902.43,7408.48,7077.66
7908.26,7408.48,7077.81
7912.75,7408.48,7077.81
7918.86,7408.48,7081.68
7924.9,7408.48,7085.17
7927.94,7408.48,7086.62
7926.51,7408.48,7086.62
7920.27,7408.48,7086.62
7911.24,7408.48,7086.62
7904.84,7408.48,7086.62
7900.75,7408.48,7086.62
7897.07,7408.48,7086.62
7890.14,7408.48,7086.62
7886.72,7408.48,7086.62
7878.49,7408.48,7086.62
7866.75,7408.48,7086.62
7849.52,7408.48,7086.62
7840.95,7408.48,7086.62
7834.43,7408.48,7092.57
7835.15,7408.48,7103.2
7833.2,7408.48,7108.62
7829.56,7408.48,7114.21
7827.54,7408.48,7119.72
7832.43,7408.48,7129.8
7838.56,7408.48,7137.31
7836.16,7408.48,7138.64
7834.49,7408.48,7138.64
7827.86,7408.48,7139.64
7823.68,7408.48,7140.47
7817.12,7408.48,7140.47
7806.36,7408.48,7140.47
7794.88,7408.48,7141.16
7779.84,7408.48,7143.33
7767.94,7408.48,7148.24
7755.2699999999995,7408.48,7153.32
7745.01,7408.48,7156.19
7734.55,7408.48,7156.19
7726.12,7408.48,7156.19
7716.98,7408.48,7156.19
7705.41,7408.48,7156.19
7693.36,7408.48,7156.19
7680.45,7408.48,7156.19
7674.16,7408.48,7165.6
7669.14,7408.48,7174.31
7660.34,7408.48,7176.46
7651.04,7408.48,7177.32
7639.73,7408.48,7178.26
7628.17,7408.48,7178.26
7615.54,7408.48,7178.26
7603.78,7408.48,7178.26
7591.3,7408.48,7178.26
7583.93,7408.48,7178.26
7577.94,7408.48,7178.26
7576.04,7408.48,7178.26
7572.56,7408.48,7178.26
7572.16,7408.48,7178.26
7571.27,7408.48,7178.33
7567.3,7408.48,7176.98
7559.68,7408.48,7174.4
7558.07,7408.48,7169.77
7551.67,7408.48,7160.04
7547.46,7408.48,7155.86
7542.67,7408.48,7153.51
7534.32,7408.48,7153.51
7521.07,7408.48,7153.51
7507.01,7408.48,7153.51
7497.55,7408.48,7149.81
7480.92,7408.48,7142.12
7464.81,7408.48,7134.4
7450.82,7408.48,7127.27
7433.51,7408.48,7120.48
7416.74,7408.48,7114.64
7408.48,7408.48,7113.68
7411.73,7408.85,7113.68
7412.26,7408.85,7113.68
7414.99,7408.85,7113.68
7421.61,7408.85,7113.68
7427.26,7408.85,7113.68
7434.94,7408.85,7113.68
7444.14,7408.85,7113.68
7454.48,7408.85,7113.68
7457.19,7408.85,7111.17
7455.3099999999995,7408.85,7105.28
7453.42,7408.85,7099.89
7448.88,7408.85,7094.08
7446.6,7408.85,7091.73
7444.28,7408.85,7091.73
7435.84,7408.85,7091.73
7428.11,7408.85,7091.73
7427.15,7408.85,7091.73
7427.44,7408.85,7090.29
7424.0,7408.85,7085.34
7417.31,7408.85,7075.16
7412.37,7408.85,7066.09
7409.74,7408.85,7060.25
7412.53,7408.85,7061.02
7409.48,7408.85,7059.55
7408.85,7408.85,7059.55
7410.2699999999995,7410.27,7059.55
7423.38,7423.38,7059.55
7439.1,7439.1,7059.55
7456.64,7456.64,7059.55
7474.27,7474.27,7059.77
7493.5,7493.5,7063.6
7511.66,7511.66,7071.65
7519.95,7519.95,7074.26
7522.01,7522.01,7068.98
7529.14,7529.14,7063.45
7538.0,7538.0,7062.33
7545.09,7545.09,7057.43
7559.86,7559.86,7058.87
7583.62,7583.62,7062.62
7609.27,7609.27,7068.46
7636.41,7636.41,7072.74
7661.26,7661.26,7079.23
7671.13,7671.13,7076.49
7678.85,7678.85,7071.37
7688.52,7688.52,7068.13
7693.65,7693.65,7066.21
7699.66,7699.66,7065.03
7705.53,7705.53,7061.32
7719.34,7719.34,7065.19
7733.73,7733.73,7066.82
7754.77,7754.77,7074.58
7774.43,7774.43,7079.73
7793.07,7793.07,7085.38
7813.14,7794.17,7094.7
7833.39,7771.12,7103.33
7855.95,7750.94,7113.0
7878.21,7740.54,7120.4
7902.09,7728.03,7127.63
7922.89,7716.03,7131.02
7940.7,7707.39,7131.96
7961.65,7700.84,7137.33
7983.97,7697.11,7145.05
8005.35,7695.46,7152.44
8030.39,7692.52,7160.78
8057.68,7686.55,7170.1
8083.04,7678.29,7177.54
8106.7,7671.23,7184.21
8128.94,7667.07,7191.0
8147.94,7661.96,7196.05
8164.16,7653.05,7199.39
8187.12,7645.2,7206.05
8209.53,7641.73,7211.73
8233.53,7634.77,7215.57
