slack_0,non_interrupt,interrupt
9657.51,9156.37,8535.1
9665.69,9156.37,8535.1
9673.56,9156.37,8535.1
9675.32,9156.37,8535.1
9685.99,9156.37,8535.1
9704.44,9156.37,8535.1
9722.18,9156.37,8535.1
9737.48,9156.37,8535.1
9749.96,9156.37,8535.1
9762.65,9156.37,8535.1
9777.65,9156.37,8535.1
9793.89,9156.37,8535.1
9811.78,9156.37,8535.1
9828.62,9156.37,8535.1
9847.89,9156.37,8535.1
9868.37,9156.37,8535.1
9889.28,9156.37,8535.1
9908.63,9156.37,8535.33
9927.24,9156.37,8535.41
9945.45,9156.37,8535.54
9965.36,9156.37,8537.83
9990.22,9156.37,8543.55
10021.7,9156.37,8556.19
10055.1,9156.37,8573.16
10090.96,9156.37,8592.03
10129.77,9156.37,8611.7
10170.12,9156.37,8631.83
10212.49,9156.37,8650.99
10247.17,9156.37,8667.18
10273.39,9156.37,8680.99
10296.01,9156.37,8692.8
10316.94,9156.37,8703.57
10336.93,9156.37,8713.65
10354.58,9156.37,8722.51
10371.42,9156.37,8728.62
10391.17,9156.37,8734.31
10419.99,9156.37,8740.55
10449.17,9156.37,8748.73
10477.63,9156.37,8758.7
10506.95,9156.37,8770.53
10537.26,9156.37,8783.47
10567.59,9156.37,8796.72
10596.25,9156.37,8809.95
10625.1,9156.37,8823.75
10653.53,9156.37,8838.02
10678.85,9156.37,8849.44
10697.92,9156.37,8856.14
10718.34,9156.37,8866.32
10740.14,9156.37,8876.85
10762.96,9156.37,8887.46
10786.53,9156.37,8897.02
10811.32,9156.37,8905.45
10844.92,9156.37,8919.63
10887.03,9156.37,8938.19
10929.95,9156.37,8956.13
10967.09,9156.37,8973.11
11002.4,9156.37,8990.86
11036.99,9156.37,9008.85
11070.61,9156.37,9025.7
11098.7,9156.37,9037.05
11114.04,9156.37,9037.05
11128.43,9156.37,9037.05
11146.09,9156.37,9037.05
11164.45,9156.37,9037.62
11182.89,9156.37,9037.62
11201.99,9156.37,9037.62
11219.02,9156.37,9034.12
11233.88,9156.37,9032.14
11248.91,9156.37,9032.14
11264.16,9156.37,9032.14
11275.97,9156.37,9032.14
11288.11,9156.37,9032.14
11299.61,9156.37,9032.14
11308.31,9156.37,9032.14
11316.24,9156.37,9032.14
11326.07,9156.37,9032.14
11319.08,9156.37,9032.14
11294.39,9156.37,9032.14
11274.93,9156.37,9032.14
11253.16,9156.37,9032.14
11227.01,9156.37,9032.14
11201.18,9156.37,9032.14
11175.3,9156.37,9032.14
11150.08,9156.37,9032.14
11122.62,9156.37,9032.14
11092.09,9156.37,9032.14
11059.98,9156.37,9032.14
11029.83,9156.37,9032.14
11001.08,9156.37,9032.14
10971.85,9156.37,9032.14
10943.24,9156.37,9032.14
10913.94,9156.37,9032.14
10881.51,9156.37,9032.14
10846.73,9156.37,9032.14
10810.99,9156.37,9032.14
10776.41,9156.37,9032.14
10741.2,9156.37,9032.14
10704.66,9156.37,9032.14
10669.32,9156.37,9032.14
10641.32,9156.37,9032.14
10611.17,9156.37,9032.14
10581.05,9156.37,9032.14
10553.07,9156.37,9032.14
10527.41,9156.37,9032.14
10504.710000000001,9156.37,9032.14
10482.77,9156.37,9032.14
10464.78,9156.37,9032.14
10447.67,9156.37,9032.14
10427.48,9156.37,9032.14
10407.27,9156.37,9032.14
10385.66,9156.37,9032.14
10364.12,9156.37,9032.14
10341.5,9156.37,9032.14
10320.53,9156.37,9032.14
10300.17,9156.37,9032.14
10278.67,9156.37,9032.14
10254.47,9156.37,9032.14
10224.66,9156.37,9032.14
10190.46,9156.37,9032.14
10156.1,9156.37,9032.14
10119.49,9156.37,9032.14
10080.08,9156.37,9032.14
10039.93,9156.37,9032.14
9998.54,9156.37,9032.14
9964.53,9156.37,9032.14
9937.35,9156.37,9026.62
9914.18,9156.37,9023.22
9892.37,9156.37,9021.82
9869.29,9156.37,9020.86
9846.21,9156.37,9020.48
9822.39,9156.37,9020.48
9797.5,9156.37,9020.48
9768.17,9156.37,9020.48
9740.42,9156.37,9020.48
9716.09,9156.37,9020.48
9691.07,9156.37,9020.48
9666.25,9156.37,9020.48
9641.22,9156.37,9020.35
9619.24,9156.37,9020.03
9598.95,9156.37,9019.25
9582.23,9156.37,9016.11
9565.7,9156.37,9008.39
9549.72,9156.37,8996.69
9535.01,9156.37,8983.59
9520.09,9156.37,8970.88
9505.05,9156.37,8959.12
9490.28,9156.37,8949.58
9479.09,9156.37,8942.27
9471.02,9156.37,8936.77
9455.14,9156.37,8934.51
9432.69,9156.37,8934.51
9414.93,9156.37,8934.51
9400.39,9156.37,8934.51
9387.89,9156.37,8934.51
9377.33,9156.37,8934.51
9367.81,9156.37,8934.51
9361.14,9156.37,8934.51
9355.19,9156.37,8934.51
9344.289999999999,9156.37,8934.51
9332.81,9156.37,8934.51
9319.74,9156.37,8934.51
9302.47,9156.37,8934.51
9286.039999999999,9156.37,8934.51
9269.8,9156.37,8934.51
9252.62,9156.37,8934.51
9236.83,9156.37,8934.51
9221.47,9156.37,8934.51
9207.66,9156.37,8934.51
9194.56,9156.37,8934.51
9182.01,9156.37,8934.51
9169.33,9156.37,8934.51
9156.37,9156.37,8934.51
9160.76,9160.76,8934.51
9173.82,9173.82,8943.14
9179.11,9179.11,8949.9
9187.81,9187.81,8959.1
9203.14,9203.14,8974.43
9221.57,9221.57,8989.59
9237.91,9237.91,9002.77
9254.21,9254.21,9015.35
9275.73,9275.73,9029.01
9299.26,9299.26,9045.47
9323.84,9323.84,9064.01
9348.53,9348.53,9082.72
9372.12,9372.12,9100.19
9394.539999999999,9394.54,9118.69
9416.42,9416.42,9137.52
9439.2,9439.2,9157.74
9464.11,9464.11,9180.7
9491.67,9491.67,9206.25
9520.7,9520.7,9233.39
9548.08,9548.08,9261.92
9573.94,9573.94,9290.4
9602.9,9602.9,9318.31
9632.84,9632.84,9344.45
9662.96,9662.96,9368.47
9693.18,9693.18,9389.62
9722.55,9722.55,9407.95
9751.95,9751.95,9423.79
9781.21,9781.21,9438.09
9809.82,9809.82,9451.85
9839.44,9839.44,9464.86
9864.539999999999,9864.54,9473.55
9886.57,9886.57,9480.13
9904.27,9904.27,9484.2
9919.93,9919.93,9489.43
9934.56,9934.56,9496.68
9948.87,9948.87,9505.26
9963.37,9963.37,9515.32
9975.82,9975.82,9525.61
9986.13,9986.13,9535.92
9997.289999999999,9997.29,9547.7
10011.27,10011.27,9562.56
10029.18,10029.18,9581.57
10052.85,10052.85,9604.71
10077.12,10077.12,9630.39
10102.63,10102.63,9657.51
10129.92,10129.92,9684.5
10158.69,10158.69,9710.66
10186.13,10186.13,9734.98
10210.09,10210.09,9756.57
10233.47,10233.47,9776.75
10255.99,10255.99,9794.39
10277.92,10277.92,9811.36
10301.21,10301.21,9829.84
10326.21,10326.21,9848.77
10350.83,10350.83,9866.37
10373.59,10373.59,9880.88
10395.96,10395.96,9891.31
10416.69,10416.69,9901.72
10434.4,10434.4,9911.19
10453.66,10453.66,9922.44
10470.63,10470.63,9933.57
10485.82,10485.82,9945.18
10497.14,10497.14,9955.5
10506.44,10506.44,9964.38
10513.01,10513.01,9970.53
10518.08,10518.08,9976.54
10523.09,10523.09,9980.66
10528.09,10528.09,9984.02
10533.06,10533.06,9985.78
10538.46,10538.46,9985.78
10544.89,10540.81,9979.68
10547.97,10540.81,9971.68
10543.82,10540.81,9967.65
10540.81,10540.81,9967.65
10542.0,10542.0,9967.88
10545.01,10545.01,9968.27
10548.01,10548.01,9968.27
10550.83,10550.83,9968.27
10553.13,10553.13,9968.27
10555.94,10555.94,9968.27
10557.54,10557.54,9968.27
10559.36,10559.36,9968.27
10561.47,10561.47,9968.27
10563.04,10563.04,9968.27
10564.61,10564.61,9968.27
10569.5,10569.5,9968.82
10575.98,10575.98,9969.73
10582.17,10582.17,9971.11
10588.33,10588.33,9973.24
10591.11,10591.11,9975.2
10594.33,10594.33,9977.97
10598.43,10598.43,9982.16
10601.43,10601.43,9985.59
10604.16,10604.16,9988.59
10608.4,10608.4,9990.0
10611.22,10611.22,9990.0
10612.56,10612.56,9989.29
10623.67,10623.67,9981.26
10635.6,10629.67,9980.79
10642.51,10629.67,9980.51
10648.39,10629.67,9980.42
10653.710000000001,10629.67,9977.69
10664.14,10629.67,9976.26
10676.61,10629.67,9973.31
10681.86,10629.67,9967.84
10681.83,10629.67,9959.32
10681.16,10629.67,9949.64
10681.83,10629.67,9939.37
10682.02,10629.37,9926.33
10684.28,10615.7,9912.38
10686.1,10603.96,9898.96
10687.26,10592.85,9885.36
10693.73,10580.16,9871.59
10700.4,10563.87,9856.99
10706.24,10543.91,9842.09
10725.27,10524.25,9828.16
10733.74,10507.35,9816.12
10739.31,10493.72,9802.15
10743.66,10481.29,9789.17
10747.61,10469.22,9778.32
10741.11,10457.15,9769.67
10728.47,10443.96,9764.35
10713.17,10429.23,9759.38
10699.02,10414.63,9755.23
10684.18,10400.23,9753.03
10667.41,10387.83,9752.62
10654.08,10375.44,9752.62
10643.37,10368.47,9752.62
10636.54,10364.7,9752.62
10635.58,10362.19,9752.62
10637.26,10358.41,9752.62
10638.58,10355.32,9752.62
10640.37,10355.28,9752.62
10640.960000000001,10355.28,9752.62
10641.63,10355.28,9753.5
10640.81,10355.12,9755.06
10640.51,10348.91,9755.6
10640.48,10334.81,9751.88
10639.35,10317.31,9746.57
10639.16,10296.45,9738.69
10637.67,10272.67,9728.57
10634.64,10248.6,9717.53
10631.26,10223.91,9707.81
10629.67,10196.62,9697.35
10633.37,10160.48,9673.24
10639.49,10123.21,9648.93
10645.16,10085.47,9625.96
10652.38,10048.28,9603.84
10659.62,10011.91,9582.91
10665.91,9975.47,9561.4
10672.62,9944.68,9545.76
10675.6,9919.61,9532.62
10673.53,9898.38,9519.57
10670.88,9877.25,9505.06
10669.2,9857.82,9490.28
10665.74,9837.52,9475.18
10663.19,9818.94,9461.69
10659.19,9802.14,9448.69
10655.55,9786.44,9435.63
10651.81,9770.98,9422.36
10648.41,9754.86,9408.88
10645.33,9737.2,9395.6
10644.39,9723.99,9381.98
10646.31,9711.31,9367.66
10651.06,9698.84,9352.73
10657.55,9688.25,9338.84
10662.6,9683.05,9326.33
10667.77,9677.69,9315.67
10676.83,9668.17,9304.8
10687.97,9649.29,9295.59
10717.48,9624.23,9286.64
10749.8,9600.72,9279.28
10780.59,9577.05,9272.2
10810.29,9551.67,9263.01
10838.6,9528.95,9255.32
10865.56,9507.16,9245.42
10890.84,9487.22,9233.23
10914.14,9467.51,9219.65
10937.44,9448.4,9204.95
10960.51,9428.88,9189.72
10982.46,9409.53,9174.88
10999.91,9389.99,9159.45
11015.22,9371.67,9143.44
11031.29,9353.21,9126.92
11047.87,9333.63,9109.59
11050.36,9314.38,9094.17
11053.1,9294.89,9078.95
11055.26,9275.16,9063.51
11057.94,9253.85,9046.98
11061.18,9232.3,9031.02
11063.11,9210.13,9016.37
11065.81,9190.33,9005.5
11070.06,9178.87,8997.88
11074.2,9176.03,8991.85
11084.84,9172.46,8987.54
11100.36,9168.77,8984.8
11116.9,9164.24,8982.07
11130.3,9157.1,8977.8
11139.51,9149.33,8974.15
11143.97,9140.3,8968.28
11148.63,9131.51,8960.19
11157.13,9124.6,8950.86
11165.0,9117.82,8940.49
11168.44,9111.9,8930.42
11171.75,9110.7,8922.27
11172.56,9110.7,8914.61
11173.08,9108.76,8905.29
11174.26,9106.7,8897.23
11171.46,9104.86,8888.71
11170.27,9104.02,8880.57
11170.62,9103.93,8872.78
11159.22,9103.93,8864.05
11160.28,9103.93,8855.0
11160.85,9103.39,8847.29
11159.56,9102.04,8841.67
11158.84,9102.04,8840.43
11168.4,9100.38,8837.95
11185.12,9094.58,8835.93
11204.58,9089.84,8835.41
11222.87,9084.01,8834.7
11242.6,9076.48,8834.2
11262.88,9065.45,8832.07
11279.31,9049.41,8828.86
11290.74,9035.11,8828.86
11298.99,9018.03,8827.45
11301.04,8999.5,8824.54
11301.69,8981.97,8820.45
11302.1,8965.25,8815.47
11302.88,8947.99,8810.87
11305.5,8929.87,8805.6
11308.25,8911.5,8799.86
11313.47,8893.66,8793.4
11318.02,8878.21,8786.7
11322.97,8867.08,8780.09
11329.32,8855.65,8773.83
11335.42,8846.9,8766.03
11342.2,8839.49,8757.54
11349.4,8832.23,8750.2
11355.87,8825.13,8744.18
11365.44,8821.58,8740.96
11372.38,8821.58,8736.49
11380.28,8821.58,8731.9
11390.98,8821.58,8728.96
11399.98,8821.58,8726.46
11412.7,8821.58,8724.44
11426.69,8821.58,8721.36
11441.94,8821.58,8718.18
11459.74,8821.58,8718.18
11478.22,8821.58,8718.18
11498.28,8821.58,8718.18
11517.05,8821.58,8717.14
11536.34,8821.58,8714.99
11555.96,8821.58,8712.38
11578.46,8821.58,8709.67
11600.64,8821.58,8706.77
11622.78,8821.58,8703.47
11644.14,8821.58,8697.84
11665.15,8821.58,8693.38
11681.69,8821.58,8690.54
11694.86,8821.58,8686.06
11703.91,8821.58,8681.22
11709.51,8821.58,8677.42
11715.09,8821.58,8674.01
11719.04,8821.58,8672.02
11720.34,8821.58,8671.83
11726.07,8821.58,8671.83
11717.59,8821.58,8666.25
11705.88,8821.58,8654.01
11696.53,8821.58,8640.49
11687.47,8809.77,8625.01
11675.880000000001,8786.42,8605.62
11663.82,8760.66,8581.74
11652.13,8736.9,8557.59
11640.59,8714.01,8532.82
11629.51,8692.65,8508.44
11618.78,8671.41,8483.63
11607.66,8649.84,8458.78
11600.91,8628.86,8433.89
11596.32,8606.6,8406.91
11591.81,8582.56,8377.65
11592.95,8558.61,8347.69
11610.67,8532.42,8317.12
11626.75,8504.92,8285.54
11640.37,8476.6,8252.9
11653.43,8449.41,8220.29
11666.36,8422.04,8188.05
11679.4,8394.32,8156.81
11693.27,8364.03,8126.77
11705.64,8336.59,8102.74
11714.84,8312.94,8083.82
11724.89,8289.34,8066.54
11736.15,8264.46,8049.29
11748.57,8240.18,8032.59
11761.630000000001,8218.12,8016.27
11774.19,8191.84,7996.43
11786.04,8166.09,7974.62
11796.64,8142.59,7952.79
11804.95,8119.9,7930.58
11812.5,8098.0,7908.1
11820.87,8074.54,7884.34
11829.23,8051.16,7862.59
11837.43,8029.05,7842.44
11842.56,8008.13,7821.8
11847.05,7987.06,7800.92
11850.57,7968.92,7782.52
11853.01,7949.84,7763.44
11856.210000000001,7930.13,7744.16
11860.3,7910.8,7724.16
11864.1,7891.93,7704.1
11868.16,7873.18,7684.79
11874.91,7853.37,7666.58
11881.9,7830.67,7649.87
11887.74,7811.56,7635.42
11890.53,7794.68,7623.24
11891.23,7777.71,7612.38
11892.07,7762.17,7602.67
11892.15,7748.2,7594.77
11890.45,7737.76,7588.68
11890.210000000001,7730.55,7584.66
11890.79,7717.47,7579.35
11887.97,7708.98,7575.93
11887.23,7703.65,7574.22
11888.6,7699.39,7572.39
11891.35,7696.61,7571.14
11893.87,7694.57,7571.01
11896.42,7694.57,7571.01
11896.93,7692.61,7568.7
11896.08,7688.35,7564.57
11894.91,7685.29,7561.44
11893.03,7683.46,7559.53
11890.92,7683.46,7559.53
11889.98,7683.46,7559.53
11890.86,7683.46,7559.53
11891.880000000001,7683.46,7559.53
11892.99,7683.46,7559.53
11890.2,7683.46,7559.53
11888.97,7683.46,7559.53
11886.65,7683.46,7559.53
11881.73,7683.46,7559.53
11879.52,7683.46,7559.53
11875.11,7683.46,7559.53
11868.42,7683.46,7559.53
11858.72,7683.46,7559.53
11848.880000000001,7683.46,7559.53
11837.1,7683.46,7559.53
11825.17,7683.46,7559.53
11812.81,7683.46,7559.53
11799.25,7683.46,7559.52
11785.27,7683.46,7559.52
11769.94,7683.46,7558.77
11754.04,7683.46,7558.27
11737.25,7683.46,7557.37
11720.95,7683.46,7557.37
11707.37,7683.46,7557.37
11699.14,7683.46,7557.37
11691.18,7683.46,7557.37
11683.84,7683.46,7557.37
11678.18,7683.46,7557.37
11672.11,7683.46,7557.37
11667.960000000001,7683.46,7557.37
11669.51,7683.46,7557.37
11670.14,7683.46,7557.37
11668.960000000001,7683.46,7557.37
11667.39,7683.46,7557.37
11665.06,7683.46,7557.37
11662.92,7683.46,7557.37
11663.95,7683.46,7557.37
11664.23,7683.46,7557.37
11661.12,7683.46,7557.37
11658.28,7683.46,7557.37
11654.83,7683.46,7557.37
11650.9,7683.46,7557.37
11648.19,7683.46,7557.37
11633.11,7683.46,7557.37
11611.81,7683.46,7557.37
11592.57,7683.46,7557.37
11576.71,7683.46,7557.37
11561.84,7683.46,7557.37
11548.66,7683.46,7557.37
11537.17,7683.46,7557.37
11526.34,7683.46,7557.37
11516.15,7683.46,7557.37
11506.16,7683.46,7557.37
11495.06,7683.46,7557.37
11482.81,7683.46,7557.37
11469.11,7683.46,7557.37
11454.47,7683.46,7557.37
11439.95,7683.46,7557.37
11423.8,7683.46,7557.37
11407.3,7683.46,7557.37
11390.9,7683.46,7557.37
11377.07,7683.46,7557.37
11364.38,7683.46,7557.37
11359.73,7683.46,7557.37
11355.7,7683.46,7557.37
11352.47,7683.46,7557.37
11350.09,7683.46,7557.37
11347.92,7683.46,7557.37
11348.56,7683.46,7557.37
11348.82,7683.46,7556.19
11348.49,7683.46,7556.06
11347.73,7683.46,7556.06
11346.97,7683.46,7556.06
11346.11,7683.46,7556.06
11345.31,7683.46,7556.06
11344.7,7683.46,7556.06
11343.24,7683.46,7556.06
11341.45,7683.46,7556.06
11337.59,7683.46,7556.06
11331.11,7683.46,7556.06
11327.39,7683.46,7556.06
11323.61,7683.46,7556.06
11321.08,7683.46,7556.06
