slack_0,non_interrupt,interrupt
24256.3,20803.08,12901.22
24096.19,20803.08,12901.22
23912.64,20803.08,12901.22
23692.72,20803.08,12901.22
23440.14,20803.08,12901.22
23253.25,20803.08,12901.22
23068.1,20803.08,12901.22
22959.33,20803.08,12901.22
22840.41,20803.08,12901.22
22722.63,20803.08,12901.22
22604.53,20803.08,12901.22
22536.58,20803.08,12901.22
22458.98,20803.08,12901.22
22357.21,20803.08,12846.18
22209.78,20803.08,12785.43
22040.29,20803.08,12727.86
21872.55,20803.08,12708.47
21688.25,20803.08,12708.47
21528.58,20803.08,12708.47
21388.89,20803.08,12708.47
21262.43,20803.08,12708.47
21188.11,20803.08,12708.47
21133.9,20803.08,12708.47
21124.21,20803.08,12708.47
21117.86,20803.08,12706.55
21118.0,20803.08,12689.98
21120.47,20803.08,12667.86
21127.26,20803.08,12667.86
21134.95,20803.08,12667.86
21096.77,20803.08,12667.86
21038.51,20803.08,12667.86
21025.41,20803.08,12667.86
21005.76,20803.08,12667.86
20961.75,20803.08,12667.86
20924.09,20803.08,12667.86
20887.83,20803.08,12667.86
20852.67,20803.08,12662.36
20803.079999999998,20803.08,12612.63
20803.44,20803.44,12560.47
20816.88,20816.88,12515.02
20863.89,20863.89,12493.28
20944.17,20944.17,12506.71
21038.51,21032.59,12517.1
21127.22,21032.59,12527.9
21223.57,21032.59,12541.34
21274.79,21032.59,12555.33
21309.75,21032.59,12570.56
21280.75,21032.59,12586.83
21242.37,21032.59,12613.09
21201.46,21032.59,12636.96
21143.83,21032.59,12644.88
21083.31,21032.59,12644.88
21034.64,21032.59,12644.88
21032.59,21032.59,12644.88
21141.2,21141.2,12644.88
21286.14,21286.14,12644.88
21433.39,21433.39,12644.88
21598.51,21536.4,12644.88
21749.45,21536.4,12644.88
21765.28,21536.4,12644.88
21733.36,21536.4,12644.88
21710.68,21536.4,12650.15
21707.05,21536.4,12651.75
21691.85,21536.4,12643.76
21655.1,21536.4,12598.27
21650.25,21536.4,12598.27
21655.079999999998,21536.4,12598.27
21637.39,21536.4,12598.27
21626.36,21536.4,12598.27
21615.69,21536.4,12598.27
21600.18,21536.4,12598.27
21596.79,21536.4,12598.27
21585.39,21536.4,12598.27
21558.18,21536.4,12579.1
21536.4,21536.4,12562.54
21540.58,21540.58,12562.54
21592.77,21592.77,12562.54
21683.02,21683.02,12562.54
21775.78,21775.78,12562.54
21853.54,21853.54,12562.54
21934.7,21934.7,12562.54
22016.3,22016.3,12562.54
22102.47,22102.47,12562.54
22189.98,22189.98,12562.54
22215.92,22215.92,12562.54
22254.04,22254.04,12510.64
22304.1,22304.1,12451.77
22335.29,22335.29,12402.61
22378.26,22378.26,12364.93
22415.84,22415.84,12364.02
22455.14,22455.14,12364.02
22504.53,22504.53,12364.02
22573.48,22573.48,12364.02
22638.7,22638.7,12364.02
22705.87,22705.87,12364.02
22752.91,22705.97,12364.02
22736.01,22705.97,12355.34
22712.77,22705.97,12332.57
22705.97,22705.97,12312.24
22719.13,22719.13,12312.24
22747.82,22747.82,12312.24
22784.67,22784.67,12312.24
22844.36,22821.58,12312.24
22842.18,22821.58,12312.24
22836.51,22821.58,12312.24
22832.56,22821.58,12312.24
22828.43,22821.58,12312.24
22826.01,22821.58,12312.24
22821.58,22821.58,12312.24
22878.16,22878.16,12312.24
22982.48,22982.48,12328.39
23103.15,23103.15,12362.06
23187.28,23187.28,12377.48
23288.61,23288.61,12411.32
23365.77,23365.77,12425.17
23430.49,23382.56,12433.22
23483.99,23382.56,12433.22
23515.18,23382.56,12433.22
23535.95,23382.56,12433.22
23544.06,23382.56,12433.22
23551.72,23382.56,12445.47
23564.29,23382.56,12458.04
23559.41,23382.56,12458.04
23549.61,23382.56,12458.04
23547.11,23382.56,12458.04
23538.36,23382.56,12458.04
23612.22,23382.56,12458.04
23662.81,23382.56,12458.04
23721.13,23382.56,12458.04
23765.85,23382.56,12458.04
23804.22,23382.56,12458.04
23775.51,23382.56,12458.04
23644.64,23382.56,12458.04
23528.83,23382.56,12458.04
23449.03,23382.56,12434.48
23393.93,23382.56,12416.4
23382.56,23382.56,12404.96
23442.78,23442.78,12404.96
23481.89,23481.89,12404.96
23672.65,23672.65,12404.96
23917.1,23917.1,12404.96
24195.08,24195.08,12404.96
24433.58,24433.58,12404.96
24589.75,24589.75,12447.41
24603.75,24603.75,12512.03
24612.46,24612.46,12576.66
24636.26,24636.26,12641.87
24729.76,24729.76,12701.71
24952.77,24952.77,12749.52
25134.32,25134.32,12751.57
25205.53,25205.53,12751.57
25278.76,25278.76,12751.57
25347.72,25347.72,12751.57
25397.97,25397.97,12751.57
25458.97,25458.97,12751.57
25576.1,25576.1,12751.57
25628.01,25628.01,12785.42
25631.45,25631.45,12836.77
25633.24,25633.24,12883.87
25673.9,25673.9,12926.08
25714.48,25714.48,12965.25
25884.41,25884.41,12965.25
26041.57,26041.57,12965.25
26250.53,26250.53,12965.25
26483.8,26483.8,12965.25
26743.87,26743.87,12965.25
27014.72,27014.72,12965.25
27297.28,27297.28,12965.25
27362.18,27362.18,12965.25
27456.56,27404.01,12965.43
27564.15,27404.01,12965.43
27807.86,27404.01,12965.43
28010.86,27404.01,12965.43
28169.34,27404.01,12965.43
28338.35,27404.01,12965.43
28548.8,27404.01,12965.43
28760.9,27404.01,12965.43
28975.86,27404.01,12965.43
29188.2,27404.01,12965.43
29405.03,27404.01,12965.43
29618.16,27404.01,12965.43
29591.55,27404.01,12965.43
29556.19,27404.01,12965.43
29607.93,27404.01,12965.43
29682.05,27404.01,12965.43
29750.68,27404.01,12965.43
29824.86,27404.01,12965.43
30147.77,27404.01,12965.43
30474.95,27404.01,12965.43
30805.96,27404.01,12965.43
31156.09,27404.01,12965.43
31505.4,27404.01,12965.43
31591.99,27404.01,12929.67
31693.03,27404.01,12882.35
31788.15,27404.01,12882.35
32017.85,27404.01,12882.35
32253.63,27404.01,12882.35
32449.3,27404.01,12882.35
