slack_0,non_interrupt,interrupt
51239.58,51097.66,48648.17
51238.22,51097.66,48648.17
51238.95,51097.66,48648.17
51240.08,51097.66,48648.17
51241.85,51097.66,48648.17
51238.83,51097.66,48648.17
51233.56,51097.66,48648.17
51229.65,51097.66,48648.17
51230.37,51097.66,48648.17
51232.19,51097.66,48648.17
51231.17,51097.66,48648.17
51230.41,51097.66,48648.17
51230.55,51097.66,48648.17
51231.7,51097.66,48648.17
51240.19,51097.66,48648.17
51261.27,51097.66,48660.63
51282.47,51097.66,48676.25
51289.97,51097.66,48684.14
51295.22,51097.66,48688.08
51296.67,51097.66,48693.61
51299.43,51097.66,48698.86
51304.66,51097.66,48704.28
51301.43,51097.66,48704.28
51299.48,51097.66,48704.28
51300.01,51097.66,48704.28
51301.28,51097.66,48704.28
51299.81,51097.66,48704.28
51295.16,51097.66,48704.28
51289.74,51097.66,48704.28
51283.99,51097.66,48704.28
51281.36,51097.66,48704.28
51279.94,51097.66,48704.28
51277.59,51097.66,48704.28
51277.85,51097.66,48704.28
51277.19,51097.66,48704.28
51278.64,51097.66,48704.28
51284.63,51097.66,48704.28
51287.1,51097.66,48704.28
51285.66,51097.66,48704.28
51271.64,51097.66,48704.28
51249.090000000004,51097.66,48704.28
51223.51,51097.66,48704.28
51202.33,51097.66,48704.28
51184.43,51097.66,48704.31
51162.46,51097.66,48704.31
51137.31,51097.66,48704.31
51124.01,51097.66,48704.31
51115.92,51097.66,48704.31
51108.37,51097.66,48704.31
51103.020000000004,51097.66,48704.31
51098.99,51097.66,48704.31
51097.66,51097.66,48704.31
51097.88,51097.88,48704.31
51102.5,51101.35,48704.31
51110.33,51101.35,48704.31
51117.44,51101.35,48704.31
51126.3,51101.35,48704.31
51136.54,51101.35,48704.31
51147.590000000004,51101.35,48704.31
51159.07,51101.35,48704.31
51171.56,51101.35,48704.31
51178.57,51101.35,48704.31
51179.97,51101.35,48704.31
51175.88,51101.35,48708.92
51171.340000000004,51101.35,48719.09
51172.49,51101.35,48732.09
51181.47,51101.35,48750.48
51192.04,51101.35,48769.91
51202.43,51101.35,48789.61
51211.7,51101.35,48808.47
51215.12,51101.35,48810.04
51212.69,51101.35,48810.04
51205.49,51101.35,48810.04
51199.29,51101.35,48810.04
51194.01,51101.35,48810.04
51191.03,51101.35,48810.04
51184.55,51101.35,48810.04
51178.43,51101.35,48810.04
51173.270000000004,51101.35,48810.04
51166.79,51101.35,48810.04
51160.020000000004,51101.35,48810.04
51152.63,51101.35,48810.04
51145.41,51101.35,48810.04
51140.64,51101.35,48810.04
51136.45,51101.35,48810.04
51129.47,51101.35,48810.04
51120.96,51101.35,48810.04
51118.36,51101.35,48818.31
51114.63,51101.35,48828.53
51114.07,51101.35,48841.58
51114.47,51101.35,48853.66
51112.78,51101.35,48861.54
51107.590000000004,51101.35,48863.84
51101.4,51101.35,48863.84
51101.35,51101.35,48863.84
51111.25,51111.25,48863.84
51123.57,51123.57,48863.84
51136.52,51136.52,48863.84
51150.72,51150.72,48863.84
51164.89,51164.89,48863.84
51177.41,51177.41,48863.84
51186.2,51180.14,48863.84
51188.74,51180.14,48863.84
51186.32,51180.14,48863.84
51183.72,51180.14,48863.84
51181.22,51180.14,48863.84
51180.99,51180.14,48863.84
51180.14,51180.14,48863.84
51184.32,51184.32,48863.84
51193.67,51186.39,48863.84
51195.95,51186.39,48863.84
51190.48,51186.39,48863.84
51186.39,51186.39,48863.32
51186.74,51186.74,48865.55
51190.01,51190.01,48864.39
51205.68,51205.68,48865.48
51227.6,51227.6,48861.52
51251.75,51251.75,48854.84
51280.45,51280.45,48854.58
51301.0,51301.0,48854.58
51320.46,51320.46,48854.58
51340.91,51340.91,48854.58
51361.71,51361.71,48854.58
51381.82,51381.82,48854.58
51400.66,51400.66,48854.58
51410.72,51410.72,48854.58
51413.25,51413.25,48854.58
51415.03,51415.03,48854.58
51416.55,51416.55,48854.58
51420.25,51420.25,48854.58
51425.32,51425.32,48854.58
51430.88,51430.88,48854.58
51435.54,51435.54,48854.58
51443.72,51443.72,48854.58
51449.73,51449.73,48854.58
51462.51,51462.51,48858.8
51489.65,51481.73,48878.52
51521.66,51481.73,48902.06
51557.3,51481.73,48926.43
51591.09,51481.73,48942.64
51625.19,51481.73,48952.0
51657.73,51481.73,48958.22
51680.92,51481.73,48958.22
51697.01,51481.73,48958.22
51711.23,51481.73,48958.22
51723.97,51481.73,48958.22
51733.28,51481.73,48958.22
51739.98,51481.73,48958.22
51744.69,51481.73,48958.22
51743.74,51481.73,48958.22
51737.63,51481.73,48958.22
51734.18,51481.73,48958.22
51733.09,51481.73,48958.22
51731.41,51481.73,48958.22
51732.1,51481.73,48958.22
51732.87,51481.73,48958.22
51734.24,51481.73,48958.22
51736.85,51481.73,48958.22
51740.6,51481.73,48958.22
51742.38,51481.73,48970.14
51746.39,51481.73,48983.07
51747.96,51481.73,48987.63
51745.43,51481.73,48984.57
51748.29,51481.73,48980.92
51755.7,51481.73,48971.48
51763.05,51481.73,48961.76
51769.08,51481.73,48952.13
51780.62,51481.73,48952.13
51793.5,51481.73,48952.13
51804.15,51481.73,48952.13
51816.29,51481.73,48952.13
51827.5,51481.73,48952.13
51840.37,51481.73,48952.13
51852.77,51481.73,48952.13
51861.78,51481.73,48952.13
