slack_0,non_interrupt,interrupt
5106.99,5106.99,1684.68
5113.25,5113.25,1684.68
5128.35,5128.35,1684.68
5143.74,5143.74,1684.68
5144.62,5144.62,1684.68
5159.38,5159.38,1690.55
5167.39,5127.82,1699.14
5167.88,5060.71,1709.58
5164.55,4997.85,1720.91
5162.13,4943.93,1733.23
5162.0,4899.8,1747.79
5162.08,4859.01,1762.66
5162.53,4826.26,1777.47
5166.01,4794.25,1792.33
5175.63,4770.97,1807.35
5189.9,4753.94,1822.68
5205.8,4744.31,1838.58
5223.06,4739.95,1854.55
5253.89,4739.95,1869.39
5288.88,4739.95,1883.02
5320.61,4739.95,1894.4
5343.29,4739.95,1904.15
5359.82,4739.95,1910.88
5378.74,4739.95,1917.78
5400.65,4739.95,1923.67
5422.71,4739.95,1930.08
5434.47,4739.95,1936.72
5439.58,4739.95,1943.83
5449.65,4739.95,1960.34
5461.13,4739.95,1979.8
5467.62,4739.95,1999.92
5468.92,4739.95,2020.61
5470.23,4739.95,2041.45
5471.78,4739.95,2062.42
5477.06,4739.95,2083.48
5490.54,4739.95,2103.06
5515.38,4739.95,2118.58
5539.8,4739.95,2126.67
5561.63,4739.95,2126.67
5578.57,4739.95,2126.67
5600.09,4739.95,2126.67
5624.14,4739.95,2126.67
5647.13,4739.95,2126.67
5667.47,4739.95,2126.67
5693.78,4739.95,2126.67
5724.29,4739.95,2126.67
5752.98,4739.95,2126.67
5788.46,4739.95,2126.67
5823.97,4739.95,2126.67
5852.58,4739.95,2126.67
5885.3,4739.95,2126.67
5923.94,4739.95,2126.67
5955.61,4739.95,2126.67
5970.9,4739.95,2126.67
5982.19,4739.95,2126.67
5990.0,4739.95,2126.67
5993.32,4739.95,2123.9
5985.68,4739.95,2120.38
5962.99,4739.95,2116.2
5941.3,4739.95,2113.89
5929.09,4739.95,2113.89
5928.94,4739.95,2113.89
5924.43,4739.95,2113.89
5921.5,4739.95,2113.89
5918.25,4739.95,2113.89
5885.9,4739.95,2113.89
5844.07,4739.95,2113.89
5806.12,4739.95,2113.89
5768.74,4739.95,2113.89
5740.23,4739.95,2113.89
5713.98,4739.95,2113.89
5684.48,4739.95,2113.89
5665.29,4739.95,2113.89
5659.54,4739.95,2113.89
5677.0,4739.95,2113.89
5709.21,4739.95,2113.89
5760.19,4739.95,2113.89
5835.0,4739.95,2113.89
5910.18,4739.95,2114.21
5985.5,4739.95,2111.14
6060.28,4739.95,2110.45
6124.11,4739.95,2112.07
6175.91,4739.95,2112.07
6215.55,4739.95,2112.07
6234.9,4739.95,2112.07
6207.05,4739.95,2112.07
6175.52,4739.95,2112.07
6145.2,4739.95,2112.07
6125.59,4739.95,2112.07
6117.86,4739.95,2112.07
6110.43,4739.95,2112.07
6096.95,4739.95,2112.07
6095.17,4739.95,2112.07
6092.85,4739.95,2112.07
6090.4,4739.95,2112.07
6088.66,4739.95,2112.07
6091.81,4739.95,2112.07
6100.5,4739.95,2112.07
6095.27,4739.95,2112.07
6086.3,4739.95,2112.07
6081.34,4739.95,2112.07
6067.32,4739.95,2112.07
6059.07,4739.95,2120.44
6057.16,4739.95,2139.07
6057.93,4739.95,2160.36
6058.42,4739.95,2181.64
6058.79,4739.95,2202.82
6059.05,4739.95,2224.08
6058.83,4739.95,2245.03
6055.6,4739.95,2263.05
6046.47,4739.95,2274.94
6032.86,4739.95,2282.21
6019.78,4739.95,2287.92
6005.21,4739.95,2291.88
5982.87,4739.95,2291.88
5964.44,4739.95,2291.88
5952.77,4739.95,2291.88
5951.22,4739.95,2291.88
5957.07,4739.95,2291.88
5963.3,4739.95,2291.88
5963.91,4739.95,2291.88
5964.78,4739.95,2291.88
5970.31,4739.95,2291.88
5980.56,4739.95,2297.88
5983.32,4739.95,2308.26
5974.61,4739.95,2320.25
5970.07,4739.95,2337.57
5969.8,4739.95,2340.68
5970.9,4739.95,2340.47
5972.2300000000005,4739.95,2340.42
5971.28,4739.95,2338.64
5971.16,4739.95,2335.03
5962.0,4739.95,2334.96
5963.14,4739.95,2334.96
5961.63,4739.95,2334.96
5962.86,4739.95,2334.96
5959.69,4739.95,2334.96
5953.95,4739.95,2334.96
5945.31,4739.95,2332.0
5935.01,4739.95,2328.05
5922.87,4739.95,2322.66
5909.57,4739.95,2318.18
5895.7300000000005,4739.95,2318.18
5873.55,4739.95,2318.18
5834.13,4739.95,2318.18
5804.42,4739.95,2318.18
5772.33,4739.95,2318.18
5732.15,4739.95,2318.18
5700.16,4739.95,2310.96
5686.62,4739.95,2296.11
5679.76,4739.95,2278.03
5679.76,4739.95,2256.81
5686.78,4739.95,2235.72
5698.52,4739.95,2215.05
5714.76,4739.95,2197.51
5749.7,4739.95,2187.69
5781.7,4739.95,2187.69
5817.71,4739.95,2187.69
5844.9400000000005,4739.95,2187.69
5876.77,4739.95,2187.69
5914.18,4739.95,2187.69
5966.57,4739.95,2187.69
6017.11,4739.95,2187.69
