slack_0,non_interrupt,interrupt
1534.44,1287.41,1252.1
1534.07,1287.41,1252.1
1533.96,1287.41,1252.1
1533.84,1287.41,1252.1
1533.77,1287.41,1252.1
1534.18,1287.41,1252.1
1534.36,1287.41,1252.1
1533.96,1287.41,1252.1
1533.88,1287.41,1252.1
1533.69,1287.41,1252.1
1533.48,1287.41,1252.1
1533.0,1287.41,1252.1
1532.53,1287.41,1252.1
1532.23,1287.41,1252.1
1531.79,1287.41,1252.1
1531.49,1287.41,1252.1
1530.92,1287.41,1252.1
1530.74,1287.41,1252.1
1530.5,1287.41,1252.1
1530.26,1287.41,1252.1
1529.95,1287.41,1252.1
1529.66,1287.41,1252.1
1529.07,1287.41,1252.1
1528.22,1287.41,1252.1
1527.48,1287.41,1252.1
1525.76,1287.41,1252.1
1524.44,1287.41,1252.1
1521.08,1287.41,1252.1
1517.95,1287.41,1252.1
1515.01,1287.41,1252.1
1511.88,1287.41,1252.1
1509.74,1287.41,1252.1
1507.61,1287.41,1252.1
1506.3,1287.41,1252.1
1505.08,1287.41,1252.1
1503.79,1287.41,1252.1
1502.3700000000001,1287.41,1252.1
1500.6,1287.41,1252.1
1498.93,1287.41,1252.1
1497.4,1287.41,1252.1
1495.68,1287.41,1252.1
1494.15,1287.41,1252.1
1492.47,1287.41,1252.1
1490.77,1287.41,1252.1
1489.39,1287.41,1252.1
1487.44,1287.41,1252.1
1484.91,1287.41,1252.1
1481.26,1287.41,1252.1
1478.89,1287.41,1252.1
1476.88,1287.41,1252.1
1475.32,1287.41,1252.1
1474.12,1287.41,1252.1
1472.45,1287.41,1252.1
1469.21,1287.41,1252.1
1467.0,1287.41,1252.1
1466.18,1287.41,1252.1
1465.23,1287.41,1252.1
1464.2,1287.41,1252.1
1463.27,1287.41,1252.1
1462.51,1287.41,1252.1
1461.8,1287.41,1252.1
1461.26,1287.41,1252.1
1460.4,1287.41,1252.1
1459.53,1287.41,1252.1
1458.88,1287.41,1252.1
1458.33,1287.41,1252.1
1457.41,1287.41,1252.1
1456.81,1287.41,1252.1
1455.9,1287.41,1252.1
1454.85,1287.41,1252.1
1453.83,1287.41,1252.1
1452.19,1287.41,1252.1
1449.41,1287.41,1252.1
1445.97,1287.41,1252.1
1442.48,1287.41,1252.1
1439.12,1287.41,1252.1
1436.93,1287.41,1252.1
1435.58,1287.41,1252.1
1434.59,1287.41,1252.1
1433.32,1287.41,1252.1
1432.46,1287.41,1252.1
1431.88,1287.41,1251.78
1431.81,1287.41,1251.09
1431.63,1287.41,1250.26
1431.55,1287.41,1248.75
1431.03,1287.41,1247.25
1430.28,1287.41,1245.82
1429.58,1287.41,1244.4
1428.51,1287.41,1243.77
1427.19,1287.41,1242.91
1426.14,1287.41,1242.16
1425.36,1287.41,1241.89
1424.91,1287.41,1241.73
1424.35,1287.41,1241.73
1423.91,1287.41,1241.73
1423.74,1287.41,1241.6
1423.34,1287.41,1241.57
1423.69,1287.41,1241.57
1423.63,1287.41,1241.57
1423.72,1287.41,1241.57
1423.77,1287.41,1241.57
1423.66,1287.41,1241.57
1423.76,1287.41,1241.57
1424.03,1287.41,1241.4
1423.99,1287.41,1240.99
1424.05,1287.41,1240.32
1424.19,1287.41,1239.79
1424.63,1287.41,1239.24
1424.84,1287.41,1238.87
1425.06,1287.41,1238.4
1425.42,1287.41,1238.09
1425.53,1287.41,1237.72
1425.71,1287.41,1237.72
1425.36,1287.41,1237.72
1424.96,1287.41,1237.72
1424.58,1287.41,1237.72
1423.92,1287.41,1237.72
1422.95,1287.41,1237.72
1421.89,1287.41,1237.72
1421.07,1287.41,1237.72
1419.99,1287.41,1237.72
1418.9,1287.41,1237.72
1418.01,1287.41,1237.72
1417.35,1287.41,1237.72
1416.63,1287.41,1237.72
1416.25,1287.41,1237.72
1416.1,1287.41,1237.72
1416.2,1287.41,1237.72
1416.39,1287.41,1237.72
1416.76,1287.41,1237.72
1417.51,1287.41,1237.72
1418.76,1287.41,1237.72
1420.37,1287.41,1237.78
1422.24,1287.41,1237.78
1424.19,1287.41,1237.78
1426.54,1287.41,1237.78
1429.09,1287.41,1237.78
1431.88,1287.41,1237.78
1435.24,1287.41,1237.78
1438.6,1287.41,1237.78
1442.29,1287.41,1237.78
1446.32,1287.41,1237.78
1450.43,1287.41,1237.78
1454.43,1287.41,1237.66
1458.3,1287.41,1237.66
1461.69,1287.41,1237.66
1464.98,1287.41,1237.52
1467.87,1287.41,1237.26
1470.85,1287.41,1237.04
1474.38,1287.41,1236.93
1477.99,1287.41,1236.34
1481.2,1287.41,1236.34
1484.12,1287.41,1235.97
1486.68,1287.41,1235.32
1489.07,1287.41,1234.66
1491.07,1287.41,1234.4
1492.74,1287.41,1234.16
1494.03,1287.41,1233.79
1495.61,1287.41,1233.56
1497.37,1287.41,1233.34
1499.12,1287.41,1232.83
1500.86,1287.41,1232.53
1502.79,1287.41,1232.53
1504.6299999999999,1287.41,1232.53
1506.24,1287.41,1232.53
1507.69,1287.41,1232.53
1508.97,1287.41,1232.11
1510.16,1287.41,1231.52
1511.53,1287.41,1231.52
1512.52,1287.41,1231.52
1513.43,1287.41,1231.52
1514.25,1287.41,1231.52
1515.33,1287.41,1231.52
1516.57,1287.41,1231.52
1517.86,1287.41,1231.28
1519.28,1287.41,1231.28
1521.16,1287.41,1230.8
1522.75,1287.41,1229.98
1524.27,1287.41,1229.16
1526.19,1287.41,1229.16
1528.6,1287.41,1229.16
1530.66,1287.41,1228.78
1532.37,1287.41,1228.52
1534.39,1287.41,1227.94
1536.46,1287.41,1227.24
1538.48,1287.41,1226.77
1540.6,1287.41,1225.93
1542.64,1287.41,1225.14
1543.92,1287.41,1224.37
1544.87,1287.41,1223.64
1544.99,1287.41,1223.06
1543.8799999999999,1287.41,1222.67
1542.68,1287.41,1222.67
1540.79,1287.41,1222.67
1539.08,1287.41,1222.67
1537.24,1287.41,1222.67
1535.48,1287.41,1222.67
1533.56,1287.41,1222.67
1531.66,1287.41,1222.67
1531.9,1287.41,1222.67
1532.41,1287.41,1222.67
1533.04,1287.41,1222.67
1533.61,1287.41,1222.67
1534.44,1287.41,1222.67
1535.24,1287.41,1222.67
1536.02,1287.41,1222.67
1536.47,1287.41,1222.67
1537.39,1287.41,1222.67
1538.7,1287.41,1222.67
1539.83,1287.41,1222.67
1540.95,1287.41,1222.67
1541.31,1287.41,1222.67
1541.23,1287.41,1222.67
1541.39,1287.41,1222.67
1540.46,1287.41,1222.67
1539.36,1287.41,1222.67
1538.59,1287.41,1222.67
1537.97,1287.41,1222.67
1537.2,1287.41,1222.67
1536.18,1287.41,1222.67
1535.43,1287.41,1222.67
1534.6,1287.41,1222.67
1534.92,1287.41,1222.67
1536.59,1287.41,1222.67
1538.47,1287.41,1222.67
1540.24,1287.41,1222.67
1541.87,1287.41,1222.67
1542.93,1287.41,1222.67
1544.32,1287.41,1222.67
1545.9,1287.41,1222.67
1547.77,1287.41,1222.67
1549.34,1287.41,1222.67
1551.03,1287.41,1222.67
1552.32,1287.41,1222.67
1553.27,1287.41,1222.67
1553.86,1287.41,1222.67
