slack_0,non_interrupt,interrupt
43864.44,43847.94,39576.76
43877.23,43847.94,39576.76
43888.95,43847.94,39576.76
43899.14,43847.94,39576.76
43908.1,43847.94,39576.76
43915.14,43847.94,39576.76
43922.18,43847.94,39576.76
43929.37,43847.94,39576.76
43938.74,43847.94,39576.76
43948.63,43847.94,39576.76
43958.14,43847.94,39576.76
43967.06,43847.94,39576.76
43976.01,43847.94,39576.76
43985.05,43847.94,39576.76
43998.54,43847.94,39576.76
44015.55,43847.94,39576.76
44017.1,43847.94,39587.3
44006.27,43847.94,39598.37
43993.51,43847.94,39611.78
43973.1,43847.94,39618.84
43955.55,43847.94,39622.52
43955.4,43847.94,39622.98
43944.71,43847.94,39622.98
43948.67,43847.94,39622.98
43953.92,43847.94,39622.98
43958.27,43847.94,39622.98
43961.37,43847.94,39622.98
43964.9,43847.94,39622.98
43969.2,43847.94,39622.98
43973.46,43847.94,39622.98
43979.7,43847.94,39622.98
43987.89,43847.94,39622.98
43997.3,43847.94,39622.98
44008.22,43847.94,39622.98
44018.86,43847.94,39622.98
44030.71,43847.94,39622.98
44043.38,43847.94,39622.98
44056.13,43847.94,39622.98
44064.18,43847.94,39622.98
44066.48,43847.94,39622.98
44056.05,43847.94,39622.98
44043.93,43847.94,39623.2
44027.38,43847.94,39625.48
44004.35,43847.94,39625.48
43983.52,43847.94,39625.48
43997.57,43847.94,39625.48
44010.13,43847.94,39625.48
44020.5,43847.94,39625.48
44029.45,43847.94,39625.48
44038.8,43847.94,39625.48
44048.89,43847.94,39625.48
44060.17,43847.94,39625.48
44073.35,43847.94,39625.48
44085.18,43847.94,39625.48
44095.76,43847.94,39625.48
44104.92,43847.94,39625.48
44111.64,43847.94,39625.48
44117.62,43847.94,39625.48
44124.43,43847.94,39625.48
44132.26,43847.94,39625.48
44137.94,43847.94,39625.48
44146.24,43847.94,39625.48
44138.56,43847.94,39625.48
44110.24,43847.94,39625.48
44068.05,43847.94,39625.48
44020.32,43847.94,39625.48
43999.72,43847.94,39630.11
43982.11,43847.94,39633.93
43965.52,43847.94,39646.02
43950.36,43847.94,39649.5
43940.89,43847.94,39649.5
43939.99,43847.94,39649.5
43943.12,43847.94,39649.5
43946.0,43847.94,39649.5
43948.44,43847.94,39649.5
43952.18,43847.94,39649.5
43957.659999999996,43847.94,39649.5
43962.52,43847.94,39649.5
43965.82,43847.94,39649.5
43970.96,43847.94,39649.5
43975.29,43847.94,39649.5
43981.159999999996,43847.94,39649.5
43990.22,43847.94,39649.5
44000.93,43847.94,39649.5
44009.48,43847.94,39649.5
44015.1,43847.94,39649.5
44016.12,43847.94,39649.5
44014.23,43847.94,39649.5
44010.92,43847.94,39649.5
43999.63,43847.94,39658.62
43967.07,43847.94,39658.62
43915.62,43847.94,39658.62
43875.1,43847.94,39658.62
43847.94,43847.94,39658.62
43857.85,43857.85,39658.62
43863.45,43863.45,39658.62
43865.26,43865.26,39658.62
43867.74,43867.74,39658.62
43869.74,43869.74,39658.62
43872.17,43872.17,39658.62
43874.4,43874.4,39658.62
43879.15,43879.15,39658.62
43885.58,43885.58,39658.62
43892.14,43892.14,39658.62
43897.35,43897.35,39658.62
43902.81,43902.81,39658.62
43908.78,43908.78,39658.62
43914.68,43914.68,39658.62
43919.84,43919.84,39658.62
43924.21,43924.21,39658.62
43926.39,43926.39,39658.62
43939.32,43939.32,39658.62
43970.7,43970.7,39670.06
43986.13,43986.13,39694.47
44006.25,44006.25,39723.5
44040.44,44040.44,39754.0
44049.27,44049.27,39778.54
44049.65,44049.65,39782.9
44083.59,44083.59,39782.9
44091.26,44091.26,39782.9
44094.78,44094.78,39782.9
44098.13,44098.13,39782.9
44101.63,44099.39,39782.9
44105.23,44099.39,39782.9
44108.86,44099.39,39782.9
44113.25,44099.39,39782.9
44115.99,44099.39,39782.9
44119.36,44099.39,39782.9
44122.26,44099.39,39782.9
44124.8,44099.39,39782.9
44127.63,44099.39,39782.9
44130.11,44099.39,39782.9
44132.53,44099.39,39782.9
44134.09,44099.39,39782.9
44144.79,44099.39,39782.9
44171.25,44099.39,39782.9
44173.49,44099.39,39782.9
44174.74,44099.39,39786.56
44185.66,44099.39,39787.36
44209.51,44099.39,39781.77
44215.84,44099.39,39761.3
44169.67,44099.39,39737.41
44137.6,44099.39,39730.8
44132.81,44099.39,39730.8
44131.93,44099.39,39730.8
44130.75,44099.39,39730.8
44129.11,44099.39,39730.8
44126.53,44099.39,39730.8
44123.79,44099.39,39730.8
44121.09,44099.39,39730.8
44118.68,44099.39,39730.8
44115.7,44099.39,39730.8
44113.14,44099.39,39730.8
44110.66,44099.39,39730.8
44107.12,44099.39,39730.8
44101.83,44099.39,39730.8
44099.39,44099.39,39730.8
44099.68,44099.68,39730.8
44104.33,44104.33,39730.8
