slack_0,non_interrupt,interrupt
45936.51,41080.07,34833.5
45902.83,41080.07,34833.5
45886.09,41080.07,34833.5
45873.46,41080.07,34833.5
45864.06,41080.07,34833.5
45857.51,41080.07,34833.5
45850.33,41080.07,34833.5
45843.76,41080.07,34833.5
45837.37,41080.07,34833.5
45844.48,41080.07,34833.5
45843.46,41080.07,34833.5
45815.15,41080.07,34833.5
45776.83,41080.07,34833.5
45745.19,41080.07,34833.5
45718.24,41080.07,34833.5
45710.49,41080.07,34833.5
45698.39,41080.07,34833.5
45700.47,41080.07,34833.5
45704.98,41080.07,34833.5
45703.03,41080.07,34833.5
45690.8,41080.07,34845.12
45674.61,41080.07,34864.76
45643.43,41080.07,34883.56
45613.57,41080.07,34899.17
45604.35,41080.07,34899.17
45571.31,41080.07,34899.17
45530.7,41080.07,34899.17
45492.55,41080.07,34899.17
45450.13,41080.07,34899.17
45405.83,41080.07,34899.17
45352.24,41080.07,34899.17
45303.3,41080.07,34899.17
45250.23,41080.07,34899.17
45214.39,41080.07,34899.17
45185.55,41080.07,34899.17
45168.15,41080.07,34899.17
45151.2,41080.07,34899.17
45135.7,41080.07,34899.17
45114.55,41080.07,34899.17
45079.99,41080.07,34899.17
45056.69,41080.07,34899.17
45052.13,41080.07,34899.17
45042.87,41080.07,34899.17
45025.75,41080.07,34880.5
45008.31,41080.07,34851.88
44976.38,41080.07,34821.24
44949.5,41080.07,34787.68
44919.44,41080.07,34757.58
44880.11,41080.07,34757.58
44827.44,41080.07,34757.58
44794.94,41080.07,34757.58
44769.14,41080.07,34757.58
44739.12,41080.07,34757.58
44692.61,41080.07,34757.58
44639.14,41080.07,34757.58
44580.75,41080.07,34757.58
44520.46,41080.07,34757.58
44472.5,41080.07,34757.58
44420.87,41080.07,34757.58
44387.08,41080.07,34757.58
44353.12,41080.07,34757.58
44321.42,41080.07,34757.58
44287.22,41080.07,34757.58
44248.51,41080.07,34757.58
44223.54,41080.07,34757.58
44225.56,41080.07,34757.58
44221.81,41080.07,34757.58
44210.14,41080.07,34741.14
44196.27,41080.07,34714.56
44182.49,41080.07,34687.03
44162.5,41080.07,34660.83
44161.05,41080.07,34642.94
44172.62,41080.07,34642.94
44185.91,41080.07,34642.94
44170.76,41080.07,34642.94
44153.2,41080.07,34642.94
44144.0,41080.07,34642.94
44143.02,41080.07,34642.94
44141.05,41080.07,34642.94
44132.86,41080.07,34642.94
44117.62,41080.07,34642.94
44082.47,41080.07,34642.94
44042.71,41080.07,34642.94
44003.56,41080.07,34642.94
43969.4,41080.07,34642.94
43941.2,41080.07,34642.94
43922.86,41080.07,34642.94
43914.94,41080.07,34642.94
43915.14,41080.07,34642.94
43936.66,41080.07,34642.94
43969.22,41080.07,34642.94
43994.34,41080.07,34642.94
44006.22,41080.07,34642.94
44008.77,41080.07,34646.96
44028.58,41080.07,34663.69
44057.77,41080.07,34676.8
44069.71,41080.07,34676.8
44069.23,41080.07,34676.8
44064.28,41080.07,34676.8
44056.28,41080.07,34676.8
44050.83,41080.07,34676.8
44037.44,41080.07,34676.8
44016.15,41080.07,34676.8
43990.41,41080.07,34676.8
43954.83,41080.07,34676.8
43902.57,41080.07,34676.8
43876.35,41080.07,34676.8
43862.57,41080.07,34676.8
43863.27,41080.07,34676.8
43863.76,41080.07,34676.8
43858.7,41080.07,34676.8
43850.83,41080.07,34676.8
43837.84,41080.07,34676.8
43812.56,41080.07,34675.05
43768.98,41080.07,34655.2
43718.03,41080.07,34618.95
43680.88,41080.07,34596.04
43641.91,41080.07,34578.74
43616.08,41080.07,34578.31
43586.04,41080.07,34579.49
43527.09,41080.07,34554.16
43481.84,41080.07,34554.16
43463.77,41080.07,34554.16
43442.95,41080.07,34554.16
43420.15,41080.07,34554.16
43393.1,41080.07,34554.16
43373.3,41080.07,34554.16
43341.36,41080.07,34554.16
43303.44,41080.07,34554.16
43244.69,41080.07,34554.16
43175.88,41080.07,34554.16
43095.33,41080.07,34554.16
43021.39,41080.07,34554.16
42953.65,41080.07,34554.16
42904.42,41080.07,34554.16
42869.85,41080.07,34554.16
42830.27,41080.07,34554.16
42795.25,41080.07,34547.33
42758.91,41080.07,34509.63
42716.61,41080.07,34459.15
42671.63,41080.07,34406.39
42631.42,41080.07,34341.07
42590.93,41080.07,34267.93
42558.52,41080.07,34220.09
42545.98,41080.07,34185.36
42549.48,41080.07,34185.36
