slack_0,non_interrupt,interrupt
93463.76,79817.89,51635.6
93565.2,79817.89,51635.6
93669.03,79817.89,51635.6
93797.49,79817.89,51635.6
93932.29,79817.89,51635.6
94073.65,79817.89,51635.6
94169.26,79817.89,51635.6
94259.04,79817.89,51635.6
94364.20999999999,79817.89,51635.6
94521.51,79817.89,51635.6
94757.38,79817.89,51635.6
94998.24,79817.89,51635.6
95201.11,79817.89,51635.6
95368.15,79817.89,51635.6
95453.13,79817.89,51635.6
95470.84,79817.89,51635.6
95478.8,79817.89,51635.6
95482.43,79817.89,51635.6
95483.20999999999,79817.89,51635.6
95686.73,79817.89,51635.6
95883.61,79817.89,51635.6
96070.31,79817.89,51635.6
96279.35,79817.89,51635.6
96285.48,79817.89,51635.6
96291.4,79817.89,51635.6
96310.06,79817.89,51635.6
96331.4,79817.89,51635.6
96340.91,79817.89,51635.6
96349.8,79817.89,51635.6
96357.08,79817.89,51635.6
96371.64,79817.89,51635.6
96415.08,79817.89,51635.6
96455.3,79817.89,51635.6
96499.41,79817.89,51635.6
96562.28,79817.89,51635.6
96630.49,79817.89,51635.6
96638.67,79817.89,51635.6
96648.7,79817.89,51635.6
96715.18,79817.89,51635.6
96776.15,79817.89,51635.6
96836.63,79817.89,51635.6
96702.61,79817.89,51635.6
96740.34,79817.89,51635.6
96793.68,79817.89,51635.6
96852.31999999999,79817.89,51635.6
96907.51,79817.89,51635.6
96972.06,79817.89,51635.6
97054.56,79817.89,51635.6
97223.91,79817.89,51635.6
97373.7,79817.89,51635.6
97512.3,79817.89,51635.6
97592.93,79817.89,51635.6
97663.92,79817.89,51635.6
97740.59,79817.89,51635.6
97780.98,79817.89,51635.6
97840.77,79817.89,51635.6
97905.79,79817.89,51635.6
97922.02,79817.89,51635.6
97924.15,79817.89,51635.6
97951.45999999999,79817.89,51635.6
97984.01,79817.89,51635.6
98015.61,79817.89,51635.6
98060.31,79817.89,51635.6
98131.59,79817.89,51635.6
98192.85,79817.89,51635.6
98241.29,79817.89,51635.6
98275.6,79817.89,51635.6
98317.31999999999,79817.89,51635.6
98356.59,79817.89,51635.6
98343.98,79817.89,51635.6
98266.08,79817.89,51635.6
98167.91,79817.89,51635.6
97908.6,79817.89,51635.6
97661.45,79817.89,51635.6
97427.06,79817.89,51635.6
97223.25,79817.89,51635.6
96993.19,79817.89,51635.6
96746.85,79817.89,51635.6
96500.11,79817.89,51635.6
96281.83,79817.89,51635.6
96094.77,79817.89,51635.6
95962.54,79817.89,51635.6
95889.04,79817.89,51635.6
95835.28,79817.89,51635.6
95767.51,79817.89,51635.6
95689.52,79817.89,51635.6
95551.59,79817.89,51635.6
95350.58,79817.89,51635.6
95154.85,79817.89,51635.6
94971.29,79817.89,51635.6
94789.4,79817.89,51635.6
94592.58,79817.89,51635.6
94368.41,79817.89,51635.6
94127.1,79817.89,51635.6
93869.77,79817.89,51635.6
93562.33,79817.89,51635.6
93240.55,79817.89,51635.6
92923.88,79817.89,51635.6
92588.08,79817.89,51635.6
92237.81,79817.89,51635.6
91882.58,79817.89,51635.6
91532.87,79817.89,51635.6
91194.47,79817.89,51635.6
90850.56,79817.89,51635.6
90535.27,79817.89,51635.6
90232.52,79817.89,51635.6
89897.92,79817.89,51635.6
89563.83,79817.89,51635.6
89243.41,79817.89,51635.6
88908.87,79817.89,51635.6
88565.09,79817.89,51635.6
88243.49,79817.89,51635.6
87944.06,79817.89,51635.6
87662.07,79817.89,51635.6
87387.37,79817.89,51635.6
87101.38,79817.89,51635.6
86817.16,79817.89,51635.6
86536.74,79817.89,51635.6
86225.61,79817.89,51635.6
86024.74,79817.89,51635.6
85729.38,79817.89,51635.6
85464.1,79817.89,51635.6
85219.28,79817.89,51635.6
84981.45,79817.89,51635.6
84766.17,79817.89,51635.6
84549.02,79817.89,51635.6
84378.91,79817.89,51635.6
84318.47,79817.89,51635.6
84338.32,79817.89,51635.6
84395.97,79817.89,51635.6
84466.26,79817.89,51635.6
84550.3,79817.89,51635.6
84569.36,79817.89,51635.6
84540.99,79817.89,51635.6
84522.46,79817.89,51635.6
84494.12,79817.89,51635.6
84458.59,79817.89,51635.6
84633.72,79817.89,51635.6
84733.43,79817.89,51635.6
84892.96,79817.89,51635.6
85042.93000000001,79817.89,51635.6
85139.29,79817.89,51635.6
85224.84,79817.89,51635.6
85169.91,79817.89,51635.6
84975.62,79817.89,51635.6
84802.17,79817.89,51635.6
84667.17,79817.89,51635.6
84523.41,79817.89,51635.6
84345.91,79817.89,51635.6
84255.67,79817.89,51635.6
84099.99,79817.89,51635.6
83993.02,79817.89,51635.6
83972.36,79817.89,51635.6
84044.27,79817.89,51635.6
84141.55,79817.89,51635.6
84221.52,79817.89,51635.6
84280.48,79817.89,51635.6
84293.15,79817.89,51635.6
84228.15,79817.89,51635.6
84105.14,79817.89,51635.6
83991.39,79817.89,51635.6
83891.19,79817.89,51635.6
83787.53,79817.89,51635.6
83675.15,79817.89,51635.6
83552.32,79817.89,51635.6
83415.08,79817.89,51635.6
83288.02,79817.89,51635.6
83139.43000000001,79817.89,51635.6
83156.38,79817.89,51635.6
83156.54,79817.89,51635.6
83183.66,79817.89,51635.6
83209.93000000001,79817.89,51635.6
83242.86,79817.89,51635.6
83311.2,79817.89,51635.6
83444.71,79817.89,51635.6
83607.1,79817.89,51635.6
83786.53,79817.89,51635.6
83971.79,79817.89,51635.6
84121.95,79817.89,51635.6
84271.95,79817.89,51635.6
84441.97,79817.89,51635.6
84617.72,79817.89,51635.6
84777.92,79817.89,51635.6
84967.01,79817.89,51635.6
85164.03,79817.89,51635.6
85372.83,79817.89,51635.6
85578.79000000001,79817.89,51635.6
85783.92,79817.89,51635.6
86015.24,79817.89,51635.6
86259.67,79817.89,51635.6
86519.53,79817.89,51635.6
86823.99,79817.89,51635.6
87156.34,79817.89,51635.6
87454.97,79817.89,51635.6
87745.04000000001,79817.89,51635.6
88035.29000000001,79817.89,51635.6
88350.06,79817.89,51635.6
88694.68000000001,79817.89,51635.6
89036.88,79817.89,51635.6
89352.95,79817.89,51635.6
89584.47,79817.89,51635.6
89788.56,79817.89,51635.6
90014.54000000001,79817.89,51635.6
90258.15,79817.89,51635.6
90550.35,79817.89,51635.6
90800.82,79817.89,51635.6
91087.1,79817.89,51635.6
91370.95,79817.89,51635.6
91632.0,79817.89,51635.6
91876.16,79817.89,51635.6
92018.42,79817.89,51635.6
92199.91,79817.89,51635.6
92401.61,79817.89,51635.6
92599.35,79817.89,51635.6
92807.29,79817.89,51635.6
92890.42,79817.89,51635.6
93052.93000000001,79817.89,51635.6
93132.36,79817.89,51635.6
93184.94,79817.89,51635.6
93259.79,79817.89,51635.6
93321.85,79817.89,51635.6
93412.25,79817.89,51635.6
93459.19,79817.89,51635.6
93417.94,79817.89,51635.6
93306.42,79817.89,51635.6
93100.12,79817.89,51635.6
92862.2,79817.89,51635.6
92630.73,79817.89,51635.6
92460.22,79817.89,51635.6
92360.47,79817.89,51635.6
92345.35,79817.89,51635.6
92353.24,79817.89,51635.6
92384.64,79817.89,51635.6
92424.19,79817.89,51635.6
92537.53,79817.89,51635.6
92588.25,79817.89,51635.6
92640.19,79817.89,51635.6
92746.91,79817.89,51635.6
92874.16,79817.89,51635.6
92999.41,79817.89,51635.6
93172.42,79817.89,51635.6
93330.64,79817.89,51635.6
93442.42,79817.89,51635.6
93515.89,79817.89,51635.6
93588.95,79817.89,51635.6
93553.57,79817.89,51635.6
93587.36,79817.89,51635.6
93563.99,79817.89,51635.6
93452.05,79817.89,51635.6
93283.57,79817.89,51635.6
93176.08,79817.89,51635.6
93137.05,79817.89,51635.6
93060.52,79817.89,51635.6
92987.43000000001,79817.89,51635.6
92982.83,79817.89,51635.6
93032.37,79817.89,51635.6
93070.68000000001,79817.89,51635.6
93128.06,79817.89,51635.6
93164.26,79817.89,51635.6
93184.52,79817.89,51635.6
93230.46,79817.89,51635.6
93327.75,79817.89,51635.6
93425.33,79817.89,51635.6
93508.94,79817.89,51635.6
93616.54,79817.89,51635.6
93667.81,79817.89,51635.6
93723.32,79817.89,51635.6
93778.44,79817.89,51635.6
93789.78,79817.89,51635.6
93793.4,79817.89,51635.6
93758.66,79817.89,51635.6
93610.37,79817.89,51635.6
93345.38,79817.89,51635.6
93051.27,79817.89,51635.6
92774.71,79817.89,51635.6
92540.79,79817.89,51635.6
92305.13,79817.89,51635.6
92020.94,79817.89,51635.6
91813.97,79817.89,51635.6
91695.31,79817.89,51635.6
91589.02,79817.89,51635.6
91501.44,79817.89,51635.6
91406.03,79817.89,51635.6
91287.88,79817.89,51635.6
91164.16,79817.89,51635.6
91081.96,79817.89,51635.6
91006.99,79817.89,51635.6
90942.75,79817.89,51635.6
90925.67,79817.89,51635.6
90917.41,79817.89,51635.6
90941.08,79817.89,51635.6
90968.65,79817.89,51635.6
90961.62,79817.89,51635.6
90941.84,79817.89,51635.6
90920.18000000001,79817.89,51635.6
90878.49,79817.89,51635.6
90861.51,79817.89,51635.6
90827.66,79817.89,51635.6
90750.29,79817.89,51635.6
90641.48,79817.89,51635.6
90474.91,79817.89,51635.6
90367.77,79817.89,51635.6
90256.37,79817.89,51635.6
90219.76,79817.89,51635.6
90237.15,79817.89,51635.6
90268.6,79817.89,51635.6
90399.83,79817.89,51635.6
90504.81,79817.89,51635.6
90599.27,79817.89,51635.6
90698.59,79817.89,51635.6
90802.85,79817.89,51635.6
90909.42,79817.89,51635.6
90985.09,79817.89,51635.6
91083.1,79817.89,51635.6
91162.48,79817.89,51635.6
91241.83,79817.89,51635.6
91304.45,79817.89,51635.6
91364.37,79817.89,51635.6
91435.64,79817.89,51635.6
91476.36,79817.89,51635.6
91533.73,79817.89,51635.6
91618.79,79817.89,51635.6
91672.9,79817.89,51635.6
91742.58,79817.89,51635.6
91833.64,79817.89,51635.6
91868.77,79817.89,51635.6
91776.65,79817.89,51635.6
91645.8,79817.89,51635.6
91519.46,79817.89,51635.6
91395.55,79817.89,51635.6
91275.59,79817.89,51635.6
91143.93,79817.89,51635.6
91012.99,79817.89,51635.6
90862.48,79817.89,51635.6
90708.84,79817.89,51635.6
90534.44,79817.89,51635.6
90387.89,79817.89,51635.6
90261.39,79817.89,51635.6
90155.31,79817.89,51635.6
90081.87,79817.89,51635.6
90026.76,79817.89,51635.6
89999.01,79817.89,51635.6
89978.91,79817.89,51635.6
90028.13,79817.89,51635.6
90132.15,79817.89,51635.6
90245.39,79817.89,51635.6
90247.88,79817.89,51635.6
90209.03,79817.89,51635.6
90220.29,79817.89,51635.6
90269.79,79817.89,51635.6
90303.48,79817.89,51635.6
90254.3,79817.89,51635.6
90231.0,79817.89,51635.6
90210.32,79817.89,51635.6
90223.42,79817.89,51635.6
90244.94,79817.89,51635.6
90288.64,79817.89,51635.6
90328.05,79817.89,51635.6
90387.49,79817.89,51635.6
90497.73,79817.89,51635.6
90583.48,79817.89,51635.6
90770.95,79817.89,51635.6
90937.96,79817.89,51635.6
91077.24,79817.89,51635.6
91255.89,79817.89,51635.6
91420.07,79817.89,51635.6
91568.47,79817.89,51635.6
91757.07,79817.89,51635.6
91987.25,79817.89,51635.6
92191.44,79817.89,51635.6
92387.11,79817.89,51635.6
92538.41,79817.89,51635.6
92673.49,79817.89,51635.6
92905.15,79817.89,51635.6
93131.68000000001,79817.89,51635.6
93289.96,79817.89,51635.6
93432.18000000001,79817.89,51635.6
93538.9,79817.89,51635.6
93659.22,79817.89,51635.6
93821.63,79817.89,51635.6
93973.1,79817.89,51635.6
94077.57,79817.89,51635.6
94175.45,79817.89,51635.6
94264.45,79817.89,51635.6
94297.82,79817.89,51635.6
94338.69,79817.89,51635.6
94369.02,79817.89,51635.6
94399.99,79817.89,51635.6
94443.54000000001,79817.89,51635.6
94461.66,79817.89,51635.6
94460.04000000001,79817.89,51635.6
94478.16,79817.89,51635.6
94549.59,79817.89,51635.6
94680.54000000001,79817.89,51635.6
94847.49,79817.89,51635.6
95027.09,79817.89,51635.6
95193.94,79817.89,51635.6
95375.44,79817.89,51635.6
95520.03,79817.89,51635.6
95577.66,79817.89,51635.6
95589.27,79817.89,51635.6
95583.86,79817.89,51635.6
95578.66,79817.89,51635.6
95573.57,79817.89,51635.6
95566.21,79817.89,51635.6
95571.14,79817.89,51635.6
95581.42,79817.89,51635.6
95603.58,79817.89,51635.6
95677.03,79817.89,51635.6
95771.52,79817.89,51635.6
95872.28,79817.89,51635.6
95933.5,79817.89,51635.6
95995.44,79817.89,51635.6
96038.34,79817.89,51635.6
96049.54000000001,79817.89,51635.6
96062.4,79817.89,51635.6
96097.13,79817.89,51635.6
96118.03,79817.89,51635.6
96223.9,79817.89,51635.6
96287.19,79817.89,51635.6
96306.39,79817.89,51635.6
96303.81,79817.89,51635.6
96332.0,79817.89,51635.6
96380.89,79817.89,51635.6
96424.31,79817.89,51635.6
96458.04000000001,79817.89,51635.6
96491.68000000001,79817.89,51635.6
96534.71,79817.89,51635.6
96549.8,79817.89,51635.6
96589.0,79817.89,51635.6
96592.83,79817.89,51635.6
96578.68000000001,79817.89,51635.6
96573.28,79817.89,51635.6
96563.32,79817.89,51635.6
96490.94,79817.89,51635.6
96423.85,79817.89,51635.6
96352.97,79817.89,51635.6
96258.54000000001,79817.89,51635.6
96153.13,79817.89,51635.6
95956.27,79817.89,51635.6
95709.74,79817.89,51635.6
95494.89,79817.89,51635.6
95321.97,79817.89,51635.6
95142.56,79817.89,51635.6
94977.92,79817.89,51635.6
94834.21,79817.89,51635.6
94672.74,79817.89,51635.6
94589.57,79817.89,51635.6
94580.22,79817.89,51635.6
94568.9,79817.89,51635.6
94577.98,79817.89,51635.6
94580.35,79817.89,51635.6
94570.23,79817.89,51635.6
94539.32,79817.89,51635.6
94500.98,79817.89,51635.6
94425.93000000001,79817.89,51635.6
94302.59,79817.89,51635.6
94166.98,79817.89,51635.6
94032.94,79817.89,51635.6
93955.33,79817.89,51635.6
93908.68000000001,79817.89,51635.6
93890.38,79817.89,51635.6
93871.23,79817.89,51635.6
93878.43000000001,79817.89,51635.6
93934.88,79817.89,51635.6
94066.77,79817.89,51635.6
94158.48,79817.89,51635.6
94261.01,79817.89,51635.6
94373.47,79817.89,51635.6
94407.46,79817.89,51635.6
94411.27,79817.89,51635.6
94417.83,79817.89,51635.6
94440.01,79817.89,51635.6
94457.68,79817.89,51635.6
94469.06,79817.89,51635.6
94475.17,79817.89,51635.6
94473.11,79817.89,51635.6
94451.3,79817.89,51635.6
94386.78,79817.89,51635.6
94246.68,79817.89,51635.6
94090.58,79817.89,51635.6
93962.48,79817.89,51635.6
93845.24,79817.89,51635.6
93755.53,79817.89,51635.6
93703.05,79817.89,51635.6
93667.99,79817.89,51635.6
93681.07,79817.89,51635.6
93739.81999999999,79817.89,51635.6
93811.16,79817.89,51635.6
93880.16,79817.89,51635.6
93897.35,79817.89,51635.6
93928.57,79817.89,51635.6
93997.11,79817.89,51635.6
94035.2,79817.89,51635.6
94062.34,79817.89,51635.6
94055.8,79817.89,51635.6
94054.24,79817.89,51635.6
94038.15,79817.89,51635.6
94018.45,79817.89,51635.6
93983.27,79817.89,51635.6
93961.06,79817.89,51635.6
93953.62,79817.89,51635.6
