slack_0,non_interrupt,interrupt
50238.69,46909.26,40103.36
50435.69,46909.26,40131.97
50635.03,46909.26,40164.1
50818.86,46909.26,40189.01
51000.14,46909.26,40208.42
51148.99,46909.26,40225.32
51343.04,46909.26,40250.07
51552.08,46909.26,40281.87
51732.409999999996,46909.26,40313.35
51905.31,46909.26,40347.42
52071.9,46909.26,40382.33
52208.89,46909.26,40414.42
52325.63,46909.26,40442.09
52460.14,46909.26,40479.54
52600.31,46909.26,40530.7
52748.86,46909.26,40584.31
52881.24,46909.26,40599.16
53009.0,46909.26,40615.09
53090.55,46909.26,40615.09
53189.67,46909.26,40626.61
53311.28,46909.26,40662.34
53454.06,46909.26,40715.88
53602.88,46909.26,40759.11
53746.26,46909.26,40790.87
53919.05,46909.26,40822.84
54108.76,46909.26,40862.55
54290.65,46909.26,40905.9
54431.68,46909.26,40923.17
54548.94,46909.26,40923.17
54623.6,46909.26,40923.17
54694.27,46909.26,40923.17
54756.04,46909.26,40923.17
54838.37,46909.26,40923.17
54929.87,46909.26,40923.17
55017.5,46909.26,40923.17
55084.32,46909.26,40923.17
55174.51,46909.26,40923.17
55280.89,46909.26,40923.17
55386.78,46909.26,40923.17
55429.94,46909.26,40923.17
55425.28,46909.26,40923.17
55418.6,46909.26,40923.17
55439.05,46909.26,40923.17
55455.37,46909.26,40923.17
55450.65,46909.26,40923.17
55461.19,46909.26,40923.17
55525.49,46909.26,40923.17
55638.98,46909.26,40923.17
55738.5,46909.26,40923.17
55825.73,46909.26,40923.17
55897.84,46909.26,40923.17
55971.49,46909.26,40923.17
56041.25,46909.26,40923.17
56104.82,46909.26,40923.17
56163.87,46909.26,40923.17
56221.93,46909.26,40923.17
56291.92,46909.26,40923.17
56357.43,46909.26,40923.17
56393.02,46909.26,40923.17
56440.6,46909.26,40923.17
56537.88,46909.26,40923.17
56639.28,46909.26,40923.17
56722.5,46909.26,40923.17
56782.6,46909.26,40923.17
56838.0,46909.26,40923.17
56900.01,46909.26,40923.17
56942.78,46909.26,40923.17
56991.35,46909.26,40923.17
57047.86,46909.26,40923.17
57091.73,46909.26,40923.17
57131.31,46909.26,40923.17
