slack_0,non_interrupt,interrupt
40035.18,34131.6,32208.82
40087.87,34131.6,32208.82
40138.23,34131.6,32208.82
40190.88,34131.6,32208.82
40241.5,34131.6,32208.82
40287.44,34131.6,32208.82
40334.1,34131.6,32208.82
40381.06,34131.6,32208.82
40428.74,34131.6,32208.82
40482.96,34131.6,32208.82
40541.45,34131.6,32208.82
40601.43,34131.6,32208.82
40659.27,34131.6,32208.82
40718.91,34131.6,32208.82
40779.96,34131.6,32208.82
40852.82,34131.6,32208.82
40920.7,34131.6,32208.82
40973.89,34131.6,32208.82
41019.65,34131.6,32208.82
41067.0,34131.6,32208.82
41110.03,34131.6,32208.82
41150.61,34131.6,32208.82
41187.56,34131.6,32208.82
41232.49,34131.6,32208.82
41281.37,34131.6,32208.82
41338.29,34131.6,32208.82
41384.12,34131.6,32208.82
41425.4,34131.6,32208.82
41468.62,34131.6,32208.82
41511.18,34131.6,32208.82
41553.52,34131.6,32208.82
41593.65,34131.6,32208.82
41634.94,34131.6,32208.82
41679.75,34131.6,32208.82
41727.95,34131.6,32208.82
41780.75,34131.6,32208.82
41839.34,34131.6,32208.82
41902.14,34131.6,32208.82
41968.98,34131.6,32208.82
42030.909999999996,34131.6,32208.82
42091.14,34131.6,32208.82
42142.11,34131.6,32208.82
42186.03,34131.6,32208.82
42219.25,34131.6,32208.82
42255.51,34131.6,32208.82
42293.47,34131.6,32208.82
42336.01,34131.6,32208.82
42363.76,34131.6,32208.82
42391.32,34131.6,32208.82
42418.98,34131.6,32208.82
42452.11,34131.6,32208.82
42490.66,34131.6,32208.82
42529.11,34131.6,32208.82
42568.85,34131.6,32208.82
42610.72,34131.6,32208.82
42656.73,34131.6,32208.82
42708.49,34131.6,32208.82
42759.93,34131.6,32208.82
42811.26,34131.6,32208.82
42861.53,34131.6,32208.82
42904.1,34131.6,32208.82
42950.41,34131.6,32208.82
42988.05,34131.6,32208.82
43022.7,34131.6,32208.82
43051.24,34131.6,32208.82
43073.31,34131.6,32208.82
43091.23,34131.6,32208.82
43107.73,34131.6,32208.82
43128.48,34131.6,32208.82
43160.47,34131.6,32208.82
43201.43,34131.6,32208.82
43247.85,34131.6,32208.82
43297.88,34131.6,32208.82
43346.04,34131.6,32208.82
43390.59,34131.6,32208.82
43427.3,34131.6,32208.82
43467.98,34131.6,32208.82
43523.02,34131.6,32208.82
43579.61,34131.6,32208.82
43627.78,34131.6,32208.82
43671.55,34131.6,32208.82
43708.92,34131.6,32208.82
43738.13,34131.6,32208.82
43767.39,34131.6,32208.82
43796.99,34131.6,32208.82
43819.75,34131.6,32208.82
43843.94,34131.6,32208.82
43867.0,34131.6,32208.82
43884.08,34131.6,32208.82
43907.92,34131.6,32208.82
43935.2,34131.6,32208.82
43951.15,34131.6,32208.82
43974.71,34131.6,32208.82
44002.21,34131.6,32208.82
44035.43,34131.6,32208.82
44065.68,34131.6,32208.82
44088.01,34131.6,32208.82
44109.83,34131.6,32208.82
44132.49,34131.6,32208.82
44155.2,34131.6,32208.82
44185.04,34131.6,32208.82
44220.12,34131.6,32208.82
44253.68,34131.6,32208.82
44286.5,34131.6,32208.82
44325.7,34131.6,32208.82
44349.45,34131.6,32208.82
44367.05,34131.6,32208.82
44378.43,34131.6,32208.82
44385.11,34131.6,32208.82
44386.23,34131.6,32208.82
44378.13,34131.6,32208.82
44363.8,34131.6,32208.82
44353.1,34131.6,32208.82
44362.23,34131.6,32208.82
44376.62,34131.6,32208.82
44388.84,34131.6,32208.82
44408.07,34131.6,32208.82
44430.65,34131.6,32208.82
44459.79,34131.6,32208.82
44496.83,34131.6,32208.82
44538.47,34131.6,32208.82
44575.59,34131.6,32208.82
44615.95,34131.6,32208.82
44655.56,34131.6,32208.82
44696.96,34131.6,32208.82
44735.95,34131.6,32208.82
44770.66,34131.6,32208.82
44802.91,34131.6,32208.82
44835.39,34131.6,32208.82
44869.78,34131.6,32208.82
44905.62,34131.6,32208.82
44946.75,34131.6,32208.82
44994.49,34131.6,32208.82
45037.63,34131.6,32208.82
45066.15,34131.6,32208.82
45095.74,34131.6,32208.82
45123.3,34131.6,32208.82
45149.56,34131.6,32208.82
45167.97,34131.6,32208.82
45176.14,34131.6,32208.82
45174.8,34131.6,32208.82
45174.77,34131.6,32208.82
45184.16,34131.6,32208.82
45210.13,34131.6,32208.82
45241.88,34131.6,32208.82
45272.65,34131.6,32208.82
45293.24,34131.6,32208.82
45321.14,34131.6,32208.82
45359.32,34131.6,32208.82
45401.94,34131.6,32208.82
45446.99,34131.6,32208.82
45494.23,34131.6,32208.82
45539.85,34131.6,32208.82
45588.15,34131.6,32208.82
45630.49,34131.6,32208.82
45666.96,34131.6,32208.82
45698.89,34131.6,32208.82
45721.43,34131.6,32208.82
45742.2,34131.6,32208.82
45753.63,34131.6,32208.82
45771.71,34131.6,32208.82
45778.75,34131.6,32208.82
45775.35,34131.6,32208.82
45766.31,34131.6,32208.82
45753.72,34131.6,32208.82
45741.6,34131.6,32208.82
45732.19,34131.6,32208.82
45721.83,34131.6,32208.82
45716.5,34131.6,32208.82
45702.29,34131.6,32208.82
45687.44,34131.6,32208.82
45678.05,34131.6,32208.82
45672.41,34131.6,32208.82
45662.95,34131.6,32208.82
45651.27,34131.6,32208.82
45639.71,34131.6,32208.82
45634.83,34131.6,32208.82
45631.97,34131.6,32208.82
45636.05,34131.6,32208.82
45639.02,34131.6,32208.82
45641.88,34131.6,32208.82
45655.45,34131.6,32208.82
45672.62,34131.6,32208.82
45696.41,34131.6,32208.82
45728.99,34131.6,32208.82
45752.35,34131.6,32208.82
45774.68,34131.6,32208.82
45807.37,34131.6,32208.82
45836.52,34131.6,32208.82
45861.34,34131.6,32208.82
45874.82,34131.6,32208.82
45888.85,34131.6,32208.82
45900.33,34131.6,32208.82
45908.98,34131.6,32208.82
45922.96,34131.6,32208.82
45933.78,34131.6,32208.82
45940.88,34131.6,32208.82
45947.17,34131.6,32208.82
45955.87,34131.6,32208.82
45972.58,34131.6,32208.82
45990.49,34131.6,32208.82
46017.28,34131.6,32208.82
46048.87,34131.6,32208.82
46089.39,34131.6,32208.82
46135.62,34131.6,32208.82
46189.5,34131.6,32208.82
46241.18,34131.6,32208.82
46290.17,34131.6,32208.82
46332.41,34131.6,32208.82
46362.89,34131.6,32208.82
46393.36,34131.6,32208.82
46426.42,34131.6,32208.82
46454.73,34131.6,32208.82
46480.3,34131.6,32208.82
46502.57,34131.6,32208.82
46515.68,34131.6,32208.82
46519.85,34131.6,32208.82
46528.46,34131.6,32208.82
46543.42,34131.6,32208.82
46556.21,34131.6,32208.82
46563.37,34131.6,32208.82
46574.08,34131.6,32208.82
46585.93,34131.6,32208.82
46596.75,34131.6,32208.82
46604.73,34131.6,32208.82
46609.61,34131.6,32208.82
46610.98,34131.6,32208.82
46601.1,34131.6,32208.82
46580.2,34131.6,32208.82
46564.43,34131.6,32208.82
46549.78,34131.6,32208.82
46531.05,34131.6,32208.82
46516.44,34131.6,32208.82
46502.56,34131.6,32208.82
46491.53,34131.6,32208.82
46490.94,34131.6,32208.82
46494.28,34131.6,32208.82
46490.590000000004,34131.6,32208.82
46480.87,34131.6,32208.82
46467.35,34131.6,32208.82
46447.03,34131.6,32208.82
46426.15,34131.6,32208.82
46404.39,34131.6,32208.82
46371.58,34131.6,32208.82
46324.77,34131.6,32208.82
46267.88,34131.6,32208.82
46199.23,34131.6,32208.82
46127.95,34131.6,32208.82
46055.01,34131.6,32208.82
45981.83,34131.6,32208.82
45913.27,34131.6,32208.82
45850.57,34131.6,32208.82
45797.47,34131.6,32208.82
45754.91,34131.6,32208.82
45711.88,34131.6,32208.82
45675.82,34131.6,32208.82
45641.4,34131.6,32208.82
45616.42,34131.6,32208.82
45605.05,34131.6,32208.82
45602.76,34131.6,32208.82
45609.8,34131.6,32208.82
45618.14,34131.6,32208.82
45617.97,34131.6,32208.82
45611.29,34131.6,32208.82
45603.57,34131.6,32208.82
45604.23,34131.6,32208.82
45605.98,34131.6,32208.82
45610.83,34131.6,32208.82
45621.49,34131.6,32208.82
45640.16,34131.6,32208.82
45667.68,34131.6,32208.82
45700.77,34131.6,32208.82
45725.79,34131.6,32208.82
45751.82,34131.6,32208.82
45770.02,34131.6,32208.82
45787.81,34131.6,32208.82
45799.59,34131.6,32208.82
45812.09,34131.6,32208.82
45824.11,34131.6,32208.82
45831.33,34131.6,32208.82
45845.15,34131.6,32208.82
45866.14,34131.6,32208.82
45885.7,34131.6,32208.82
45908.09,34131.6,32208.82
45936.07,34131.6,32208.82
45967.73,34131.6,32208.82
45996.46,34131.6,32208.82
46025.56,34131.6,32208.82
46050.26,34131.6,32208.82
