0,20,40,60,80,100
25.59,22.27,22.27,22.27,22.27,22.27
25.78,22.47,22.47,22.47,22.47,22.47
25.77,22.32,22.32,22.32,22.32,22.32
25.91,22.42,22.42,22.42,22.42,22.42
25.87,22.47,22.47,22.47,22.47,22.47
26.3,22.61,22.61,22.61,22.61,22.61
26.53,22.86,22.86,22.86,22.86,22.86
26.91,23.23,23.23,23.23,23.23,23.23
27.14,23.4,23.4,23.4,23.4,23.4
27.36,23.55,23.55,23.55,23.55,23.55
27.73,23.69,23.69,23.69,23.69,23.69
27.35,23.51,23.51,23.51,23.51,23.51
27.12,23.25,23.25,23.25,23.25,23.25
26.72,22.86,22.86,22.86,22.86,22.86
26.21,22.73,22.73,22.73,22.73,22.73
26.0,22.71,22.71,22.71,22.71,22.71
26.08,22.75,22.75,22.75,22.75,22.75
25.55,22.43,22.43,22.43,22.43,22.43
25.48,22.2,22.2,22.2,22.2,22.2
25.71,22.15,22.15,22.15,22.15,22.15
25.84,22.13,22.13,22.13,22.13,22.13
25.9,22.28,22.28,22.28,22.28,22.28
25.92,22.36,22.36,22.36,22.36,22.36
25.97,22.45,22.45,22.45,22.45,22.45
26.5,23.07,23.07,23.07,23.07,23.07
27.01,23.44,23.44,23.44,23.44,23.44
27.3,23.6,23.6,23.6,23.6,23.6
27.28,23.57,23.57,23.57,23.57,23.57
27.31,23.53,23.53,23.53,23.53,23.53
27.43,23.56,23.56,23.56,23.56,23.56
27.46,23.54,23.54,23.54,23.54,23.54
27.24,23.57,23.57,23.57,23.57,23.57
27.19,23.57,23.57,23.57,23.57,23.57
27.27,23.57,23.57,23.57,23.57,23.57
27.24,23.61,23.61,23.61,23.61,23.61
27.22,23.6,23.6,23.6,23.6,23.6
27.09,23.46,23.46,23.46,23.46,23.46
27.03,23.48,23.48,23.48,23.48,23.48
26.89,23.44,23.44,23.44,23.44,23.44
26.72,23.32,23.32,23.32,23.32,23.32
26.5,23.24,23.24,23.24,23.24,23.24
26.41,23.13,23.13,23.13,23.13,23.13
26.2,22.94,22.94,22.94,22.94,22.94
26.51,22.81,22.81,22.81,22.81,22.81
26.49,22.8,22.8,22.8,22.8,22.8
26.58,22.84,22.84,22.84,22.84,22.84
26.35,22.71,22.71,22.71,22.71,22.71
26.4,22.69,22.69,22.69,22.69,22.69
26.11,22.61,22.61,22.61,22.61,22.61
26.0,22.56,22.56,22.56,22.56,22.56
26.33,22.68,22.68,22.68,22.68,22.68
26.22,22.68,22.68,22.68,22.68,22.68
26.58,22.97,22.97,22.97,22.97,22.97
26.6,23.21,23.21,23.21,23.21,23.21
26.07,23.15,23.15,23.15,23.15,23.15
25.99,23.18,23.18,23.18,23.18,23.18
