0,20,40,60,80,100
563.05,401.25,239.45,109.39,16.3,12.55
575.85,414.05,252.25,114.88,19.08,12.33
585.84,424.04,262.24,122.15,26.35,12.2
592.31,430.51,268.71,127.67,31.87,12.14
593.75,431.95,270.15,128.83,33.03,12.1
596.09,435.81,275.52,134.12,39.84,18.66
587.54,427.26,266.97,131.68,37.39,18.79
559.77,399.48,239.2,115.77,23.06,19.08
544.35,384.06,223.78,103.46,19.32,19.32
527.31,367.02,206.74,93.19,19.57,19.57
512.7,352.42,192.13,83.82,19.73,19.73
507.82,347.53,187.25,81.65,19.76,19.76
516.83,356.55,196.26,88.93,19.67,19.67
529.02,368.73,208.45,97.94,19.48,19.48
538.13,377.85,217.56,107.51,19.29,19.29
522.63,362.34,202.06,97.92,19.38,19.38
504.83,343.03,181.23,82.01,13.74,13.74
508.14,346.34,184.54,83.54,13.6,13.6
513.75,351.95,190.15,85.57,13.46,13.46
523.53,361.73,199.93,90.71,13.22,13.22
507.28,345.48,183.68,74.3,13.57,13.57
502.9,341.1,179.3,67.01,13.63,13.63
498.36,336.56,174.76,59.42,13.69,13.69
522.49,360.69,198.89,73.75,13.11,13.11
540.74,378.94,217.14,85.05,12.55,12.55
551.43,389.63,227.83,90.06,12.26,12.26
548.2,386.4,224.6,86.57,12.24,12.24
554.75,392.95,231.15,90.61,12.07,12.07
559.12,398.84,238.55,102.78,17.94,17.94
549.65,389.37,229.08,98.6,18.04,18.04
546.94,386.66,226.37,97.51,18.16,18.16
520.92,360.64,200.35,83.5,18.58,18.58
487.73,327.44,167.16,63.86,19.01,19.01
461.5,301.22,141.02,46.69,19.29,19.29
455.91,295.62,136.45,42.16,19.31,19.31
456.86,296.57,137.08,42.8,19.26,19.26
459.57,299.28,140.1,45.82,19.13,19.13
464.1,303.81,143.96,49.67,18.94,18.94
471.79,311.5,151.22,55.2,18.71,18.71
466.33,306.04,147.09,52.8,18.74,18.74
451.97,290.17,135.0,39.2,13.88,13.88
456.55,294.75,138.67,42.87,13.88,13.88
466.84,305.04,146.23,50.43,13.71,13.71
473.02,311.22,149.43,53.54,13.68,13.68
468.67,306.87,145.07,39.46,14.06,14.06
480.26,318.46,156.66,48.92,13.71,13.71
492.38,330.58,168.78,58.8,13.35,13.35
519.42,357.62,195.82,76.45,12.83,12.83
541.65,379.85,218.05,91.16,12.37,12.37
562.6,400.8,239.0,106.58,14.81,11.94
569.73,407.93,246.13,111.77,17.18,11.86
566.1,404.3,242.5,110.26,16.5,11.99
543.04,382.75,222.47,102.4,18.43,18.43
524.19,363.9,203.62,100.67,18.49,18.49
479.61,319.33,172.65,78.37,19.01,19.01
450.21,289.93,154.39,60.1,19.42,19.42
450.83,290.55,156.08,61.79,19.5,19.5
443.01,282.72,149.23,54.95,19.7,19.7
448.56,288.28,149.8,55.51,19.7,19.7
448.04,287.76,148.32,54.03,19.68,19.68
448.85,288.56,151.26,56.97,19.65,19.65
458.37,298.08,159.27,64.99,19.44,19.44
460.48,300.2,162.53,68.25,19.27,19.27
448.58,288.3,153.88,59.59,19.2,19.2
451.16,289.36,151.22,55.42,13.72,13.72
452.93,291.13,145.23,49.43,13.67,13.67
463.37,301.57,152.49,56.69,13.4,13.4
465.29,303.49,150.67,54.87,13.37,13.37
456.74,294.94,140.37,44.57,13.58,13.58
473.38,311.58,150.65,54.85,13.16,13.16
490.56,328.76,166.96,65.44,12.73,12.73
516.51,354.71,192.91,84.08,12.12,12.12
538.73,376.93,215.13,98.66,11.79,11.79
551.47,389.67,227.87,105.32,13.73,11.66
556.45,394.65,232.85,107.71,14.92,11.72
560.51,398.71,236.91,114.01,18.21,11.74
556.73,396.44,236.16,122.49,28.21,18.15
541.05,380.77,220.48,118.44,24.15,18.37
