0,20,40,60,80,100
404.94,404.94,404.94,404.94,404.94,404.94
397.55,397.55,397.55,397.55,397.55,397.55
389.91,389.91,389.91,389.91,389.91,389.91
383.43,383.43,383.43,383.43,383.43,383.43
374.61,374.61,374.61,374.61,374.61,374.61
368.15,368.15,368.15,368.15,368.15,368.15
365.73,365.73,365.73,365.73,365.73,365.73
354.92,354.92,354.92,354.92,354.92,354.92
341.42,341.42,341.42,341.42,341.42,341.42
331.37,331.37,331.37,331.37,331.37,331.37
327.75,327.75,327.75,327.75,327.75,327.75
333.83,333.83,333.83,333.83,333.83,333.83
335.49,243.12,150.74,39.39,22.96,25.6
335.44,243.06,150.68,33.53,23.67,25.6
319.74,227.36,134.98,21.96,24.68,25.6
323.14,230.76,138.38,22.22,24.94,25.6
333.55,241.17,148.79,34.56,24.85,25.6
342.68,250.3,157.92,49.41,24.71,25.6
349.59,257.21,164.83,60.29,24.59,25.6
355.04,262.66,170.28,68.72,24.47,25.6
365.31,272.94,180.56,83.63,24.17,25.6
386.57,294.2,201.82,109.44,23.48,25.6
402.17,309.8,217.42,125.04,22.94,25.6
403.8,403.8,403.8,403.8,403.8,403.8
400.42,400.42,400.42,400.42,400.42,400.42
396.09,396.09,396.09,396.09,396.09,396.09
389.64,389.64,389.64,389.64,389.64,389.64
382.97,382.97,382.97,382.97,382.97,382.97
373.33,373.33,373.33,373.33,373.33,373.33
362.6,362.6,362.6,362.6,362.6,362.6
349.93,349.93,349.93,349.93,349.93,349.93
337.21,337.21,337.21,337.21,337.21,337.21
331.11,331.11,331.11,331.11,331.11,331.11
326.99,326.99,326.99,326.99,326.99,326.99
327.63,327.63,327.63,327.63,327.63,327.63
335.68,335.68,335.68,335.68,335.68,335.68
338.6,246.23,153.85,46.87,22.96,25.6
340.66,248.28,155.9,48.01,23.54,25.6
335.34,242.96,150.58,44.1,24.18,25.6
341.97,249.6,157.22,49.47,24.43,25.6
344.17,251.79,159.41,51.86,24.57,25.6
350.46,258.08,165.7,61.48,24.54,25.6
352.94,260.57,168.19,65.59,24.55,25.6
358.48,266.1,173.72,74.32,24.42,25.6
371.11,278.73,186.36,92.83,24.06,25.6
390.75,298.37,205.99,113.61,23.44,25.6
406.17,313.8,221.42,129.04,22.94,25.6
407.55,407.55,407.55,407.55,407.55,407.55
403.58,403.58,403.58,403.58,403.58,403.58
