0,20,40,60,80,100
376.12,217.72,59.32,36.86,36.86,36.86
375.39,216.99,58.59,36.99,36.99,36.99
377.84,219.44,61.04,36.95,36.95,36.95
385.65,227.25,68.85,36.78,36.78,36.78
410.18,251.78,93.38,36.37,36.37,36.37
456.46,298.06,139.66,35.26,35.26,35.26
530.14,371.74,213.34,54.94,33.43,33.43
573.28,414.88,256.48,98.08,32.14,32.14
672.19,513.79,355.39,196.99,44.87,29.96
711.17,552.77,394.37,235.97,77.57,27.27
718.17,559.77,401.37,242.97,84.57,26.61
719.18,557.38,395.58,233.78,71.98,11.21
725.44,563.64,401.84,240.04,78.24,11.22
730.43,568.63,406.83,245.03,83.23,11.23
730.71,568.91,407.11,245.31,83.51,11.23
723.93,562.13,400.33,238.53,76.73,11.25
715.56,553.76,391.96,230.16,68.36,11.26
715.3,553.5,391.7,229.9,68.1,11.26
724.6,562.8,401.0,239.2,77.4,11.27
719.43,561.03,402.63,244.23,85.83,27.29
614.19,455.79,297.39,138.99,30.39,30.39
498.87,340.47,182.07,33.51,33.51,33.51
419.12,260.72,102.32,35.12,35.12,35.12
371.77,213.37,54.97,36.2,36.2,36.2
357.36,198.96,43.34,36.96,36.96,36.96
359.72,201.32,44.6,37.06,37.06,37.06
362.85,204.45,46.39,37.09,37.09,37.09
382.79,224.39,65.99,36.68,36.68,36.68
418.18,259.78,101.38,35.19,35.19,35.19
435.86,277.46,119.06,34.56,34.56,34.56
472.39,313.99,155.59,33.1,33.1,33.1
511.53,353.13,194.73,42.95,31.0,31.0
564.16,405.76,247.36,88.96,28.22,28.22
613.95,455.55,297.15,138.75,26.5,26.5
640.57,482.17,323.77,165.37,26.44,26.44
639.11,477.31,315.51,153.71,12.54,12.54
623.36,461.56,299.76,137.96,12.29,12.29
620.06,458.26,296.46,134.66,12.25,12.25
634.76,472.96,311.16,149.36,12.16,12.16
657.87,496.07,334.27,172.47,20.08,11.74
669.69,507.89,346.09,184.29,24.75,11.59
664.49,502.69,340.89,179.09,23.21,11.68
668.58,506.78,344.98,183.18,27.22,11.71
676.27,517.87,359.47,201.07,43.93,26.6
565.5,407.1,248.7,90.3,30.03,30.03
450.06,291.66,133.26,33.46,33.46,33.46
397.56,239.16,80.76,35.2,35.2,35.2
376.5,218.1,59.7,36.17,36.17,36.17
362.95,204.55,46.15,36.54,36.54,36.54
356.49,198.09,39.69,36.63,36.63,36.63
355.98,197.58,39.18,36.68,36.68,36.68
369.72,211.32,52.92,35.93,35.93,35.93
378.18,219.78,61.38,34.89,34.89,34.89
422.16,263.76,105.36,33.6,33.6,33.6
466.74,308.34,149.94,31.96,31.96,31.96
498.37,339.97,181.57,33.36,30.14,30.14
552.82,394.42,236.02,77.62,27.62,27.62
611.79,453.39,294.99,136.59,25.83,25.83
644.21,485.81,327.41,169.01,26.56,25.77
635.64,473.84,312.04,150.24,12.1,12.1
629.52,467.72,305.92,144.12,11.87,11.87
652.0,490.2,328.4,166.6,18.71,11.45
672.55,514.15,355.75,197.35,45.1,25.54
661.28,502.88,344.48,186.08,39.47,25.34
653.28,491.48,329.68,167.88,17.33,11.23
651.02,489.22,327.42,165.62,11.79,11.23
650.26,488.46,326.66,164.86,11.23,11.23
650.26,491.86,333.46,175.06,25.24,25.24
545.56,387.16,228.76,70.36,28.66,28.66
454.17,295.77,137.37,31.22,31.22,31.22
424.69,266.29,107.89,32.47,32.47,32.47
403.63,245.23,86.83,33.5,33.5,33.5
398.01,239.61,81.21,34.08,34.08,34.08
405.72,247.32,88.92,34.65,34.65,34.65
