0,20,40,60,80,100
144.65,52.25,33.52,33.52,33.52,33.52
132.76,40.36,32.73,32.73,32.73,32.73
146.2,53.8,30.81,30.81,30.81,30.81
178.1,85.7,32.88,32.88,32.88,32.88
208.39,115.99,33.66,33.66,33.66,33.66
262.1,168.86,76.46,33.02,33.02,33.02
274.85,181.45,89.05,30.43,30.43,30.43
330.76,237.76,145.36,52.96,29.94,29.94
315.33,222.64,130.24,37.84,26.52,26.52
301.7,209.3,116.9,24.5,23.5,23.5
332.93,240.53,148.13,55.73,22.62,22.62
350.39,254.59,158.79,62.99,11.0,11.0
321.82,226.02,130.22,34.42,11.0,11.0
272.12,176.32,80.52,11.0,11.0,11.0
281.23,185.43,89.63,11.0,11.0,11.0
318.13,222.33,126.53,30.73,11.0,11.0
329.98,234.18,138.38,42.58,11.0,11.0
328.86,233.06,137.26,41.46,11.0,11.0
311.94,216.14,120.34,24.54,11.0,11.0
305.39,212.99,120.59,28.19,21.45,21.45
276.05,183.65,91.25,23.32,23.32,23.32
187.35,94.95,32.18,32.18,32.18,32.18
100.43,37.85,37.85,37.85,37.85,37.85
70.41,39.73,39.73,39.73,39.73,39.73
64.47,39.72,39.72,39.72,39.72,39.72
61.49,39.77,39.77,39.77,39.77,39.77
58.99,39.25,39.25,39.25,39.25,39.25
55.15,36.69,36.69,36.69,36.69,36.69
53.68,35.73,35.73,35.73,35.73,35.73
64.59,33.86,33.86,33.86,33.86,33.86
75.05,30.24,30.24,30.24,30.24,30.24
103.5,26.67,26.67,26.67,26.67,26.67
124.92,32.52,24.72,24.72,24.72,24.72
146.48,54.08,19.02,19.02,19.02,19.02
159.63,67.23,16.45,16.45,16.45,16.45
177.29,81.49,11.0,11.0,11.0,11.0
191.04,95.24,11.0,11.0,11.0,11.0
219.76,123.96,28.16,11.0,11.0,11.0
230.2,134.4,38.6,11.0,11.0,11.0
178.55,82.75,11.0,11.0,11.0,11.0
152.43,56.63,11.0,11.0,11.0,11.0
163.93,68.13,11.0,11.0,11.0,11.0
201.46,105.66,11.0,11.0,11.0,11.0
211.88,119.48,27.08,18.13,18.13,18.13
191.08,98.68,20.34,20.34,20.34,20.34
99.64,28.68,28.68,28.68,28.68,28.68
67.26,34.95,34.95,34.95,34.95,34.95
62.55,37.5,37.5,37.5,37.5,37.5
61.16,38.3,38.3,38.3,38.3,38.3
57.85,37.55,37.55,37.55,37.55,37.55
56.7,37.43,37.43,37.43,37.43,37.43
54.97,36.48,36.48,36.48,36.48,36.48
53.09,35.33,35.33,35.33,35.33,35.33
51.75,33.78,33.78,33.78,33.78,33.78
49.41,31.83,31.83,31.83,31.83,31.83
45.68,27.89,27.89,27.89,27.89,27.89
43.72,22.69,22.69,22.69,22.69,22.69
43.01,15.8,15.8,15.8,15.8,15.8
44.95,12.42,12.42,12.42,12.42,12.42
51.16,11.0,11.0,11.0,11.0,11.0
53.06,11.0,11.0,11.0,11.0,11.0
49.83,11.0,11.0,11.0,11.0,11.0
82.74,11.0,11.0,11.0,11.0,11.0
104.06,11.0,11.0,11.0,11.0,11.0
102.11,11.0,11.0,11.0,11.0,11.0
97.44,11.0,11.0,11.0,11.0,11.0
90.18,11.0,11.0,11.0,11.0,11.0
88.5,13.75,13.75,13.75,13.75,13.75
93.35,15.48,15.48,15.48,15.48,15.48
88.22,22.27,22.27,22.27,22.27,22.27
51.5,28.16,28.16,28.16,28.16,28.16
54.82,33.38,33.38,33.38,33.38,33.38
56.75,36.66,36.66,36.66,36.66,36.66
56.6,37.69,37.69,37.69,37.69,37.69
56.23,37.92,37.92,37.92,37.92,37.92
55.66,37.49,37.49,37.49,37.49,37.49
53.91,36.15,36.15,36.15,36.15,36.15
52.21,34.27,34.27,34.27,34.27,34.27
48.43,31.18,31.18,31.18,31.18,31.18
43.79,26.81,26.81,26.81,26.81,26.81
40.23,21.34,21.34,21.34,21.34,21.34
41.37,15.56,15.56,15.56,15.56,15.56
43.05,12.31,12.31,12.31,12.31,12.31
45.21,11.0,11.0,11.0,11.0,11.0
50.67,11.0,11.0,11.0,11.0,11.0
50.92,11.0,11.0,11.0,11.0,11.0
50.33,11.0,11.0,11.0,11.0,11.0
48.51,11.0,11.0,11.0,11.0,11.0
49.31,11.0,11.0,11.0,11.0,11.0
52.31,11.0,11.0,11.0,11.0,11.0
53.0,11.0,11.0,11.0,11.0,11.0
53.99,12.53,12.53,12.53,12.53,12.53
55.45,14.31,14.31,14.31,14.31,14.31
51.87,20.22,20.22,20.22,20.22,20.22
46.72,23.32,23.32,23.32,23.32,23.32
49.31,26.96,26.96,26.96,26.96,26.96
49.39,28.45,28.45,28.45,28.45,28.45
49.44,28.83,28.83,28.83,28.83,28.83
50.28,29.53,29.53,29.53,29.53,29.53
50.31,30.46,30.46,30.46,30.46,30.46
48.6,28.95,28.95,28.95,28.95,28.95
45.94,25.78,25.78,25.78,25.78,25.78
45.19,24.24,24.24,24.24,24.24,24.24
41.97,21.28,21.28,21.28,21.28,21.28
36.98,17.53,17.53,17.53,17.53,17.53
35.36,13.36,13.36,13.36,13.36,13.36
40.39,12.09,12.09,12.09,12.09,12.09
48.83,11.0,11.0,11.0,11.0,11.0
51.23,11.0,11.0,11.0,11.0,11.0
77.01,11.0,11.0,11.0,11.0,11.0
89.24,11.0,11.0,11.0,11.0,11.0
74.58,11.0,11.0,11.0,11.0,11.0
56.58,11.0,11.0,11.0,11.0,11.0
55.5,11.0,11.0,11.0,11.0,11.0
55.61,11.0,11.0,11.0,11.0,11.0
52.59,12.48,12.48,12.48,12.48,12.48
54.04,14.28,14.28,14.28,14.28,14.28
56.16,18.43,18.43,18.43,18.43,18.43
56.95,21.67,21.67,21.67,21.67,21.67
57.06,26.43,26.43,26.43,26.43,26.43
53.36,27.94,27.94,27.94,27.94,27.94
50.6,29.39,29.39,29.39,29.39,29.39
52.01,31.14,31.14,31.14,31.14,31.14
50.45,30.62,30.62,30.62,30.62,30.62
48.12,28.88,28.88,28.88,28.88,28.88
47.38,27.08,27.08,27.08,27.08,27.08
56.11,24.34,24.34,24.34,24.34,24.34
88.86,22.3,22.3,22.3,22.3,22.3
112.69,20.29,19.66,19.66,19.66,19.66
116.44,24.04,16.02,16.02,16.02,16.02
115.97,23.57,14.75,14.75,14.75,14.75
122.15,26.35,11.0,11.0,11.0,11.0
129.18,33.38,11.0,11.0,11.0,11.0
141.1,45.3,11.0,11.0,11.0,11.0
155.95,60.15,11.0,11.0,11.0,11.0
120.87,25.07,11.0,11.0,11.0,11.0
108.29,12.49,11.0,11.0,11.0,11.0
113.16,17.36,11.0,11.0,11.0,11.0
118.77,22.97,11.0,11.0,11.0,11.0
114.29,21.89,14.67,14.67,14.67,14.67
115.88,23.48,15.25,15.25,15.25,15.25
113.01,20.61,18.2,18.2,18.2,18.2
107.09,21.39,21.39,21.39,21.39,21.39
93.81,23.29,23.29,23.29,23.29,23.29
94.01,24.37,24.37,24.37,24.37,24.37
84.69,26.25,26.25,26.25,26.25,26.25
69.57,25.68,25.68,25.68,25.68,25.68
66.43,27.47,27.47,27.47,27.47,27.47
69.11,28.91,28.91,28.91,28.91,28.91
70.12,28.37,28.37,28.37,28.37,28.37
81.79,28.08,28.08,28.08,28.08,28.08
79.39,25.4,25.4,25.4,25.4,25.4
82.5,21.15,21.15,21.15,21.15,21.15
86.36,16.07,16.07,16.07,16.07,16.07
94.25,14.03,14.03,14.03,14.03,14.03
110.58,14.78,11.0,11.0,11.0,11.0
124.27,28.47,11.0,11.0,11.0,11.0
139.91,44.11,11.0,11.0,11.0,11.0
150.29,54.49,11.0,11.0,11.0,11.0
180.88,85.08,11.0,11.0,11.0,11.0
189.61,93.81,11.0,11.0,11.0,11.0
201.74,105.94,11.0,11.0,11.0,11.0
210.26,114.46,18.66,11.0,11.0,11.0
237.74,141.94,46.14,11.0,11.0,11.0
222.6,130.2,37.8,21.04,21.04,21.04
154.28,61.88,27.97,27.97,27.97,27.97
