0,20,40,60,80,100
24.51,24.51,24.51,24.51,24.51,24.51
24.1,24.1,24.1,24.1,24.1,24.1
24.56,24.56,24.56,24.56,24.56,24.56
24.03,24.03,24.03,24.03,24.03,24.03
23.57,23.57,23.57,23.57,23.57,23.57
23.32,23.32,23.32,23.32,23.32,23.32
23.05,23.05,23.05,23.05,23.05,23.05
22.98,22.98,22.98,22.98,22.98,22.98
22.99,22.99,22.99,22.99,22.99,22.99
22.89,22.89,22.89,22.89,22.89,22.89
22.77,22.77,22.77,22.77,22.77,22.77
23.28,23.28,23.28,23.28,23.28,23.28
23.07,23.07,23.07,23.07,23.07,23.07
23.02,23.02,23.02,23.02,23.02,23.02
23.27,23.27,23.27,23.27,23.27,23.27
23.44,23.44,23.44,23.44,23.44,23.44
22.93,22.93,22.93,22.93,22.93,22.93
23.34,23.34,23.34,23.34,23.34,23.34
23.4,23.4,23.4,23.4,23.4,23.4
23.41,23.41,23.41,23.41,23.41,23.41
23.25,23.25,23.25,23.25,23.25,23.25
22.91,22.91,22.91,22.91,22.91,22.91
22.95,22.95,22.95,22.95,22.95,22.95
23.34,23.34,23.34,23.34,23.34,23.34
23.85,23.85,23.85,23.85,23.85,23.85
24.25,24.25,24.25,24.25,24.25,24.25
25.58,25.58,25.58,25.58,25.58,25.58
25.27,25.27,25.27,25.27,25.27,25.27
24.21,24.21,24.21,24.21,24.21,24.21
24.03,24.03,24.03,24.03,24.03,24.03
23.09,23.09,23.09,23.09,23.09,23.09
22.86,22.86,22.86,22.86,22.86,22.86
22.54,22.54,22.54,22.54,22.54,22.54
22.56,22.56,22.56,22.56,22.56,22.56
22.55,22.55,22.55,22.55,22.55,22.55
22.42,22.42,22.42,22.42,22.42,22.42
22.04,22.04,22.04,22.04,22.04,22.04
21.86,21.86,21.86,21.86,21.86,21.86
21.92,21.92,21.92,21.92,21.92,21.92
22.16,22.16,22.16,22.16,22.16,22.16
22.09,22.09,22.09,22.09,22.09,22.09
22.42,22.42,22.42,22.42,22.42,22.42
21.82,21.82,21.82,21.82,21.82,21.82
22.06,22.06,22.06,22.06,22.06,22.06
22.06,22.06,22.06,22.06,22.06,22.06
22.38,22.38,22.38,22.38,22.38,22.38
23.28,23.28,23.28,23.28,23.28,23.28
23.46,23.46,23.46,23.46,23.46,23.46
23.4,23.4,23.4,23.4,23.4,23.4
23.36,23.36,23.36,23.36,23.36,23.36
23.56,23.56,23.56,23.56,23.56,23.56
23.72,23.72,23.72,23.72,23.72,23.72
23.39,23.39,23.39,23.39,23.39,23.39
23.22,23.22,23.22,23.22,23.22,23.22
22.27,22.27,22.27,22.27,22.27,22.27
21.18,21.18,21.18,21.18,21.18,21.18
20.8,20.8,20.8,20.8,20.8,20.8
20.69,20.69,20.69,20.69,20.69,20.69
20.4,20.4,20.4,20.4,20.4,20.4
21.04,21.04,21.04,21.04,21.04,21.04
21.81,21.81,21.81,21.81,21.81,21.81
22.4,22.4,22.4,22.4,22.4,22.4
22.47,22.47,22.47,22.47,22.47,22.47
22.03,22.03,22.03,22.03,22.03,22.03
21.98,21.98,21.98,21.98,21.98,21.98
21.95,21.95,21.95,21.95,21.95,21.95
22.47,22.47,22.47,22.47,22.47,22.47
22.59,22.59,22.59,22.59,22.59,22.59
22.67,22.67,22.67,22.67,22.67,22.67
22.76,22.76,22.76,22.76,22.76,22.76
23.05,23.05,23.05,23.05,23.05,23.05
23.51,23.51,23.51,23.51,23.51,23.51
23.16,23.16,23.16,23.16,23.16,23.16
23.59,23.59,23.59,23.59,23.59,23.59
23.94,23.94,23.94,23.94,23.94,23.94
23.71,23.71,23.71,23.71,23.71,23.71
23.16,23.16,23.16,23.16,23.16,23.16
22.67,22.67,22.67,22.67,22.67,22.67
21.78,21.78,21.78,21.78,21.78,21.78
20.89,20.89,20.89,20.89,20.89,20.89
20.62,20.62,20.62,20.62,20.62,20.62
21.1,21.1,21.1,21.1,21.1,21.1
21.56,21.56,21.56,21.56,21.56,21.56
21.8,21.8,21.8,21.8,21.8,21.8
21.59,21.59,21.59,21.59,21.59,21.59
21.58,21.58,21.58,21.58,21.58,21.58
21.68,21.68,21.68,21.68,21.68,21.68
21.44,21.44,21.44,21.44,21.44,21.44
21.23,21.23,21.23,21.23,21.23,21.23
21.33,21.33,21.33,21.33,21.33,21.33
21.27,21.27,21.27,21.27,21.27,21.27
21.12,21.12,21.12,21.12,21.12,21.12
21.22,21.22,21.22,21.22,21.22,21.22
20.99,20.99,20.99,20.99,20.99,20.99
21.41,21.41,21.41,21.41,21.41,21.41
21.37,21.37,21.37,21.37,21.37,21.37
21.43,21.43,21.43,21.43,21.43,21.43
21.34,21.34,21.34,21.34,21.34,21.34
21.42,21.42,21.42,21.42,21.42,21.42
21.8,21.8,21.8,21.8,21.8,21.8
22.22,22.22,22.22,22.22,22.22,22.22
22.22,22.22,22.22,22.22,22.22,22.22
21.74,21.74,21.74,21.74,21.74,21.74
21.47,21.47,21.47,21.47,21.47,21.47
20.77,20.77,20.77,20.77,20.77,20.77
20.68,20.68,20.68,20.68,20.68,20.68
20.41,20.41,20.41,20.41,20.41,20.41
20.41,20.41,20.41,20.41,20.41,20.41
19.52,19.52,19.52,19.52,19.52,19.52
20.35,20.35,20.35,20.35,20.35,20.35
20.65,20.65,20.65,20.65,20.65,20.65
19.74,19.74,19.74,19.74,19.74,19.74
18.82,18.82,18.82,18.82,18.82,18.82
18.44,18.44,18.44,18.44,18.44,18.44
18.98,18.98,18.98,18.98,18.98,18.98
20.17,20.17,20.17,20.17,20.17,20.17
20.63,20.63,20.63,20.63,20.63,20.63
21.1,21.1,21.1,21.1,21.1,21.1
21.1,21.1,21.1,21.1,21.1,21.1
21.29,21.29,21.29,21.29,21.29,21.29
