0,20,40,60,80,100
306.57,148.17,44.41,34.04,34.04,34.04
259.4,101.0,36.05,36.05,36.05,36.05
248.2,94.82,37.35,37.35,37.35,37.35
244.44,93.4,37.62,37.62,37.62,37.62
228.12,79.05,36.82,36.82,36.82,36.82
225.33,77.45,36.18,36.18,36.18,36.18
235.57,89.75,35.07,35.07,35.07,35.07
235.48,89.67,32.89,32.89,32.89,32.89
287.27,128.87,30.56,30.56,30.56,30.56
359.81,201.41,81.66,28.03,28.03,28.03
424.3,265.9,135.89,43.49,25.2,25.2
456.79,298.39,160.99,68.59,23.36,23.36
460.28,298.48,152.59,56.79,11.0,11.0
456.53,294.73,143.51,47.71,11.0,11.0
434.22,272.42,116.63,20.83,11.0,11.0
434.87,273.07,118.02,22.22,11.0,11.0
435.05,273.25,116.38,20.58,11.0,11.0
435.27,273.47,116.87,21.07,11.0,11.0
425.36,263.56,105.55,11.06,11.0,11.0
416.21,254.41,98.15,11.0,11.0,11.0
417.6,255.8,99.45,11.0,11.0,11.0
416.13,257.73,104.13,21.62,21.62,21.62
355.78,197.38,67.96,24.39,24.39,24.39
322.62,164.22,49.75,29.2,29.2,29.2
287.19,128.79,33.18,33.18,33.18,33.18
262.42,104.02,35.7,35.7,35.7,35.7
271.16,112.76,37.01,37.01,37.01,37.01
288.8,130.4,37.38,37.38,37.38,37.38
296.88,138.48,37.4,37.2,37.2,37.2
312.43,154.03,47.17,36.58,36.58,36.58
308.77,150.37,43.22,35.05,35.05,35.05
306.31,147.91,42.77,32.77,32.77,32.77
343.63,185.23,65.8,30.42,30.42,30.42
410.45,252.05,118.33,28.42,28.42,28.42
485.03,326.63,185.76,93.36,26.55,26.55
513.52,355.12,204.0,111.6,24.84,24.84
510.98,349.18,189.27,93.47,11.0,11.0
496.5,334.7,172.9,69.87,11.0,11.0
487.47,325.67,163.87,55.24,11.0,11.0
466.86,305.06,143.26,42.59,11.0,11.0
450.87,289.07,129.21,33.41,11.0,11.0
457.27,295.47,133.67,34.59,11.0,11.0
469.72,307.92,146.12,44.48,11.0,11.0
480.38,318.58,156.78,54.07,11.0,11.0
502.85,341.05,179.25,74.54,11.0,11.0
531.78,373.38,214.98,98.96,24.59,24.59
465.85,307.45,149.05,53.82,26.77,26.77
412.66,254.26,113.67,30.51,30.51,30.51
374.24,215.84,91.8,34.08,34.08,34.08
336.66,178.26,64.01,35.88,35.88,35.88
311.29,152.89,44.13,36.38,36.38,36.38
309.98,151.58,36.31,35.98,35.98,35.98
298.31,139.91,35.19,35.19,35.19,35.19
285.77,127.37,34.0,34.0,34.0,34.0
283.76,125.36,32.55,32.55,32.55,32.55
322.71,164.31,45.58,31.25,31.25,31.25
372.79,214.39,78.65,29.65,29.65,29.65
430.52,272.12,119.3,27.75,27.73,27.73
494.7,336.3,177.9,78.85,25.88,25.88
520.2,361.8,203.4,94.42,24.17,24.17
520.56,358.76,196.96,81.22,11.0,11.0
519.54,357.74,195.94,72.0,11.0,11.0
537.89,376.09,214.29,77.02,11.0,11.0
524.71,362.91,201.11,67.6,11.0,11.0
496.86,335.06,173.26,49.48,11.0,11.0
486.96,325.16,163.36,37.11,11.0,11.0
453.2,291.4,129.6,12.51,11.0,11.0
448.63,286.83,125.03,11.02,11.0,11.0
469.91,311.51,153.11,32.79,21.67,21.67
464.0,305.6,147.2,33.41,22.29,22.29
420.61,262.21,103.81,24.82,24.82,24.82
389.46,231.06,88.82,28.33,28.33,28.33
356.02,197.62,70.65,31.47,31.47,31.47
337.58,179.18,56.51,33.91,33.91,33.91
326.69,168.29,47.93,34.89,34.89,34.89
324.06,165.66,50.23,34.99,34.99,34.99
339.91,181.51,57.41,34.52,34.52,34.52
364.91,206.51,78.56,34.06,34.06,34.06
382.67,224.27,92.8,33.32,33.32,33.32
408.59,250.19,114.37,32.12,32.12,32.12
441.44,283.04,149.46,57.06,30.8,30.8
480.25,321.85,185.3,92.9,29.11,29.11
521.3,362.9,219.27,126.87,34.47,27.13
539.13,380.73,226.33,133.93,41.53,25.55
539.28,377.48,215.68,113.05,17.25,11.0
536.75,374.95,213.15,95.87,11.0,11.0
518.12,356.32,194.52,70.54,11.0,11.0
