0,20,40,60,80,100
146.77,50.97,19.91,19.91,19.91,19.91
144.71,48.91,20.02,20.02,20.02,20.02
146.59,50.79,19.96,19.96,19.96,19.96
148.41,52.61,19.96,19.96,19.96,19.96
151.46,55.66,20.06,20.06,20.06,20.06
156.81,61.01,19.95,19.95,19.95,19.95
158.18,62.38,19.84,19.84,19.84,19.84
163.0,67.2,19.76,19.76,19.76,19.76
167.77,71.97,19.65,19.65,19.65,19.65
169.6,73.8,19.61,19.61,19.61,19.61
173.62,81.22,25.09,25.09,25.09,25.09
182.27,89.87,25.64,25.64,25.64,25.64
188.09,95.69,26.15,26.15,26.15,26.15
184.85,92.45,26.24,26.24,26.24,26.24
179.85,87.45,26.25,26.25,26.25,26.25
173.2,80.8,26.17,26.17,26.17,26.17
168.91,76.51,26.07,26.07,26.07,26.07
167.61,75.21,25.92,25.92,25.92,25.92
165.59,73.19,25.76,25.76,25.76,25.76
163.67,71.27,25.61,25.61,25.61,25.61
163.7,71.3,25.5,25.5,25.5,25.5
163.59,71.19,25.35,25.35,25.35,25.35
145.36,52.96,24.74,24.74,24.74,24.74
151.53,59.13,24.47,24.47,24.47,24.47
151.14,55.34,19.89,19.89,19.89,19.89
151.5,55.7,19.94,19.94,19.94,19.94
149.44,53.64,20.07,20.07,20.07,20.07
152.08,56.28,20.12,20.12,20.12,20.12
150.24,54.44,20.19,20.19,20.19,20.19
148.74,52.94,20.29,20.29,20.29,20.29
152.7,56.9,20.17,20.17,20.17,20.17
156.08,60.28,20.12,20.12,20.12,20.12
157.68,61.88,20.04,20.04,20.04,20.04
155.48,59.68,19.99,19.99,19.99,19.99
156.35,63.95,24.99,24.99,24.99,24.99
159.57,67.17,25.22,25.22,25.22,25.22
158.11,65.71,25.74,25.74,25.74,25.74
150.99,58.59,25.84,25.84,25.84,25.84
147.2,54.8,25.84,25.84,25.84,25.84
140.52,48.12,25.73,25.73,25.73,25.73
141.93,49.53,25.68,25.68,25.68,25.68
142.64,50.24,25.56,25.56,25.56,25.56
144.16,51.76,25.48,25.48,25.48,25.48
146.48,54.08,25.39,25.39,25.39,25.39
146.75,54.35,25.21,25.21,25.21,25.21
150.7,58.3,25.02,25.02,25.02,25.02
150.79,58.39,24.6,24.6,24.6,24.6
145.25,52.85,24.31,24.31,24.31,24.31
135.0,39.2,20.24,20.24,20.24,20.24
130.12,34.32,20.43,20.43,20.43,20.43
135.17,39.37,20.45,20.45,20.45,20.45
137.14,41.34,20.47,20.47,20.47,20.47
144.12,48.32,20.38,20.38,20.38,20.38
156.48,60.68,20.03,20.03,20.03,20.03
168.86,73.06,19.66,19.66,19.66,19.66
170.74,74.94,19.52,19.52,19.52,19.52
183.71,87.91,19.18,19.18,19.18,19.18
216.65,120.85,25.05,18.23,18.23,18.23
230.86,138.46,46.06,25.6,25.6,25.6
234.34,141.94,49.54,25.86,25.86,25.86
229.52,137.12,44.72,26.13,26.13,26.13
213.32,120.92,28.52,26.13,26.13,26.13
201.69,109.29,26.02,26.02,26.02,26.02
195.09,102.69,25.97,25.97,25.97,25.97
191.75,99.35,25.96,25.96,25.96,25.96
188.72,96.32,25.85,25.85,25.85,25.85
190.22,97.82,25.79,25.79,25.79,25.79
189.99,97.59,25.72,25.72,25.72,25.72
199.59,107.19,25.73,25.73,25.73,25.73
202.5,110.1,25.5,25.5,25.5,25.5
205.42,113.02,25.2,25.2,25.2,25.2
210.43,118.03,25.85,24.98,24.98,24.98
201.7,105.9,18.4,18.4,18.4,18.4
201.28,105.48,18.45,18.45,18.45,18.45
204.79,108.99,18.42,18.42,18.42,18.42
207.83,112.03,18.42,18.42,18.42,18.42
212.6,116.8,21.0,18.22,18.22,18.22
214.05,118.25,22.45,18.19,18.19,18.19
232.99,137.19,41.39,17.8,17.8,17.8
252.55,156.75,60.95,17.37,17.37,17.37
262.88,167.08,71.28,17.01,17.01,17.01
273.17,177.37,81.57,16.68,16.68,16.68
