0,20,40,60,80,100
69.05,12.33,12.33,12.33,12.33,12.33
73.93,13.7,13.7,13.7,13.7,13.7
76.27,13.13,12.45,12.45,12.45,12.45
75.35,12.48,12.48,12.48,12.48,12.48
72.09,12.49,12.49,12.49,12.49,12.49
69.49,13.65,13.65,13.65,13.65,13.65
67.3,13.54,13.54,13.54,13.54,13.54
66.7,13.57,13.57,13.57,13.57,13.57
63.4,14.09,14.09,14.09,14.09,14.09
61.39,14.94,14.94,14.94,14.94,14.94
61.87,15.62,15.62,15.62,15.62,15.62
62.48,15.99,15.99,15.99,15.99,15.99
63.01,16.02,16.02,16.02,16.02,16.02
64.66,15.95,15.95,15.95,15.95,15.95
67.21,15.8,15.8,15.8,15.8,15.8
69.61,15.3,15.3,15.3,15.3,15.3
68.0,14.19,14.19,14.19,14.19,14.19
62.23,13.36,13.36,13.36,13.36,13.36
57.8,12.31,12.31,12.31,12.31,12.31
53.38,12.19,12.19,12.19,12.19,12.19
53.18,12.2,12.2,12.2,12.2,12.2
55.25,12.17,12.17,12.17,12.17,12.17
62.16,12.3,12.3,12.3,12.3,12.3
64.29,12.23,12.23,12.23,12.23,12.23
71.98,12.24,12.24,12.24,12.24,12.24
82.88,21.6,12.32,12.32,12.32,12.32
82.88,21.6,12.32,12.32,12.32,12.32
82.88,21.6,12.32,12.32,12.32,12.32
82.88,21.6,12.32,12.32,12.32,12.32
82.88,21.6,12.32,12.32,12.32,12.32
82.88,21.6,12.32,12.32,12.32,12.32
203.38,108.78,48.9,15.53,15.53,15.53
237.41,142.81,65.44,16.68,16.68,16.68
231.66,137.06,57.24,18.07,18.07,18.07
242.61,148.01,56.77,18.74,18.74,18.74
255.75,161.15,66.55,19.38,19.38,19.38
246.93,152.33,58.73,19.57,19.57,19.57
249.44,154.84,60.8,19.96,19.96,19.96
267.21,172.61,78.01,25.68,19.85,19.85
287.72,193.12,98.52,38.13,19.18,19.18
261.39,166.79,72.19,16.68,16.68,16.68
227.6,133.0,43.11,15.11,15.11,15.11
194.48,98.58,22.48,11.59,11.59,11.59
189.95,94.06,19.34,11.56,11.56,11.56
196.28,100.38,21.26,11.56,11.56,11.56
241.5,145.6,49.7,11.77,11.77,11.77
285.87,189.97,94.07,25.13,12.03,12.03
296.01,200.11,104.22,30.7,12.12,12.12
294.15,198.26,102.36,28.49,12.15,12.15
327.77,231.87,135.98,46.31,12.39,12.39
331.44,236.84,142.24,54.12,17.38,17.38
305.69,209.79,113.89,36.97,12.5,12.5
281.27,186.67,92.07,28.21,16.63,16.63
321.02,225.12,129.22,42.97,12.45,12.45
277.17,181.28,85.38,17.71,12.36,12.36
226.65,132.05,37.45,15.24,15.24,15.24
218.84,124.24,32.6,15.4,15.4,15.4
241.35,146.75,52.15,16.64,16.64,16.64
247.55,152.95,58.35,17.53,17.53,17.53
247.05,152.45,57.85,17.82,17.82,17.82
241.59,146.99,52.39,17.82,17.82,17.82
224.53,129.93,36.93,17.66,17.66,17.66
230.08,135.48,40.88,17.41,17.41,17.41
240.12,145.52,50.92,16.97,16.97,16.97
213.7,119.1,28.94,15.58,15.58,15.58
174.03,79.43,14.49,14.49,14.49,14.49
169.7,73.8,12.1,12.1,12.1,12.1
184.74,88.84,12.31,12.31,12.31,12.31
195.61,99.71,17.37,12.41,12.41,12.41
193.86,97.96,16.17,12.39,12.39,12.39
182.69,86.79,12.57,12.57,12.57,12.57
126.09,32.35,12.54,12.54,12.54,12.54
86.39,13.27,12.51,12.51,12.51,12.51
83.11,12.54,12.54,12.54,12.54,12.54
76.98,12.56,12.56,12.56,12.56,12.56
74.71,13.68,13.68,13.68,13.68,13.68
73.23,12.52,12.52,12.52,12.52,12.52
91.89,17.23,12.49,12.49,12.49,12.49
101.08,17.55,12.35,12.35,12.35,12.35
114.49,22.34,12.29,12.29,12.29,12.29
122.48,27.88,14.04,14.04,14.04,14.04
132.34,37.74,14.21,14.21,14.21,14.21
136.17,41.57,14.2,14.2,14.2,14.2
138.06,43.46,14.52,14.52,14.52,14.52
135.57,40.97,14.74,14.74,14.74,14.74
134.91,40.31,14.95,14.95,14.95,14.95
128.0,33.4,14.93,14.93,14.93,14.93
134.02,39.42,14.81,14.81,14.81,14.81
134.66,40.06,14.36,14.36,14.36,14.36
117.12,24.28,13.71,13.71,13.71,13.71
120.11,24.82,12.12,12.12,12.12,12.12
149.0,53.1,12.31,12.31,12.31,12.31
158.05,62.15,12.37,12.37,12.37,12.37
154.81,58.91,12.48,12.48,12.48,12.48
118.68,28.22,12.5,12.5,12.5,12.5
94.09,19.65,12.46,12.46,12.46,12.46
95.43,22.55,13.98,13.98,13.98,13.98
96.61,22.12,12.51,12.51,12.51,12.51
103.26,26.27,12.51,12.51,12.51,12.51
102.49,25.98,12.51,12.51,12.51,12.51
100.33,24.64,12.45,12.45,12.45,12.45
119.76,31.48,12.43,12.43,12.43,12.43
175.9,80.0,12.23,12.23,12.23,12.23
184.74,88.84,12.16,12.16,12.16,12.16
186.07,91.47,14.91,14.91,14.91,14.91
173.07,78.47,15.29,15.29,15.29,15.29
176.08,81.48,15.71,15.71,15.71,15.71
169.57,74.97,15.6,15.6,15.6,15.6
167.31,72.71,15.57,15.57,15.57,15.57
167.53,72.93,15.48,15.48,15.48,15.48
160.16,65.56,15.21,15.21,15.21,15.21
161.43,66.83,14.91,14.91,14.91,14.91
159.22,64.62,14.5,14.5,14.5,14.5
150.93,56.33,14.17,14.17,14.17,14.17
153.79,57.89,12.12,12.12,12.12,12.12
160.46,64.56,12.09,12.09,12.09,12.09
178.21,82.31,12.19,12.19,12.19,12.19
195.52,99.62,16.84,12.27,12.27,12.27
193.22,97.32,18.59,12.46,12.46,12.46
171.78,75.88,12.47,12.47,12.47,12.47
179.11,83.21,12.49,12.49,12.49,12.49
179.79,83.89,14.65,12.5,12.5,12.5
202.98,107.09,27.17,12.46,12.46,12.46
211.46,116.86,34.77,15.57,15.57,15.57
211.51,116.91,34.56,15.46,15.46,15.46
182.5,86.6,13.59,12.33,12.33,12.33
227.43,131.53,36.84,12.13,12.13,12.13
222.41,127.81,35.94,15.29,15.29,15.29
218.51,123.91,32.8,15.48,15.48,15.48
209.3,114.7,28.4,16.11,16.11,16.11
211.95,117.35,30.9,16.97,16.97,16.97
220.96,126.36,35.15,17.4,17.4,17.4
222.17,127.57,35.59,17.46,17.46,17.46
225.73,131.13,38.22,17.66,17.66,17.66
230.51,135.91,41.31,17.41,17.41,17.41
244.42,149.82,55.22,17.33,17.33,17.33
219.42,124.82,32.05,15.56,15.56,15.56
207.39,112.79,25.1,14.85,14.85,14.85
193.32,97.42,16.27,12.01,12.01,12.01
179.5,83.6,11.97,11.97,11.97,11.97
186.5,90.6,12.06,12.06,12.06,12.06
200.98,105.08,20.72,12.18,12.18,12.18
176.03,80.13,12.17,12.17,12.17,12.17
171.36,75.46,12.49,12.49,12.49,12.49
147.06,51.16,12.51,12.51,12.51,12.51
144.97,50.37,14.62,14.62,14.62,14.62
141.37,45.47,12.5,12.5,12.5,12.5
140.63,46.03,14.56,14.56,14.56,14.56
143.13,47.23,12.52,12.52,12.52,12.52
143.7,47.81,12.51,12.51,12.51,12.51
150.28,54.38,12.52,12.52,12.52,12.52
149.12,53.23,12.51,12.51,12.51,12.51
157.06,61.16,12.53,12.53,12.53,12.53
157.2,61.3,12.52,12.52,12.52,12.52
162.49,67.89,16.22,16.22,16.22,16.22
184.79,90.19,17.0,17.0,17.0,17.0
191.53,96.93,21.66,17.5,17.5,17.5
215.34,120.74,33.36,17.92,17.92,17.92
231.36,136.76,42.16,18.11,18.11,18.11
235.03,140.43,45.83,17.68,17.68,17.68
229.05,134.46,39.86,15.9,15.9,15.9
190.5,95.9,16.69,14.53,14.53,14.53
189.99,94.09,12.26,11.88,11.88,11.88
197.89,102.0,18.08,11.92,11.92,11.92
209.62,113.72,24.01,11.94,11.94,11.94
216.71,120.81,27.72,11.92,11.92,11.92
267.18,171.28,75.39,12.18,12.18,12.18
227.29,131.39,36.25,11.96,11.96,11.96
244.01,148.12,52.22,12.02,12.02,12.02
281.92,186.02,90.13,31.67,12.28,12.28
284.06,189.46,94.86,40.43,16.7,16.7
288.88,194.28,99.68,47.76,16.99,16.99
277.82,183.22,88.62,41.48,16.82,16.82
279.7,183.81,87.91,39.34,12.32,12.32
240.88,144.98,54.01,12.32,12.32,12.32
165.09,70.49,14.33,14.33,14.33,14.33
146.06,51.46,14.4,14.4,14.4,14.4
123.64,33.65,15.17,15.17,15.17,15.17
142.65,48.05,16.94,16.94,16.94,16.94
138.13,47.2,18.07,18.07,18.07,18.07
121.07,40.23,17.86,17.86,17.86,17.86
126.32,41.72,17.63,17.63,17.63,17.63
102.44,28.46,16.59,16.59,16.59,16.59
95.9,24.08,15.57,15.57,15.57,15.57
102.16,25.37,14.57,14.57,14.57,14.57
90.69,18.92,13.76,13.76,13.76,13.76
70.65,12.1,12.1,12.1,12.1,12.1
74.18,12.03,12.03,12.03,12.03,12.03
76.93,11.98,11.98,11.98,11.98,11.98
79.2,12.16,12.16,12.16,12.16,12.16
82.99,12.34,12.34,12.34,12.34,12.34
79.23,12.43,12.43,12.43,12.43,12.43
65.33,12.49,12.49,12.49,12.49,12.49
63.72,12.49,12.49,12.49,12.49,12.49
63.62,12.51,12.51,12.51,12.51,12.51
62.08,12.5,12.5,12.5,12.5,12.5
62.55,12.52,12.52,12.52,12.52,12.52
52.56,12.51,12.51,12.51,12.51,12.51
64.72,12.51,12.51,12.51,12.51,12.51
65.44,13.57,13.57,13.57,13.57,13.57
62.63,13.71,13.71,13.71,13.71,13.71
60.75,14.2,14.2,14.2,14.2,14.2
62.23,14.89,14.89,14.89,14.89,14.89
61.78,14.88,14.88,14.88,14.88,14.88
60.69,14.93,14.93,14.93,14.93,14.93
59.54,14.71,14.71,14.71,14.71,14.71
60.72,14.51,14.51,14.51,14.51,14.51
61.69,14.13,14.13,14.13,14.13,14.13
66.97,13.61,13.61,13.61,13.61,13.61
86.83,17.93,13.73,13.73,13.73,13.73
89.84,14.94,12.09,12.09,12.09,12.09
88.42,12.1,12.04,12.04,12.04,12.04
91.21,16.67,12.08,12.08,12.08,12.08
99.54,21.8,12.22,12.22,12.22,12.22
97.08,23.95,12.49,12.49,12.49,12.49
95.23,23.48,12.49,12.49,12.49,12.49
114.04,33.97,14.32,14.32,14.32,14.32
119.72,37.17,14.41,14.41,14.41,14.41
124.85,40.63,14.5,14.5,14.5,14.5
