0,20,40,60,80,100
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
462.91,373.91,284.08,191.68,99.28,11.0
