0,20,40,60,80,100
345.11,345.11,345.11,345.11,345.11,345.11
357.2,357.2,357.2,357.2,357.2,357.2
366.9,366.9,366.9,366.9,366.9,366.9
358.91,358.91,358.91,358.91,358.91,358.91
352.44,352.44,352.44,352.44,352.44,352.44
333.3,333.3,333.3,333.3,333.3,333.3
329.68,329.68,329.68,329.68,329.68,329.68
332.83,332.83,332.83,332.83,332.83,332.83
327.0,327.0,327.0,327.0,327.0,327.0
323.62,323.62,323.62,323.62,323.62,323.62
325.82,325.82,325.82,325.82,325.82,325.82
328.14,328.14,328.14,328.14,328.14,328.14
328.82,228.46,128.1,27.73,23.17,25.57
319.7,219.33,118.97,20.91,23.63,25.57
309.33,208.96,108.6,21.57,24.29,25.57
285.76,185.4,85.03,22.42,25.14,25.57
278.5,178.14,77.77,22.83,25.55,25.57
290.78,190.41,90.05,22.63,25.35,25.57
281.91,181.54,81.18,22.8,25.52,25.57
294.8,194.43,94.07,22.46,25.18,25.57
295.0,194.63,94.27,22.46,25.18,25.57
332.81,232.44,132.08,31.72,24.09,25.56
345.64,245.28,144.91,44.55,23.73,25.49
347.32,347.32,347.32,347.32,347.32,347.32
346.37,346.37,346.37,346.37,346.37,346.37
350.32,350.32,350.32,350.32,350.32,350.32
360.72,360.72,360.72,360.72,360.72,360.72
354.99,354.99,354.99,354.99,354.99,354.99
344.4,344.4,344.4,344.4,344.4,344.4
335.99,335.99,335.99,335.99,335.99,335.99
341.38,341.38,341.38,341.38,341.38,341.38
336.27,336.27,336.27,336.27,336.27,336.27
333.67,333.67,333.67,333.67,333.67,333.67
332.24,332.24,332.24,332.24,332.24,332.24
324.25,324.25,324.25,324.25,324.25,324.25
331.1,331.1,331.1,331.1,331.1,331.1
333.89,233.53,133.16,32.8,23.17,25.57
310.44,210.08,109.71,21.37,24.09,25.57
292.68,192.31,91.95,22.08,24.8,25.57
313.87,213.5,113.14,21.64,24.36,25.57
325.57,225.21,124.84,24.48,24.23,25.57
306.86,206.5,106.14,21.98,24.7,25.57
309.19,208.83,108.46,21.85,24.57,25.57
341.37,241.0,140.64,40.28,23.7,25.57
354.19,253.82,153.46,53.1,23.35,25.57
362.91,262.54,162.18,61.82,23.16,25.57
371.28,371.28,371.28,371.28,371.28,371.28
376.78,376.78,376.78,376.78,376.78,376.78
374.3,374.3,374.3,374.3,374.3,374.3
367.79,367.79,367.79,367.79,367.79,367.79
360.86,360.86,360.86,360.86,360.86,360.86
353.78,353.78,353.78,353.78,353.78,353.78
350.1,350.1,350.1,350.1,350.1,350.1
345.8,345.8,345.8,345.8,345.8,345.8
343.24,343.24,343.24,343.24,343.24,343.24
340.11,340.11,340.11,340.11,340.11,340.11
334.32,334.32,334.32,334.32,334.32,334.32
330.99,330.99,330.99,330.99,330.99,330.99
336.8,336.8,336.8,336.8,336.8,336.8
339.74,339.74,339.74,339.74,339.74,339.74
359.26,258.89,158.53,58.16,23.1,25.57
362.56,262.2,161.83,61.47,23.2,25.57
353.31,252.21,151.85,51.48,23.44,25.57
343.24,239.37,139.01,38.64,23.92,25.56
330.62,225.75,125.39,25.02,24.33,25.54
314.17,213.81,113.45,21.98,24.7,25.54
315.56,215.2,114.84,22.12,24.84,25.54
302.84,202.48,102.11,22.44,25.16,25.54
291.14,190.78,90.41,22.68,25.4,25.54
322.69,219.91,119.55,21.75,24.47,25.53
360.05,256.21,155.85,55.48,23.65,25.5
363.3,363.3,363.3,363.3,363.3,363.3
355.51,355.51,355.51,355.51,355.51,355.51
357.54,357.54,357.54,357.54,357.54,357.54
348.95,348.95,348.95,348.95,348.95,348.95
346.44,346.44,346.44,346.44,346.44,346.44
379.42,379.42,379.42,379.42,379.42,379.42
398.33,398.33,398.33,398.33,398.33,398.33
398.16,398.16,398.16,398.16,398.16,398.16
392.02,392.02,392.02,392.02,392.02,392.02
396.05,396.05,396.05,396.05,396.05,396.05
396.02,396.02,396.02,396.02,396.02,396.02
392.59,392.59,392.59,392.59,392.59,392.59
402.31,402.31,402.31,402.31,402.31,402.31
407.58,284.25,183.89,83.53,23.5,25.52
375.94,252.19,151.83,51.47,24.35,25.54
330.5,206.9,106.54,22.89,25.56,25.56
320.09,196.53,96.16,23.17,25.57,25.57
318.42,194.3,93.94,23.14,25.57,25.57
315.82,191.12,90.76,23.19,25.57,25.57
309.13,184.51,84.14,23.32,25.57,25.57
303.87,178.86,78.5,23.47,25.56,25.56
313.96,187.99,87.62,23.11,25.59,25.59
365.29,237.24,136.88,36.52,24.21,25.59
401.28,274.39,174.03,73.67,23.28,25.55
399.37,399.37,399.37,399.37,399.37,399.37
388.89,388.89,388.89,388.89,388.89,388.89
375.15,375.15,375.15,375.15,375.15,375.15
375.06,375.06,375.06,375.06,375.06,375.06
374.28,374.28,374.28,374.28,374.28,374.28
379.1,379.1,379.1,379.1,379.1,379.1
396.15,396.15,396.15,396.15,396.15,396.15
400.32,400.32,400.32,400.32,400.32,400.32
398.68,398.68,398.68,398.68,398.68,398.68
398.15,398.15,398.15,398.15,398.15,398.15
401.07,401.07,401.07,401.07,401.07,401.07
397.81,397.81,397.81,397.81,397.81,397.81
389.35,389.35,389.35,389.35,389.35,389.35
383.76,383.76,383.76,383.76,383.76,383.76
377.07,247.82,147.45,47.09,24.16,25.45
363.08,234.45,134.08,33.72,24.53,25.43
379.56,250.58,150.22,49.85,24.18,25.55
359.58,229.05,128.69,28.33,24.64,25.57
326.95,196.33,95.97,22.74,25.46,25.56
301.83,171.01,70.64,23.41,25.56,25.56
297.7,167.08,66.72,23.55,25.56,25.56
302.98,172.32,71.96,23.41,25.56,25.56
348.3,214.58,114.21,21.9,24.62,25.56
398.28,264.69,164.32,63.96,23.26,25.56
409.78,409.78,409.78,409.78,409.78,409.78
411.29,411.29,411.29,411.29,411.29,411.29
409.24,409.24,409.24,409.24,409.24,409.24
407.52,407.52,407.52,407.52,407.52,407.52
401.81,401.81,401.81,401.81,401.81,401.81
398.25,398.25,398.25,398.25,398.25,398.25
397.03,397.03,397.03,397.03,397.03,397.03
399.03,399.03,399.03,399.03,399.03,399.03
400.23,400.23,400.23,400.23,400.23,400.23
399.87,399.87,399.87,399.87,399.87,399.87
402.83,402.83,402.83,402.83,402.83,402.83
406.69,406.69,406.69,406.69,406.69,406.69
392.66,392.66,392.66,392.66,392.66,392.66
401.68,267.79,167.43,67.07,24.04,25.45
379.95,248.56,148.2,47.83,24.6,25.5
322.42,194.92,94.55,23.14,25.54,25.54
303.21,173.69,73.32,23.54,25.57,25.57
296.48,165.75,65.39,23.59,25.58,25.58
300.22,169.25,68.89,23.5,25.58,25.58
297.73,167.22,66.85,23.56,25.58,25.58
295.19,164.26,63.89,23.64,25.58,25.58
304.41,173.88,73.52,23.39,25.58,25.58
363.83,232.14,131.77,31.41,24.37,25.57
