0,20,40,60,80,100
356.11,269.23,182.35,95.47,13.98,13.98
363.64,276.76,189.88,103.0,13.69,13.69
360.28,273.4,186.52,99.65,13.75,13.75
365.85,278.97,192.09,105.21,13.62,13.62
362.61,275.73,188.86,101.98,13.77,13.77
362.52,275.64,188.77,101.89,13.76,13.76
360.3,273.43,186.55,99.67,13.81,13.81
359.99,273.11,186.24,99.36,13.77,13.77
402.98,316.1,229.22,142.35,55.47,12.5
402.05,315.17,228.29,141.41,54.54,12.52
407.86,320.99,234.11,147.23,60.35,12.4
403.28,316.4,229.52,142.64,55.77,12.48
398.11,311.23,224.35,137.47,50.6,12.35
403.95,317.07,230.19,143.32,56.44,12.19
390.24,303.37,216.49,129.61,42.73,12.15
384.11,297.24,210.36,123.48,36.6,12.13
382.71,295.83,208.95,122.08,35.03,12.25
374.8,287.92,201.05,114.17,21.4,12.29
381.7,294.83,207.95,121.07,33.28,12.19
376.14,289.27,202.39,115.51,22.68,12.34
390.24,303.36,216.48,129.61,42.73,12.35
382.91,296.03,209.16,122.28,32.33,12.49
376.76,289.88,203.0,116.12,22.48,12.41
371.17,284.3,197.42,110.54,15.49,12.36
331.97,245.09,158.21,71.34,13.59,13.59
326.29,239.41,152.53,65.65,13.65,13.65
327.68,240.8,153.92,67.04,13.6,13.6
337.96,251.08,164.21,77.33,13.36,13.36
378.01,291.13,204.25,117.38,28.94,12.05
374.77,287.9,201.02,114.14,23.88,12.04
375.93,289.05,202.17,115.3,25.64,11.98
375.34,288.46,201.58,114.7,24.99,12.02
378.32,291.45,204.57,117.69,26.93,11.75
363.16,276.29,189.41,102.53,11.97,11.97
356.33,269.46,182.58,95.7,12.16,12.16
348.89,262.01,175.13,88.26,12.43,12.43
345.31,258.43,171.55,84.67,12.44,12.44
349.5,262.62,175.74,88.87,12.35,12.35
344.84,257.96,171.08,84.2,12.44,12.44
350.02,263.14,176.26,89.39,12.35,12.35
349.19,262.31,175.43,88.55,12.44,12.44
355.46,268.58,181.7,94.83,12.38,12.38
359.71,272.83,185.96,99.08,12.48,12.48
359.5,272.63,185.75,98.87,12.45,12.45
357.79,270.91,184.04,97.16,12.59,12.59
335.58,248.7,161.82,74.94,13.12,13.12
311.87,224.99,138.11,50.02,13.2,13.2
312.67,225.79,138.92,52.04,13.06,13.06
310.74,223.86,136.99,50.11,13.49,13.49
329.67,242.8,155.92,69.04,13.54,13.54
348.92,262.04,175.16,88.29,12.95,12.95
351.14,264.26,177.38,90.51,12.53,12.53
324.74,237.86,150.98,64.11,13.0,13.0
322.98,236.1,149.22,62.34,12.85,12.85
313.53,226.66,139.78,51.92,12.93,12.93
308.39,221.52,134.64,42.28,13.04,13.04
312.4,225.52,138.65,46.87,13.06,13.06
313.95,227.07,140.2,49.35,13.11,13.11
300.14,213.27,126.39,27.76,12.92,12.92
303.77,216.89,130.01,33.64,12.99,12.99
316.63,229.75,142.87,55.37,12.94,12.94
322.22,234.75,147.88,61.0,13.09,13.09
316.64,229.2,142.33,54.9,13.33,13.33
349.28,261.52,174.64,87.76,12.79,12.79
343.14,255.41,168.54,81.66,12.7,12.7
337.74,249.95,163.08,76.2,12.9,12.9
328.43,240.67,153.79,66.91,12.8,12.8
296.61,208.93,122.05,29.26,12.71,12.71
284.77,197.22,110.35,14.83,12.36,12.36
307.77,220.15,133.27,46.39,12.29,12.29
309.18,221.51,134.63,47.75,12.19,12.19
310.61,222.97,136.09,49.21,12.3,12.3
300.65,213.06,126.19,39.31,14.13,14.13
280.72,193.19,106.31,13.99,13.99,13.99
256.26,169.38,82.5,13.78,13.78,13.78
260.73,173.85,86.97,13.59,13.59,13.59
311.7,224.82,137.95,51.07,12.07,12.07
321.54,234.27,147.39,60.51,12.15,12.15
315.68,228.01,141.14,54.26,12.16,12.16
268.08,180.79,93.91,12.24,12.24,12.24
255.16,168.28,81.41,12.29,12.29,12.29
255.84,168.96,82.08,12.26,12.26,12.26
258.26,171.38,84.51,12.3,12.3,12.3
253.44,166.57,79.69,12.04,12.04,12.04
270.2,183.32,96.44,12.02,12.02,12.02
305.2,218.33,131.45,44.57,11.93,11.93
290.68,203.5,116.62,26.66,13.63,13.63
311.22,223.77,136.9,50.02,13.66,13.66
266.84,179.4,92.52,13.7,13.7,13.7
282.36,194.94,108.07,14.49,13.58,13.58
286.37,198.92,112.05,19.61,13.7,13.7
279.82,192.38,105.51,13.52,13.52,13.52
327.56,240.1,153.22,66.35,12.0,12.0
365.38,277.9,191.02,104.14,11.99,11.99
381.35,294.15,207.27,120.39,31.24,12.12
357.74,270.86,183.98,97.11,12.92,12.92
363.01,276.13,189.25,102.37,12.67,12.67
356.56,269.68,182.8,95.92,13.04,13.04
379.91,293.03,206.15,119.27,32.4,12.64
378.34,291.47,204.59,117.71,30.83,12.75
383.95,297.08,210.2,123.32,36.44,12.66
412.88,325.44,238.56,151.68,64.81,11.99
418.95,331.78,244.9,158.03,71.15,11.96
416.8,329.6,242.72,155.84,68.96,12.07
402.35,315.07,228.19,141.31,54.43,12.35
321.92,234.71,147.83,60.95,12.13,12.13
296.91,209.71,122.83,35.95,12.06,12.06
358.97,271.71,184.83,97.96,12.3,12.3
351.58,264.33,177.45,90.57,12.22,12.22
344.69,257.16,170.28,83.4,12.13,12.13
367.43,279.95,193.08,106.2,11.94,11.94
383.54,296.11,209.23,122.35,35.48,11.89
401.2,313.76,226.88,140.0,53.12,11.95
400.7,313.27,226.4,139.52,52.64,11.89
392.6,305.18,218.3,131.43,44.55,11.91
388.73,301.34,214.46,127.59,40.71,11.82
392.89,305.46,218.58,131.71,44.83,11.92
404.93,317.53,230.65,143.78,56.9,11.84
