0,20,40,60,80,100
259.99,155.61,51.23,14.73,14.63,14.63
256.63,152.25,47.87,14.82,14.73,14.73
253.04,148.66,44.28,14.78,14.68,14.68
240.03,135.65,31.27,14.76,14.67,14.67
238.18,133.8,29.42,14.51,14.41,14.41
240.31,135.93,31.56,13.99,13.88,13.88
228.19,123.81,16.16,13.92,13.82,13.82
229.86,125.48,18.28,14.02,13.9,13.9
221.42,117.04,14.31,14.11,14.01,14.01
228.84,124.47,17.05,14.08,13.97,13.97
231.45,127.07,20.5,14.06,13.95,13.95
224.84,120.46,14.59,14.39,14.31,14.31
224.02,119.64,14.69,14.49,14.42,14.42
219.09,114.71,14.86,14.66,14.6,14.6
227.76,123.38,15.95,14.69,14.62,14.62
248.31,143.93,39.55,14.65,14.55,14.55
255.36,150.98,46.6,14.66,14.55,14.55
259.15,154.78,50.4,14.65,14.54,14.54
259.63,155.25,50.87,14.72,14.6,14.6
256.54,152.16,47.78,14.74,14.63,14.63
255.62,151.25,46.87,14.75,14.64,14.64
264.43,160.06,55.68,14.64,14.52,14.52
267.61,163.24,58.86,14.63,14.5,14.5
266.39,162.01,57.63,14.7,14.58,14.58
267.42,163.04,58.66,14.61,14.48,14.48
262.3,157.92,53.54,14.6,14.48,14.48
250.0,145.62,41.25,14.68,14.57,14.57
244.19,139.81,35.44,14.76,14.65,14.65
239.54,135.16,30.78,14.53,14.41,14.41
229.8,125.43,17.86,14.44,14.31,14.31
217.45,113.08,14.75,14.55,14.43,14.43
218.32,113.94,14.78,14.58,14.46,14.46
217.83,113.45,14.77,14.57,14.44,14.44
217.93,113.55,14.83,14.63,14.5,14.5
223.3,118.92,14.79,14.59,14.46,14.46
225.06,120.68,15.08,14.88,14.78,14.78
229.67,125.29,17.87,14.88,14.77,14.77
236.75,132.38,27.6,14.92,14.82,14.82
245.8,141.42,37.04,14.86,14.75,14.75
251.53,147.15,42.78,14.9,14.79,14.79
255.91,151.53,47.15,14.88,14.77,14.77
254.33,149.95,45.58,14.88,14.78,14.78
253.04,148.66,44.28,14.85,14.74,14.74
254.74,150.36,45.99,14.84,14.72,14.72
261.34,156.96,52.58,14.75,14.64,14.64
267.0,162.62,58.24,14.7,14.58,14.58
269.97,165.6,61.22,14.7,14.58,14.58
266.72,162.34,57.96,14.78,14.67,14.67
267.48,163.11,58.73,14.71,14.59,14.59
269.71,165.33,60.95,14.63,14.5,14.5
266.61,162.23,57.86,14.67,14.55,14.55
259.4,155.02,50.64,14.72,14.61,14.61
258.81,154.43,50.05,14.49,14.36,14.36
258.22,153.84,49.47,14.3,14.15,14.15
248.85,144.47,40.09,14.36,14.21,14.21
245.1,140.72,36.34,14.41,14.27,14.27
247.17,142.79,38.41,14.39,14.25,14.25
255.41,151.03,46.66,14.29,14.14,14.14
260.77,156.4,52.02,14.29,14.14,14.14
265.09,160.71,56.34,14.61,14.49,14.49
279.9,175.52,71.15,14.56,14.43,14.43
289.53,185.15,80.77,14.5,14.36,14.36
293.0,293.0,293.0,293.0,293.0,293.0
286.02,181.64,77.27,14.65,14.52,14.52
284.52,284.52,284.52,284.52,284.52,284.52
287.75,287.75,287.75,287.75,287.75,287.75
281.65,281.65,281.65,281.65,281.65,281.65
266.82,266.82,266.82,266.82,266.82,266.82
281.06,176.69,72.31,14.84,14.73,14.73
294.91,190.53,86.16,14.57,14.44,14.44
298.64,194.26,89.88,14.58,14.44,14.44
303.97,199.59,95.21,14.42,14.28,14.28
284.89,180.51,76.14,14.76,14.65,14.65
283.74,179.37,74.99,14.71,14.59,14.59
275.39,171.02,66.64,14.64,14.52,14.52
271.06,166.69,62.31,14.55,14.42,14.42
263.57,159.19,54.82,14.57,14.44,14.44
259.77,155.4,51.02,14.4,14.27,14.27
253.33,148.95,44.57,14.42,14.3,14.3
253.41,149.03,44.65,14.35,14.23,14.23
252.53,148.15,43.77,14.43,14.31,14.31
264.1,159.72,55.35,14.28,14.15,14.15
267.89,163.52,59.14,14.24,14.11,14.11
280.43,176.05,71.67,14.2,14.07,14.07
284.64,180.26,75.88,14.31,14.19,14.19
281.87,177.5,73.12,14.35,14.24,14.24
285.14,180.76,76.38,14.12,13.99,13.99
281.67,177.29,72.92,14.23,14.11,14.11
279.49,175.12,70.74,14.32,14.2,14.2
273.5,169.13,64.75,14.43,14.32,14.32
272.86,168.48,64.1,14.48,14.37,14.37
278.93,174.56,70.18,14.4,14.27,14.27
283.9,179.53,75.15,14.31,14.18,14.18
295.48,191.1,86.73,14.17,14.02,14.02
293.82,189.45,85.07,14.33,14.2,14.2
293.4,189.03,84.65,14.16,14.04,14.04
290.89,186.51,82.13,14.06,13.93,13.93
289.67,185.3,80.92,13.86,13.72,13.72
278.54,174.17,69.79,13.96,13.83,13.83
273.37,169.0,64.62,13.98,13.86,13.86
268.09,163.71,59.33,13.73,13.6,13.6
241.05,136.67,32.3,14.04,13.95,13.95
237.03,132.66,28.28,14.02,13.93,13.93
233.29,128.91,23.53,13.93,13.83,13.83
226.09,121.71,14.26,14.06,13.98,13.98
228.98,124.61,17.83,14.09,14.0,14.0
225.09,120.71,14.24,14.04,13.96,13.96
240.12,135.75,31.37,13.81,13.72,13.72
250.57,146.19,41.82,13.97,13.89,13.89
251.32,146.94,42.56,14.03,13.94,13.94
248.0,143.63,39.25,14.22,14.15,14.15
261.86,157.49,53.11,14.12,14.03,14.03
276.77,172.39,68.02,13.78,13.66,13.66
270.44,166.06,61.68,13.74,13.63,13.63
256.41,152.04,47.66,14.0,13.91,13.91
252.83,148.45,44.07,14.15,14.07,14.07
254.74,150.37,45.99,14.29,14.21,14.21
262.33,157.95,53.57,14.24,14.16,14.16
267.47,163.09,58.71,14.18,14.1,14.1
266.61,162.23,57.86,14.14,14.05,14.05
256.63,152.25,47.87,14.31,14.24,14.24
250.4,146.02,41.64,14.39,14.33,14.33
240.99,136.61,32.23,14.44,14.39,14.39
236.22,131.84,27.46,14.25,14.19,14.19
242.22,137.84,33.46,13.67,13.57,13.57
237.64,133.26,28.88,13.62,13.54,13.54
228.32,123.94,17.22,13.74,13.67,13.67
217.42,113.04,14.03,13.83,13.78,13.78
220.55,116.17,13.84,13.64,13.58,13.58
221.09,116.71,14.11,13.91,13.86,13.86
232.84,128.46,23.41,14.03,13.97,13.97
245.4,141.02,36.65,14.11,14.05,14.05
262.02,157.64,53.26,14.06,13.97,13.97
266.93,162.55,58.17,14.11,14.03,14.03
268.81,164.44,60.06,14.07,13.98,13.98
265.23,160.85,56.48,14.07,13.99,13.99
262.11,157.73,53.35,14.02,13.94,13.94
254.68,150.31,45.93,14.16,14.09,14.09
264.59,160.22,55.84,14.22,14.13,14.13
273.33,168.95,64.58,14.26,14.16,14.16
284.21,179.84,75.46,14.27,14.15,14.15
298.76,194.38,90.01,14.1,13.95,13.95
309.83,205.45,101.07,14.08,13.92,13.92
303.3,198.92,94.55,14.22,14.07,14.07
301.44,197.06,92.68,14.23,14.07,14.07
297.11,192.73,88.35,14.29,14.14,14.14
287.77,183.39,79.01,14.39,14.25,14.25
277.69,173.31,68.93,14.44,14.3,14.3
268.73,164.35,59.97,14.51,14.38,14.38
272.73,168.35,63.98,14.48,14.35,14.35
270.49,166.12,61.74,14.46,14.33,14.33
264.12,159.75,55.37,14.59,14.47,14.47
265.96,161.58,57.2,14.57,14.44,14.44
267.01,162.63,58.25,14.59,14.46,14.46
282.45,178.07,73.69,14.23,14.08,14.08
288.95,184.58,80.2,14.2,14.05,14.05
293.28,188.9,84.53,14.19,14.05,14.05
295.26,190.89,86.51,14.21,14.07,14.07
295.54,191.16,86.78,14.2,14.06,14.06
289.7,185.32,80.94,14.37,14.26,14.26
306.62,202.24,97.86,13.88,13.73,13.73
304.41,200.03,95.65,13.79,13.65,13.65
297.49,193.11,88.73,13.78,13.65,13.65
291.98,187.6,83.23,13.8,13.67,13.67
290.35,185.97,81.59,13.76,13.64,13.64
287.87,183.5,79.12,13.93,13.83,13.83
289.39,185.01,80.63,14.07,13.97,13.97
292.96,188.58,84.21,14.07,13.97,13.97
288.19,183.82,79.44,14.09,13.99,13.99
284.42,180.04,75.66,14.07,13.96,13.96
284.41,180.03,75.65,14.02,13.91,13.91
280.66,176.29,71.91,13.93,13.83,13.83
276.45,172.07,67.69,13.9,13.79,13.79
254.68,150.3,45.93,14.22,14.14,14.14
252.71,148.33,43.95,14.33,14.24,14.24
254.04,149.66,45.28,14.36,14.26,14.26
256.28,151.91,47.53,14.4,14.3,14.3
259.12,154.74,50.36,14.39,14.28,14.28
270.34,165.96,61.58,14.08,13.94,13.94
268.8,164.42,60.04,14.29,14.16,14.16
275.89,171.51,67.13,14.36,14.23,14.23
278.08,173.7,69.32,14.42,14.29,14.29
284.44,180.06,75.68,14.4,14.27,14.27
289.3,184.93,80.55,14.42,14.29,14.29
288.46,184.08,79.71,14.4,14.26,14.26
292.09,187.71,83.34,14.28,14.12,14.12
288.92,184.54,80.16,14.29,14.14,14.14
290.58,186.2,81.82,14.14,13.99,13.99
304.83,200.45,96.07,13.78,13.6,13.6
304.4,200.03,95.65,13.82,13.66,13.66
306.23,201.85,97.47,13.76,13.61,13.61
302.23,197.85,93.48,13.74,13.61,13.61
298.69,194.31,89.93,13.64,13.5,13.5
