0,20,40,60,80,100
343.32,280.61,280.61,280.61,280.61,280.61
343.96,280.29,280.29,280.29,280.29,280.29
344.28,280.03,280.03,280.03,280.03,280.03
344.3,279.75,279.75,279.75,279.75,279.75
344.03,279.43,279.43,279.43,279.43,279.43
343.53,279.13,279.13,279.13,279.13,279.13
342.89,278.87,278.87,278.87,278.87,278.87
342.14,278.57,278.57,278.57,278.57,278.57
341.23,278.26,278.26,278.26,278.26,278.26
340.27,278.07,278.07,278.07,278.07,278.07
339.36,278.06,278.06,278.06,278.06,278.06
338.44,278.21,278.21,278.21,278.21,278.21
337.74,278.47,278.47,278.47,278.47,278.47
337.47,278.77,278.77,278.77,278.77,278.77
337.6,279.12,279.12,279.12,279.12,279.12
338.07,279.55,279.55,279.55,279.55,279.55
338.8,280.01,280.01,280.01,280.01,280.01
339.68,280.4,280.4,280.4,280.4,280.4
340.61,280.68,280.68,280.68,280.68,280.68
341.62,280.96,280.96,280.96,280.96,280.96
342.66,281.28,281.28,281.28,281.28,281.28
343.58,281.56,281.56,281.56,281.56,281.56
344.37,281.72,281.72,281.72,281.72,281.72
345.14,281.79,281.79,281.79,281.79,281.79
345.68,281.8,281.8,281.8,281.8,281.8
345.77,281.81,281.81,281.81,281.81,281.81
345.48,281.81,281.81,281.81,281.81,281.81
344.81,281.77,281.77,281.77,281.77,281.77
343.85,281.77,281.77,281.77,281.77,281.77
342.72,281.88,281.88,281.88,281.88,281.88
341.5,282.07,282.07,282.07,282.07,282.07
340.2,282.29,282.29,282.29,282.29,282.29
338.82,282.49,282.49,282.49,282.49,282.49
337.42,282.62,282.62,282.62,282.62,282.62
336.01,282.71,282.71,282.71,282.71,282.71
334.58,282.77,282.77,282.77,282.77,282.77
333.27,282.8,282.8,282.8,282.8,282.8
332.19,282.77,282.77,282.77,282.77,282.77
331.3,282.68,282.68,282.68,282.68,282.68
330.63,282.53,282.53,282.53,282.53,282.53
330.15,282.27,282.27,282.27,282.27,282.27
329.77,281.89,281.89,281.89,281.89,281.89
329.41,281.46,281.46,281.46,281.46,281.46
329.04,281.01,281.01,281.01,281.01,281.01
328.66,280.58,280.58,280.58,280.58,280.58
328.36,280.21,280.21,280.21,280.21,280.21
328.19,279.89,279.89,279.89,279.89,279.89
328.07,279.61,279.61,279.61,279.61,279.61
327.87,279.39,279.39,279.39,279.39,279.39
327.55,279.24,279.24,279.24,279.24,279.24
327.21,279.18,279.18,279.18,279.18,279.18
326.96,279.22,279.22,279.22,279.22,279.22
326.83,279.39,279.39,279.39,279.39,279.39
326.78000000000003,279.67,279.67,279.67,279.67,279.67
326.77,280.28,280.28,280.28,280.28,280.28
326.83,280.94,280.94,280.94,280.94,280.94
326.97,281.61,281.61,281.61,281.61,281.61
327.05,281.95,281.95,281.95,281.95,281.95
327.07,282.26,282.26,282.26,282.26,282.26
327.09,282.52,282.52,282.52,282.52,282.52
327.17,282.73,282.73,282.73,282.73,282.73
327.37,282.87,282.87,282.87,282.87,282.87
327.62,282.96999999999997,282.96999999999997,282.96999999999997,282.96999999999997,282.96999999999997
327.8,283.08,283.08,283.08,283.08,283.08
327.93,283.21,283.21,283.21,283.21,283.21
328.03,283.33,283.33,283.33,283.33,283.33
328.15,283.18,283.18,283.18,283.18,283.18
328.28,282.99,282.99,282.99,282.99,282.99
328.35,282.69,282.69,282.69,282.69,282.69
328.43,282.63,282.63,282.63,282.63,282.63
328.69,282.57,282.57,282.57,282.57,282.57
329.06,282.48,282.48,282.48,282.48,282.48
329.39,282.37,282.37,282.37,282.37,282.37
329.58,282.3,282.3,282.3,282.3,282.3
329.54,282.21,282.21,282.21,282.21,282.21
329.38,282.06,282.06,282.06,282.06,282.06
329.14,281.86,281.86,281.86,281.86,281.86
328.88,281.63,281.63,281.63,281.63,281.63
328.61,281.38,281.38,281.38,281.38,281.38
328.3,281.15999999999997,281.15999999999997,281.15999999999997,281.15999999999997,281.15999999999997
328.0,281.03,281.03,281.03,281.03,281.03
327.71,280.93,280.93,280.93,280.93,280.93
327.25,280.79,280.79,280.79,280.79,280.79
326.72,280.69,280.69,280.69,280.69,280.69
326.3,280.63,280.63,280.63,280.63,280.63
326.09000000000003,280.55,280.55,280.55,280.55,280.55
326.17,280.47,280.47,280.47,280.47,280.47
326.38,280.42,280.42,280.42,280.42,280.42
326.72,280.36,280.36,280.36,280.36,280.36
327.24,280.28,280.28,280.28,280.28,280.28
327.88,280.21,280.21,280.21,280.21,280.21
328.55,280.14,280.14,280.14,280.14,280.14
329.27,280.11,280.11,280.11,280.11,280.11
330.02,280.14,280.14,280.14,280.14,280.14
330.84000000000003,280.25,280.25,280.25,280.25,280.25
331.68,280.43,280.43,280.43,280.43,280.43
332.33,280.64,280.64,280.64,280.64,280.64
332.73,280.9,280.9,280.9,280.9,280.9
332.95,281.17,281.17,281.17,281.17,281.17
333.15000000000003,281.42,281.42,281.42,281.42,281.42
333.28000000000003,281.65,281.65,281.65,281.65,281.65
333.22,282.17,282.17,282.17,282.17,282.17
333.05,282.67,282.67,282.67,282.67,282.67
332.89,283.18,283.18,283.18,283.18,283.18
332.68,283.68,283.68,283.68,283.68,283.68
332.41,283.84,283.84,283.84,283.84,283.84
332.05,283.96,283.96,283.96,283.96,283.96
331.62,284.02,284.02,284.02,284.02,284.02
331.38,284.06,284.06,284.06,284.06,284.06
331.43,284.08,284.08,284.08,284.08,284.08
331.69,284.1,284.1,284.1,284.1,284.1
332.1,284.13,284.13,284.13,284.13,284.13
332.64,284.2,284.2,284.2,284.2,284.2
333.28,284.0,284.0,284.0,284.0,284.0
333.93,283.78,283.78,283.78,283.78,283.78
334.5,283.46,283.46,283.46,283.46,283.46
335.05,282.99,282.99,282.99,282.99,282.99
335.57,282.71,282.71,282.71,282.71,282.71
336.06,282.37,282.37,282.37,282.37,282.37
336.56,282.05,282.05,282.05,282.05,282.05
336.85,281.76,281.76,281.76,281.76,281.76
336.78,281.5,281.5,281.5,281.5,281.5
336.51,281.27,281.27,281.27,281.27,281.27
336.13,281.05,281.05,281.05,281.05,281.05
335.62,281.12,281.12,281.12,281.12,281.12
334.99,281.23,281.23,281.23,281.23,281.23
334.32,281.4,281.4,281.4,281.4,281.4
333.53,281.65999999999997,281.65999999999997,281.65999999999997,281.65999999999997,281.65999999999997
332.63,282.05,282.05,282.05,282.05,282.05
331.79,282.57,282.57,282.57,282.57,282.57
331.0,283.17,283.17,283.17,283.17,283.17
330.25,283.53,283.53,283.53,283.53,283.53
329.72,283.87,283.87,283.87,283.87,283.87
329.49,284.17,284.17,284.17,284.17,284.17
329.4,284.46,284.46,284.46,284.46,284.46
329.34,284.79,284.79,284.79,284.79,284.79
329.32,284.83,284.83,284.83,284.83,284.83
329.38,284.8,284.8,284.8,284.8,284.8
329.51,284.73,284.73,284.73,284.73,284.73
329.85,284.67,284.67,284.67,284.67,284.67
330.33,284.61,284.61,284.61,284.61,284.61
330.82,284.53,284.53,284.53,284.53,284.53
331.32,284.43,284.43,284.43,284.43,284.43
331.75,284.53,284.53,284.53,284.53,284.53
332.02,284.59,284.59,284.59,284.59,284.59
332.06,284.65,284.65,284.65,284.65,284.65
331.90999999999997,284.68,284.68,284.68,284.68,284.68
331.69,284.67,284.67,284.67,284.67,284.67
331.47,284.91,284.91,284.91,284.91,284.91
331.2,285.19,285.19,285.19,285.19,285.19
330.88,285.48,285.48,285.48,285.48,285.48
330.54,285.76,285.76,285.76,285.76,285.76
330.17,285.72,285.72,285.72,285.72,285.72
329.76,285.62,285.62,285.62,285.62,285.62
329.27,285.45,285.45,285.45,285.45,285.45
328.73,285.2,285.2,285.2,285.2,285.2
328.26,284.90999999999997,284.90999999999997,284.90999999999997,284.90999999999997,284.90999999999997
327.96,284.57,284.57,284.57,284.57,284.57
327.76,284.19,284.19,284.19,284.19,284.19
327.56,283.75,283.75,283.75,283.75,283.75
327.3,283.0,283.0,283.0,283.0,283.0
327.09999999999997,282.3,282.3,282.3,282.3,282.3
326.87,281.57,281.57,281.57,281.57,281.57
326.44,280.7,280.7,280.7,280.7,280.7
325.92,280.06,280.06,280.06,280.06,280.06
325.42,279.48,279.48,279.48,279.48,279.48
325.07,279.04,279.04,279.04,279.04,279.04
324.78,278.67,278.67,278.67,278.67,278.67
324.51,278.4,278.4,278.4,278.4,278.4
324.17,278.23,278.23,278.23,278.23,278.23
323.73,278.09,278.09,278.09,278.09,278.09
323.37,278.32,278.32,278.32,278.32,278.32
323.15,278.69,278.69,278.69,278.69,278.69
322.92,279.04,279.04,279.04,279.04,279.04
322.68,279.38,279.38,279.38,279.38,279.38
322.55,279.81,279.81,279.81,279.81,279.81
322.53,280.33,280.33,280.33,280.33,280.33
322.48,280.85,280.85,280.85,280.85,280.85
322.21,280.98,280.98,280.98,280.98,280.98
321.88,281.07,281.07,281.07,281.07,281.07
321.55,281.09,281.09,281.09,281.09,281.09
321.37,281.07,281.07,281.07,281.07,281.07
321.42,281.1,281.1,281.1,281.1,281.1
321.46,280.82,280.82,280.82,280.82,280.82
321.43,280.43,280.43,280.43,280.43,280.43
321.39,279.95,279.95,279.95,279.95,279.95
321.34,279.44,279.44,279.44,279.44,279.44
321.29,278.91,278.91,278.91,278.91,278.91
321.2,278.25,278.25,278.25,278.25,278.25
321.08,277.48,277.48,277.48,277.48,277.48
321.15999999999997,277.01,277.01,277.01,277.01,277.01
321.45,276.64,276.64,276.64,276.64,276.64
321.77,276.33,276.33,276.33,276.33,276.33
321.96999999999997,276.02,276.02,276.02,276.02,276.02
322.0,275.67,275.67,275.67,275.67,275.67
321.89,275.33,275.33,275.33,275.33,275.33
321.64,275.02,275.02,275.02,275.02,275.02
321.27,274.76,274.76,274.76,274.76,274.76
320.82,274.51,274.51,274.51,274.51,274.51
320.45,274.25,274.25,274.25,274.25,274.25
320.24,274.11,274.11,274.11,274.11,274.11
320.12,274.06,274.06,274.06,274.06,274.06
320.05,274.08,274.08,274.08,274.08,274.08
319.96,274.15,274.15,274.15,274.15,274.15
319.93,274.21,274.21,274.21,274.21,274.21
320.03999999999996,274.25,274.25,274.25,274.25,274.25
320.27,274.3,274.3,274.3,274.3,274.3
320.65,274.31,274.31,274.31,274.31,274.31
321.23,274.29,274.29,274.29,274.29,274.29
321.90999999999997,274.22,274.22,274.22,274.22,274.22
322.61,274.09,274.09,274.09,274.09,274.09
323.31,274.04,274.04,274.04,274.04,274.04
323.9,274.01,274.01,274.01,274.01,274.01
324.38,273.96,273.96,273.96,273.96,273.96
324.79,273.92,273.92,273.92,273.92,273.92
325.07,273.87,273.87,273.87,273.87,273.87
325.08,273.87,273.87,273.87,273.87,273.87
324.8,273.95,273.95,273.95,273.95,273.95
324.34,274.04,274.04,274.04,274.04,274.04
323.78,274.36,274.36,274.36,274.36,274.36
323.13,274.68,274.68,274.68,274.68,274.68
322.47,275.04,275.04,275.04,275.04,275.04
322.02,275.56,275.56,275.56,275.56,275.56
321.57,276.06,276.06,276.06,276.06,276.06
321.14,276.53,276.53,276.53,276.53,276.53
320.87,277.11,277.11,277.11,277.11,277.11
320.48,277.69,277.69,277.69,277.69,277.69
320.12,277.97,277.97,277.97,277.97,277.97
319.99,278.17,278.17,278.17,278.17,278.17
320.05,278.26,278.26,278.26,278.26,278.26
320.24,278.33,278.33,278.33,278.33,278.33
320.39,278.17,278.17,278.17,278.17,278.17
320.48,278.01,278.01,278.01,278.01,278.01
320.59000000000003,277.90999999999997,277.90999999999997,277.90999999999997,277.90999999999997,277.90999999999997
320.56,277.76,277.76,277.76,277.76,277.76
320.4,277.58,277.58,277.58,277.58,277.58
320.15,277.38,277.38,277.38,277.38,277.38
319.86,277.11,277.11,277.11,277.11,277.11
319.82,276.85,276.85,276.85,276.85,276.85
319.96,276.9,276.9,276.9,276.9,276.9
320.05,276.90999999999997,276.90999999999997,276.90999999999997,276.90999999999997,276.90999999999997
320.08,276.97,276.97,276.97,276.97,276.97
319.99,277.3,277.3,277.3,277.3,277.3
319.88,277.61,277.61,277.61,277.61,277.61
319.83,277.95,277.95,277.95,277.95,277.95
319.71,278.25,278.25,278.25,278.25,278.25
319.55,278.56,278.56,278.56,278.56,278.56
319.53,278.97,278.97,278.97,278.97,278.97
319.59,279.41,279.41,279.41,279.41,279.41
319.62,279.79,279.79,279.79,279.79,279.79
319.52,280.08,280.08,280.08,280.08,280.08
319.24,280.0,280.0,280.0,280.0,280.0
319.07,279.98,279.98,279.98,279.98,279.98
319.05,279.96,279.96,279.96,279.96,279.96
319.09,279.61,279.61,279.61,279.61,279.61
319.2,279.28000000000003,279.28000000000003,279.28000000000003,279.28000000000003,279.28000000000003
319.32,278.97,278.97,278.97,278.97,278.97
319.47,278.68,278.68,278.68,278.68,278.68
319.63,278.4,278.4,278.4,278.4,278.4
319.69,278.07,278.07,278.07,278.07,278.07
319.74,277.74,277.74,277.74,277.74,277.74
319.79,277.42,277.42,277.42,277.42,277.42
319.79,277.05,277.05,277.05,277.05,277.05
319.79,276.92,276.92,276.92,276.92,276.92
319.71,276.82,276.82,276.82,276.82,276.82
319.52,276.77,276.77,276.77,276.77,276.77
319.32,276.79,276.79,276.79,276.79,276.79
319.1,277.07,277.07,277.07,277.07,277.07
318.85,277.33,277.33,277.33,277.33,277.33
318.56,277.53,277.53,277.53,277.53,277.53
318.26,277.71,277.71,277.71,277.71,277.71
318.09,277.7,277.7,277.7,277.7,277.7
318.05,277.78,277.78,277.78,277.78,277.78
318.2,278.03,278.03,278.03,278.03,278.03
318.55,278.44,278.44,278.44,278.44,278.44
319.09,278.97,278.97,278.97,278.97,278.97
319.76,279.51,279.51,279.51,279.51,279.51
320.53,280.01,280.01,280.01,280.01,280.01
