0,20,40,60,80,100
2489.78,642.49,143.82,172.62,199.52,208.88
2466.03,629.29,150.38,180.99,209.69,218.34
2459.24,627.97,155.57999999999998,188.01000000000002,218.51,227.4
2461.82,632.52,159.5,193.73000000000002,226.04,236.0
2461.46,630.54,163.13,199.16,233.28,244.41
2457.84,625.86,163.21,199.24,233.35999999999999,244.41
2457.35,624.76,163.16,199.19,233.31,244.41
2464.41,629.29,159.27,193.5,225.81,236.05
2520.63,660.68,154.05,186.48000000000002,216.99,227.15
2574.1,677.64,146.93,177.56,206.27,217.4
2638.44,711.9399999999999,138.39,167.21,194.84,207.17
2686.24,737.24,129.62,156.64000000000001,183.27,196.82
2704.44,741.61,121.66,146.88,172.07,186.85
2679.1,725.47,114.91,138.32,161.7,177.39
2645.52,708.0,109.32000000000001,130.92,152.49,168.32999999999998
2607.8,688.48,104.88,124.68,144.44,159.73
2579.01,677.09,100.84,118.83,136.79,151.32
2563.6,663.03,100.51,118.49,136.45,151.32
2535.69,648.49,100.31,118.29,136.26,151.32
2500.74,640.85,103.92,123.7,143.47,160.03
2451.21,620.02,108.73,130.31,151.89,169.2
2399.35,604.02,115.59,138.97,162.35,179.13
2341.41,573.85,124.1,149.28,174.07,189.65
2300.34,552.0699999999999,132.96,159.94,186.01999999999998,200.38
2277.9700000000003,547.69,141.55,170.32999999999998,197.91,211.04
2273.45,552.41,149.03,179.60999999999999,209.0,221.32999999999998
2271.91,555.53,154.73,187.11,218.31,230.98
2299.7000000000003,578.54,158.96,193.14,226.15,240.07999999999998
2352.88,613.65,162.61,198.6,233.42,248.96
2396.7,652.99,162.55,198.54,233.36,248.96
2457.28,697.2,162.37,198.35999999999999,233.18,248.96
2528.54,740.0600000000001,158.48,192.66,225.68,240.25
2605.63,789.11,153.42,185.8,217.0,231.07999999999998
2689.4500000000003,836.87,146.35,176.93,206.32,221.15
2785.71,889.26,137.7,166.48,194.46,210.63
2860.94,923.92,128.73,155.7,182.39,199.9
2930.5,956.53,120.11,145.28,170.47,189.24
2981.51,975.55,112.8,136.17,159.56,178.95
3030.59,996.56,107.33,128.9,150.48,169.29999999999998
3043.88,990.46,103.35,123.12,142.9,160.2
3030.4900000000002,973.8299999999999,99.87,117.84,135.81,151.32
3014.36,960.91,100.07,118.05,136.01999999999998,151.32
3010.74,963.97,100.28,118.25999999999999,136.22,151.32
3012.52,974.29,104.2,123.99,143.75,159.91
3019.0299999999997,987.17,108.58,130.17,151.74,168.54
3034.04,1010.86,113.22,136.60999999999999,159.99,177.28
3064.84,1053.22,130.78,143.1,168.29,186.22
3078.35,1078.8799999999999,136.15,150.29,177.28,195.2
3089.3,1100.93,141.78,157.72,186.51,204.35999999999999
3099.88,1122.08,147.54,165.28,195.87,213.56
3108.39,1139.27,152.76,172.3,204.7,222.60999999999999
3139.17,1178.4,156.85,178.2,212.4,231.26
3169.91,1216.65,160.56,183.71,219.72,239.86
3202.82,1252.36,166.75,183.69,219.7,239.86
3225.99,1275.46,175.41,183.62,219.64000000000001,239.86
3238.05,1284.22,179.64,178.02,212.24,231.27
3250.0,1292.03,184.2,171.85,204.27,222.64
3256.7400000000002,1293.37,182.14,165.4,196.01,213.9
3235.37,1262.17,164.63,158.96,187.75,204.96
3233.58,1251.56,159.23,151.75,178.74,195.98
3236.73,1245.22,153.52,144.23,169.42000000000002,186.82
3251.41,1250.45,147.52,136.43,159.82,177.62
3262.16,1251.99,142.10999999999999,129.22,150.81,168.57
3257.39,1239.1,137.93,123.23,143.02,159.92
3252.01,1228.81,134.19,117.69,135.66,151.32
3247.09,1218.49,127.89,117.6,135.56,151.32
3268.06,1236.2,140.51,117.56,135.51,151.32
3308.32,1276.34,169.39,122.98,142.73,160.22
3341.08,1309.85,191.6,129.38,150.93,169.49
3360.86,1335.49,215.08,136.85,160.22,179.05
3386.98,1370.81,238.20000000000002,144.72,169.91,188.75
3413.08,1406.49,257.19,152.72,179.71,198.41
3443.7,1447.35,282.17,160.14,188.93,207.78
3468.1,1481.32,300.7,167.05,197.64000000000001,216.81
3487.2,1511.11,315.82,173.43,205.82,225.49
3501.98,1534.29,327.78000000000003,179.35,213.54,233.95
3513.36,1552.1299999999999,340.22,185.12,221.12,242.29
3518.17,1565.3600000000001,349.5,185.5,221.5,242.29
3493.49,1547.18,335.59000000000003,185.89,221.9,242.29
3450.33,1507.54,306.6,180.79,215.0,233.39
3414.12,1474.6200000000001,284.28,174.79,207.2,224.12
3399.49,1459.61,272.59,167.62,198.22,214.57
3387.26,1444.1399999999999,254.54,160.0,188.79,204.88
3365.95,1417.38,235.9,152.35,179.34,195.23
3334.3,1380.18,211.24,145.25,170.44,185.85999999999999
3309.6,1349.22,192.99,138.61,162.0,176.82999999999998
3290.9,1321.82,178.09,132.45,154.04,168.15
3273.17,1298.28,166.28,126.67,146.46,159.69
3259.51,1279.6,153.99,121.05,139.04,151.35
3253.05,1268.3899999999999,144.77,120.73,138.73,151.35
3255.14,1266.31,143.35999999999999,120.37,138.37,151.35999999999999
3262.48,1273.72,154.31,125.53,145.33,160.1
3273.17,1284.82,167.52,130.94,152.54,168.98
3282.39,1293.83,176.34,136.86,160.26,178.14
3296.29,1309.37,194.37,143.15,168.35,187.48
3316.5,1334.5,211.86,149.51,176.52,196.78
3341.11,1362.9,227.45,155.88,184.69,206.1
3366.18,1393.89,246.18,162.04,192.66,215.41
3396.12,1430.31,271.43,167.58,200.0,224.44
3428.86,1469.01,295.87,172.82,207.04000000000002,233.32
3460.25,1503.94,317.39,172.6,206.82,233.33
3483.59,1531.56,338.01,172.61,206.83,233.34
3495.05,1547.68,350.35,172.73,206.95,233.34
3496.74,1550.57,348.38,167.48,199.89000000000001,224.61
3492.1800000000003,1547.22,342.67,162.0,192.6,215.74
3480.63,1536.82,331.77,156.12,184.92000000000002,206.57999999999998
3472.04,1527.01,320.46,149.77,176.76,197.24
3463.27,1514.06,305.48,143.26,168.43,187.94
3446.1400000000003,1493.88,289.79,136.8,160.17000000000002,178.63
3428.62,1470.58,270.93,130.52,152.08,169.32999999999998
3409.61,1445.79,245.52,124.82,144.58,160.31
3385.3,1416.57,220.94,119.45,137.4,151.44
3361.21,1388.0,199.27,119.52,137.46,151.44
3343.75,1367.9,184.92,119.47999999999999,137.41,151.44
3338.64,1363.16,182.82,119.39,137.32,151.44
3336.2,1372.12,189.26999999999998,124.6,144.34,160.22
3330.99,1378.44,195.43,130.23,151.78,169.2
3318.18,1378.57,196.25,136.79,160.14,178.48999999999998
3293.95,1370.3799999999999,190.19,144.13,169.29,187.95
3270.97,1366.27,193.39,151.79,178.77,197.31
3255.72,1370.1399999999999,199.21,159.41,188.19,206.63
3253.58,1382.6399999999999,204.61,166.60999999999999,197.19,215.79999999999998
3265.05,1402.81,223.71,173.19,205.57,224.78
3277.09,1422.82,241.41,179.18,213.38,233.29
3291.68,1445.1399999999999,262.33,184.82,220.84,241.78
3305.75,1461.65,274.5,184.99,221.02,241.78
3311.23,1465.77,275.57,185.13,221.16,241.78
3320.41,1462.18,270.47,179.82,214.04,233.0
3335.66,1464.54,267.06,174.08,206.5,224.01999999999998
3369.42,1483.75,275.22,167.26,197.88,214.73
3407.16,1503.43,287.83,159.75,188.57,205.26999999999998
3433.64,1510.95,288.48,152.06,179.07,195.91
3449.94,1504.91,282.59,144.37,169.58,186.59
3448.99,1486.56,277.12,137.1,160.51,177.42
3436.91,1463.0,257.9,130.39,152.0,168.44
3427.59,1440.66,239.99,124.19,143.99,159.92999999999998
3418.45,1421.75,222.31,118.35,136.34,151.44
3414.68,1412.99,215.59,117.97,135.95,151.44
3426.52,1421.18,215.96,117.60000000000001,135.58,151.44
3442.49,1437.08,228.36,128.22,149.81,169.45999999999998
3438.24,1435.05,231.63,140.55,165.75,187.48999999999998
3396.84,1399.43,218.10999999999999,150.03,177.03,198.01
3330.4,1342.48,209.37,161.41,189.5,209.2
3277.92,1300.7,212.84,173.22,202.06,220.56
3250.68,1288.53,222.46,184.64,214.47,231.76999999999998
3238.35,1291.17,231.15,195.13,226.57,242.62
3238.16,1304.43,237.98,203.76999999999998,237.02,252.76
3265.68,1340.79,260.62,210.14,245.19,262.07
3296.54,1377.69,285.36,215.60999999999999,252.46,271.03
3314.55,1397.11,294.18,215.72,252.57999999999998,271.03
3316.62,1398.73,294.96,215.84,252.7,271.03
3316.07,1394.52,287.14,204.99,238.25,253.01
3331.36,1404.14,285.18,192.45,222.1,234.98
3377.01,1441.67,297.84000000000003,182.91,210.76,224.45999999999998
3448.32,1501.6,304.22,171.47,198.23,213.26999999999998
3517.32,1555.99,307.94,159.51,185.51,201.91
3566.55,1587.65,311.23,147.92,172.92,190.7
3603.18,1607.07,313.69,137.28,160.67000000000002,179.85
3621.18,1610.13,319.11,128.61,150.19,169.70999999999998
3611.93,1592.92,311.72,122.28,142.06,160.39999999999998
3588.05,1561.55,292.08,116.89,134.86,151.44
3562.25,1532.89,276.33,116.87,134.84,151.44
3532.64,1500.56,257.73,116.85,134.81,151.44
3501.41,1469.42,240.97,122.28,142.04,160.35
3477.29,1448.17,234.43,128.24,149.8,169.45999999999998
3451.62,1425.37,225.17,135.11,158.48000000000002,178.95
3424.18,1404.99,215.07,142.83,168.01,188.79999999999998
3406.22,1395.91,210.97,150.58,177.57,198.67
3407.19,1407.24,222.36,157.88,186.69,208.37
3396.1,1405.71,219.46,164.99,195.6,217.98
3385.75,1405.16,217.65,171.59,204.01,227.42
3382.34,1408.18,221.38,177.39000000000001,211.62,236.57999999999998
3396.65,1428.14,237.26999999999998,182.73,218.78,245.59
3418.5,1451.96,253.89000000000001,182.64,218.69,245.59
3438.69,1473.17,271.81,182.57,218.63,245.59
3451.55,1484.05,281.8,177.1,211.36,236.68
3453.44,1480.0,276.09,171.14,203.6,227.57
3454.45,1474.71,270.0,164.28,194.93,218.07999999999998
3465.02,1475.92,270.82,156.54,185.38,208.23
3465.12,1466.93,261.22,148.76,175.8,198.35999999999999
3447.6,1438.99,236.73000000000002,141.44,166.67000000000002,188.66
3438.3,1420.48,228.35,134.35,157.78,179.04999999999998
3425.12,1397.35,217.93,127.81,149.42000000000002,169.60999999999999
3401.31,1367.09,199.07999999999998,122.1,141.9,160.45
3366.8199999999997,1329.53,174.81,116.84,134.82,151.44
3333.5,1293.1299999999999,153.32,116.99,134.97,151.44
3306.3199999999997,1264.3899999999999,135.49,117.15,135.12,151.44
3287.0699999999997,1246.09,123.09,122.75,142.51999999999998,160.26
3267.41,1231.62,119.58,129.16,150.74,169.39
3242.27,1214.42,120.31,136.73,160.12,179.0
3215.17,1196.95,120.05,145.03,170.22,188.89
3194.87,1187.78,126.44,153.43,180.42,198.85999999999999
3186.45,1190.5,132.67000000000002,161.46,190.25,208.71
3186.51,1201.4,138.38,168.98,199.57,218.38
3196.52,1221.8,145.43,175.58,207.98,227.77
3218.2,1250.16,161.98,181.26,215.46,236.88
3245.9,1281.16,183.97,186.56,222.57,245.83
3272.25,1310.85,203.01,186.46,222.46,245.83
3298.02,1339.59,220.75,186.32,222.32999999999998,245.83
3323.33,1366.0,236.0,180.70000000000002,214.9,237.01
3358.8,1399.54,251.6,174.19,206.57,227.88
3408.0699999999997,1444.77,268.18,166.47,197.04,218.27
3460.59,1491.69,285.02,158.04000000000002,186.81,208.38
3511.97,1701.0700000000002,579.6500000000001,449.37,474.84000000000003,495.26
3562.92,1912.0700000000002,882.1200000000001,748.54,770.71,789.72
3611.96,2122.05,1187.13,1050.24,1069.1100000000001,1086.3899999999999
3654.5099999999998,2325.84,1491.32,1353.38,1368.95,1383.8899999999999
3680.27,2515.53,1778.53,1649.96,1662.23,1674.2
3693.9700000000003,2694.63,2056.4,1943.02,1951.99,1960.79
3716.73,2723.54,2075.34,1942.96,1951.94,1960.79
3761.25,2776.71,2118.16,1942.92,1951.9,1960.79
3805.7,2831.03,2166.06,1948.3500000000001,1959.14,1969.78
3847.57,2881.83,2212.59,1954.23,1966.83,1978.92
3882.56,2916.88,2247.42,1961.07,1975.47,1988.38
3888.68,2928.39,2260.55,1969.1200000000001,1985.3200000000002,1998.24
3878.02,2763.47,1987.46,1677.9,1697.4,1711.44
3859.85,2590.45,1706.52,1379.31,1402.1100000000001,1417.21
3843.09,2418.64,1424.27,1078.28,1104.38,1120.76
3839.24,2260.16,1155.0900000000001,775.5,804.9100000000001,823.22
3854.2799999999997,2118.53,902.76,479.11,511.83000000000004,532.73
3870.43,1977.59,651.12,186.27,222.29,245.89
3881.34,1986.09,659.63,186.59,222.61,245.89
3871.18,1970.4,643.9399999999999,186.91,222.92,245.89
3858.14,1950.77,622.5,181.79,215.99,236.9
3844.23,1930.54,600.46,176.21,208.61,227.76
3833.03,1921.43,589.55,169.68,200.28,218.3
3849.33,1933.32,599.65,161.91,190.71,208.44
3875.35,1947.31,609.3,153.64,180.63,198.39
3899.44,1960.78,618.18,145.29,170.48,188.31
3923.54,1973.7,629.03,137.32,160.7,178.42
3929.95,1966.73,620.25,130.58,152.15,169.07
3920.82,1948.04,599.76,124.92,144.68,160.14
3919.13,1935.43,585.34,119.59,137.55,151.44
3913.2400000000002,1927.1100000000001,577.01,119.66,137.62,151.44
3916.4700000000003,1929.08,578.98,119.69,137.66,151.44
3923.59,1938.23,589.94,125.13,144.92000000000002,160.04
3925.62,1943.21,596.72,131.24,152.82999999999998,168.89
3916.61,1940.53,595.85,138.61,162.0,178.26
3886.79,1919.03,576.15,147.14,172.32999999999998,188.07
3849.18,1896.58,561.91,156.12,183.12,198.07
3812.11,1873.19,547.98,165.17000000000002,193.97,208.04999999999998
3778.7599999999998,1853.72,533.87,173.56,204.18,217.75
3761.7599999999998,1852.8700000000001,534.8199999999999,180.72,213.14,227.01
3765.91,1867.45,551.2,186.57999999999998,220.8,235.82
3768.0,1880.54,566.1,191.99,228.02,244.42
3765.63,1886.73,572.29,191.98,228.01,244.42
3756.47,1883.8400000000001,569.4,192.01,228.03,244.42
3744.2,1874.1,557.86,186.6,220.81,235.82
3737.39,1870.1100000000001,552.07,180.5,212.91,226.97
3742.34,1872.57,552.72,173.14,203.75,217.6
3765.46,1891.98,570.33,164.63,193.43,207.79
3804.87,1922.6,592.74,155.57999999999998,182.57999999999998,197.79
3849.7,1959.07,619.76,146.43,171.63,187.81
3886.33,1988.08,643.42,137.98,161.37,178.10999999999999
3906.65,2000.51,654.06,130.74,152.33,168.85
3901.87,1991.18,642.92,124.82,144.6,160.04
3895.37,1979.75,629.69,119.33,137.3,151.44
3899.59,1982.03,631.97,119.23,137.2,151.44
3909.12,1990.74,640.68,119.08,137.06,151.44
3919.89,2001.89,653.63,124.44,144.22,160.2
3914.7999999999997,1998.1100000000001,651.66,130.97,152.56,169.41
3886.72,1977.67,633.02,139.32,162.71,179.28
3837.58,1939.15,604.46,149.03,174.17000000000002,189.54
3784.35,1896.2,570.4,159.1,185.75,199.91
3731.3199999999997,1852.39,536.38,169.0,197.3,210.23
3685.42,1816.42,511.11,178.21,208.31,220.31
3660.63,1799.32,495.81,185.93,217.83,229.89999999999998
3667.3,1809.86,508.16,191.95,225.66,238.94
3681.7,1827.72,527.81,197.26999999999998,232.78,247.76
3687.32,1832.54,532.63,197.16,232.66,247.76
3689.38,1833.79,533.88,197.06,232.56,247.76
3690.51,1832.1799999999998,530.46,191.45,225.15,239.0
3706.06,1843.29,539.77,184.76,216.64,229.79
3739.24,1867.37,562.06,176.26,206.34,219.92
3798.9,1915.79,600.51,166.39,194.72,209.66
3851.25,1956.1599999999999,631.99,156.19,183.0,199.29
3902.21,1995.36,661.4,146.16,171.32,188.97
3947.7200000000003,2027.23,682.56,136.81,160.16,178.89
3970.95,2037.6999999999998,691.22,128.89,150.44,169.29999999999998
3969.34,2029.94,681.65,122.62,142.37,160.26
3961.24,2016.92,666.84,117.07,135.02,151.44
3967.55,2023.22,673.14,116.96,134.92,151.44
3972.89,2028.28,678.2,116.92,134.88,151.44
3975.95,2034.07,685.79,122.39,142.15,160.35999999999999
3970.99,2034.27,687.79,128.77,150.34,169.62
3946.5,2018.31,673.63,136.79,160.16,179.48999999999998
3897.2799999999997,1978.95,643.73,146.17,171.35,189.85
3853.42,1946.03,623.99,156.18,183.18,200.45999999999998
3809.21,1912.91,603.12,166.11,194.91,211.04999999999998
3773.33,1888.64,585.88,175.12,205.74,221.31
3770.41,1888.17,587.22,182.76999999999998,215.2,231.07
3788.21,1902.79,603.64,188.95,223.18,240.31
3814.57,1925.19,627.84,194.4,230.43,249.26999999999998
3826.45,1928.12,630.77,194.43,230.46,249.26999999999998
3831.99,1925.96,628.61,194.45,230.48,249.26999999999998
3839.47,1922.67,623.52,188.97,223.2,240.35
3855.69,1925.73,624.77,182.57,214.99,231.09
3894.4,1947.32,644.55,174.51,205.13,221.22
3944.61,1977.71,665.48,165.1,193.92,210.85999999999999
3989.54,1999.47,674.07,155.07,182.07999999999998,200.25
4035.99,2024.01,686.35,145.15,170.35,189.66
4074.0,2041.04,696.35,136.13,159.51,179.39999999999998
4081.2799999999997,2038.1399999999999,691.64,128.57,150.14,169.64
4067.3599999999997,2017.3,669.0,122.55,142.32,160.39999999999998
4040.66,1986.74,636.64,117.27,135.23,151.44
4019.14,1964.4099999999999,614.31,117.37,135.33,151.44
4015.73,1961.25,611.15,117.44,135.4,151.44
