0,20,40,60,80,100
4587.97,3252.6,1931.06,838.67,181.10999999999999,181.10999999999999
4421.12,3087.47,1767.33,749.62,188.88,188.88
4259.0,2927.08,1608.35,656.93,196.4,196.4
4135.02,2804.74,1487.41,553.1,202.64,202.64
4083.62,2755.11,1439.18,505.09000000000003,207.45999999999998,207.45999999999998
4066.15,2738.05,1422.12,488.03,207.38,207.38
4051.79,2724.11,1408.19,474.1,207.32,207.32
4054.08,2726.74,1410.82,476.73,207.31,207.31
3987.93,2658.79,1340.74,455.75,201.60999999999999,201.60999999999999
3970.57,2639.43,1316.8600000000001,448.43,194.29,194.29
4006.73,2673.35,1349.38,440.5,186.35999999999999,186.35999999999999
4109.96,2774.48,1449.1,465.93,178.53,178.53
4277.77,2940.36,1613.58,560.2,170.87,170.87
4444.4400000000005,3105.02,1776.84,648.78,163.1,163.1
4628.31,3287.08,1957.5,763.15,156.2,155.66
4765.12,3422.2200000000003,2091.24,879.78,152.87,149.47
4828.75,3484.01,2151.63,939.94,148.1,144.7
4881.43,3536.35,2203.96,992.28,148.85999999999999,144.9
4920.1900000000005,3574.88,2242.49,1030.81,149.01,145.05
4938.37,3592.9300000000003,2260.54,1048.85,149.12,145.16
5045.02,3701.51,2371.26,1116.49,154.81,150.85
5145.11,3803.62,2477.89,1167.83,161.16,157.2
5208.53,3869.16,2544.84,1214.6,167.82,163.86
5203.71,3866.38,2543.47,1219.44,174.45,170.49
5140.76,3805.3,2483.79,1161.04,181.07999999999998,177.12
5094.15,3760.61,2440.5,1119.15,187.67,183.71
5029.93,3698.13,2379.42,1059.47,193.28,189.85999999999999
4988.47,3658.37,2341.06,1022.52,196.01,195.45
4956.5599999999995,3628.36,2312.45,995.3199999999999,201.01,200.45
4907.8,3579.9,2264.0,946.87,200.32,200.32
4864.38,3536.63,2220.72,903.59,200.22,200.22
4839.22,3511.45,2195.54,878.42,200.15,200.15
4831.72,3502.45,2185.13,866.19,194.87,194.87
4857.99,3527.11,2208.38,888.04,189.03,189.03
4907.1900000000005,3574.66,2254.52,932.78,182.87,182.87
4952.76,3618.41,2296.87,974.81,176.49,176.49
5024.31,3688.18,2365.24,1041.9,169.99,169.99
5079.06,3741.13,2416.79,1092.05,163.53,163.53
5122.51,3782.8,2457.06,1130.92,157.39,157.39
