0,20,40,60,80,100
6909.82,6909.82,6909.82,6909.82,6909.82,6909.82
6901.91,6901.91,6901.91,6901.91,6901.91,6901.91
6895.91,6674.96,6567.5,6460.04,6366.42,6369.04
6908.51,6459.54,6243.07,6028.15,5839.92,5845.05
6974.71,6297.72,5913.62,5591.23,5296.19,5303.76
7023.08,6118.08,5561.12,5131.27,4737.38,4747.11
7091.77,5958.76,5210.25,4672.94,4179.02,4190.79
7145.55,5784.52,4852.65,4207.87,3622.26,3635.95
7157.39,5568.35,4484.3,3732.05,3063.64,3079.16
7124.58,5307.5199999999995,4105.12,3245.4,2504.47,2521.68
7080.5,5035.42,3722.37,2755.19,1945.22,1964.1299999999999
7044.72,4999.64,3686.59,2719.41,1909.44,1928.35
7008.83,4963.75,3650.7,2683.52,1873.5500000000002,1892.46
6972.95,4927.87,3614.82,2647.64,1837.67,1856.58
6941.72,5117.59,3912.0,3052.2799999999997,2335.9300000000003,2352.2200000000003
6943.82,5347.71,4251.13,3498.87,2877.13,2890.91
6929.1,5561.01,4632.06,3987.27,3472.34,3483.6800000000003
6953.72,5813.64,5057.55,4520.22,4104.14,4113.32
6975.15,6063.08,5498.54,5068.67,4752.62,4759.76
7026.1,6342.05,5960.87,5638.47,5414.11,5419.33
7105.99,6649.95,6420.95,6206.02,6064.46,6067.85
7221.48,6993.46,6882.8099999999995,6775.35,6706.3099999999995,6708.01
7352.46,7352.46,7352.46,7352.46,7352.46,7352.46
7478.85,7478.85,7478.85,7478.85,7478.85,7478.85
7594.5599999999995,7594.5599999999995,7594.5599999999995,7594.5599999999995,7594.5599999999995,7594.5599999999995
7721.21,7721.21,7721.21,7721.21,7721.21,7721.21
7856.54,7628.53,7435.98,7328.51,7222.88,7225.57
7946.97,7490.9400000000005,7109.4800000000005,6894.55,6681.72,6686.85
7978.95,7294.9,6732.14,6409.75,6086.51,6094.05
7962.860000000001,7050.8,6299.63,5869.78,5455.04,5464.33
7925.6,6785.52,5846.52,5309.2,4806.92,4817.83
7888.32,6520.22,5380.76,4735.98,4145.68,4158.2
7889.74,6293.63,4937.51,4185.26,3495.15,3509.66
7885.31,6061.18,4498.9400000000005,3639.23,2853.06,2869.52
7855.070000000001,6030.9400000000005,4468.7,3608.99,2822.82,2839.28
7821.68,5997.55,4435.31,3575.6,2789.4300000000003,2805.8900000000003
7817.34,5993.21,4430.97,3571.26,2785.09,2801.55
7815.71,5991.58,4429.34,3569.63,2783.46,2799.92
7834.6,6238.4800000000005,4868.79,4116.55,3436.01,3449.78
7850.620000000001,6482.52,5301.74,4656.96,4083.6200000000003,4094.9500000000003
7869.76,6729.68,5730.2,5192.88,4729.95,4738.87
7915.63,7003.56,6192.49,5762.63,5391.200000000001,5398.37
7979.42,7295.37,6672.13,6349.74,6065.85,6071.400000000001
8031.360000000001,7575.33,7152.55,6937.62,6741.75,6745.6900000000005
8054.9800000000005,7826.96,7620.84,7513.38,7417.320000000001,7419.27
8093.12,8093.12,8093.12,8093.12,8093.12,8093.12
8153.68,8153.68,8153.68,8153.68,8153.68,8153.68
8214.07,8214.07,8214.07,8214.07,8214.07,8214.07
8245.94,8245.94,8245.94,8245.94,8245.94,8245.94
8276.960000000001,8276.960000000001,8276.960000000001,8276.960000000001,8276.960000000001,8276.960000000001
8302.130000000001,8074.110000000001,7846.25,7738.79,7626.4800000000005,7627.08
8369.32,7913.29,7457.41,7215.32,6993.72,6981.9400000000005
8429.32,7745.27,7061.37,6681.54,6347.77,6338.02
8475.33,7563.26,6651.34,6134.95,5690.09,5678.59
8513.78,7373.6900000000005,6233.75,5573.57,5017.5,5005.64
8549.66,7181.55,5813.59,5008.68,4341.11,4331.43
8571.91,6975.78,5379.8,4436.16,3665.57,3657.86
8587.49,6763.34,4939.34,3861.52,2989.82,2984.01
8618.26,6566.09,4514.07,3291.44,2313.13,2309.27
8684.6,6632.43,4580.41,3357.78,2379.4700000000003,2375.61
8788.11,6735.9400000000005,4683.92,3461.29,2482.98,2479.12
8898.1,6845.93,4793.91,3571.28,2592.9700000000003,2589.11
8996.01,7171.860000000001,5347.7,4232.53,3366.53,3362.07
9048.32,7452.18,5856.04,4875.5,4118.79,4126.71
9146.65,7778.530000000001,6410.41,5567.610000000001,4923.07,4928.96
9276.08,8135.9800000000005,6995.88,6289.64,5756.1900000000005,5763.83
9412.49,8500.41,7588.33,7025.88,6603.64,6611.64
9531.03,8846.97,8162.91,7745.1900000000005,7434.45,7440.27
9657.26,9201.22,8745.18,8466.19,8258.470000000001,8262.32
9779.87,9551.85,9323.83,9179.02,9072.41,9074.36
9870.77,9870.77,9870.77,9870.77,9870.77,9870.77
9914.57,9914.57,9914.57,9914.57,9914.57,9914.57
9930.51,9930.51,9930.51,9930.51,9930.51,9930.51
9958.25,9958.25,9958.25,9958.25,9958.25,9958.25
9976.17,9748.15,9520.13,9316.24,9208.78,9185.23
9975.95,9519.91,9063.87,8672.49,8457.57,8420.51
9920.43,9236.37,8552.31,7990.03,7666.91,7618.24
9824.33,8912.25,8000.18,7280.16,6849.58,6783.39
9696.63,8556.53,7416.4400000000005,6556.53,6018.18,5935.62
9553.61,8185.49,6817.39,5844.51,5195.9,5107.03
9403.619999999999,7807.48,6213.57,5133.23,4372.79,4285.05
9252.02,7427.86,5624.33,4436.53,3565.03,3473.09
9159.11,7106.93,5075.38,3770.77,2791.81,2676.76
9119.6,7067.42,5035.87,3731.26,2752.3,2637.25
9062.67,7010.49,4978.9400000000005,3674.33,2695.37,2580.32
8993.51,6941.33,4909.78,3605.17,2626.21,2511.16
8933.69,7109.53,5306.0,4205.28,3333.7799999999997,3242.2799999999997
8893.58,7297.44,5721.93,4808.7,4044.66,3966.67
8871.81,7503.69,6156.2,5413.87,4758.03,4691.65
8831.44,7691.34,6571.86,5987.27,5438.89,5390.03
8871.39,7959.3099999999995,7067.85,6623.15,6182.54,6150.05
8948.67,8264.61,7601.16,7269.43,6939.08,6912.9
9009.92,8553.88,8116.24,7891.97,7673.45,7646.14
9068.9,8840.880000000001,8612.86,8496.05,8388.59,8365.48
9069.61,9069.61,9069.61,9069.61,9069.61,9069.61
8976.72,8976.72,8976.72,8976.72,8976.72,8976.72
8898.99,8898.99,8898.99,8898.99,8898.99,8898.99
8830.74,8830.74,8830.74,8830.74,8830.74,8830.74
8759.02,8531.0,8315.25,8207.79,8097.63,8099.62
8695.53,8239.49,7806.07,7591.150000000001,7371.26,7375.2300000000005
8643.54,7959.4800000000005,7298.04,6974.33,6644.34,6650.22
8626.97,7714.89,6825.43,6388.53,5947.1900000000005,5951.82
8530.1,7390.0,6278.09,5733.7300000000005,5185.04,5191.77
8437.79,7069.67,5729.74,5074.22,4420.08,4428.89
8373.65,6777.51,5209.57,4443.32,3684.76,3695.62
8325.65,6501.49,4705.53,3828.81,2963.27,2976.25
8305.11,6252.94,4228.96,3235.12,2256.93,2272.08
8321.46,6269.29,4245.3099999999995,3251.4700000000003,2273.2799999999997,2288.4300000000003
8368.13,6315.96,4291.98,3298.14,2319.95,2335.1
8412.41,6360.24,4336.26,3342.42,2364.23,2379.38
8451.6,6627.45,4819.22,3932.84,3064.81,3077.9700000000003
8472.8,6876.67,5286.11,4507.1900000000005,3748.8900000000003,3760.07
8480.970000000001,7112.860000000001,5750.32,5080.1900000000005,4431.99,4441.26
8462.92,7322.83,6188.31,5631.37,5094.52,5105.04
8483.51,7571.4400000000005,6659.37,6209.89,5780.39,5788.81
8501.960000000001,7817.91,7133.860000000001,6795.54,6471.49,6477.83
8534.130000000001,8078.1,7622.06,7394.47,7174.84,7179.13
8566.06,8338.050000000001,8110.030000000001,7992.91,7880.26,7882.43
8585.69,8585.69,8585.69,8585.69,8585.69,8585.69
8606.85,8606.85,8606.85,8606.85,8606.85,8606.85
8613.800000000001,8613.800000000001,8613.800000000001,8613.800000000001,8613.800000000001,8613.800000000001
8623.800000000001,8623.800000000001,8623.800000000001,8623.800000000001,8623.800000000001,8623.800000000001
8633.880000000001,8405.86,8177.84,8037.12,7927.08,7925.1900000000005
8616.12,8160.08,7704.05,7449.0,7243.35,7243.06
8563.92,7879.860000000001,7195.81,6829.41,6560.9800000000005,6561.81
8562.31,7650.24,6738.17,6240.18,5895.46,5898.01
8566.32,7426.2300000000005,6286.150000000001,5635.79,5209.81,5214.22
8562.37,7194.26,5826.16,5026.79,4518.89,4525.1900000000005
8526.15,6930.02,5333.900000000001,4404.39,3815.7000000000003,3823.88
8494.9,6670.75,4846.610000000001,3781.9,3110.4100000000003,3120.57
8504.09,6451.92,4399.76,3175.2000000000003,2404.88,2417.31
8577.94,6525.77,4473.610000000001,3249.05,2478.73,2491.16
8626.380000000001,6574.21,4522.05,3297.49,2527.17,2539.6
8644.21,6592.04,4539.88,3315.3199999999997,2545.0,2557.43
8667.57,6843.42,5019.28,3935.44,3275.16,3289.48
8730.55,7134.42,5538.29,4568.78,4004.1099999999997,4016.83
8817.18,7449.07,6080.96,5222.8,4720.91,4732.51
8879.46,7739.36,6599.27,5872.7,5447.1,5456.98
8916.15,8004.07,7091.99,6517.79,6173.45,6181.47
8984.48,8300.42,7616.36,7191.17,6928.75,6934.88
9080.6,8624.56,8168.52,7873.47,7691.84,7696.09
9162.65,8934.63,8706.61,8546.76,8447.93,8450.2
9153.98,9153.98,9153.98,9153.98,9153.98,9153.98
9106.66,9106.66,9106.66,9106.66,9106.66,9106.66
9099.26,9099.26,9099.26,9099.26,9099.26,9099.26
9112.85,9112.85,9112.85,9112.85,9112.85,9112.85
9134.83,8906.81,8678.79,8481.65,8379.23,8380.77
9154.17,8698.13,8242.09,7844.5599999999995,7650.55,7653.4
9203.35,8519.289999999999,7835.23,7212.95,6933.62,6937.72
9280.76,8368.68,7456.6,6606.3,6207.26,6213.25
9336.88,8196.78,7056.68,5978.36,5480.94,5488.74
9356.4,7988.29,6620.17,5316.95,4725.76,4735.3
9363.69,7767.5599999999995,6171.42,4645.27,3962.83,3974.06
9347.119999999999,7522.98,5698.82,3966.78,3207.27,3219.87
9402.33,7350.17,5297.99,3350.51,2501.78,2516.0099999999998
9496.8,7444.639999999999,5392.46,3444.98,2596.25,2610.48
9606.03,7553.87,5501.69,3554.21,2705.48,2719.71
9711.5,7659.34,5607.16,3659.6800000000003,2810.95,2825.1800000000003
9815.96,7991.82,6167.66,4417.32,3671.01,3683.7
9928.11,8331.99,6735.85,5185.9,4531.18,4542.56
10022.54,8654.44,7286.32,5961.12,5391.72,5401.85
10081.41,8941.33,7801.23,6704.05,6254.36,6262.6
10149.15,9237.09,8325.01,7455.85,7104.54,7110.97
10228.08,9544.03,8859.97,8215.71,7958.17,7962.86
10319.64,9863.61,9407.57,8986.24,8819.95,8822.95
10430.44,10202.42,9974.4,9758.96,9669.74,9671.37
10503.72,10503.72,10503.72,10503.72,10503.72,10503.72
10517.18,10517.18,10517.18,10517.18,10517.18,10517.18
10479.83,10479.83,10479.83,10479.83,10479.83,10479.83
10432.64,10432.64,10432.64,10432.64,10432.64,10432.64
10388.89,10160.87,9932.85,9705.04,9597.58,9574.16
10333.44,9877.4,9421.36,8971.17,8756.25,8715.34
10289.9,9605.84,8921.789999999999,8243.58,7916.12,7856.12
10254.93,9342.85,8430.78,7524.55,7073.97,6995.38
10198.130000000001,9058.03,7917.94,6791.3,6231.99,6147.03
10122.52,8754.4,7386.29,6048.77,5379.89,5295.15
10057.99,8461.85,6865.72,5308.39,4532.05,4435.11
10020.460000000001,8196.31,6372.16,4587.59,3703.79,3586.81
10006.06,7953.89,5901.73,3889.14,2889.69,2754.53
10032.62,7980.45,5928.29,3915.7,2916.25,2781.09
10072.54,8020.37,5968.21,3955.62,2956.17,2821.01
10103.07,8050.9,5998.74,3986.15,2986.7,2851.54
10119.0,8294.85,6470.71,4685.93,3793.94,3682.2
10154.94,8558.81,6962.69,5400.29,4615.76,4521.51
10175.53,8807.42,7439.3099999999995,6104.93,5432.94,5357.78
10169.91,9029.82,7889.73,6783.37,6234.5,6177.93
10178.15,9266.08,8354.01,7468.06,7027.92,6977.72
10176.27,9492.22,8808.17,8133.1,7802.53,7752.11
10164.02,9707.99,9251.96,8796.7,8573.59,8535.37
10136.88,9908.86,9680.85,9452.83,9337.18,9319.0
10106.07,10106.07,10106.07,10106.07,10106.07,10106.07
