0,20,40,60,80,100
5714.44,5714.44,5714.44,5714.44,5714.44,5714.44
5713.33,5713.33,5713.33,5713.33,5713.33,5713.33
5707.69,5620.71,5533.74,5446.7699999999995,5359.79,5281.38
5680.41,5506.45,5332.51,5158.57,4984.61,4849.57
5632.04,5371.11,5110.19,4849.28,4588.35,4417.9
5582.99,5235.08,4887.19,4539.31,4191.4,3986.36
5530.12,5095.24,4660.37,4225.52,3790.64,3554.97
5481.73,4959.88,4438.03,3916.21,3394.35,3123.74
5437.33,4828.5,4219.68,3610.89,3002.05,2692.68
5394.26,4698.46,4002.66,3306.9,2611.09,2261.73
5369.38,4586.61,3803.83,3021.1,2238.31,1830.86
5367.9,4498.16,3628.4,2758.7,1888.94,1400.01
5368.97,4499.23,3629.47,2759.77,1890.01,1401.08
5369.94,4500.2,3630.44,2760.74,1890.98,1402.05
5375.48,4592.72,3809.93,3027.2,2244.42,1833.9
5402.7,4706.92,4011.1,3315.34,2619.54,2265.65
5451.02,4842.21,4233.37,3624.58,3015.75,2697.27
5499.99,4978.16,4456.29,3934.4700000000003,3412.62,3128.73
5552.74,5117.88,4682.99,4248.14,3813.26,3560.0
5601.01,5253.12,4905.21,4557.33,4209.43,3991.11
5645.31,5384.4,5123.46,4862.55,4601.63,4422.07
5688.3,5514.36,5340.4,5166.46,4992.51,4852.9400000000005
5713.13,5626.16,5539.18,5452.21,5365.24,5283.76
5714.58,5714.58,5714.58,5714.58,5714.58,5714.58
5713.53,5713.53,5713.53,5713.53,5713.53,5713.53
5712.62,5712.62,5712.62,5712.62,5712.62,5712.62
5707.32,5620.35,5533.38,5446.4,5359.43,5280.77
5682.54,5508.6,5334.66,5160.7,4986.76,4849.02
5657.11,5396.19,5135.28,4874.34,4613.43,4417.4
5614.29,5266.4,4918.51,4570.6,4222.72,3985.94
5567.65,5132.79,4697.93,4263.04,3828.19,3554.67
5530.92,5009.08,4487.25,3965.38,3443.56,3123.56
5507.51,4898.69,4289.89,3681.05,3072.25,2692.6
5498.05,4802.26,4106.49,3410.67,2714.9,2261.73
5494.57,4711.8,3929.06,3146.27,2363.52,1830.91
5495.84,4713.07,3930.33,3147.54,2364.79,1832.1799999999998
5497.1,4714.33,3931.59,3148.8,2366.05,1833.44
5498.21,4715.44,3932.7,3149.91,2367.16,1834.55
5503.71,4807.91,4112.14,3416.33,2720.55,2266.6
5528.64,4919.81,4311.01,3702.18,3093.37,2698.5
5554.11,5032.26,4510.43,3988.58,3466.74,3130.16
5596.87,5161.99,4727.14,4292.26,3857.39,3561.56
5642.91,5295.0,4947.12,4599.22,4251.32,3992.23
5678.99,5418.06,5157.15,4896.23,4635.3,4422.69
5701.86,5527.91,5353.97,5180.0199999999995,5006.07,4853.11
5710.85,5623.87,5536.9,5449.93,5362.95,5283.51
5713.93,5713.93,5713.93,5713.93,5713.93,5713.93
5712.6,5712.6,5712.6,5712.6,5712.6,5712.6
5711.68,5711.68,5711.68,5711.68,5711.68,5711.68
5710.8,5710.8,5710.8,5710.8,5710.8,5710.8
5707.49,5620.5199999999995,5533.54,5446.57,5359.599999999999,5278.7699999999995
5698.099999999999,5524.16,5350.21,5176.26,5002.32,4846.89
5687.01,5426.099999999999,5165.17,4904.25,4643.34,4415.24
5669.32,5321.43,4973.53,4625.63,4277.75,3983.85
