0,20,40,60,80,100
9950.71,7283.35,4615.99,1948.63,132.0,132.0
9914.22,7246.86,4579.5,1912.14,132.0,132.0
9872.73,7205.37,4538.01,1870.65,132.0,132.0
9849.85,7183.95,4518.05,1852.15,137.49,137.49
9856.36,7191.92,4527.48,1863.04,143.34,143.34
9723.01,7060.03,4397.05,1734.98,149.44,149.44
9477.82,6816.3,4154.78,1592.58,156.4,156.4
9241.84,6581.78,3921.7200000000003,1445.73,163.34,163.34
9007.03,6348.43,3689.83,1291.8,170.52,170.52
8793.09,6135.95,3478.81,1169.08,177.74,177.74
8586.19,5930.51,3274.83,1045.6200000000001,185.29,185.29
8400.37,5746.15,3091.93,923.59,192.94,192.94
8271.41,5618.65,2965.89,828.65,199.58,199.58
8291.1,5639.8,2988.5,852.72,211.86,205.57
8337.26,5685.96,3034.66,898.88,231.19,205.57
8393.74,5740.98,3088.2200000000003,950.98,238.02,200.08
8433.26,5779.04,3124.82,986.12,241.7,194.23
8644.03,5988.349999999999,3332.67,1191.6,262.84000000000003,188.13
9004.37,6347.23,3690.09,1449.15,303.56,181.17
9352.2,6693.6,4035.0,1707.85,339.98,174.23
9654.380000000001,6994.32,4334.26,1929.1499999999999,349.36,167.05
9951.49,7289.969999999999,4628.45,2135.04,347.63,159.82999999999998
10301.95,7638.969999999999,4975.99,2402.06,392.37,152.28
10682.460000000001,8018.0199999999995,5353.58,2718.7799999999997,486.81,144.63
11023.89,8357.99,5692.09,3026.19,602.7,137.99
11219.19,8551.83,5884.47,3217.1099999999997,715.74,132.0
11341.82,8674.46,6007.1,3339.74,775.11,132.0
11393.49,8727.59,6061.69,3395.79,825.8,138.61
11381.36,8716.92,6052.48,3388.04,832.52,146.25
11260.07,8597.09,5934.11,3271.13,813.75,154.72
11090.85,8429.33,5767.8099999999995,3106.29,774.73,163.38
10899.28,8239.22,5579.16,2919.1,740.19,172.2
10745.8,8087.2,5428.6,2770.0,732.48,181.05
10619.37,7962.23,5305.09,2647.95,735.87,189.93
10448.28,7792.6,5136.92,2481.24,692.55,198.9
10248.800000000001,7594.58,4940.36,2286.14,599.44,207.88
10146.8,7494.04,4841.28,2188.52,503.98,216.05
10160.0,7508.7,4857.4,2206.1,523.01,223.15
10209.970000000001,7558.67,4907.37,2256.07,572.98,223.15
10260.4,7607.64,4954.88,2302.12,609.49,216.54
10390.49,7736.27,5082.05,2427.83,695.16,208.9
10602.53,7946.85,5291.17,2635.49,784.39,200.43
10851.83,8194.69,5537.55,2880.41,898.04,191.77
11123.87,8465.27,5806.67,3148.07,1013.05,182.95
11380.54,8720.48,6060.42,3400.36,1113.59,174.1
11618.94,8957.42,6295.9,3634.38,1207.51,165.22
11852.66,9189.68,6526.7,3863.72,1313.46,156.25
12064.97,9400.53,6736.09,4071.65,1419.4,147.27
12180.66,9514.76,6848.860000000001,4182.96,1528.55,139.1
12163.65,9496.289999999999,6828.93,4161.57,1505.7,132.0
12134.76,9467.4,6800.04,4132.68,1476.81,132.0
12109.71,9443.81,6777.91,4112.01,1446.1100000000001,138.59
11964.69,9300.25,6635.81,3971.37,1351.7,146.1
11759.9,9096.92,6433.9400000000005,3770.96,1262.54,154.64
11521.72,8860.2,6198.68,3537.16,1149.01,163.42000000000002
11274.22,8614.16,5954.1,3294.04,1033.92,172.16
