0,20,40,60,80,100
4573.66,2050.72,674.06,132.42000000000002,132.01,132.01
4462.7300000000005,1960.69,627.98,132.43,132.02,132.02
4360.7,1877.15,586.22,135.85,135.44,135.44
4218.22,1758.87,521.52,139.82,139.46,139.46
4047.69,1619.39,451.27,144.45,144.16,144.16
3884.37,1482.92,381.2,149.04,148.82999999999998,148.82999999999998
3749.81,1358.3,310.42,153.62,153.49,153.49
3642.4300000000003,1252.38,249.76,158.67000000000002,158.62,158.62
3575.65,1187.07,216.97,164.24,164.24,164.24
3559.73,1172.61,217.77,170.05,170.05,170.05
3605.4900000000002,1219.83,248.35,175.73,175.73,175.73
3698.2,1292.52,280.41,180.57,180.57,180.57
3787.02,1364.11,314.82,184.85,184.85,184.85
3883.1,1438.11,344.87,184.84,184.84,184.84
3954.8,1498.57,363.55,181.42,181.42,181.42
4009.09,1546.78,375.57,177.4,177.4,177.4
4052.75,1589.36,379.43,172.7,172.7,172.7
4063.54,1612.3899999999999,375.34,168.03,168.03,168.03
4031.7,1611.25,371.46999999999997,163.37,163.37,163.37
3974.36,1590.48,357.98,158.24,158.24,158.24
3907.07,1559.91,337.81,152.62,152.62,152.62
3829.98,1521.63,312.49,146.81,146.81,146.81
3754.77,1485.42,287.75,141.13,141.13,141.13
3688.43,1458.95,263.28,136.29,136.29,136.29
3639.17,1448.37,251.24,132.01,132.01,132.01
3608.95,1454.26,257.13,132.02,132.02,132.02
3626.97,1488.21,292.53999999999996,136.42,136.48,136.48
3665.92,1534.1100000000001,339.9,141.35,141.51,141.51
3709.69,1580.04,387.28999999999996,147.24,147.4,147.4
3794.82,1653.8200000000002,461.78,153.39,153.77,153.77
3909.48,1749.58,554.01,159.55,160.39000000000001,160.39000000000001
4010.71,1838.74,642.46,165.8,167.06,167.06
4096.18,1922.5900000000001,727.77,172.19,173.89,173.89
4178.85,2005.28,811.92,178.74,180.9,180.9
4268.52,2091.92,900.02,185.37,188.08,188.08
4398.18,2210.33,1019.89,213.94,195.22,195.22
4596.17,2375.99,1187.01,304.53999999999996,201.44,201.91
4795.07,2544.16,1355.18,408.29,204.77,201.91
