0,20,40,60,80,100
10144.55,3898.06,3898.06,3898.06,3898.06,3898.06
10136.6,3898.18,3898.18,3898.18,3898.18,3898.18
10127.33,3898.28,3898.28,3898.28,3898.28,3898.28
10118.0,3898.38,3898.38,3898.38,3898.38,3898.38
10109.210000000001,3898.51,3898.51,3898.51,3898.51,3898.51
10103.77,3898.45,3898.45,3898.45,3898.45,3898.45
10099.95,3898.34,3898.34,3898.34,3898.34,3898.34
10096.36,3898.21,3898.21,3898.21,3898.21,3898.21
10092.460000000001,3898.11,3898.11,3898.11,3898.11,3898.11
10086.13,3898.01,3898.01,3898.01,3898.01,3898.01
10074.67,3898.05,3898.05,3898.05,3898.05,3898.05
10057.26,3898.27,3898.27,3898.27,3898.27,3898.27
10028.65,3898.68,3898.68,3898.68,3898.68,3898.68
9993.45,3899.22,3899.22,3899.22,3899.22,3899.22
9960.8,3899.66,3899.66,3899.66,3899.66,3899.66
9933.62,3899.98,3899.98,3899.98,3899.98,3899.98
9909.12,3900.26,3900.26,3900.26,3900.26,3900.26
9874.99,3900.74,3900.74,3900.74,3900.74,3900.74
9835.35,3901.35,3901.35,3901.35,3901.35,3901.35
9795.44,3901.98,3901.98,3901.98,3901.98,3901.98
9767.19,3902.35,3902.35,3902.35,3902.35,3902.35
9748.28,3902.54,3902.54,3902.54,3902.54,3902.54
9733.9,3902.67,3902.67,3902.67,3902.67,3902.67
9726.33,3902.66,3902.66,3902.66,3902.66,3902.66
9723.76,3902.61,3902.61,3902.61,3902.61,3902.61
9721.43,3902.58,3902.58,3902.58,3902.58,3902.58
9719.22,3902.49,3902.49,3902.49,3902.49,3902.49
9717.48,3902.4,3902.4,3902.4,3902.4,3902.4
9714.11,3902.41,3902.41,3902.41,3902.41,3902.41
9708.7,3902.46,3902.46,3902.46,3902.46,3902.46
9700.88,3902.54,3902.54,3902.54,3902.54,3902.54
9692.58,3902.68,3902.68,3902.68,3902.68,3902.68
9683.07,3902.92,3902.92,3902.92,3902.92,3902.92
9672.77,3903.2,3903.2,3903.2,3903.2,3903.2
9659.67,3903.61,3903.61,3903.61,3903.61,3903.61
9648.76,3904.04,3904.04,3904.04,3904.04,3904.04
9640.59,3904.5,3904.5,3904.5,3904.5,3904.5
9634.2,3904.93,3904.93,3904.93,3904.93,3904.93
9628.11,3905.31,3905.31,3905.31,3905.31,3905.31
9620.35,3905.71,3905.71,3905.71,3905.71,3905.71
9613.61,3905.96,3905.96,3905.96,3905.96,3905.96
9606.77,3906.15,3906.15,3906.15,3906.15,3906.15
9600.82,3906.33,3906.33,3906.33,3906.33,3906.33
9595.27,3906.55,3906.55,3906.55,3906.55,3906.55
9591.28,3906.79,3906.79,3906.79,3906.79,3906.79
9587.48,3907.0,3907.0,3907.0,3907.0,3907.0
9584.31,3907.21,3907.21,3907.21,3907.21,3907.21
9582.89,3907.43,3907.43,3907.43,3907.43,3907.43
9582.04,3907.63,3907.63,3907.63,3907.63,3907.63
9581.4,3907.81,3907.81,3907.81,3907.81,3907.81
9581.07,3907.94,3907.94,3907.94,3907.94,3907.94
9579.43,3907.99,3907.99,3907.99,3907.99,3907.99
9578.16,3908.0,3908.0,3908.0,3908.0,3908.0
9579.56,3907.95,3907.95,3907.95,3907.95,3907.95
9582.54,3907.86,3907.86,3907.86,3907.86,3907.86
