0,20,40,60,80,100
8683.75,1848.67,1848.67,1848.67,1848.67,1848.67
8683.75,1848.67,1848.67,1848.67,1848.67,1848.67
8683.75,1848.67,1848.67,1848.67,1848.67,1848.67
8683.75,1848.67,1848.67,1848.67,1848.67,1848.67
8683.75,1848.67,1848.67,1848.67,1848.67,1848.67
8716.67,1848.68,1848.68,1848.68,1848.68,1848.68
8718.33,1848.68,1848.68,1848.68,1848.68,1848.68
8718.33,1848.68,1848.68,1848.68,1848.68,1848.68
8718.33,1848.68,1848.68,1848.68,1848.68,1848.68
8718.33,1848.68,1848.68,1848.68,1848.68,1848.68
8718.33,1848.68,1848.68,1848.68,1848.68,1848.68
8718.33,1848.68,1848.68,1848.68,1848.68,1848.68
8718.33,1848.68,1848.68,1848.68,1848.68,1848.68
8725.39,1848.68,1848.68,1848.68,1848.68,1848.68
8725.39,1848.68,1848.68,1848.68,1848.68,1848.68
8725.39,1848.68,1848.68,1848.68,1848.68,1848.68
8725.39,1848.68,1848.68,1848.68,1848.68,1848.68
8725.39,1848.68,1848.68,1848.68,1848.68,1848.68
8725.39,1848.68,1848.68,1848.68,1848.68,1848.68
8725.39,1848.68,1848.68,1848.68,1848.68,1848.68
8760.71,1848.69,1848.69,1848.69,1848.69,1848.69
8760.71,1848.69,1848.69,1848.69,1848.69,1848.69
8777.23,1848.7,1848.7,1848.7,1848.7,1848.7
8799.81,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
8801.83,1848.71,1848.71,1848.71,1848.71,1848.71
